,type,name,author,event,year
0,j,GeoConv: Geodesic guided convolution for facial action unit recognition.,"['Yuedong Chen', 'Guoxian Song', 'Zhiwen Shao', 'Jianfei Cai', 'Tat-Jen Cham', 'Jianmin Zheng']",Pattern Recognit.,2022
1,j,Unconstrained Facial Action Unit Detection via Latent Feature Domain.,"['Zhiwen Shao', 'Jianfei Cai', 'Tat-Jen Cham', 'Xuequan Lu', 'Lizhuang Ma']",IEEE Trans. Affect. Comput.,2022
2,j,Half-body Portrait Relighting with Overcomplete Lighting Representation.,"['Guoxian Song', 'Tat-Jen Cham', 'Jianfei Cai', 'Jianmin Zheng']",Comput. Graph. Forum,2021
3,j,Pluralistic Free-Form Image Completion.,"['Chuanxia Zheng', 'Tat-Jen Cham', 'Jianfei Cai']",Int. J. Comput. Vis.,2021
4,j,Visiting the Invisible: Layer-by-Layer Completed Scene Decomposition.,"['Chuanxia Zheng', 'Duy-Son Dao', 'Guoxian Song', 'Tat-Jen Cham', 'Jianfei Cai']",Int. J. Comput. Vis.,2021
5,j,AgileGAN: stylizing portraits by inversion-consistent transfer learning.,"['Guoxian Song', 'Linjie Luo', 'Jing Liu', 'Wan-Chun Ma', 'Chun-Pong Lai', 'Chuanxia Zheng', 'Tat-Jen Cham']",ACM Trans. Graph.,2021
6,j,Recovering facial reflectance and geometry from multi-view images.,"['Guoxian Song', 'Jianmin Zheng', 'Jianfei Cai', 'Tat-Jen Cham']",Image Vis. Comput.,2020
7,j,Shading-Based Surface Recovery Using Subdivision-Based Representation.,"['Teng Deng', 'Jianmin Zheng', 'Jianfei Cai', 'Tat-Jen Cham']",Comput. Graph. Forum,2019
8,j,Conditional adversarial synthesis of 3D facial action units.,"['Zhilei Liu', 'Guoxian Song', 'Jianfei Cai', 'Tat-Jen Cham', 'Juyong Zhang']",Neurocomputing,2019
9,j,Visibility Constrained Generative Model for Depth-Based 3D Facial Pose Tracking.,"['Lu Sheng', 'Jianfei Cai', 'Tat-Jen Cham', 'Vladimir Pavlovic', 'King Ngi Ngan']",IEEE Trans. Pattern Anal. Mach. Intell.,2019
10,j,Towards a Switchable AR/VR Near-eye Display with Accommodation-Vergence and Eyeglass Prescription Support.,"['Xinxing Xia', 'Yunqing Guan', 'Andrei State', 'Praneeth Chakravarthula', 'Kishore Rathinavel', 'Tat-Jen Cham', 'Henry Fuchs']",IEEE Trans. Vis. Comput. Graph.,2019
11,j,Shading-Based Surface Detail Recovery Under General Unknown Illumination.,"['Di Xu', 'Qi Duan', 'Jianmin Zheng', 'Juyong Zhang', 'Jianfei Cai', 'Tat-Jen Cham']",IEEE Trans. Pattern Anal. Mach. Intell.,2018
12,j,Structure-Aware Multimodal Feature Fusion for RGB-D Scene Classification and Beyond.,"['Anran Wang', 'Jianfei Cai', 'Jiwen Lu', 'Tat-Jen Cham']",ACM Trans. Multim. Comput. Commun. Appl.,2018
13,j,Multiple consumer-grade depth camera registration using everyday objects.,"['Teng Deng', 'Jianfei Cai', 'Tat-Jen Cham', 'Jianmin Zheng']",Image Vis. Comput.,2017
14,j,Real-Time and Temporal-Coherent Foreground Extraction With Commodity RGBD Camera.,"['Mengyao Zhao', 'Chi-Wing Fu', 'Jianfei Cai', 'Tat-Jen Cham']",IEEE J. Sel. Top. Signal Process.,2015
15,j,Scene recognition by semantic visual words.,"['Elahe Farahzadeh', 'Tat-Jen Cham', 'Andrzej Sluzek']",Signal Image Video Process.,2015
16,j,Unsupervised Joint Feature Learning and Encoding for RGB-D Scene Labeling.,"['Anran Wang', 'Jiwen Lu', 'Jianfei Cai', 'Gang Wang', 'Tat-Jen Cham']",IEEE Trans. Image Process.,2015
17,j,"Kinect Depth Recovery Using a Color-Guided, Region-Adaptive, and Depth-Selective Framework.","['Chongyu Chen', 'Jianfei Cai', 'Jianmin Zheng', 'Tat-Jen Cham', 'Guangming Shi']",ACM Trans. Intell. Syst. Technol.,2015
18,j,A Unified Feature Selection Framework for Graph Embedding on High Dimensional Data.,"['Marcus Chen', 'Ivor W. Tsang', 'Mingkui Tan', 'Cham Tat Jen']",IEEE Trans. Knowl. Data Eng.,2015
19,j,Large-Margin Multi-Modal Deep Learning for RGB-D Object Recognition.,"['Anran Wang', 'Jiwen Lu', 'Jianfei Cai', 'Tat-Jen Cham', 'Gang Wang']",IEEE Trans. Multim.,2015
20,j,Face and Human Gait Recognition Using Image-to-Class Distance.,"['Yi Huang', 'Dong Xu', 'Tat-Jen Cham']",IEEE Trans. Circuits Syst. Video Technol.,2010
21,j,Near Duplicate Identification With Spatially Aligned Pyramid Matching.,"['Dong Xu', 'Tat-Jen Cham', 'Shuicheng Yan', 'Lixin Duan', 'Shih-Fu Chang']",IEEE Trans. Circuits Syst. Video Technol.,2010
22,j,Shadow Elimination and Blinding Light Suppression for Interactive Projected Displays.,"['Jay Summet', 'Matthew Flagg', 'Tat-Jen Cham', 'James M. Rehg', 'Rahul Sukthankar']",IEEE Trans. Vis. Comput. Graph.,2007
23,j,Automated B-Spline Curve Representation Incorporating MDL and Error-Minimizing Control Point Insertion Strategies.,"['Tat-Jen Cham', 'Roberto Cipolla']",IEEE Trans. Pattern Anal. Mach. Intell.,1999
24,j,Symmetry detection through local skewed symmetries.,"['Tat-Jen Cham', 'Roberto Cipolla']",Image Vis. Comput.,1995
25,c,Global Context with Discrete Diffusion in Vector Quantised Modelling for Image Generation.,"['Minghui Hu', 'Yujie Wang', 'Tat-Jen Cham', 'Jianfei Yang', 'Ponnuthurai N. Suganthan']",CVPR,2022
26,c,Bridging Global Context Interactions for High-Fidelity Image Completion.,"['Chuanxia Zheng', 'Tat-Jen Cham', 'Jianfei Cai', 'Dinh Q. Phung']",CVPR,2022
27,c,Sem2NeRF: Converting Single-View Semantic Masks to Neural Radiance Fields.,"['Yuedong Chen', 'Qianyi Wu', 'Chuanxia Zheng', 'Tat-Jen Cham', 'Jianfei Cai']",ECCV (14),2022
28,c,Towards Unbiased Visual Emotion Recognition via Causal Intervention.,"['Yuedong Chen', 'Xu Yang', 'Tat-Jen Cham', 'Jianfei Cai']",ACM Multimedia,2022
29,c,The Spatially-Correlative Loss for Various Image Translation Tasks.,"['Chuanxia Zheng', 'Tat-Jen Cham', 'Jianfei Cai']",CVPR,2021
30,c,A Unified 3D Human Motion Synthesis Model via Conditional Variational Auto-Encoder,"['Yujun Cai', 'Yiwei Wang', 'Yiheng Zhu', 'Tat-Jen Cham', 'Jianfei Cai', 'Junsong Yuan', 'Jun Liu', 'Chuanxia Zheng', 'Sijie Yan', 'Henghui Ding', 'Xiaohui Shen', 'Ding Liu', 'Nadia Magnenat-Thalmann']",ICCV,2021
31,c,Learning Progressive Joint Propagation for Human Motion Prediction.,"['Yujun Cai', 'Lin Huang', 'Yiwei Wang', 'Tat-Jen Cham', 'Jianfei Cai', 'Junsong Yuan', 'Jun Liu', 'Xu Yang', 'Yiheng Zhu', 'Xiaohui Shen', 'Ding Liu', 'Jing Liu', 'Nadia Magnenat-Thalmann']",ECCV (7),2020
32,c,Towards Eyeglass-style Holographic Near-eye Displays with Statically.,"['Xinxing Xia', 'Yunqing Guan', 'Andrei State', 'Praneeth Chakravarthula', 'Tat-Jen Cham', 'Henry Fuchs']",ISMAR,2020
33,c,Pluralistic Image Completion.,"['Chuanxia Zheng', 'Tat-Jen Cham', 'Jianfei Cai']",CVPR,2019
34,c,Exploiting Spatial-Temporal Relationships for 3D Pose Estimation via Graph Convolutional Networks.,"['Yujun Cai', 'Liuhao Ge', 'Jun Liu', 'Jianfei Cai', 'Tat-Jen Cham', 'Junsong Yuan', 'Nadia Magnenat-Thalmann']",ICCV,2019
35,c,Towards Efficient 3D Calibration for Different Types of Multi-view Autostereoscopic 3D Displays.,"['Xinxing Xia', 'Yunqing Guan', 'Andrei State', 'Tat-Jen Cham', 'Henry Fuchs']",CGI,2018
36,c,T ^2 2 Net: Synthetic-to-Realistic Translation for Solving Single-Image Depth Estimation Tasks.,"['Chuanxia Zheng', 'Tat-Jen Cham', 'Jianfei Cai']",ECCV (7),2018
37,c,Background Subtraction Based on Deep Pixel Distribution Learning.,"['Chenqiu Zhao', 'Tat-Jen Cham', 'Xinyu Ren', 'Jianfei Cai', 'Haichen Zhu']",ICME,2018
38,c,Real-time 3D Face-Eye Performance Capture of a Person Wearing VR Headset.,"['Guoxian Song', 'Jianfei Cai', 'Tat-Jen Cham', 'Jianmin Zheng', 'Juyong Zhang', 'Henry Fuchs']",ACM Multimedia,2018
39,c,SubdSH: Subdivision-based Spherical Harmonics Field for Real-time Shading-based Refinement under Challenging Unknown Illumination.,"['Teng Deng', 'Jianmin Zheng', 'Jianfei Cai', 'Tat-Jen Cham']",VCIP,2018
40,c,A Generative Model for Depth-Based Robust 3D Facial Pose Tracking.,"['Lu Sheng', 'Jianfei Cai', 'Tat-Jen Cham', 'Vladimir Pavlovic', 'King Ngi Ngan']",CVPR,2017
