,type,name,author,event,year
0,j,Efficient Self-Supervised Learning Representations for Spoken Language Identification.,"['Hexin Liu', 'Leibny Paola García-Perera', 'Andy W. H. Khong', 'Eng Siong Chng', 'Suzy J. Styles', 'Sanjeev Khudanpur']",IEEE J. Sel. Top. Signal Process.,2022
1,j,Learning affective representations based on magnitude and dynamic relative phase information for speech emotion recognition.,"['Lili Guo', 'Longbiao Wang', 'Jianwu Dang', 'Eng Siong Chng', 'Seiichi Nakagawa']",Speech Commun.,2022
2,j,SpEx: Multi-Scale Time Domain Speaker Extraction Network.,"['Chenglin Xu', 'Wei Rao', 'Eng Siong Chng', 'Haizhou Li']",IEEE ACM Trans. Audio Speech Lang. Process.,2020
3,j,Learning distributed sentence representations for story segmentation.,"['Jia Yu', 'Lei Xie', 'Xiong Xiao', 'Eng Siong Chng']",Signal Process.,2018
4,j,Re-ranking spoken term detection with acoustic exemplars of keywords.,"['Van Tung Pham', 'Haihua Xu', 'Xiong Xiao', 'Nancy F. Chen', 'Eng Siong Chng', 'Haizhou Li']",Speech Commun.,2018
5,j,A hybrid neural network hidden Markov model approach for automatic story segmentation.,"['Jia Yu', 'Lei Xie', 'Xiong Xiao', 'Eng Siong Chng']",J. Ambient Intell. Humaniz. Comput.,2017
6,j,An Exemplar-Based Approach to Frequency Warping for Voice Conversion.,"['Xiaohai Tian', 'Siu Wa Lee', 'Zhizheng Wu', 'Eng Siong Chng', 'Haizhou Li']",IEEE ACM Trans. Audio Speech Lang. Process.,2017
7,j,Speech dereverberation for enhancement and recognition using dynamic features constrained deep neural networks and feature adaptation.,"['Xiong Xiao', 'Shengkui Zhao', 'Duc Hoang Ha Nguyen', 'Xionghu Zhong', 'Douglas L. Jones', 'Eng Siong Chng', 'Haizhou Li']",EURASIP J. Adv. Signal Process.,2016
8,j,High quality voice conversion using prosodic and high-resolution spectral features.,"['Nguyen Quy Hy', 'Siu Wa Lee', 'Xiaohai Tian', 'Minghui Dong', 'Eng Siong Chng']",Multim. Tools Appl.,2016
9,j,Feature Adaptation Using Linear Spectro-Temporal Transform for Robust Speech Recognition.,"['Duc Hoang Ha Nguyen', 'Xiong Xiao', 'Eng Siong Chng', 'Haizhou Li']",IEEE ACM Trans. Audio Speech Lang. Process.,2016
10,j,Single-channel Dereverberation for Distant-Talking Speech Recognition by Combining Denoising Autoencoder and Temporal Structure Normalization.,"['Yuma Ueda', 'Longbiao Wang', 'Atsuhiko Kai', 'Xiong Xiao', 'Engsiong Chng', 'Haizhou Li']",J. Signal Process. Syst.,2016
11,j,Context-dependent Phone Mapping for Acoustic Modeling of Under-resourced Languages.,"['Van Hai Do', 'Xiong Xiao', 'Engsiong Chng', 'Haizhou Li']",Int. J. Asian Lang. Process.,2015
12,j,Mandarin-English code-switching speech corpus in South-East Asia: SEAME.,"['Dau-Cheng Lyu', 'Tien Ping Tan', 'Engsiong Chng', 'Haizhou Li']",Lang. Resour. Evaluation,2015
