,type,name,author,event,year
0,j,Approximator: A Software Tool for Automatic Generation of Approximate Arithmetic Circuits.,"['Padmanabhan Balasubramanian', 'Raunaq Nayar', 'Okkar Min', 'Douglas L. Maskell']",Comput.,2022
1,j,Coarse Grained FPGA Overlay for Rapid Just-In-Time Accelerator Compilation.,"['Abhishek Kumar Jain', 'Douglas L. Maskell', 'Suhaib A. Fahmy']",IEEE Trans. Parallel Distributed Syst.,2022
2,j,"An Approximate Adder With a Near-Normal Error Distribution: Design, Error Analysis and Practical Application.","['Padmanabhan Balasubramanian', 'Raunaq Nayar', 'Douglas L. Maskell', 'Nikos E. Mastorakis']",IEEE Access,2021
3,j,Generalized Majority Voter Design Method for N-Modular Redundant Systems Used in Mission- and Safety-Critical Applications.,"['Jaytrilok Choudhary', 'P. Balasubramanian', 'Danny M. Varghese', 'Dhirendra Pratap Singh', 'Douglas L. Maskell']",Comput.,2019
4,j,Time-Multiplexed FPGA Overlay Architectures: A Survey.,"['Xiangwei Li', 'Douglas L. Maskell']",ACM Trans. Design Autom. Electr. Syst.,2019
5,j,A Self-Healing Redundancy Scheme for Mission/Safety-Critical Applications.,"['P. Balasubramanian', 'Douglas L. Maskell']",IEEE Access,2018
6,j,A Hybrid Logic Block Architecture in FPGA for Holistic Efficiency.,"['Tao Luo', 'Hao Liang', 'Wei Zhang', 'Bingsheng He', 'Douglas L. Maskell']",IEEE Trans. Circuits Syst. II Express Briefs,2017
7,j,A distributed minority and majority voting based redundancy scheme.,"['P. Balasubramanian', 'Douglas L. Maskell']",Microelectron. Reliab.,2015
8,j,Adapting the DySER Architecture with DSP Blocks as an Overlay for the Xilinx Zynq.,"['Abhishek Kumar Jain', 'Xiangwei Li', 'Suhaib A. Fahmy', 'Douglas L. Maskell']",SIGARCH Comput. Archit. News,2015
9,j,An Improved Robust Field-Weakeaning Algorithm for Direct-Torque-Controlled Synchronous-Reluctance-Motor Drives.,"['Xinan Zhang', 'Gilbert Hock Beng Foo', 'D. Mahinda Vilathgamuwa', 'Douglas L. Maskell']",IEEE Trans. Ind. Electron.,2015
10,j,The iDEA DSP Block-Based Soft Processor for FPGAs.,"['Hui Yan Cheah', 'Fredrik Brosser', 'Suhaib A. Fahmy', 'Douglas L. Maskell']",ACM Trans. Reconfigurable Technol. Syst.,2014
11,j,Virtualized Execution and Management of Hardware Tasks on a Hybrid ARM-FPGA Platform.,"['Abhishek Kumar Jain', 'Khoa Dang Pham', 'Jin Cui', 'Suhaib A. Fahmy', 'Douglas L. Maskell']",J. Signal Process. Syst.,2014
12,j,A hybrid short read mapping accelerator.,"['Yupeng Chen', 'Bertil Schmidt', 'Douglas L. Maskell']",BMC Bioinform.,2013
13,j,C2FPGA - A dependency-timing graph design methodology.,"['Sunita Chandrasekaran', 'Shilpa Shanbagh', 'Ramkumar Jayaraman', 'Douglas L. Maskell', 'Hui Yan Cheah']",J. Parallel Distributed Comput.,2013
14,j,Reconfigurable Accelerator for the Word-Matching Stage of BLASTN.,"['Yupeng Chen', 'Bertil Schmidt', 'Douglas L. Maskell']",IEEE Trans. Very Large Scale Integr. Syst.,2013
15,j,CUSHAW: a CUDA compatible short read aligner to large genomes based on the Burrows-Wheeler transform.,"['Yongchao Liu', 'Bertil Schmidt', 'Douglas L. Maskell']",Bioinform.,2012
16,j,A Fast High-Level Event-Driven Thermal Estimator for Dynamic Thermal Aware Scheduling.,"['Jin Cui', 'Douglas L. Maskell']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2012
17,j,CompleteMOTIFs: DNA motif discovery platform for transcription factor binding experiments.,"['Lakshmi Kuttippurathu', 'Michael Hsing', 'Yongchao Liu', 'Bertil Schmidt', 'Douglas L. Maskell', 'Kyungjoon Lee', 'Aibin He', 'William T. Pu', 'Sek Won Kong']",Bioinform.,2011
18,j,DecGPU: distributed error correction on massively parallel graphics processing units using CUDA and MPI.,"['Yongchao Liu', 'Bertil Schmidt', 'Douglas L. Maskell']",BMC Bioinform.,2011
19,j,Parallelized short read assembly of large genomes using de Bruijn graphs.,"['Yongchao Liu', 'Bertil Schmidt', 'Douglas L. Maskell']",BMC Bioinform.,2011
20,j,A Novel Fuzzy Associative Memory Architecture for Stock Market Prediction and Trading.,"['Chai Quek', 'Zaiyi Guo', 'Douglas L. Maskell']",Int. J. Fuzzy Syst. Appl.,2011
21,j,MSAProbs: multiple sequence alignment based on pair hidden Markov models and partition function posterior probabilities.,"['Yongchao Liu', 'Bertil Schmidt', 'Douglas L. Maskell']",Bioinform.,2010
22,j,An improved common subexpression elimination method for reducing logic operators in FIR filter implementations without increasing logic depth.,"['Achutavarrier Prasad Vinod', 'Edmund Ming-Kit Lai', 'Douglas L. Maskell', 'Pramod Kumar Meher']",Integr.,2010
23,j,CUDA-MEME: Accelerating motif discovery in biological sequences using CUDA-enabled graphics processing units.,"['Yongchao Liu', 'Bertil Schmidt', 'Weiguo Liu', 'Douglas L. Maskell']",Pattern Recognit. Lett.,2010
24,j,EpiList II: Closing the Loop in the Development of Generic Cognitive Skills.,"['Ghee Ming Goh', 'Chai Quek', 'Douglas L. Maskell']",IEEE Trans. Syst. Man Cybern. Part A,2010
25,j,High Speed Biological Sequence Analysis With Hidden Markov Models on Reconfigurable Platforms.,"['Timothy F. Oliver', 'Bertil Schmidt', 'Yanto Jakop', 'Douglas L. Maskell']",IEEE Trans. Inf. Technol. Biomed.,2009
26,j,A unified architecture for a public key cryptographic coprocessor.,"['Yi Wang', 'Douglas L. Maskell', 'Jussipekka Leiwo']",J. Syst. Archit.,2008
27,j,Prerouted FPGA Cores for Rapid System Construction in a Dynamic Reconfigurable System.,"['Timothy F. Oliver', 'Douglas L. Maskell']",EURASIP J. Embed. Syst.,2007
28,j,Design of efficient multiplierless FIR filters.,['Douglas L. Maskell'],IET Circuits Devices Syst.,2007
29,j,"Supporting multiple-input, multiple-output custom functions in configurable processors.","['Xiaoyong Chen', 'Douglas L. Maskell']",J. Syst. Archit.,2007
30,j,Fast Identification of Custom Instructions for Extensible Processors.,"['Xiaoyong Chen', 'Douglas L. Maskell', 'Yang Sun']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2007
31,j,High-speed Multiple Sequence Alignment on a reconfigurable platform.,"['Timothy F. Oliver', 'Bertil Schmidt', 'Douglas L. Maskell', 'Darran Nathan', 'Ralf Clemens']",Int. J. Bioinform. Res. Appl.,2006
32,j,A technique for expressing IT security objectives.,"['Jussipekka Leiwo', 'Lam-for Kwok', 'Douglas L. Maskell', 'Nenad Stankovic']",Inf. Softw. Technol.,2006
33,j,Adaptive subsample delay estimation using windowed correlation.,"['Douglas L. Maskell', 'Graham S. Woods']",IEEE Trans. Circuits Syst. II Express Briefs,2006
34,j,Using reconfigurable hardware to accelerate multiple sequence alignment with ClustalW.,"['Timothy F. Oliver', 'Bertil Schmidt', 'Darran Nathan', 'Ralf Clemens', 'Douglas L. Maskell']",Bioinform.,2005
35,j,Adaptive subsample delay estimation using a modified quadrature phase detector.,"['Douglas L. Maskell', 'Graham S. Woods']",IEEE Trans. Circuits Syst. II Express Briefs,2005
36,j,Reconfigurable architectures for bio-sequence database scanning on FPGAs.,"['Timothy F. Oliver', 'Bertil Schmidt', 'Douglas L. Maskell']",IEEE Trans. Circuits Syst. II Express Briefs,2005
37,j,The discrete-time quadrature subsample estimation of delay.,"['Douglas L. Maskell', 'Graham S. Woods']",IEEE Trans. Instrum. Meas.,2002
38,j,A frequency modulated envelope delay FSCW radar for multiple-target applications.,"['Douglas L. Maskell', 'Graham S. Woods']",IEEE Trans. Instrum. Meas.,2000
39,j,The estimation of subsample time delay of arrival in the discrete-time measurement of phase delay.,"['Douglas L. Maskell', 'Graham S. Woods']",IEEE Trans. Instrum. Meas.,1999
40,c,An Approximate Adder with Reduced Error and Optimized Design Metrics.,"['Padmanabhan Balasubramanian', 'Raunaq Nayar', 'Douglas L. Maskell']",APCCAS,2021
41,c,Image Compression using Approximate Addition.,"['Raunaq Nayar', 'Padmanabhan Balasubramanian', 'Douglas Leslie Maskell']",TENCON,2021
42,c,Energy Efficient In-memory Integer Multiplication Based on Racetrack Memory.,"['Tao Luo', 'Wei Zhang', 'Bingsheng He', 'Cheng Liu', 'Douglas L. Maskell']",ICDCS,2020
43,c,High Throughput Accelerator Interface Framework for a Linear Time-Multiplexed FPGA Overlay.,"['Xiangwei Li', 'Kizheppatt Vipin', 'Douglas L. Maskell', 'Suhaib A. Fahmy', 'Abhishek Kumar Jain']",ISCAS,2020
44,c,Hardware Optimized Approximate Adder with Normal Error Distribution.,"['Raunaq Nayar', 'Padmanabhan Balasubramanian', 'Douglas L. Maskell']",ISVLSI,2020
45,c,Area Optimized Quasi Delay Insensitive Majority Voter for TMR Applications.,"['P. Balasubramanian', 'Douglas L. Maskell', 'Nikos E. Mastorakis']",EECS,2019
46,c,A time-multiplexed FPGA overlay with linear interconnect.,"['Xiangwei Li', 'Abhishek Kumar Jain', 'Douglas L. Maskell', 'Suhaib A. Fahmy']",DATE,2018
47,c,Indicating Asynchronous Multipliers.,"['P. Balasubramanian', 'Douglas L. Maskell', 'Nikos E. Mastorakis']",EECS,2018
48,c,Asynchronous Early Output Block Carry Lookahead Adder with Improved Quality of Results.,"['P. Balasubramanian', 'Douglas L. Maskell', 'Nikos E. Mastorakis']",MWSCAS,2018
49,c,Majority and Minority Voted Redundancy for Safety-Critical Applications.,"['P. Balasubramanian', 'Douglas L. Maskell', 'Nikos E. Mastorakis']",MWSCAS,2018
50,c,A System Health Indicator for the Distributed Minority and Majority Voting Based Redundancy Scheme.,"['P. Balasubramanian', 'Douglas L. Maskell', 'Krishnamachar Prasad']",TENCON,2018
51,c,Hardware Efficient Approximate Adder Design.,"['P. Balasubramanian', 'Douglas L. Maskell']",TENCON,2018
52,c,A novel two-stage modular multiplier based on racetrack memory for asymmetric cryptography.,"['Tao Luo', 'Bingsheng He', 'Wei Zhang', 'Douglas L. Maskell']",ICCAD,2017
53,c,Approximate quasi-delay-insensitive asynchronous adders: Design and analysis.,"['P. Balasubramanian', 'Cuong Dang', 'Douglas L. Maskell']",MWSCAS,2017
54,c,A racetrack memory based in-memory booth multiplier for cryptography application.,"['Tao Luo', 'Wei Zhang', 'Bingsheng He', 'Douglas L. Maskell']",ASP-DAC,2016
55,c,Are Coarse-Grained Overlays Ready for General Purpose Application Acceleration on FPGAs?,"['Abhishek Kumar Jain', 'Douglas L. Maskell', 'Suhaib A. Fahmy']",DASC/PiCom/DataCom/CyberSciTech,2016
56,c,Throughput oriented FPGA overlays using DSP blocks.,"['Abhishek Kumar Jain', 'Douglas L. Maskell', 'Suhaib A. Fahmy']",DATE,2016
57,c,DeCO: A DSP Block Based FPGA Accelerator Overlay with Low Overhead Interconnect.,"['Abhishek Kumar Jain', 'Xiangwei Li', 'Pranjul Singhai', 'Douglas L. Maskell', 'Suhaib A. Fahmy']",FCCM,2016
58,c,Efficient Overlay Architecture Based on DSP Blocks.,"['Abhishek Kumar Jain', 'Suhaib A. Fahmy', 'Douglas L. Maskell']",FCCM,2015
59,c,Automatic fault detection and diagnosis for photovoltaic systems using combined artificial neural network and analytical based methods.,"['Lian Lian Jiang', 'Douglas L. Maskell']",IJCNN,2015
60,c,FIE-FCMAC: A novel fuzzy cerebellum model articulation controller (FCMAC) using fuzzy interpolation and extrapolation technique.,"['Weigui Jair Zhou', 'Douglas Leslie Maskell', 'Chai Quek']",IJCNN,2015
61,c,A uniform implementation scheme for evolutionary optimization algorithms and the experimental implementation of an ACO based MPPT for PV systems under partial shading.,"['Lian Lian Jiang', 'Douglas L. Maskell']",CIASG,2014
