,type,name,author,event,year
0,j,Arabic question answering system: a survey.,"['Tahani H. Alwaneen', 'Aqil M. Azmi', 'Hatim A. Aboalsamh', 'Erik Cambria', 'Amir Hussain']",Artif. Intell. Rev.,2022
1,j,A survey on personality-aware recommendation systems.,"['Sahraoui Dhelim', 'Nyothiri Aung', 'Mohammed Amine Bouras', 'Huansheng Ning', 'Erik Cambria']",Artif. Intell. Rev.,2022
2,j,Soft computing for recommender systems and sentiment analysis.,"['Lorenzo Malandri', 'Carlos Porcel', 'Frank Xing', 'Jesús Serrano-Guerrero', 'Erik Cambria']",Appl. Soft Comput.,2022
3,j,Arabic sentiment analysis using dependency-based rules and deep neural networks.,"['Arwa Diwali', 'Kia Dashtipour', 'Kawther Saeedi', 'Mandar Gogate', 'Erik Cambria', 'Amir Hussain']",Appl. Soft Comput.,2022
4,j,Guest Editorial: A Decade of Sentic Computing.,"['Erik Cambria', 'Amir Hussain']",Cogn. Comput.,2022
5,j,Ten Years of Sentic Computing.,"['Yosephine Susanto', 'Erik Cambria', 'Ng Bee Chin', 'Amir Hussain']",Cogn. Comput.,2022
6,j,Mood of the Planet: Challenging Visions of Big Data in the Arts.,"['Vibeke Sørensen', 'J. Stephen Lansing', 'Nagaraju Thummanapalli', 'Erik Cambria']",Cogn. Comput.,2022
7,j,OntoSenticNet 2: Enhancing Reasoning Within Sentiment Analysis.,"['Mauro Dragoni', 'Ivan Donadello', 'Erik Cambria']",IEEE Intell. Syst.,2022
8,j,Polarity and Subjectivity Detection with Multitask Learning and BERT Embedding.,"['Ranjan Satapathy', 'Shweta Pardeshi', 'Erik Cambria']",Future Internet,2022
9,j,BiERU: Bidirectional emotional recurrent unit for conversational sentiment analysis.,"['Wei Li', 'Wei Shao', 'Shaoxiong Ji', 'Erik Cambria']",Neurocomputing,2022
10,j,Multitask learning for emotion and personality traits detection.,"['Yang Li', 'Amirmohammad Kazemeini', 'Yash Mehta', 'Erik Cambria']",Neurocomputing,2022
11,j,MetaPro: A computational metaphor processing model for text pre-processing.,"['Rui Mao', 'Xiao Li', 'Mengshi Ge', 'Erik Cambria']",Inf. Fusion,2022
12,j,Gender-based multi-aspect sentiment detection using multilabel learning.,"['J. Ashok Kumar', 'Tina Esther Trueman', 'Erik Cambria']",Inf. Sci.,2022
13,j,Aspect-based sentiment analysis via affective knowledge enhanced graph convolutional networks.,"['Bin Liang', 'Hang Su', 'Lin Gui', 'Erik Cambria', 'Ruifeng Xu']",Knowl. Based Syst.,2022
14,j,Guest Editorial: Explainable artificial intelligence for sentiment analysis.,"['Erik Cambria', 'Akshi Kumar', 'Mahmoud Al-Ayyoub', 'Newton Howard']",Knowl. Based Syst.,2022
15,j,Soft labeling constraint for generalizing from sentiments in single domain.,"['Abhinaba Roy', 'Erik Cambria']",Knowl. Based Syst.,2022
16,j,Deep-attack over the deep reinforcement learning.,"['Yang Li', 'Quan Pan', 'Erik Cambria']",Knowl. Based Syst.,2022
17,j,Does semantics aid syntax? An empirical study on named entity recognition and classification.,"['Xiaoshi Zhong', 'Erik Cambria', 'Amir Hussain']",Neural Comput. Appl.,2022
18,j,Suicidal ideation and mental disorder detection with attentive relation networks.,"['Shaoxiong Ji', 'Xue Li', 'Zi Huang', 'Erik Cambria']",Neural Comput. Appl.,2022
