,type,name,author,event,year
0,j,ME-PLAN: A deep prototypical learning with local attention network for dynamic micro-expression recognition.,"['Sirui Zhao', 'Huaying Tang', 'Shifeng Liu', 'Yangsong Zhang', 'Hao Wang', 'Tong Xu', 'Enhong Chen', 'Cuntai Guan']",Neural Networks,2022
1,j,Visual-to-EEG cross-modal knowledge distillation for continuous emotion recognition.,"['Su Zhang', 'Chuangao Tang', 'Cuntai Guan']",Pattern Recognit.,2022
2,j,Design a Novel BCI for Neurorehabilitation Using Concurrent LFP and EEG Features: A Case Study.,"['Zhao Feng', 'Yi Sun', 'Linze Qian', 'Yu Qi', 'Yueming Wang', 'Cuntai Guan', 'Yu Sun']",IEEE Trans. Biomed. Eng.,2022
3,j,MIN2Net: End-to-End Multi-Task Learning for Subject-Independent Motor Imagery EEG Classification.,"['Phairot Autthasan', 'Rattanaphon Chaisaen', 'Thapanun Sudhawiyangkul', 'Phurin Rangpong', 'Suktipol Kiatthaveephong', 'Nat Dilokthanakul', 'Gun Bhakdisongkhram', 'Huy Phan', 'Cuntai Guan', 'Theerawit Wilaiprasitporn']",IEEE Trans. Biomed. Eng.,2022
4,j,Spatio-Spectral Feature Representation for Motor Imagery Classification Using Convolutional Neural Networks.,"['Ji-Seon Bang', 'Min-Ho Lee', 'Siamac Fazli', 'Cuntai Guan', 'Seong-Whan Lee']",IEEE Trans. Neural Networks Learn. Syst.,2022
5,j,Neurorehabilitation From a Distance: Can Intelligent Technology Support Decentralized Access to Quality Therapy?,"['Olivier Lambercy', 'Rea Lehner', 'Karen Sui Geok Chua', 'Seng Kwee Wee', 'Deshan Kumar Rajeswaran', 'Christopher Wee Keong Kuah', 'Wei Tech Ang', 'Phyllis Liang', 'Domenico Campolo', 'Asif Hussain', 'Gabriel Aguirre-Ollinger', 'Cuntai Guan', 'Christoph M. Kanzler', 'Nicole Wenderoth', 'Roger Gassert']",Frontiers Robotics AI,2021
6,j,fMRI-SI-STBF: An fMRI-informed Bayesian electromagnetic spatio-temporal extended source imaging.,"['Ke Liu', 'Zhu Liang Yu', 'Wei Wu', 'Xun Chen', 'Zhenghui Gu', 'Cuntai Guan']",Neurocomputing,2021
7,j,WiFi-Sleep: Sleep Stage Monitoring Using Commodity Wi-Fi Devices.,"['Bohan Yu', 'Yuxiang Wang', 'Kai Niu', 'Youwei Zeng', 'Tao Gu', 'Leye Wang', 'Cuntai Guan', 'Daqing Zhang']",IEEE Internet Things J.,2021
8,j,Adaptive transfer learning for EEG motor imagery classification with deep Convolutional Neural Network.,"['Kaishuo Zhang', 'Neethu Robinson', 'Seong-Whan Lee', 'Cuntai Guan']",Neural Networks,2021
9,j,An end-to-end 3D convolutional neural network for decoding attentive mental state.,"['Yangsong Zhang', 'Huan Cai', 'Li Nie', 'Peng Xu', 'Sirui Zhao', 'Cuntai Guan']",Neural Networks,2021
10,j,Decoding Single-Hand and Both-Hand Movement Directions From Noninvasive Neural Signals.,"['Jiarong Wang', 'Luzheng Bi', 'Weijie Fei', 'Cuntai Guan']",IEEE Trans. Biomed. Eng.,2021
11,j,DSAL: Deeply Supervised Active Learning From Strong and Weak Labelers for Biomedical Image Segmentation.,"['Ziyuan Zhao', 'Zeng Zeng', 'Kaixin Xu', 'Cen Chen', 'Cuntai Guan']",IEEE J. Biomed. Health Informatics,2021
12,j,Generative Adversarial Networks-Based Data Augmentation for Brain-Computer Interface.,"['Fatemeh Fahimi', 'Strahinja Dosen', 'Kai Keng Ang', 'Natalie Mrachacz-Kersting', 'Cuntai Guan']",IEEE Trans. Neural Networks Learn. Syst.,2021
13,j,A Survey on Explainable Artificial Intelligence (XAI): Toward Medical XAI.,"['Erico Tjoa', 'Cuntai Guan']",IEEE Trans. Neural Networks Learn. Syst.,2021
14,j,A Brain-Computer Interface Framework Based on Compressive Sensing and Deep Learning.,"['Ritu Ranjan Shrivastwa', 'Vikramkumar Pudi', 'Duo Chen', 'Rosa Q. So', 'Anupam Chattopadhyay', 'Cuntai Guan']",IEEE Consumer Electron. Mag.,2020
