,type,name,author,event,year
0,j,Obtaining leaner deep neural networks for decoding brain functional connectome in a single shot.,"['Sukrit Gupta', 'Yi Hao Chan', 'Jagath C. Rajapakse', ""Alzheimer's Disease Neuroimaging Initiative""]",Neurocomputing,2021
1,j,Graph embeddings on gene ontology annotations for protein-protein interaction prediction.,"['Xiaoshi Zhong', 'Jagath C. Rajapakse']",BMC Bioinform.,2020
2,j,Functional homogeneity and specificity of topological modules in human proteome.,"['Rama Kaalia', 'Jagath C. Rajapakse']",BMC Bioinform.,2019
3,j,Fusing gene expressions and transitive protein-protein interactions for inference of gene regulatory networks.,"['Wenting Liu', 'Jagath C. Rajapakse']",BMC Syst. Biol.,2019
4,j,MultiDCoX: Multi-factor analysis of differential co-expression.,"['Herty Liany', 'Jagath C. Rajapakse', 'R. Krishna Murthy Karuturi']",BMC Bioinform.,2017
5,j,Gene and sample selection using T-score with sample selection.,"['Piyushkumar A. Mundra', 'Jagath C. Rajapakse']",J. Biomed. Informatics,2016
6,j,Mixed Spectrum Analysis on fMRI Time-Series.,"['Arun Kumar', 'Feng Lin', 'Jagath C. Rajapakse']",IEEE Trans. Medical Imaging,2016
7,j,Extracting rate changes in transcriptional regulation from MEDLINE abstracts.,"['Wenting Liu', 'Kui Miao', 'Guangxia Li', 'Kuiyu Chang', 'Jie Zheng', 'Jagath C. Rajapakse']",BMC Bioinform.,2014
8,j,Multiclass Gene Selection Using Pareto-Fronts.,"['Jagath C. Rajapakse', 'Piyushkumar A. Mundra']",IEEE ACM Trans. Comput. Biol. Bioinform.,2013
9,j,Tree-structured algorithm for long weak motif discovery.,"['He Quan Sun', 'Malcolm Yoke Hean Low', 'Wen-Jing Hsu', 'Ching-Wai Tan', 'Jagath C. Rajapakse']",Bioinform.,2011
10,j,Stability of building gene regulatory networks with sparse autoregressive models.,"['Jagath C. Rajapakse', 'Piyushkumar A. Mundra']",BMC Bioinform.,2011
11,j,Correlation of cell membrane dynamics and cell motility.,"['Merlin Veronika', 'Roy E. Welsch', 'Alvin Ng', 'Paul Matsudaira', 'Jagath C. Rajapakse']",BMC Bioinform.,2011
12,j,Toward Better Understanding of Protein Secondary Structure: Extracting Prediction Rules.,"['Minh Ngoc Nguyen', 'Jacek M. Zurada', 'Jagath C. Rajapakse']",IEEE ACM Trans. Comput. Biol. Bioinform.,2011
13,j,Automated Scoring System for Liver Fibrosis Diagnosis with Second Harmonic Generation Microscopy.,"['Shuoyu Xu', 'Dean Tai', 'Peter So', 'Hanry Yu', 'Jagath C. Rajapakse']",Aust. J. Intell. Inf. Process. Syst.,2010
14,j,RecMotif: a novel fast algorithm for weak motif discovery.,"['He Quan Sun', 'Malcolm Yoke Hean Low', 'Wen-Jing Hsu', 'Jagath C. Rajapakse']",BMC Bioinform.,2010
15,j,Gene and sample selection for cancer classification with support vectors based t-statistic.,"['Piyushkumar A. Mundra', 'Jagath C. Rajapakse']",Neurocomputing,2010
16,j,Building gene networks with time-delayed regulations.,"['Iti Chaturvedi', 'Jagath C. Rajapakse']",Pattern Recognit. Lett.,2010
17,j,Di-codon usage for classification of genes.,"['Minh Ngoc Nguyen', 'Jianmin Ma', 'Gary B. Fogel', 'Jagath C. Rajapakse']",Biosyst.,2009
18,j,Sub-population analysis based on temporal features of high content images.,"['Merlin Veronika', 'James Evans', 'Paul Matsudaira', 'Roy E. Welsch', 'Jagath C. Rajapakse']",BMC Bioinform.,2009
19,j,Segmentation of Clustered Nuclei With Shape Markers and Marking Function.,"['Jierong Cheng', 'Jagath C. Rajapakse']",IEEE Trans. Biomed. Eng.,2009
20,j,Gene Classification Using Codon Usage and Support Vector Machines.,"['Jianmin Ma', 'Minh Ngoc Nguyen', 'Jagath C. Rajapakse']",IEEE ACM Trans. Comput. Biol. Bioinform.,2009
21,j,Time Efficient DT-MRI Acquisition Parameters for Robust Estimation of Fiber Tracts.,"['Bo Zheng', 'Jagath C. Rajapakse']",J. Signal Process. Syst.,2009
22,j,Fuzzy approach to incorporate hemodynamic variability and contextual information for detection of brain activation.,"['Juan Helen Zhou', 'Jagath C. Rajapakse']",Neurocomputing,2008
23,j,Probabilistic Framework for Brain Connectivity From Functional MR Images.,"['Jagath C. Rajapakse', 'Yang Wang', 'Xuebin Zheng', 'Juan Helen Zhou']",IEEE Trans. Medical Imaging,2008
24,j,Prediction of Protein Secondary Structure with two-stage multi-class SVMs.,"['Minh Ngoc Nguyen', 'Jagath C. Rajapakse']",Int. J. Data Min. Bioinform.,2007
25,j,Modeling hemodynamic variability with fuzzy features for detecting brain activation from fMR time-series.,"['Juan Helen Zhou', 'Jagath C. Rajapakse']",Neural Comput. Appl.,2007
26,j,Power spectral based detection of brain activation from fMR images.,"['Arun Kumar', 'Jagath C. Rajapakse']",Neural Comput. Appl.,2007
27,j,Learning effective brain connectivity with dynamic Bayesian networks.,"['Jagath C. Rajapakse', 'Juan Helen Zhou']",NeuroImage,2007
28,j,Guest Editors' Introduction to the Special Section: Computational Intelligence Approaches in Computational Biology and Bioinformatics.,"['Jagath C. Rajapakse', 'Yan-Qing Zhang', 'Gary B. Fogel']",IEEE ACM Trans. Comput. Biol. Bioinform.,2007
29,j,Grid-Enabled BLASTZ: Application to Comparative Genomics.,"['Chunxi Chen', 'Jagath C. Rajapakse']",J. VLSI Signal Process.,2007
30,j,ICA with Reference.,"['Wei Lu', 'Jagath C. Rajapakse']",Neurocomputing,2006
31,j,NURBS-based visualization of age-related diversity in cortical morphology.,"['Ravinda G. N. Meegama', 'Jagath C. Rajapakse']",J. Vis.,2006
32,j,Learning functional structure from fMR images.,"['Xuebin Zheng', 'Jagath C. Rajapakse']",NeuroImage,2006
33,j,"Editorial for special issue on ""Soft Computing for Bioinformatics and Medical Informatics"".","['David Corne', 'Gary B. Fogel', 'Jagath C. Rajapakse', 'Lipo Wang']",Soft Comput.,2006
34,j,Input encoding method for identifying transcription start sites in RNA polymerase II promoters by neural networks.,"['Loi Sy Ho', 'Jagath C. Rajapakse']",Soft Comput.,2006
35,j,Contextual modeling of functional MR images with conditional random fields.,"['Yang Wang', 'Jagath C. Rajapakse']",IEEE Trans. Medical Imaging,2006
36,j,Phonological processing in Chinese-English bilingual biscriptals: An fMRI study.,"['Wendy W. P. Tham', 'Susan J. Rickard Liow', 'Jagath C. Rajapakse', 'Tan Choong Leong', 'Samuel E. S. Ng', 'Winston E. H. Lim', 'Lynn G. Ho']",NeuroImage,2005
37,j,Segmentation of subcortical brain structures using fuzzy templates.,"['Juan Helen Zhou', 'Jagath C. Rajapakse']",NeuroImage,2005
38,j,Markov Encoding for Detecting Signals in Genomic Sequences.,"['Jagath C. Rajapakse', 'Loi Sy Ho']",IEEE ACM Trans. Comput. Biol. Bioinform.,2005
39,j,Approach and applications of constrained ICA.,"['Wei Lu', 'Jagath C. Rajapakse']",IEEE Trans. Neural Networks,2005
40,j,"Fully Automated Peeling Technique For T1-Weighted, High-Quality Mr Head Scans.","['Ravinda G. N. Meegama', 'Jagath C. Rajapakse']",Int. J. Image Graph.,2004
41,j,Eliminating indeterminacy in ICA.,"['Wei Lu', 'Jagath C. Rajapakse']",Neurocomputing,2003
42,j,NURBS-Based Segmentation of the Brain in Medical Images.,"['Ravinda G. N. Meegama', 'Jagath C. Rajapakse']",Int. J. Pattern Recognit. Artif. Intell.,2003
43,j,NURBS snakes.,"['Ravinda G. N. Meegama', 'Jagath C. Rajapakse']",Image Vis. Comput.,2003
44,j,Two-Stage support vector machines for protein secondary structure prediction.,"['Minh Ngoc Nguyen', 'Jagath C. Rajapakse']",Neural Parallel Sci. Comput.,2003
45,j,Adaptive blind signal and image processing: learning algorithms and applications [Book Review].,['Jagath C. Rajapakse'],IEEE Trans. Neural Networks,2003
46,j,"Adaptive blind signal and image processing: learning algorithms and applications: A. Cichocki, S. Amari, Wiley, New York, 2002, 586pp., ISBN 0471 60791 6.",['Jagath C. Rajapakse'],Neurocomputing,2002
47,j,Bayesian approach to segmentation of statistical parametric maps.,"['Jagath C. Rajapakse', 'Jayasanka Piyaratna']",IEEE Trans. Biomed. Eng.,2001
48,j,Segmentation of MR images with intensity inhomogeneities.,"['Jagath C. Rajapakse', 'Frithjof Kruggel']",Image Vis. Comput.,1998
49,j,Neuronal and Hemodynamic Events from fMRI Time-Series.,"['Jagath C. Rajapakse', 'Frithjof Kruggel', 'Stefan Zysset', 'D. Yves von Cramon']",J. Adv. Comput. Intell. Intell. Informatics,1998
50,j,Statistical Approach to Segmentation of Single-Channel Cerebral MR Images.,"['Jagath C. Rajapakse', 'Jay N. Giedd', 'Judith L. Rapoport']",IEEE Trans. Medical Imaging,1997
51,c,Cascaded Adversarial Learning for Speaker Independent Emotion Recognition.,"['Chamara Kasun Liyanaarachchi Lekamalage', 'Zhiping Lin', 'Guang-Bin Huang', 'Jagath Chandana Rajapakse']",IJCNN,2022
52,c,Recurrent multi-head attention fusion network for combining audio and text for speech emotion recognition.,"['Chung Soo Ahn', 'Chamara Kasun', 'Sunil Sivadas', 'Jagath C. Rajapakse']",INTERSPEECH,2022
53,c,Discriminative Adversarial Learning for Speaker Independent Emotion Recognition.,"['Chamara Kasun', 'Chung Soo Ahn', 'Jagath C. Rajapakse', 'Zhiping Lin', 'Guang-Bin Huang']",INTERSPEECH,2022
54,c,Semi-supervised Learning with Data Harmonisation for Biomarker Discovery from Resting State fMRI.,"['Yi Hao Chan', 'Wei Chee Yew', 'Jagath C. Rajapakse']",MICCAI (1),2022
55,c,Decoding Task States by Spotting Salient Patterns at Time Points and Brain Regions.,"['Yi Hao Chan', 'Sukrit Gupta', 'L. L. Chamara Kasun', 'Jagath C. Rajapakse']",MLCN/RNO-AI@MICCAI,2020
56,c,Predicting Missing and Spurious Protein-Protein Interactions Using Graph Embeddings on GO Annotation Graph.,"['Xiaoshi Zhong', 'Jagath C. Rajapakse']",BIBM,2019
57,c,Decoding Brain Functional Connectivity Implicated in AD and MCI.,"['Sukrit Gupta', 'Yi Hao Chan', 'Jagath C. Rajapakse']",MICCAI (3),2019
58,c,Predicting Affective States of Programming Using Keyboard Data and Mouse Behaviors.,"['Hualin Liu', 'Owen Noel Newton Fernando', 'Jagath C. Rajapakse']",ICARCV,2018
59,c,Nodal degree distributions of resting-state functional brain modules.,"['Sukrit Gupta', 'Jagath C. Rajapakse']",ISBI,2018
60,c,Detecting functional modules of the brain using eigen value decomposition of the signless Laplacian.,"['Xiuchao Sui', 'Shaohua Li', 'Jagath C. Rajapakse']",ISBI,2017
61,c,Fitting networks models for functional brain connectivity.,"['Jagath C. Rajapakse', 'Sukrit Gupta', 'Xiuchao Sui']",ISBI,2017
62,c,Mixed spectrum analysis in spatial context: Application to fMRI.,"['Arun Kumar', 'Lin Feng', 'Jagath C. Rajapakse']",ISBI,2016
63,c,Locality regularized sparse subspace clustering with application to cortex parcellation on resting fMRI.,"['Xiuchao Sui', 'Shaohua Li', 'Jagath C. Rajapakse']",ISBI,2016
64,c,CUDAGRN: Parallel Speedup of Inferring Large Gene Regulatory Networks from Expression Data Using Random Forest.,"['Seyed Ziaeddin Alborzi', 'D. A. K. Maduranga', 'Rui Fan', 'Jagath C. Rajapakse', 'Jie Zheng']",PRIB,2014
65,c,Inferring Time-Delayed Gene Regulatory Networks Using Cross-Correlation and Sparse Regression.,"['Piyushkumar A. Mundra', 'Jie Zheng', 'Mahesan Niranjan', 'Roy E. Welsch', 'Jagath C. Rajapakse']",ISBRA,2013
66,c,Gene Regulatory Networks from Gene Ontology.,"['Wenting Liu', 'Kuiyu Chang', 'Jie Zheng', 'Jain Divya', 'Jung-Jae Kim', 'Jagath C. Rajapakse']",ISBRA,2013
67,c,Inferring Gene Regulatory Networks from Time-Series Expressions Using Random Forests Ensemble.,"['D. A. K. Maduranga', 'Jie Zheng', 'Piyushkumar A. Mundra', 'Jagath C. Rajapakse']",PRIB,2013
68,c,Simultaneous Sample and Gene Selection Using T-score and Approximate Support Vectors.,"['Piyushkumar A. Mundra', 'Jagath C. Rajapakse', 'D. A. K. Maduranga']",PRIB,2013
69,c,Automated scoring of liver fibrosis through combined features from different collagen groups.,"['Shuoyu Xu', 'Dean Tai', 'Aileen Wee', 'Roy E. Welsch', 'Peter So', 'Hanry Yu', 'Jagath C. Rajapakse']",EMBC,2011
70,c,Staging tissues with conditional random fields.,"['Jagath C. Rajapakse', 'Song Liu']",EMBC,2011
71,c,Estimation of the population of neutrophils induced to differentiate from the MPRO mouse promyelocytic cell line.,"['Fransiskus Xaverius Ivan', 'Roy E. Welsch', 'Vincent T. K. Chow', 'Jagath C. Rajapakse']",EMBC,2011
72,c,Features for cells and nuclei classification.,"['Song Liu', 'Piyushkumar A. Mundra', 'Jagath C. Rajapakse']",EMBC,2011
73,c,Integration of Epigenetic Data in Bayesian Network Modeling of Gene Regulatory Network.,"['Jie Zheng', 'Iti Chaturvedi', 'Jagath C. Rajapakse']",PRIB,2011
74,c,Stability of Inferring Gene Regulatory Structure with Dynamic Bayesian Networks.,"['Jagath C. Rajapakse', 'Iti Chaturvedi']",PRIB,2011
75,c,Support vectors based correlation coefficient for gene and sample selection in cancer classification.,"['Piyushkumar A. Mundra', 'Jagath C. Rajapakse']",CIBCB,2010
76,c,Identifying Cells in Histopathological Images.,"['Jierong Cheng', 'Merlin Veronika', 'Jagath C. Rajapakse']",ICPR Contests,2010
77,c,Evolutionary approach to ICA-R.,"['Swathi Kavuri Sri', 'Jacek M. Zurada', 'Jagath C. Rajapakse']",IJCNN,2010
78,c,Complex ICA-R.,"['Jagath C. Rajapakse', 'Wenda Chen']",IJCNN,2010
79,c,Gene regulatory networks with variable-order dynamic Bayesian networks.,"['Jagath C. Rajapakse', 'Iti Chaturvedi']",IJCNN,2010
80,c,ListMotif: A time and memory efficient algorithm for weak motif discovery.,"['He Quan Sun', 'Malcolm Yoke Hean Low', 'Wen-Jing Hsu', 'Jagath C. Rajapakse']",ISKE,2010
81,c,Quantification of Cytoskeletal Protein Localization from High-Content Images.,"['Shiwen Zhu', 'Paul Matsudaira', 'Roy E. Welsch', 'Jagath C. Rajapakse']",PRIB,2010
82,c,F-score with Pareto Front Analysis for Multiclass Gene Selection.,"['Piyushkumar A. Mundra', 'Jagath C. Rajapakse']",EvoBIO,2009
83,c,Joint Tracking of Cell Morphology and Motion.,"['Jierong Cheng', 'Esther G. L. Koh', 'Sohail Ahmed', 'Jagath C. Rajapakse']",PRIB,2009
84,c,Di-codon Usage for Gene Classification.,"['Minh Ngoc Nguyen', 'Jianmin Ma', 'Gary B. Fogel', 'Jagath C. Rajapakse']",PRIB,2009
85,c,Extracting decision rules in prediction of protein secondary structure.,"['Minh Ngoc Nguyen', 'Jacek M. Zurada', 'Jagath C. Rajapakse']",BIBE,2008
86,c,Protein localization on cellular images with Markov random fields.,"['Song Liu', 'Jagath C. Rajapakse']",IJCNN,2008
87,c,Extracting EEG rhythms using ICA-R.,"['Swathi Kavuri Sri', 'Jagath C. Rajapakse']",IJCNN,2008
88,c,Support Vector Based T-Score for Gene Ranking.,"['Piyushkumar A. Mundra', 'Jagath C. Rajapakse']",PRIB,2008
89,c,Fusion of Gene Regulatory and Protein Interaction Networks Using Skip-Chain Models.,"['Iti Chaturvedi', 'Jagath C. Rajapakse']",PRIB,2008
90,c,Comparison of Human and Mouse Pseudogenes.,"['Pooja', 'Jagath C. Rajapakse']",CIBCB,2007
91,c,One-Versus-One and One-Versus-All Multiclass SVM-RFE for Gene Selection in Cancer Classification.,"['Kaibo Duan', 'Jagath C. Rajapakse', 'Minh Ngoc Nguyen']",EvoBIO,2007
92,c,Amino Acid Features for Prediction of Protein-Protein Interface Residues with Support Vector Machines.,"['Minh Ngoc Nguyen', 'Jagath C. Rajapakse', 'Kaibo Duan']",EvoBIO,2007
93,c,SVM-RFE with Relevancy and Redundancy Criteria for Gene Selection.,"['Piyushkumar A. Mundra', 'Jagath C. Rajapakse']",PRIB,2007
94,c,Validation of Gene Regulatory Networks from Protein-Protein Interaction Data: Application to Cell-Cycle Regulation.,"['Iti Chaturvedi', 'Meena K. Sakharkar', 'Jagath C. Rajapakse']",PRIB,2007
95,c,Time-Frequency Method Based Activation Detection in Functional MRI Time-Series.,"['Arun Kumar', 'Jagath C. Rajapakse']",PRIB,2007
96,c,Human Brain Anatomical Connectivity Analysis Using Sequential Sampling and Resampling.,"['Bo Zheng', 'Jagath C. Rajapakse']",PRIB,2007
97,c,Protein-Protein Interface Residue Prediction with SVM Using Evolutionary Profiles and Accessible Surface Areas.,"['Minh Ngoc Nguyen', 'Jagath C. Rajapakse']",CIBCB,2006
