,type,name,author,event,year
0,j,Unsupervised Word Translation with Adversarial Autoencoder.,"['Tasnim Mohiuddin', 'Shafiq R. Joty']",Comput. Linguistics,2020
1,j,Video captioning with boundary-aware hierarchical language decoding and joint video prediction.,"['Xiangxi Shi', 'Jianfei Cai', 'Jiuxiang Gu', 'Shafiq R. Joty']",Neurocomputing,2020
2,j,An Attention-based Rumor Detection Model with Tree-structured Recursive Neural Networks.,"['Jing Ma', 'Wei Gao', 'Shafiq R. Joty', 'Kam-Fai Wong']",ACM Trans. Intell. Syst. Technol.,2020
3,j,Modeling Speech Acts in Asynchronous Conversations: A Neural-CRF Approach.,"['Shafiq R. Joty', 'Tasnim Mohiuddin']",Comput. Linguistics,2018
4,j,Distributed Representations of Tuples for Entity Resolution.,"['Muhammad Ebraheem', 'Saravanan Thirumuruganathan', 'Shafiq R. Joty', 'Mourad Ouzzani', 'Nan Tang']",Proc. VLDB Endow.,2018
5,j,Discourse Structure in Machine Translation Evaluation.,"['Shafiq R. Joty', 'Francisco Guzmán', 'Lluís Màrquez', 'Preslav Nakov']",Comput. Linguistics,2017
6,j,Domain adaptation using neural network joint model.,"['Shafiq R. Joty', 'Nadir Durrani', 'Hassan Sajjad', 'Ahmed Abdelali']",Comput. Speech Lang.,2017
7,j,Machine translation evaluation with neural networks.,"['Francisco Guzmán', 'Shafiq R. Joty', 'Lluís Màrquez', 'Preslav Nakov']",Comput. Speech Lang.,2017
8,j,CODRA: A Novel Discriminative Framework for Rhetorical Analysis.,"['Shafiq R. Joty', 'Giuseppe Carenini', 'Raymond T. Ng']",Comput. Linguistics,2015
9,j,Topic Segmentation and Labeling in Asynchronous Conversations.,"['Shafiq R. Joty', 'Giuseppe Carenini', 'Raymond T. Ng']",J. Artif. Intell. Res.,2013
10,j,"Improving graph-based random walks for complex question answering using syntactic, shallow semantic and extended string subsequence kernels.","['Yllias Chali', 'Sadid A. Hasan', 'Shafiq R. Joty']",Inf. Process. Manag.,2011
11,j,Complex Question Answering: Unsupervised Learning Approaches and Experiments.,"['Yllias Chali', 'Shafiq R. Joty', 'Sadid A. Hasan']",J. Artif. Intell. Res.,2009
12,c,UNISON: Unpaired Cross-Lingual Image Captioning.,"['Jiahui Gao', 'Yi Zhou', 'Philip L. H. Yu', 'Shafiq R. Joty', 'Jiuxiang Gu']",AAAI,2022
13,c,Weakly Supervised Neuro-Symbolic Module Networks for Numerical Reasoning over Text.,"['Amrita Saha', 'Shafiq R. Joty', 'Steven C. H. Hoi']",AAAI,2022
14,c,GlobalWoZ: Globalizing MultiWoZ to Develop Multilingual Task-Oriented Dialogue Systems.,"['Bosheng Ding', 'Junjie Hu', 'Lidong Bing', 'Mahani Aljunied Mahani', 'Shafiq R. Joty', 'Luo Si', 'Chunyan Miao']",ACL (1),2022
15,c,ChartQA: A Benchmark for Question Answering about Charts with Visual and Logical Reasoning.,"['Ahmed Masry', 'Do Xuan Long', 'Jia Qing Tan', 'Shafiq R. Joty', 'Enamul Hoque']",ACL (Findings),2022
16,c,Continual Few-shot Relation Learning via Embedding Space Regularization and Data Augmentation.,"['Chengwei Qin', 'Shafiq R. Joty']",ACL (1),2022
