,type,name,author,event,year
0,j,"Graph representation learning in bioinformatics: trends, methods and applications.","['Hai-Cheng Yi', 'Zhu-Hong You', 'De-Shuang Huang', 'Chee Keong Kwoh']",Briefings Bioinform.,2022
1,j,A framework for predicting variable-length epitopes of human-adapted viruses using machine learning methods.,"['Rui Yin', 'Xianghe Zhu', 'Min Zeng', 'Pengfei Wu', 'Min Li', 'Chee Keong Kwoh']",Briefings Bioinform.,2022
2,j,Pre-training graph neural networks for link prediction in biomedical networks.,"['Yahui Long', 'Min Wu', 'Yong Liu', 'Yuan Fang', 'Chee Keong Kwoh', 'Jinmiao Chen', 'Jiawei Luo', 'Xiaoli Li']",Bioinform.,2022
3,j,An Efficient Multiresolution Clustering for Motif Discovery in Complex Networks.,"['Mahdi Pursalim', 'Kwoh Chee Keong']",IEEE ACM Trans. Comput. Biol. Bioinform.,2022
4,j,Conditional Contrastive Domain Generalization for Fault Diagnosis.,"['Mohamed Ragab', 'Zhenghua Chen', 'Wenyu Zhang', 'Emadeldeen Eldele', 'Min Wu', 'Chee Keong Kwoh', 'Xiaoli Li']",IEEE Trans. Instrum. Meas.,2022
5,j,DeepCPP: a deep neural network based on nucleotide bias information and minimum distribution similarity feature selection for RNA coding potential prediction.,"['Yu Zhang', 'Cangzhi Jia', 'Melissa Jane Fullwood', 'Chee Keong Kwoh']",Briefings Bioinform.,2021
6,j,Recent advances in network-based methods for disease gene prediction.,"['Sezin Kircali Ata', 'Min Wu', 'Yuan Fang', 'Le Ou-Yang', 'Chee Keong Kwoh', 'Xiaoli Li']",Briefings Bioinform.,2021
7,j,Predicting the interaction biomolecule types for lncRNA: an ensemble deep learning approach.,"['Yu Zhang', 'Cangzhi Jia', 'Chee Keong Kwoh']",Briefings Bioinform.,2021
8,j,Chromatin loop anchors predict transcript and exon usage.,"['Yu Zhang', 'Yichao Cai', 'Xavier Roca', 'Chee Keong Kwoh', 'Melissa Jane Fullwood']",Briefings Bioinform.,2021
9,j,VirPreNet: a weighted ensemble convolutional neural network for the virulence prediction of influenza A virus using all eight segments.,"['Rui Yin', 'Zihan Luo', 'Pei Zhuang', 'Zhuoyi Lin', 'Chee Keong Kwoh']",Bioinform.,2021
