,type,name,author,event,year
0,j,Multi-fold Correlation Attention Network for Predicting Traffic Speeds with Heterogeneous Frequency.,"['Yidan Sun', 'Guiyuan Jiang', 'Siew-Kei Lam', 'Peilan He', 'Fangxin Ning']",Appl. Soft Comput.,2022
1,j,ML-MMAS: Self-learning ant colony optimization for multi-criteria journey planning.,"['Peilan He', 'Guiyuan Jiang', 'Siew-Kei Lam', 'Yidan Sun']",Inf. Sci.,2022
2,j,Decoupled self-supervised label augmentation for fully-supervised image classification.,"['Wanshun Gao', 'Meiqing Wu', 'Siew-Kei Lam', 'Qihui Xia', 'Jianhua Zou']",Knowl. Based Syst.,2022
3,j,A Multi-Scale Attributes Attention Model for Transport Mode Identification.,"['Guiyuan Jiang', 'Siew-Kei Lam', 'Peilan He', 'Changhai Ou', 'Dihao Ai']",IEEE Trans. Intell. Transp. Syst.,2022
4,j,A Unified Multi-Task Learning Architecture for Fast and Accurate Pedestrian Detection.,"['Chengju Zhou', 'Meiqing Wu', 'Siew-Kei Lam']",IEEE Trans. Intell. Transp. Syst.,2022
5,j,Learning Traffic Network Embeddings for Predicting Congestion Propagation.,"['Yidan Sun', 'Guiyuan Jiang', 'Siew-Kei Lam', 'Peilan He']",IEEE Trans. Intell. Transp. Syst.,2022
6,j,Enhanced Multi-Task Learning Architecture for Detecting Pedestrian at Far Distance.,"['Chengju Zhou', 'Meiqing Wu', 'Siew-Kei Lam']",IEEE Trans. Intell. Transp. Syst.,2022
7,j,Passenger-centric vehicle routing for first-mile transportation considering request uncertainty.,"['Fangxin Ning', 'Guiyuan Jiang', 'Siew-Kei Lam', 'Changhai Ou', 'Peilan He', 'Yidan Sun']",Inf. Sci.,2021
8,j,ACSL: Adaptive correlation-driven sparsity learning for deep neural network compression.,"['He Wei', 'Meiqing Wu', 'Siew-Kei Lam']",Neural Networks,2021
9,j,SNR-Centric Power Trace Extractors for Side-Channel Attacks.,"['Changhai Ou', 'Siew-Kei Lam', 'Degang Sun', 'Xinping Zhou', 'Kexin Qiao', 'Qu Wang']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2021
10,j,The Science of Guessing in Collision-Optimized Divide-and-Conquer Attacks.,"['Changhai Ou', 'Siew-Kei Lam', 'Guiyuan Jiang']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2021
11,j,Information Entropy-Based Leakage Profiling.,"['Changhai Ou', 'Xinping Zhou', 'Siew-Kei Lam', 'Chengju Zhou', 'Fangxin Ning']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2021
12,j,Multiple-Differential Mechanism for Collision-Optimized Divide-and-Conquer Attacks.,"['Changhai Ou', 'Chengju Zhou', 'Siew-Kei Lam', 'Guiyuan Jiang']",IEEE Trans. Inf. Forensics Secur.,2021
13,j,Multiple-Choice Hardware/Software Partitioning for Tree Task-Graph on MPSoC.,"['Wenjun Shi', 'Jigang Wu', 'Guiyuan Jiang', 'Siew-Kei Lam']",Comput. J.,2020
14,j,Learning heterogeneous traffic patterns for travel time prediction of bus journeys.,"['Peilan He', 'Guiyuan Jiang', 'Siew-Kei Lam', 'Yidan Sun']",Inf. Sci.,2020
15,j,Improving accuracy of HPC-based malware classification for embedded platforms using gradient descent optimization.,"['Manaar Alam', 'Debdeep Mukhopadhyay', 'Sai Praveen Kadiyala', 'Siew-Kei Lam', 'Thambipillai Srikanthan']",J. Cryptogr. Eng.,2020
16,j,IROS 2019 Lifelong Robotic Vision: Object Recognition Challenge [Competitions].,"['Heechul Bae', 'Eoin Brophy', 'Rosa H. M. Chan', 'Baoquan Chen', 'Fan Feng', 'Gabriele Graffieti', 'Vidit Goel', 'Xinyue Hao', 'Hyonyoung Han', 'Sathursan Kanagarajah', 'Somesh Kumar', 'Siew-Kei Lam', 'Tin Lun Lam', 'Chuanlin Lan', 'Qi Liu', 'Vincenzo Lomonaco', 'Liang Ma', 'Davide Maltoni', 'German Ignacio Parisi', 'Lorenzo Pellegrini', 'Duvindu Piyasena', 'Shiliang Pu', 'Qi She', 'Debdoot Sheet', 'Soonyong Song', 'Youngsung Son', 'Zhengwei Wang', 'Tomas E. Ward', 'Jianwen Wu', 'Meiqing Wu', 'Di Xie', 'Yangsheng Xu', 'Lin Yang', 'Qihan Yang', 'Qiaoyong Zhong', 'Liguang Zhou']",IEEE Robotics Autom. Mag.,2020
17,j,A Lightweight Detection Algorithm For Collision-Optimized Divide-and-Conquer Attacks.,"['Changhai Ou', 'Siew-Kei Lam', 'Chengju Zhou', 'Guiyuan Jiang', 'Fan Zhang']",IEEE Trans. Computers,2020
18,j,A First Study of Compressive Sensing for Side-Channel Leakage Sampling.,"['Changhai Ou', 'Chengju Zhou', 'Siew-Kei Lam']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2020
19,j,Hardware Performance Counter-Based Fine-Grained Malware Detection.,"['Sai Praveen Kadiyala', 'Pranav Jadhav', 'Siew-Kei Lam', 'Thambipillai Srikanthan']",ACM Trans. Embed. Comput. Syst.,2020
20,j,Peak-Hour Vehicle Routing for First-Mile Transportation: Problem Formulation and Algorithms.,"['Guiyuan Jiang', 'Siew-Kei Lam', 'Fangxin Ning', 'Peilan He', 'Jidong Xie']",IEEE Trans. Intell. Transp. Syst.,2020
21,j,Group Cost-Sensitive BoostLR With Vector Form Decorrelated Filters for Pedestrian Detection.,"['Chengju Zhou', 'Meiqing Wu', 'Siew-Kei Lam']",IEEE Trans. Intell. Transp. Syst.,2020
22,j,Designing Energy-Efficient MPSoC with Untrustworthy 3PIP Cores.,"['Yidan Sun', 'Guiyuan Jiang', 'Siew-Kei Lam', 'Fangxin Ning']",IEEE Trans. Parallel Distributed Syst.,2020
23,j,Collaborative Task Offloading with Computation Result Reusing for Mobile Edge Computing.,"['Zikai Zhang', 'Jigang Wu', 'Long Chen', 'Guiyuan Jiang', 'Siew-Kei Lam']",Comput. J.,2019
24,j,Algorithms for Reconfiguring NoC-Based Fault-Tolerant Multiprocessor Arrays.,"['Jigang Wu', 'Yalan Wu', 'Guiyuan Jiang', 'Siew Kei Lam']",J. Circuits Syst. Comput.,2019
25,j,Data-path unrolling with logic folding for area-time-efficient FPGA-based FAST corner detector.,"['Siew-Kei Lam', 'Teck Chuan Lim', 'Meiqing Wu', 'Bin Cao', 'Bhavan A. Jasani']",J. Real Time Image Process.,2019
26,j,Area-Time Efficient Streaming Architecture for FAST and BRIEF Detector.,"['Siew-Kei Lam', 'Guiyuan Jiang', 'Meiqing Wu', 'Bin Cao']",IEEE Trans. Circuits Syst. II Express Briefs,2019
27,j,Travel-Time Prediction of Bus Journey With Multiple Bus Trips.,"['Peilan He', 'Guiyuan Jiang', 'Siew-Kei Lam', 'Dehua Tang']",IEEE Trans. Intell. Transp. Syst.,2019
28,j,High-Throughput and Area-Optimized Architecture for rBRIEF Feature Extraction.,"['Thinh Hung Pham', 'Phong Tran', 'Siew-Kei Lam']",IEEE Trans. Very Large Scale Integr. Syst.,2019
