,type,name,author,event,year
0,j,Revisiting hash join on graphics processors: a decade later.,"['Johns Paul', 'Bingsheng He', 'Shengliang Lu', 'Chiew Tong Lau']",Distributed Parallel Databases,2020
1,j,Improving Execution Efficiency of Just-in-time Compilation based Query Processing on GPUs.,"['Johns Paul', 'Bingsheng He', 'Shengliang Lu', 'Chiew Tong Lau']",Proc. VLDB Endow.,2020
2,j,Power spectrum entropy based detection and mitigation of low-rate DoS attacks.,"['Zhaomin Chen', 'Chai Kiat Yeo', 'Bu-Sung Lee', 'Chiew Tong Lau']",Comput. Networks,2018
3,j,Leveraging social media news to predict stock index movement using RNN-boost.,"['Weiling Chen', 'Chai Kiat Yeo', 'Chiew Tong Lau', 'Bu-Sung Lee']",Data Knowl. Eng.,2018
4,j,Evolutionary multi-objective optimization based ensemble autoencoders for image outlier detection.,"['Zhaomin Chen', 'Chai Kiat Yeo', 'Bu-Sung Lee', 'Chiew Tong Lau', 'Yaochu Jin']",Neurocomputing,2018
5,j,Many-core needs fine-grained scheduling: A case study of query processing on Intel Xeon Phi processors.,"['Xuntao Cheng', 'Bingsheng He', 'Mian Lu', 'Chiew Tong Lau']",J. Parallel Distributed Comput.,2018
6,j,Unsupervised rumor detection based on users' behaviors using neural networks.,"['Weiling Chen', 'Yan Zhang', 'Chai Kiat Yeo', 'Chiew Tong Lau', 'Bu-Sung Lee']",Pattern Recognit. Lett.,2018
7,j,Detection of network anomalies using Improved-MSPCA with sketches.,"['Zhaomin Chen', 'Chai Kiat Yeo', 'Bu-Sung Lee', 'Chiew Tong Lau']",Comput. Secur.,2017
8,j,A Declarative Optimization Engine for Resource Provisioning of Scientific Workflows in Geo-Distributed Clouds.,"['Amelie Chi Zhou', 'Bingsheng He', 'Xuntao Cheng', 'Chiew Tong Lau']",IEEE Trans. Parallel Distributed Syst.,2017
9,j,Performance evaluation of cyber reconnaissance tools.,"['Ha-Thanh Le', 'Peter Loh', 'Chiew Tong Lau']",Int. J. Inf. Priv. Secur. Integr.,2016
10,j,A Channel Allocation Based Self-Coexistence Scheme for Homogeneous Ad-Hoc Networks.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",IEEE Wirel. Commun. Lett.,2015
11,j,TQCR-media access control: two-level quality of service provisioning media access control protocol for cognitive radio network.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan', 'Jimson Mathew']",IET Networks,2014
12,j,A Long-Term Reference Frame for Hierarchical B-Picture-Based Video Coding.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",IEEE Trans. Circuits Syst. Video Technol.,2014
13,j,Video coding with dynamic background.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",EURASIP J. Adv. Signal Process.,2013
14,j,Pattern-based video coding with dynamic background modeling.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",EURASIP J. Adv. Signal Process.,2013
15,j,Energy Aware Spectrum Decision Framework for Cognitive Radio Network: A Spectrum Decision Framework for Cognitive Radio Network with Energy Awareness.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan', 'Jimson Mathew']",J. Low Power Electron.,2013
16,j,Reconfigurable Channel Selection Technique for Cognitive Radio Network With Heterogeneous Primary Bands.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",IEEE Trans. Veh. Technol.,2013
17,j,On the exact expression for single-stage CSMA/CA's idle period distribution.,"['Raymond J. Jayabal', 'Chiew Tong Lau']",Comput. Math. Appl.,2012
18,j,Multi-user Interference and Cross Correlation Effects of Spline Multiwavelet based Cognitive Radio Network.,"['Mathew Manju', 'A. Benjamin Premkumar', 'Chiew Tong Lau']",J. Commun.,2012
19,j,Low-Complexity Video Coding Based on Two-Dimensional Singular Value Decomposition.,"['Zhouye Gu', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau']",IEEE Trans. Image Process.,2012
20,j,Mode-Dependent Templates and Scan Order for H.264/AVC-Based Intra Lossless Coding.,"['Zhouye Gu', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau', 'Ming-Ting Sun']",IEEE Trans. Image Process.,2012
21,j,Rotated Orthogonal Transform (ROT) for Motion-Compensation Residual Coding.,"['Zhouye Gu', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau']",IEEE Trans. Image Process.,2012
22,j,Bottom-Up Saliency Detection Model Based on Human Visual Sensitivity and Amplitude Spectrum.,"['Yuming Fang', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau', 'Zhenzhong Chen', 'Chia-Wen Lin']",IEEE Trans. Multim.,2012
23,j,Robust Image Coding Based Upon Compressive Sensing.,"['Chenwei Deng', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau']",IEEE Trans. Multim.,2012
24,j,"Performance analysis, parameter selection and extensions to H.264/AVC FRExt for high resolution video coding.","['Chenwei Deng', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau', 'Ming-Ting Sun']",J. Vis. Commun. Image Represent.,2011
25,j,Explore and Model Better I-Frames for Video Coding.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",IEEE Trans. Circuits Syst. Video Technol.,2011
26,j,Direct Intermode Selection for H.264 Video Coding Using Phase Correlation.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",IEEE Trans. Image Process.,2011
27,j,A Generalization of Shift-Window Approach for UWB ISI Reduction.,"['Wilson-Chandra Tjhi', 'Chiew Tong Lau', 'A. Benjamin Premkumar']",IEEE Commun. Lett.,2010
28,j,Traffic scheduling mechanism based on graph theory for Power Saving mode of IEEE 802.11 distributed coordinator function.,"['M. H. Ye', 'Chiew Tong Lau', 'A. Benjamin Premkumar']",Int. J. Ad Hoc Ubiquitous Comput.,2009
29,j,A New Discriminative Common Spatial Pattern Method for Motor Imagery Brain-Computer Interfaces.,"['Kavitha P. Thomas', 'Cuntai Guan', 'Chiew Tong Lau', 'A. Prasad Vinod', 'Kai Keng Ang']",IEEE Trans. Biomed. Eng.,2009
30,j,Improving WLAN VoIP Capacity Through Service Differentiation.,"['Deyun Gao', 'Jianfei Cai', 'Chuan Heng Foh', 'Chiew Tong Lau', 'King Ngi Ngan']",IEEE Trans. Veh. Technol.,2008
31,j,A Power-Efficient Access Point Operation for Infrastructure Basic Service Set in IEEE 802.11 MAC Protocol.,"['Ye Ming Hua', 'Chiew Tong Lau', 'A. Benjamin Premkumar']",EURASIP J. Wirel. Commun. Netw.,2006
32,j,An enhancement of TCP Veno over light-load wireless networks.,"['Bin Zhou', 'Cheng Peng Fu', 'Ke Zhang', 'Chiew Tong Lau', 'Chuan Heng Foh']",IEEE Commun. Lett.,2006
33,j,A modified power saving mode in IEEE 802.11 distributed coordinator function.,"['Minghua Ye', 'Chiew Tong Lau', 'A. Benjamin Premkumar']",Comput. Commun.,2005
34,j,New implementation techniques of an efficient MPEG advanced audio coder.,"['Evelyn Kurniawati', 'Chiew Tong Lau', 'A. Benjamin Premkumar', 'Javed Absar', 'Sapna George']",IEEE Trans. Consumer Electron.,2004
35,j,On optimizing route discovery of topology-based on-demand routing protocols for ad hoc networks.,"['Boon-Chong Seet', 'Bu-Sung Lee', 'Chiew Tong Lau']",J. Commun. Networks,2003
36,j,MAC units for matched filters in DS-CDMA systems.,"['A. Benjamin Premkumar', 'A. S. Madhukumar', 'Chiew Tong Lau']",IEEE Trans. Broadcast.,2002
37,j,Towards an open protocol for secure online presence notification.,"['Alvis Cheuk M. Fong', 'Siu Cheung Hui', 'Chiew Tong Lau']",Comput. Stand. Interfaces,2001
38,j,Wireless messaging services for mobile users.,"['David Hua Min Tan', 'Siu Cheung Hui', 'Chiew Tong Lau']",J. Netw. Comput. Appl.,2001
39,j,A unified messaging system on the Internet.,"['Chai Kiat Yeo', 'Siu Cheung Hui', 'Ing Yann Soon', 'Chiew Tong Lau']",Microprocess. Microsystems,2001
40,j,Power LAN MIB for management of intelligent telecommunication equipment.,"['Bu-Sung Lee', 'Chiew Tong Lau', 'Nicholas C. H. Vun']",J. Netw. Comput. Appl.,2000
41,j,Lossless compression of multispectral satellite images.,"['Chai Kiat Yeo', 'Ing Yann Soon', 'Chiew Tong Lau']",J. Commun. Networks,1999
42,j,Capture models for mobile packet radio networks.,"['Chiew Tong Lau', 'Cyril Leung']",IEEE Trans. Commun.,1992
43,j,Antenna selection in a multisector packet radio system.,"['Chiew Tong Lau', 'Cyril Leung']",IEEE Trans. Commun.,1991
44,j,Performance Analysis of a Memory ARQ Scheme with Soft Decision Detectors.,"['Chiew Tong Lau', 'Cyril Leung']",IEEE Trans. Commun.,1986
45,c,MG-Join: A Scalable Join for Massively Parallel Multi-GPU Architectures.,"['Johns Paul', 'Shengliang Lu', 'Bingsheng He', 'Chiew Tong Lau']",SIGMOD Conference,2021
46,c,Deep learning with long short-term memory networks for classification of dementia related travel patterns.,"['Nhu Khue Vuong', 'Yong Liu', 'Syin Chan', 'Chiew Tong Lau', 'Zhenghua Chen', 'Min Wu', 'Xiaoli Li']",EMBC,2020
47,c,Revisiting Hash Join on Graphics Processors: A Decade Later.,"['Johns Paul', 'Bingsheng He', 'Shengliang Lu', 'Chiew Tong Lau']",ICDE Workshops,2019
48,c,Query Processing on OpenCL-Based FPGAs: Challenges and Opportunities.,"['Johns Paul', 'Bingsheng He', 'Chiew Tong Lau']",ICPADS,2018
49,c,Exploiting Behavioral Differences to Detect Fake Ne.,"['Weiling Chen', 'Chenyan Yang', 'Gibson Cheng', 'Yan Zhang', 'Chai Kiat Yeo', 'Chiew Tong Lau', 'Bu-Sung Lee']",UEMCON,2018
50,c,Autoencoder-based network anomaly detection.,"['Zhaomin Chen', 'Chai Kiat Yeo', 'Bu-Sung Lee', 'Chiew Tong Lau']",WTS,2018
51,c,A Study of Main-Memory Hash Joins on Many-core Processor: A Case with Intel Knights Landing Architecture.,"['Xuntao Cheng', 'Bingsheng He', 'Xiaoli Du', 'Chiew Tong Lau']",CIKM,2017
52,c,A Framework of Real-time Wandering Management for Person with Dementia.,"['Ashish Kumar', 'Maode Ma', 'Chiew Tong Lau', 'Syin Chan']",ICCMS,2017
53,c,Multi-objective Optimizations in Geo-Distributed Data Analytics Systems.,"['Zhaojie Niu', 'Bingsheng He', 'Amelie Chi Zhou', 'Chiew Tong Lau']",ICPADS,2017
54,c,A novel anomaly detection system using feature-based MSPCA with sketch.,"['Zhaomin Chen', 'Chai Kiat Yeo', 'Bu-Sung Lee', 'Chiew Tong Lau']",WOCC,2017
55,c,A unified grid-based wandering pattern detection algorithm.,"['Ashish Kumar', 'Chiew Tong Lau', 'Syin Chan', 'Maode Ma', 'William D. Kearns']",EMBC,2016
56,c,Efficient Query Processing on Many-core Architectures: A Case Study with Intel Xeon Phi Processor.,"['Xuntao Cheng', 'Bingsheng He', 'Mian Lu', 'Chiew Tong Lau', 'Huynh Phung Huynh', 'Rick Siow Mong Goh']",SIGMOD Conference,2016
57,c,Energy-Efficient Query Processing on Embedded CPU-GPU Architectures.,"['Xuntao Cheng', 'Bingsheng He', 'Chiew Tong Lau']",DaMoN,2015
58,c,Preliminary results of using inertial sensors to detect dementia- related wandering patterns.,"['Nhu Khue Vuong', 'Syin Chan', 'Chiew Tong Lau', 'Stephen Yew Wei Chan', 'Philip Lin Kiat Yap', 'S. H. Annabel Chen']",EMBC,2015
59,c,A Declarative Optimization Engine for Resource Provisioning of Scientific Workflows in IaaS Clouds.,"['Amelie Chi Zhou', 'Bingsheng He', 'Xuntao Cheng', 'Chiew Tong Lau']",HPDC,2015
60,c,A MSPCA based intrusion detection algorithm tor detection of DDoS attack.,"['Zhaomin Chen', 'Chai Kiat Yeo', 'Francis Bu-Sung Lee', 'Chiew Tong Lau']",ICCC,2015
61,c,Deterministic time pattern based channel selection in cognitive Radio network.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chen']",ICOIN,2013
62,c,Distributed contention based MAC protocol for cognitive radio networks with QoS provisioning.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",ICON,2013
63,c,QoS provisioning self co-existence protocol for cognitive radio ad-hoc networks.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",ICON,2013
64,c,A QoS provisioning MAC protocol for Cognitive Radio Network.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",ICSPCS,2013
65,c,An extended information PF for wideband acoustic source tracking using a distributed AVS array.,"['Xionghu Zhong', 'A. Benjamin Premkumar', 'Chiew Tong Lau']",EUSIPCO,2012
66,c,QoS based spectrum decision framework for cognitive radio networks.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",ICON,2012
67,c,Energy Aware Spectrum Decision Framework for Cognitive Radio Networks.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan', 'Ashish Kumar']",ISED,2012
68,c,The Idle Period Distribution for CSMA/CA Networks for Spectrum Sensing Applications.,"['Raymond J. Jayabal', 'Chiew Tong Lau']",VTC Spring,2012
69,c,A Throughput Model for CSMA/CA with a Cross-Layer Payload-Dropping Optimization.,"['Raymond J. Jayabal', 'Chiew Tong Lau']",VTC Spring,2012
70,c,A visual attention model combining top-down and bottom-up mechanisms for salient object detection.,"['Yuming Fang', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",ICASSP,2011
71,c,McFIS in hierarchical bipredictve pictures-based video coding for referencing the stable area in a scene.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",ICIP,2011
72,c,Multi-modality likelihood based particle filtering for 2-D direction of arrival tracking using a single acoustic vector sensor.,"['Xionghu Zhong', 'A. Benjamin Premkumar', 'A. S. Madhukumar', 'Chiew Tong Lau']",ICME,2011
73,c,MAC Protocol for Two Level QoS Support in Cognitive Radio Network.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan', 'Jimson Mathew']",ISED,2011
74,c,Adaptive Orthogonal Transform for Motion Compensation Residual in Video Compression.,"['Zhouye Gu', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau']",MMM (1),2011
75,c,Bottom-Up Saliency Detection Model Based on Amplitude Spectrum.,"['Yuming Fang', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau', 'Chia-Wen Lin']",MMM (1),2011
76,c,Feasibility study of a real-time wandering detection algorithm for dementia patients.,"['Nhu Khue Vuong', 'Syin Chan', 'Chiew Tong Lau', 'K. M. Lau']",MobileHealth@MobiHoc,2011
77,c,Video coding using the most common frame in scene.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",ICASSP,2010
78,c,Two dimensional Singular Value Decomposition (2D-SVD) based video coding.,"['Zhouye Gu', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau', 'Manoranjan Paul']",ICIP,2010
79,c,Comparison between H.264/AVC and Motion jpeg2000 for super-high definition video coding.,"['Chenwei Deng', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau', 'Manoranjan Paul']",ICIP,2010
80,c,Pattern based video coding with uncovered background.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",ICIP,2010
