,type,name,author,event,year
0,j,Numerical Study of the Aerodynamic Interference of Rotors Imposed on Fuselage for a Quadcopter.,"['Yifei Zhu', 'Defu Lin', 'Li Mo', 'Peijian Lv', 'Jianchuan Ye']",IEEE Access,2021
1,j,Risks Analysis of Discarding Water in Power Generation Process of Hydropower Station.,"['Guangbiao Liu', 'Jianzhong Zhou', 'Yuqi Yang', 'Shenglin Ke', 'Li Mo', 'Yongqiang Wang', 'Xiaogang Xiao']",IEEE Access,2020
2,j,Fuzzy Reliability Assessment of Safety Instrumented Systems Accounting for Common Cause Failure.,"['HongPing Yu', 'Yue Zhao', 'Li Mo']",IEEE Access,2020
3,j,Multiobjective Reservoir Operation Optimization Using Improved Multiobjective Dynamic Programming Based on Reference Lines.,"['Zhongzheng He', 'Jianzhong Zhou', 'Li Mo', 'Hui Qin', 'Xiaogang Xiao', 'Benjun Jia', 'Chao Wang']",IEEE Access,2019
4,j,Operation Rules Optimization of Cascade Reservoirs Based on Multi-Objective Tangent Algorithm.,"['Jie Li', 'Longjun Zhu', 'Hui Qin', 'Zhendong Zhang', 'Liqiang Yao', 'Eid Gul', 'Zhiqiang Jiang', 'Yongqiang Wang', 'Li Mo', 'Shaoqian Pei']",IEEE Access,2019
5,j,A region search evolutionary algorithm for many-objective optimization.,"['Yongqi Liu', 'Hui Qin', 'Zhendong Zhang', 'Liqiang Yao', 'Chao Wang', 'Li Mo', 'Shuo Ouyang', 'Jie Li']",Inf. Sci.,2019
6,j,A Gradient-Based Cuckoo Search Algorithm for a Reservoir-Generation Scheduling Problem.,"['Yu Feng', 'Jianzhong Zhou', 'Li Mo', 'Chao Wang', 'Zhe Yuan', 'Jiang Wu']",Algorithms,2018
7,j,A novel model-based multi-objective evolutionary algorithm.,"['Maocai Wang', 'Guangming Dai', 'Lei Peng', 'Zhiming Song', 'Li Mo']",Int. J. Comput. Sci. Math.,2016
8,j,A TFN-ANP based approach to evaluate Virtual Research Center comprehensive performance.,"['Zhimeng Luo', 'Jianzhong Zhou', 'Li-ping Zheng', 'Li Mo', 'Yaoyao He']",Expert Syst. Appl.,2010
9,j,Improved algorithm about NSFOT.,"['Xiuqiao Xiang', 'Jianzhong Zhou', 'Li Mo', 'Zhimeng Luo', 'Chaoshun Li']",Appl. Math. Comput.,2009
10,j,Adaptive pole placement control of MIMO systems.,"['Li Mo', 'Mohamed M. Bayoumi']",IEEE Trans. Autom. Control.,1993
11,c,DOMA: Deep Smooth Trajectory Generation Learning for Real-Time UAV Motion Planning.,"['Jin Yu', 'Haiyin Piao', 'Yaqing Hou', 'Li Mo', 'Xin Yang', 'Deyun Zhou']",ICAPS,2022
12,c,ZTE 5G Transport Solution and Joint Field Trials with Global Operators.,"['Li Mo', 'WeiQiang Cheng', 'Luis M. Contreras']",OFC,2019
13,c,The RM-MEDA Based on Elitist Strategy.,"['Li Mo', 'Guangming Dai', 'Jiankai Zhu']",ISICA (1),2010
14,c,Electricity Price Direct Discount Model of Power Supply Chain Based on Pareto Optimization.,"['Jingsong Zhang', 'Jianzhong Zhou', 'Li Mo', 'Qingqing Li', 'Hui Qin']",CSO (2),2009
15,c,Flood Disaster Classification Based on Fuzzy Clustering Iterative Model and Modified Differential Evolution Algorithm.,"['Yaoyao He', 'Jianzhong Zhou', 'Hui Qin', 'Li Mo', 'Pangao Kou']",FSKD (3),2009
16,c,Three-win Strategies of Generation Rights Trade with Employment Participation of Exchange Center.,"['Li Mo', 'Jianzhong Zhou', 'Qingqing Li', 'Yongchuan Zhang']",ICNC (6),2008
17,c,Forecasting Electricity Market Price Spikes Based on Bayesian Expert with Support Vector Machines.,"['Wei Wu', 'Jianzhong Zhou', 'Li Mo', 'Chengjun Zhu']",ADMA,2006
