,type,name,author,event,year
0,j,Water Content Estimation in Thermal Insulation Layer Using Millimeter-Wave Optical Coherence Tomography.,"['Yushi Tamenori', 'Haruka Tokunaga', 'Li Yi', 'Tadao Nagatsuma']",IEICE Trans. Electron.,2022
1,j,"Game-Based Trust in Complex Networks: Past, Present, and Future.","['Li Yi', 'Weidong Fang', 'Wuxiong Zhang', 'Weiwei Gao', 'Baoqing Li']",Complex.,2021
2,j,Fiducial inference for gamma distributions: two-sample problems.,"['Xiao Wang', 'Chenchen Zou', 'Li Yi', 'Juan Wang', 'Xinmin Li']",Commun. Stat. Simul. Comput.,2021
3,j,Subsurface Velocity Change Estimation of Pavement with Multistatic GPR System.,"['Kazutaka Kikuta', 'Li Yi', 'Lilong Zou', 'Motoyuki Sato']",IEICE Trans. Electron.,2021
4,j,On the Use of Lateral Wave for the Interlayer Debonding Detecting in an Asphalt Airport Pavement Using a Multistatic GPR System.,"['Lilong Zou', 'Li Yi', 'Motoyuki Sato']",IEEE Trans. Geosci. Remote. Sens.,2020
5,j,Could social robots facilitate children with autism spectrum disorders in learning distrust and deception?,"['Yaoxin Zhang', 'Wenxu Song', 'Zhenlin Tan', 'Huilin Zhu', 'Yuyin Wang', 'Cheuk Man Lam', 'Yifang Weng', 'Sio Pan Hoi', 'Haoyang Lu', 'Bella Siu Man Chan', 'Jiajia Chen', 'Li Yi']",Comput. Hum. Behav.,2019
6,j,A generic framework for editing and synthesizing multimodal data with relative emotion strength.,"['Jacky C. P. Chan', 'Hubert P. H. Shum', 'He Wang', 'Li Yi', 'Wei Wei', 'Edmond S. L. Ho']",Comput. Animat. Virtual Worlds,2019
7,j,Filtering out Antenna Effects From GPR Data by an RBF Neural Network.,"['Jingwei Zhang', 'Shengbo Ye', 'Hai Liu', 'Li Yi', 'Guangyou Fang']",IEEE Geosci. Remote. Sens. Lett.,2019
8,j,Assessing autism at its social and developmental roots: A review of Autism Spectrum Disorder studies using functional near-infrared spectroscopy.,"['Tao Liu', 'Xingchen Liu', 'Li Yi', 'Chaozhe Zhu', 'Patrick S. Markey', 'Matthew Pelowski']",NeuroImage,2019
9,j,Autistic traits influence the strategic diversity of information sampling: Insights from two-stage decision models.,"['Haoyang Lu', 'Li Yi', 'Hang Zhang']",PLoS Comput. Biol.,2019
10,j,StructureNet: hierarchical graph networks for 3D shape generation.,"['Kaichun Mo', 'Paul Guerrero', 'Li Yi', 'Hao Su', 'Peter Wonka', 'Niloy J. Mitra', 'Leonidas J. Guibas']",ACM Trans. Graph.,2019
11,j,Practical Approach for High-Resolution Airport Pavement Inspection with the Yakumo Multistatic Array Ground-Penetrating Radar System.,"['Li Yi', 'Lilong Zou', 'Motoyuki Sato']",Sensors,2018
12,j,A Hybrid Method Applied to Improve the Efficiency of Full-Waveform Inversion for Pavement Characterization.,"['Jingwei Zhang', 'Shengbo Ye', 'Li Yi', 'Yuquan Lin', 'Hai Liu', 'Guangyou Fang']",Sensors,2018
13,j,High-Resolution Velocity Analysis Method Using the ℓ-1 Norm Regularized Least-Squares Method for Pavement Inspection.,"['Li Yi', 'Lilong Zou', 'Kazunori Takahashi', 'Motoyuki Sato']",IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.,2018
14,j,Near Range Radar Imaging Based on Block Sparsity and Cross-Correlation Fusion Algorithm.,"['Weike Feng', 'Li Yi', 'Motoyuki Sato']",IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.,2018
15,j,Deep part induction from articulated object pairs.,"['Li Yi', 'Haibin Huang', 'Difan Liu', 'Evangelos Kalogerakis', 'Hao Su', 'Leonidas J. Guibas']",ACM Trans. Graph.,2018
16,j,A Low VSWR and High Efficiency Waveguide Feed Antenna Array.,"['Zhao Xiao-Fang', 'Liu Hua-Zhu', 'Li Yi', 'Shi-Gang Zhou', 'Chow-Yen-Desmond Sim']",Wirel. Commun. Mob. Comput.,2018
17,j,An evolutionary classifier for steel surface defects with small sample set.,"['Mang Xiao', 'Mingming Jiang', 'Guangyao Li', 'Li Xie', 'Li Yi']",EURASIP J. Image Video Process.,2017
18,j,Learning hierarchical shape segmentation and labeling from online repositories.,"['Li Yi', 'Leonidas J. Guibas', 'Aaron Hertzmann', 'Vladimir G. Kim', 'Hao Su', 'Ersin Yumer']",ACM Trans. Graph.,2017
19,j,HMMCCN: a hierarchical mobility management scheme for content-centric networking.,"['Fei Ren', 'Huachun Zhou', 'Li Yi', 'Yajuan Qin', 'Hongke Zhang']",Int. J. Ad Hoc Ubiquitous Comput.,2016
20,j,Optical Thickness and Effective Radius Retrievals of Low Stratus and Fog from MTSAT Daytime Data as a Prerequisite for Yellow Sea Fog Detection.,"['Li Yi', 'Boris Thies', 'Suping Zhang', 'Xiaomeng Shi', 'Jörg Bendix']",Remote. Sens.,2016
21,j,A Fast Iterative Interpolation Method in f-k Domain for 3-D Irregularly Sampled GPR Data.,"['Li Yi', 'Kazunori Takahashi', 'Motoyuki Sato']",IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.,2016
