,type,name,author,event,year
0,j,A Survey of Smart Contract Formal Specification and Verification.,"['Palina Tolmach', 'Yi Li', 'Shangwei Lin', 'Yang Liu', 'Zengxiang Li']",ACM Comput. Surv.,2022
1,j,A Quantum interpretation of separating conjunction for local reasoning of Quantum programs based on separation logic.,"['Xuan-Bach Le', 'Shang-Wei Lin', 'Jun Sun', 'David Sanán']",Proc. ACM Program. Lang.,2022
2,j,Oracle-Supported Dynamic Exploit Generation for Smart Contracts.,"['Haijun Wang', 'Ye Liu', 'Yi Li', 'Shangwei Lin', 'Cyrille Artho', 'Lei Ma', 'Yang Liu']",IEEE Trans. Dependable Secur. Comput.,2022
3,j,Pasadena: Perceptually Aware and Stealthy Adversarial Denoise Attack.,"['Yupeng Cheng', 'Qing Guo', 'Felix Juefei-Xu', 'Shang-Wei Lin', 'Wei Feng', 'Weisi Lin', 'Yang Liu']",IEEE Trans. Multim.,2022
4,j,A security type verifier for smart contracts.,"['Xinwen Hu', 'Yi Zhuang', 'Shangwei Lin', 'Fuyuan Zhang', 'Shuanglong Kan', 'Zining Cao']",Comput. Secur.,2021
5,j,A Performance-Sensitive Malware Detection System Using Deep Learning on Mobile Devices.,"['Ruitao Feng', 'Sen Chen', 'Xiaofei Xie', 'Guozhu Meng', 'Shang-Wei Lin', 'Yang Liu']",IEEE Trans. Inf. Forensics Secur.,2021
6,j,CSim,"['David Sanán', 'Yongwang Zhao', 'Shang-Wei Lin', 'Yang Liu']",ACM Trans. Program. Lang. Syst.,2021
7,j,A distributed method to avoid higher-order deadlocks in multi-robot systems.,"['Yuan Zhou', 'Hesuan Hu', 'Yang Liu', 'Shang-Wei Lin', 'Zuohua Ding']",Autom.,2020
8,j,A Real-Time and Fully Distributed Approach to Motion Planning for Multirobot Systems.,"['Yuan Zhou', 'Hesuan Hu', 'Yang Liu', 'Shang-Wei Lin', 'Zuohua Ding']",IEEE Trans. Syst. Man Cybern. Syst.,2019
9,j,A distributed approach to robust control of multi-robot systems.,"['Yuan Zhou', 'Hesuan Hu', 'Yang Liu', 'Shang-Wei Lin', 'Zuohua Ding']",Autom.,2018
10,j,APIReal: an API recognition and linking approach for online developer forums.,"['Deheng Ye', 'Lingfeng Bao', 'Zhenchang Xing', 'Shang-Wei Lin']",Empir. Softw. Eng.,2018
11,j,The language preservation problem is undecidable for parametric event-recording automata.,"['Étienne André', 'Shang-Wei Lin']",Inf. Process. Lett.,2018
12,j,From verified model to executable program: the PAT approach.,"['Huiquan Zhu', 'Jing Sun', 'Jin Song Dong', 'Shang-Wei Lin']",Innov. Syst. Softw. Eng.,2016
13,j,Learning Assumptions for CompositionalVerification of Timed Systems.,"['Shang-Wei Lin', 'Étienne André', 'Yang Liu', 'Jun Sun', 'Jin Song Dong']",IEEE Trans. Software Eng.,2014
14,j,Model Checking Prioritized Timed Systems.,"['Shang-Wei Lin', 'Pao-Ann Hsiung']",IEEE Trans. Computers,2012
15,j,VERTAF/Multi-Core: A SysML-Based Application Framework for Multi-Core Embedded Software Development.,"['Chao-Sheng Lin', 'Chun-Hsien Lu', 'Shang-Wei Lin', 'Yean-Ru Chen', 'Pao-Ann Hsiung']",J. Comput. Sci. Technol.,2011
16,j,Counterexample-Guided Assume-Guarantee Synthesis through Learning.,"['Shang-Wei Lin', 'Pao-Ann Hsiung']",IEEE Trans. Computers,2011
17,j,Real-Time Embedded Software Design for Mobile and Ubiquitous Systems.,"['Pao-Ann Hsiung', 'Shang-Wei Lin', 'Chao-Sheng Lin']",J. Signal Process. Syst.,2010
18,j,Modeling and verification of real-time embedded systems with urgency.,"['Pao-Ann Hsiung', 'Shang-Wei Lin', 'Yean-Ru Chen', 'Chun-Hsian Huang', 'Chihhsiong Shih', 'William C. Chu']",J. Syst. Softw.,2009
19,j,Automatic synthesis and verification of real-time embedded software for mobile and ubiquitous systems.,"['Pao-Ann Hsiung', 'Shang-Wei Lin']",Comput. Lang. Syst. Struct.,2008
20,j,VERTAF: An Application Framework for the Design and Verification of Embedded Real-Time Software.,"['Pao-Ann Hsiung', 'Shang-Wei Lin', 'Chih-Hao Tseng', 'Trong-Yen Lee', 'Jih-Ming Fu', 'Win-Bin See']",IEEE Trans. Software Eng.,2004
21,c,Finding permission bugs in smart contracts with role mining.,"['Ye Liu', 'Yi Li', 'Shang-Wei Lin', 'Cyrille Artho']",ISSTA,2022
22,c,Formal Analysis of Composable DeFi Protocols.,"['Palina Tolmach', 'Yi Li', 'Shang-Wei Lin', 'Yang Liu']",Financial Cryptography Workshops,2021
23,c,Automatic HMI Structure Exploration Via Curiosity-Based Reinforcement Learning.,"['Yushi Cao', 'Yan Zheng', 'Shang-Wei Lin', 'Yang Liu', 'Yon Shin Teo', 'Yuxuan Toh', 'Vinay Vishnumurthy Adiga']",ASE,2021
24,c,A Generalized Formal Semantic Framework for Smart Contracts.,"['Jiao Jiao', 'Shang-Wei Lin', 'Jun Sun']",FASE,2020
25,c,Automatic Verification of Multi-threaded Programs by Inference of Rely-Guarantee Specifications.,"['Xuan-Bach Le', 'David Sanán', 'Jun Sun', 'Shang-Wei Lin']",ICECCS,2020
26,c,SeqMobile: An Efficient Sequence-Based Malware Detection System Using RNN on Mobile Devices.,"['Ruitao Feng', 'Jing Qiang Lim', 'Sen Chen', 'Shang-Wei Lin', 'Yang Liu']",ICECCS,2020
27,c,Defense for adversarial videos by self-adaptive JPEG compression and optical texture.,"['Yupeng Cheng', 'Xingxing Wei', 'Huazhu Fu', 'Shang-Wei Lin', 'Weisi Lin']",MMAsia,2020
28,c,Towards automated verification of smart contract fairness.,"['Ye Liu', 'Yi Li', 'Shang-Wei Lin', 'Rong Zhao']",ESEC/SIGSOFT FSE,2020
29,c,ModCon: a model-based testing platform for smart contracts.,"['Ye Liu', 'Yi Li', 'Shang-Wei Lin', 'Qiang Yan']",ESEC/SIGSOFT FSE,2020
30,c,Semantic Understanding of Smart Contracts: Executable Operational Semantics of Solidity.,"['Jiao Jiao', 'Shuanglong Kan', 'Shang-Wei Lin', 'David Sanán', 'Yang Liu', 'Jun Sun']",IEEE Symposium on Security and Privacy,2020
31,c,MobiDroid: A Performance-Sensitive Malware Detection System on Mobile Platform.,"['Ruitao Feng', 'Sen Chen', 'Xiaofei Xie', 'Lei Ma', 'Guozhu Meng', 'Yang Liu', 'Shang-Wei Lin']",ICECCS,2019
32,c,A Performance-Sensitive Malware Detection System on Mobile Platform.,"['Ruitao Feng', 'Yang Liu', 'Shangwei Lin']",ICFEM,2019
33,c,Vultron: catching vulnerable smart contracts once and for all.,"['Haijun Wang', 'Yi Li', 'Shang-Wei Lin', 'Lei Ma', 'Yang Liu']",ICSE (NIER),2019
34,c,Learning Performance Optimization from Code Changes for Android Apps.,"['Ruitao Feng', 'Guozhu Meng', 'Xiaofei Xie', 'Ting Su', 'Yang Liu', 'Shang-Wei Lin']",ICST Workshops,2019
35,c,Locating vulnerabilities in binaries via memory layout recovering.,"['Haijun Wang', 'Xiaofei Xie', 'Shang-Wei Lin', 'Yun Lin', 'Yuekang Li', 'Shengchao Qin', 'Yang Liu', 'Ting Liu']",ESEC/SIGSOFT FSE,2019
36,c,A Neural Model for Method Name Generation from Functional Description.,"['Sa Gao', 'Chunyang Chen', 'Zhenchang Xing', 'Yukun Ma', 'Wen Song', 'Shang-Wei Lin']",SANER,2019
37,c,Compositional Reasoning for Shared-Variable Concurrent Programs.,"['Fuyuan Zhang', 'Yongwang Zhao', 'David Sanán', 'Yang Liu', 'Alwen Tiu', 'Shang-Wei Lin', 'Jun Sun']",FM,2018
38,c,Quasi-Open Bisimilarity with Mismatch is Intuitionistic.,"['Ross Horne', 'Ki Yung Ahn', 'Shang-Wei Lin', 'Alwen Tiu']",LICS,2018
39,c,Process Patterns: Reusable Design Artifacts for Business Process Models.,"['Muhammad Ashad Kabir', 'Zhenchang Xing', 'Prakash Chandrasekaran', 'Shang-Wei Lin']",COMPSAC (1),2017
40,c,Learning-Based Compositional Parameter Synthesis for Event-Recording Automata.,"['Étienne André', 'Shang-Wei Lin']",FORTE,2017
41,c,Enhancing Knowledge Sharing in Stack Overflow via Automatic External Web Resources Linking.,"['Sa Gao', 'Zhenchang Xing', 'Yukun Ma', 'Deheng Ye', 'Shang-Wei Lin']",ICECCS,2017
42,c,Automatic loop-invariant generation and refinement through selective sampling.,"['Jiaying Li', 'Jun Sun', 'Li Li', 'Quang Loc Le', 'Shang-Wei Lin']",ASE,2017
43,c,FiB: squeezing loop invariants by interpolation between Forward/Backward predicate transformers.,"['Shang-Wei Lin', 'Jun Sun', 'Hao Xiao', 'Yang Liu', 'David Sanán', 'Henri Hansen']",ASE,2017
44,c,Loopster: static loop termination analysis.,"['Xiaofei Xie', 'Bihuan Chen', 'Liang Zou', 'Shang-Wei Lin', 'Yang Liu', 'Xiaohong Li']",ESEC/SIGSOFT FSE,2017
