,type,name,author,event,year
0,j,StereoARS: Quality Evaluation for Stereoscopic Image Retargeting With Binocular Inconsistency Detection.,"['Qiuping Jiang', 'Zhenyu Peng', 'Feng Shao', 'Ke Gu', 'Yabin Zhang', 'Wenjun Zhang', 'Weisi Lin']",IEEE Trans. Broadcast.,2022
1,j,SRInpaintor: When Super-Resolution Meets Transformer for Image Inpainting.,"['Feng Li', 'Anqi Li', 'Jia Qin', 'Huihui Bai', 'Weisi Lin', 'Runmin Cong', 'Yao Zhao']",IEEE Trans. Computational Imaging,2022
2,j,Occupancy Map Guided Fast Video-Based Dynamic Point Cloud Coding.,"['Jian Xiong', 'Hao Gao', 'Miaohui Wang', 'Hongliang Li', 'Weisi Lin']",IEEE Trans. Circuits Syst. Video Technol.,2022
3,j,Unified Information Fusion Network for Multi-Modal RGB-D and RGB-T Salient Object Detection.,"['Wei Gao', 'Guibiao Liao', 'Siwei Ma', 'Ge Li', 'Yongsheng Liang', 'Weisi Lin']",IEEE Trans. Circuits Syst. Video Technol.,2022
4,j,Fine-Grained Image Quality Assessment: A Revisit and Further Thinking.,"['Xinfeng Zhang', 'Weisi Lin', 'Qingming Huang']",IEEE Trans. Circuits Syst. Video Technol.,2022
5,j,LGGD+: Image Retargeting Quality Assessment by Measuring Local and Global Geometric Distortions.,"['Zhenyu Peng', 'Qiuping Jiang', 'Feng Shao', 'Wei Gao', 'Weisi Lin']",IEEE Trans. Circuits Syst. Video Technol.,2022
6,j,Just Noticeable Difference for Deep Machine Vision.,"['Jian Jin', 'Xingxing Zhang', 'Xin Fu', 'Huan Zhang', 'Weisi Lin', 'Jian Lou', 'Yao Zhao']",IEEE Trans. Circuits Syst. Video Technol.,2022
7,j,Deep Learning-Based Perceptual Video Quality Enhancement for 3D Synthesized View.,"['Huan Zhang', 'Yun Zhang', 'Linwei Zhu', 'Weisi Lin']",IEEE Trans. Circuits Syst. Video Technol.,2022
8,j,Illumination Unification for Person Re-Identification.,"['Guoqing Zhang', 'Zhiyuan Luo', 'Yuhao Chen', 'Yuhui Zheng', 'Weisi Lin']",IEEE Trans. Circuits Syst. Video Technol.,2022
9,j,Multi-Content Complementation Network for Salient Object Detection in Optical Remote Sensing Images.,"['Gongyang Li', 'Zhi Liu', 'Weisi Lin', 'Haibin Ling']",IEEE Trans. Geosci. Remote. Sens.,2022
10,j,Perceptually Unimportant Information Reduction and Cosine Similarity-Based Quality Assessment of 3D-Synthesized Images.,"['Sadbhawna', 'Vinit Jakhetiya', 'Shubham Chaudhary', 'Badri Narayan Subudhi', 'Weisi Lin', 'Sharath Chandra Guntuku']",IEEE Trans. Image Process.,2022
11,j,"Single Image Super-Resolution Quality Assessment: A Real-World Dataset, Subjective Studies, and an Objective Metric.","['Qiuping Jiang', 'Zhentao Liu', 'Ke Gu', 'Feng Shao', 'Xinfeng Zhang', 'Hantao Liu', 'Weisi Lin']",IEEE Trans. Image Process.,2022
12,j,A no-Reference Stereoscopic Image Quality Assessment Network Based on Binocular Interaction and Fusion Mechanisms.,"['Jianwei Si', 'Baoxiang Huang', 'Huan Yang', 'Weisi Lin', 'Zhenkuan Pan']",IEEE Trans. Image Process.,2022
13,j,From Whole Video to Frames: Weakly-Supervised Domain Adaptive Continuous-Time QoE Evaluation.,"['Leida Li', 'Pengfei Chen', 'Weisi Lin', 'Mai Xu', 'Guangming Shi']",IEEE Trans. Image Process.,2022
14,j,Voxel Structure-Based Mesh Reconstruction From a 3D Point Cloud.,"['Chenlei Lv', 'Weisi Lin', 'Baoquan Zhao']",IEEE Trans. Multim.,2022
15,j,Progress and Opportunities in Modelling Just-Noticeable Difference (JND) for Multimedia.,"['Weisi Lin', 'Gheorghita Ghinea']",IEEE Trans. Multim.,2022
16,j,Video Quality Assessment With Serial Dependence Modeling.,"['Yongxu Liu', 'Jinjian Wu', 'Aobo Li', 'Leida Li', 'Weisheng Dong', 'Guangming Shi', 'Weisi Lin']",IEEE Trans. Multim.,2022
17,j,Pasadena: Perceptually Aware and Stealthy Adversarial Denoise Attack.,"['Yupeng Cheng', 'Qing Guo', 'Felix Juefei-Xu', 'Shang-Wei Lin', 'Wei Feng', 'Weisi Lin', 'Yang Liu']",IEEE Trans. Multim.,2022
18,j,Blind image quality prediction with hierarchical feature aggregation.,"['Jinjian Wu', 'Wen Yang', 'Leida Li', 'Weisheng Dong', 'Guangming Shi', 'Weisi Lin']",Inf. Sci.,2021
19,j,Bi-disparity sparse feature learning for 3D visual discomfort prediction.,"['Maryam Karimi', 'Mansour Nejati', 'Weisi Lin']",Signal Process.,2021
20,j,Fine-Grained Patch Segmentation and Rasterization for 3-D Point Cloud Attribute Compression.,"['Baoquan Zhao', 'Weisi Lin', 'Chenlei Lv']",IEEE Trans. Circuits Syst. Video Technol.,2021
21,j,End-to-End Ensemble Learning by Exploiting the Correlation Between Individuals and Weights.,"['Shasha Mao', 'Weisi Lin', 'Licheng Jiao', 'Shuiping Gou', 'Jiawei Chen']",IEEE Trans. Cybern.,2021
22,j,Temporal Reasoning Guided QoE Evaluation for Mobile Live Video Broadcasting.,"['Pengfei Chen', 'Leida Li', 'Jinjian Wu', 'Yabin Zhang', 'Weisi Lin']",IEEE Trans. Image Process.,2021
23,j,Hierarchical Alternate Interaction Network for RGB-D Salient Object Detection.,"['Gongyang Li', 'Zhi Liu', 'Minyu Chen', 'Zhen Bai', 'Weisi Lin', 'Haibin Ling']",IEEE Trans. Image Process.,2021
24,j,Blind Image Quality Assessment With Active Inference.,"['Jupo Ma', 'Jinjian Wu', 'Leida Li', 'Weisheng Dong', 'Xuemei Xie', 'Guangming Shi', 'Weisi Lin']",IEEE Trans. Image Process.,2021
25,j,Approximate Intrinsic Voxel Structure for Point Cloud Simplification.,"['Chenlei Lv', 'Weisi Lin', 'Baoquan Zhao']",IEEE Trans. Image Process.,2021
26,j,Progressive Self-Guided Loss for Salient Object Detection.,"['Sheng Yang', 'Weisi Lin', 'Guosheng Lin', 'Qiuping Jiang', 'Zichuan Liu']",IEEE Trans. Image Process.,2021
27,j,PM₂.₅ Monitoring: Use Information Abundance Measurement and Wide and Deep Learning.,"['Ke Gu', 'Hongyan Liu', 'Zhifang Xia', 'Junfei Qiao', 'Weisi Lin', 'Daniel Thalmann']",IEEE Trans. Neural Networks Learn. Syst.,2021
28,j,Multiscale Natural Scene Statistical Analysis for No-Reference Quality Evaluation of DIBR-Synthesized Views.,"['Ke Gu', 'Junfei Qiao', 'Sanghoon Lee', 'Hantao Liu', 'Weisi Lin', 'Patrick Le Callet']",IEEE Trans. Broadcast.,2020
29,j,Learning a Unified Blind Image Quality Metric via On-Line and Off-Line Big Training Instances.,"['Ke Gu', 'Xin Xu', 'Junfei Qiao', 'Qiuping Jiang', 'Weisi Lin', 'Daniel Thalmann']",IEEE Trans. Big Data,2020
30,j,Statistical and Structural Information Backed Full-Reference Quality Measure of Compressed Sonar Images.,"['Weiling Chen', 'Ke Gu', 'Weisi Lin', 'Fei Yuan', 'En Cheng']",IEEE Trans. Circuits Syst. Video Technol.,2020
31,j,Salient Object Detection by Spatiotemporal and Semantic Features in Real-Time Video Processing Systems.,"['Yuming Fang', 'Guanqun Ding', 'Wenying Wen', 'Feiniu Yuan', 'Yong Yang', 'Zhijun Fang', 'Weisi Lin']",IEEE Trans. Ind. Electron.,2020
