,type,name,author,event,year
0,j,EDLAB: A Benchmark for Edge Deep Learning Accelerators.,"['Hao Kong', 'Shuo Huai', 'Di Liu', 'Lei Zhang', 'Hui Chen', 'Shien Zhu', 'Shiqing Li', 'Weichen Liu', 'Manu Rastogi', 'Ravi Subramaniam', 'Madhu Athreya', 'M. Anthony Lewis']",IEEE Des. Test,2022
1,j,Bringing AI to edge: From deep learning's perspective.,"['Di Liu', 'Hao Kong', 'Xiangzhong Luo', 'Weichen Liu', 'Ravi Subramaniam']",Neurocomputing,2022
2,j,Contention Minimization in Emerging SMART NoC via Direct and Indirect Routes.,"['Peng Chen', 'Hui Chen', 'Jun Zhou', 'Mengquan Li', 'Weichen Liu', 'Chunhua Xiao', 'Yiyuan Xie', 'Nan Guan']",IEEE Trans. Computers,2022
3,j,ArSMART: An Improved SMART NoC Design Supporting Arbitrary-Turn Transmission.,"['Hui Chen', 'Peng Chen', 'Jun Zhou', 'Luan H. K. Duong', 'Weichen Liu']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2022
4,j,Designing Efficient DNNs via Hardware-Aware Neural Architecture Search and Beyond.,"['Xiangzhong Luo', 'Di Liu', 'Shuo Huai', 'Hao Kong', 'Hui Chen', 'Weichen Liu']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2022
5,j,CARTAD: Compiler-Assisted Reinforcement Learning for Thermal-Aware Task Scheduling and DVFS on Multicores.,"['Di Liu', 'Shi-Gui Yang', 'Zhenli He', 'Mingxiong Zhao', 'Weichen Liu']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2022
6,j,Locking Protocols for Parallel Real-Time Tasks With Semaphores Under Federated Scheduling.,"['Yang Wang', 'Xu Jiang', 'Nan Guan', 'Yue Tang', 'Weichen Liu']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2022
7,j,Solving Dynamic Multiobjective Problem via Autoencoding Evolutionary Search.,"['Liang Feng', 'Wei Zhou', 'Weichen Liu', 'Yew-Soon Ong', 'Kay Chen Tan']",IEEE Trans. Cybern.,2022
8,j,Attack Mitigation of Hardware Trojans for Thermal Sensing via Micro-ring Resonator in Optical NoCs.,"['Jun Zhou', 'Mengquan Li', 'Pengxing Guo', 'Weichen Liu']",ACM J. Emerg. Technol. Comput. Syst.,2021
9,j,On the Analysis of Parallel Real-Time Tasks With Spin Locks.,"['Xu Jiang', 'Nan Guan', 'He Du', 'Weichen Liu', 'Yi Wang']",IEEE Trans. Computers,2021
10,j,Priority Assignment on Partitioned Multiprocessor Systems With Shared Resources.,"['Shuai Zhao', 'Wanli Chang', 'Ran Wei', 'Weichen Liu', 'Nan Guan', 'Alan Burns', 'Andy J. Wellings']",IEEE Trans. Computers,2021
11,j,Contention-Aware Routing for Thermal-Reliable Optical Networks-on-Chip.,"['Mengquan Li', 'Weichen Liu', 'Luan H. K. Duong', 'Peng Chen', 'Lei Yang', 'Chunhua Xiao']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2021
12,j,Reduced Worst-Case Communication Latency Using Single-Cycle Multihop Traversal Network-on-Chip.,"['Peng Chen', 'Weichen Liu', 'Hui Chen', 'Shiqing Li', 'Mengquan Li', 'Lei Yang', 'Nan Guan']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2021
13,j,MARCO: A High-performance Task Mapping and Routing Co-optimization Framework for Point-to-Point NoC-based Heterogeneous Computing Systems.,"['Hui Chen', 'Zihao Zhang', 'Peng Chen', 'Xiangzhong Luo', 'Shiqing Li', 'Weichen Liu']",ACM Trans. Embed. Comput. Syst.,2021
