,type,name,author,event,year
0,j,Applying Ollivier-Ricci curvature to indicate the mismatch of travel demand and supply in urban transit network.,"['Yaoli Wang', 'Zhou Huang', 'Ganmin Yin', 'Haifeng Li', 'Liu Yang', 'Yuelong Su', 'Yu Liu', 'Xv Shan']",Int. J. Appl. Earth Obs. Geoinformation,2022
1,j,Few-shot domain adaptation through compensation-guided progressive alignment and bias reduction.,"['Junyuan Shang', 'Chang Niu', 'Junchu Huang', 'Zhiheng Zhou', 'Junmei Yang', 'Shiting Xu', 'Liu Yang']",Appl. Intell.,2022
2,j,Online Pricing Strategy with Considering Consumers' Fairness Concerns.,"['Liu Yang', 'Yuanyuan Zheng', 'Jiasi Fan', 'Shaozeng Dong']",Asia Pac. J. Oper. Res.,2022
3,j,A high-throughput single cell-based antibody discovery approach against the full-length SARS-CoV-2 spike protein suggests a lack of neutralizing antibodies targeting the highly conserved S2 domain.,"['Mengya Chai', 'Yajuan Guo', 'Liu Yang', 'Jianhui Li', 'Shuo Liu', 'Lei Chen', 'Yuelei Shen', 'Yi Yang', 'Youchun Wang', 'Lida Xu', 'Changyuan Yu']",Briefings Bioinform.,2022
4,j,Urban spatial location service prediction algorithm based on fast adaptive genetic algorithm-least squares support vector machine under the background of Internet of Things.,"['Xiangli Xia', 'Wei Cheng', 'Liu Yang']",Concurr. Comput. Pract. Exp.,2022
5,j,A Study on Operational Risk and Credit Portfolio Risk Estimation Using Data Analytics.,"['Rongda Chen', 'Ze Wang', 'Liu Yang', 'Chi To Ng', 'T. C. E. Cheng']",Decis. Sci.,2022
6,j,How does the value co-creation of e-commerce platform and manufacturers affect channel performance? The moderating role of innovation capability and market turbulence.,"['Leinan Zhang', 'Wei Yang', 'Liu Yang', 'Lingyu Gao']",Electron. Commer. Res. Appl.,2022
7,j,Deciding online and offline sales strategies when service industry customers express fairness concerns.,"['Liu Yang', 'Yuanyuan Zheng', 'Chia-Huei Wu', 'Shaozeng Dong', 'Xue-Feng Shao', 'Wei Liu']",Enterp. Inf. Syst.,2022
8,j,Pricing strategy with customers' privacy concerns in Smart-X systems.,"['Shaozeng Dong', 'Liu Yang', 'Bin Ding', 'Chia-Huei Wu', 'Xue-Feng Shao']",Enterp. Inf. Syst.,2022
9,j,Gradual Channel Estimation Method for TLC NAND Flash Memory.,"['Liu Yang', 'Qi Wang', 'Qianhui Li', 'Xiaolei Yu', 'Jing He', 'Zongliang Huo']",IEEE Embed. Syst. Lett.,2022
10,j,Decentralized federated meta-learning framework for few-shot multitask learning.,"['Xiaoli Li', 'Yuzheng Li', 'Jining Wang', 'Chuan Chen', 'Liu Yang', 'Zibin Zheng']",Int. J. Intell. Syst.,2022
11,j,Learning functional priors and posteriors from data and physics.,"['Xuhui Meng', 'Liu Yang', 'Zhiping Mao', 'José del Águila Ferrandis', 'George Em Karniadakis']",J. Comput. Phys.,2022
12,j,Zonotope-based interval estimation for discrete-time Markovian jump systems with complex transition probabilities and quantization.,"['Qi Tang', 'Weizhong Chen', 'Liu Yang']",J. Frankl. Inst.,2022
13,j,Big Data Analysis of Water Saving Standard Based on Bibliometrics.,"['Xue Bai', 'Meng Hao', 'Mengting Hu', 'Liu Yang']",J. Sensors,2022
