,type,name,author,event,year
0,j,Learning to Prompt for Vision-Language Models.,"['Kaiyang Zhou', 'Jingkang Yang', 'Chen Change Loy', 'Ziwei Liu']",Int. J. Comput. Vis.,2022
1,j,CARAFE++: Unified Content-Aware ReAssembly of FEatures.,"['Jiaqi Wang', 'Kai Chen', 'Rui Xu', 'Ziwei Liu', 'Chen Change Loy', 'Dahua Lin']",IEEE Trans. Pattern Anal. Mach. Intell.,2022
2,j,Chasing the Tail in Monocular 3D Human Reconstruction With Prototype Memory.,"['Yu Rong', 'Ziwei Liu', 'Chen Change Loy']",IEEE Trans. Image Process.,2022
3,j,AvatarCLIP: zero-shot text-driven generation and animation of 3D avatars.,"['Fangzhou Hong', 'Mingyuan Zhang', 'Liang Pan', 'Zhongang Cai', 'Lei Yang', 'Ziwei Liu']",ACM Trans. Graph.,2022
4,j,Text2Human: text-driven controllable human image generation.,"['Yuming Jiang', 'Shuai Yang', 'Haonan Qju', 'Wayne Wu', 'Chen Change Loy', 'Ziwei Liu']",ACM Trans. Graph.,2022
5,j,Iterative human and automated identification of wildlife images.,"['Zhongqi Miao', 'Ziwei Liu', 'Kaitlyn M. Gaynor', 'Meredith S. Palmer', 'Stella X. Yu', 'Wayne M. Getz']",Nat. Mach. Intell.,2021
6,j,Learning Diverse Fashion Collocation by Neural Graph Filtering.,"['Xin Liu', 'Yongbin Sun', 'Ziwei Liu', 'Dahua Lin']",IEEE Trans. Multim.,2021
7,j,Dynamic Graph CNN for Learning on Point Clouds.,"['Yue Wang', 'Yongbin Sun', 'Ziwei Liu', 'Sanjay E. Sarma', 'Michael M. Bronstein', 'Justin M. Solomon']",ACM Trans. Graph.,2019
8,j,Deep Learning Markov Random Field for Semantic Segmentation.,"['Ziwei Liu', 'Xiaoxiao Li', 'Ping Luo', 'Chen Change Loy', 'Xiaoou Tang']",IEEE Trans. Pattern Anal. Mach. Intell.,2018
9,j,Vision-Based Calibration of Dual RCM-Based Robot Arms in Human-Robot Collaborative Minimally Invasive Surgery.,"['Zerui Wang', 'Ziwei Liu', 'Qianli Ma', 'Alexis Cheng', 'Yunhui Liu', 'Sungmin Kim', 'Anton Deguet', 'Austin Reiter', 'Peter Kazanzides', 'Russell H. Taylor']",IEEE Robotics Autom. Lett.,2018
10,j,Fast burst images denoising.,"['Ziwei Liu', 'Lu Yuan', 'Xiaoou Tang', 'Matt Uyttendaele', 'Jian Sun']",ACM Trans. Graph.,2014
11,c,Visual Sound Localization in the Wild by Cross-Modal Interference Erasing.,"['Xian Liu', 'Rui Qian', 'Hang Zhou', 'Di Hu', 'Weiyao Lin', 'Ziwei Liu', 'Bolei Zhou', 'Xiaowei Zhou']",AAAI,2022
12,c,SepFusion: Finding Optimal Fusion Structures for Visual Sound Separation.,"['Dongzhan Zhou', 'Xinchi Zhou', 'Di Hu', 'Hang Zhou', 'Lei Bai', 'Ziwei Liu', 'Wanli Ouyang']",AAAI,2022
13,c,Full-Range Virtual Try-On with Recurrent Tri-Level Transform.,"['Han Yang', 'Xinrui Yu', 'Ziwei Liu']",CVPR,2022
