,type,name,author,event,year
0,j,Holistic Multi-Modal Memory Network for Movie Question Answering.,"['Anran Wang', 'Anh Tuan Luu', 'Chuan-Sheng Foo', 'Hongyuan Zhu', 'Yi Tay', 'Vijay Chandrasekhar']",IEEE Trans. Image Process.,2020
1,j,Personalized question recommendation for English grammar learning.,"['Lanting Fang', 'Luu Anh Tuan', 'Siu Cheung Hui', 'Lenan Wu']",Expert Syst. J. Knowl. Eng.,2018
2,j,Syntactic based approach for grammar question retrieval.,"['Lanting Fang', 'Luu Anh Tuan', 'Siu Cheung Hui', 'Lenan Wu']",Inf. Process. Manag.,2018
3,j,Utilizing Temporal Information for Taxonomy Construction.,"['Anh Tuan Luu', 'Siu Cheung Hui', 'See-Kiong Ng']",Trans. Assoc. Comput. Linguistics,2016
4,j,Overview of the gene ontology task at BioCreative IV.,"['Yuqing Mao', 'Kimberly Van Auken', 'Donghui Li', 'Cecilia N. Arighi', 'Peter McQuilton', 'G. Thomas Hayman', 'Susan Tweedie', 'Mary L. Schaeffer', 'Stanley J. F. Laulederkind', 'Shur-Jen Wang', 'Julien Gobeill', 'Patrick Ruch', 'Anh Tuan Luu', 'Jung-Jae Kim', 'Jung-Hsien Chiang', 'Yu-De Chen', 'Chia-Jung Yang', 'Hongfang Liu', 'Dongqing Zhu', 'Yanpeng Li', 'Hong Yu', 'Ehsan Emadzadeh', 'Graciela Gonzalez', 'Jian-Ming Chen', 'Hong-Jie Dai', 'Zhiyong Lu']",Database J. Biol. Databases Curation,2014
5,j,SeVe: automatic tool for verification of security protocols.,"['Anh Tuan Luu', 'Jun Sun', 'Yang Liu', 'Jin Song Dong', 'Xiaohong Li', 'Thanh Tho Quan']",Frontiers Comput. Sci. China,2012
6,j,Automatic Suggestion for PubMed Query Reformulation.,"['Anh Tuan Luu', 'Jung-Jae Kim']",J. Comput. Sci. Eng.,2012
7,c,Improving Neural Cross-Lingual Abstractive Summarization via Employing Optimal Transport Distance for Knowledge Distillation.,"['Thong Thanh Nguyen', 'Anh Tuan Luu']",AAAI,2022
8,c,Is Discourse Role Important for Emotion Recognition in Conversation?,"['Donovan Ong', 'Jian Su', 'Bin Chen', 'Anh Tuan Luu', 'Ashok Narendranath', 'Yue Li', 'Shuqi Sun', 'Yingzhan Lin', 'Haifeng Wang']",AAAI,2022
9,c,Graph Neural Networks with Learnable Structural and Positional Representations.,"['Vijay Prakash Dwivedi', 'Anh Tuan Luu', 'Thomas Laurent', 'Yoshua Bengio', 'Xavier Bresson']",ICLR,2022
10,c,Certified Robustness Against Natural Language Attacks by Causal Intervention.,"['Haiteng Zhao', 'Chang Ma', 'Xinshuai Dong', 'Anh Tuan Luu', 'Zhi-Hong Deng', 'Hanwang Zhang']",ICML,2022
11,c,Audio-Visual Domain Adaptation Feature Fusion for Speech Emotion Recognition.,"['Jie Wei', 'Guanyu Hu', 'Xinyu Yang', 'Anh Tuan Luu', 'Yizhuo Dong']",INTERSPEECH,2022
12,c,Enriching and Controlling Global Semantics for Text Summarization.,"['Thong Nguyen', 'Anh Tuan Luu', 'Truc Lu', 'Tho Quan']",EMNLP (1),2021
13,c,Towards Robustness Against Natural Language Word Substitutions.,"['Xinshuai Dong', 'Anh Tuan Luu', 'Rongrong Ji', 'Hong Liu']",ICLR,2021
14,c,Beyond Fully-Connected Layers with Quaternions: Parameterization of Hypercomplex Multiplications with 1/n Parameters.,"['Aston Zhang', 'Yi Tay', 'Shuai Zhang', 'Alvin Chan', 'Anh Tuan Luu', 'Siu Cheung Hui', 'Jie Fu']",ICLR,2021
15,c,How Should Pre-Trained Language Models Be Fine-Tuned Towards Adversarial Robustness?,"['Xinshuai Dong', 'Anh Tuan Luu', 'Min Lin', 'Shuicheng Yan', 'Hanwang Zhang']",NeurIPS,2021
16,c,Contrastive Learning for Neural Topic Model.,"['Thong Nguyen', 'Anh Tuan Luu']",NeurIPS,2021
17,c,Capturing Greater Context for Question Generation.,"['Luu Anh Tuan', 'Darsh J. Shah', 'Regina Barzilay']",AAAI,2020
18,c,Would you Rather? A New Benchmark for Learning Machine Alignment with Cultural Values and Social Preferences.,"['Yi Tay', 'Donovan Ong', 'Jie Fu', 'Alvin Chan', 'Nancy Chen', 'Anh Tuan Luu', 'Chris Pal']",ACL,2020
19,c,Holographic Factorization Machines for Recommendation.,"['Yi Tay', 'Shuai Zhang', 'Anh Tuan Luu', 'Siu Cheung Hui', 'Lina Yao', 'Tran Dang Quang Vinh']",AAAI,2019
20,c,Lightweight and Efficient Neural Natural Language Processing with Quaternion Networks.,"['Yi Tay', 'Aston Zhang', 'Anh Tuan Luu', 'Jinfeng Rao', 'Shuai Zhang', 'Shuohang Wang', 'Jie Fu', 'Siu Cheung Hui']",ACL (1),2019
21,c,Simple and Effective Curriculum Pointer-Generator Networks for Reading Comprehension over Long Narratives.,"['Yi Tay', 'Shuohang Wang', 'Anh Tuan Luu', 'Jie Fu', 'Minh C. Phan', 'Xingdi Yuan', 'Jinfeng Rao', 'Siu Cheung Hui', 'Aston Zhang']",ACL (1),2019
22,c,Compositional De-Attention Networks.,"['Yi Tay', 'Anh Tuan Luu', 'Aston Zhang', 'Shuohang Wang', 'Siu Cheung Hui']",NeurIPS,2019
