,type,name,author,event,year
0,j,EXTENT: Enabling Approximation-Oriented Energy Efficient STT-RAM Write Circuit.,"['Saeed Seyedfaraji', 'Javad Talafy Daryani', 'Mohamed M. Sabry Aly', 'Semeen Rehman']",IEEE Access,2022
1,j,The N3XT Approach to Energy-Efficient Abundant-Data Computing.,"['Mohamed M. Sabry Aly', 'Tony F. Wu', 'Andrew Bartolo', 'Yash H. Malviya', 'William Hwang', 'Gage Hills', 'Igor L. Markov', 'Mary Wootters', 'Max M. Shulaker', 'H.-S. Philip Wong', 'Subhasish Mitra']",Proc. IEEE,2019
2,j,PowerCool: Simulation of Cooling and Powering of 3D MPSoCs with Integrated Flow Cell Arrays.,"['Artem Aleksandrovich Andreev', 'Arvind Sridhar', 'Mohamed M. Sabry', 'Marina Zapater', 'Patrick W. Ruch', 'Bruno Michel', 'David Atienza']",IEEE Trans. Computers,2018
3,j,Classification of Resilience Techniques Against Functional Errors at Higher Abstraction Layers of Digital Systems.,"['Georgia Psychou', 'Dimitrios Rodopoulos', 'Mohamed M. Sabry', 'Tobias Gemmeke', 'David Atienza', 'Tobias G. Noll', 'Francky Catthoor']",ACM Comput. Surv.,2017
4,j,"Energy-Efficient Abundant-Data Computing: The N3XT 1, 000x.","['Mohamed M. Sabry', 'Mingyu Gao', 'Gage Hills', 'Chi-Shuen Lee', 'Greg Pitner', 'Max M. Shulaker', 'Tony F. Wu', 'Mehdi Asheghi', 'Jeffrey Bokor', 'Franz Franchetti', 'Kenneth E. Goodson', 'Christos Kozyrakis', 'Igor L. Markov', 'Kunle Olukotun', 'Larry T. Pileggi', 'Eric Pop', 'Jan M. Rabaey', 'Christopher Ré', 'H.-S. Philip Wong', 'Subhasish Mitra']",Computer,2015
5,j,Classification Framework for Analysis and Modeling of Physically Induced Reliability Violations.,"['Dimitrios Rodopoulos', 'Georgia Psychou', 'Mohamed M. Sabry', 'Francky Catthoor', 'Antonis Papanikolaou', 'Dimitrios Soudris', 'Tobias G. Noll', 'David Atienza']",ACM Comput. Surv.,2015
6,j,Temperature-Aware Design and Management for 3D Multi-Core Architectures.,"['Mohamed M. Sabry', 'David Atienza']",Found. Trends Electron. Des. Autom.,2014
7,j,A Semi-Analytical Thermal Modeling Framework for Liquid-Cooled ICs.,"['Arvind Sridhar', 'Mohamed M. Sabry', 'David Atienza']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2014
8,j,OCEAN: An Optimized HW/SW Reliability Mitigation Approach for Scratchpad Memories in Real-Time SoCs.,"['Mohamed M. Sabry', 'David Atienza', 'Francky Catthoor']",ACM Trans. Embed. Comput. Syst.,2014
9,j,GreenCool: An Energy-Efficient Liquid Cooling Design Technique for 3-D MPSoCs Via Channel Width Modulation.,"['Mohamed M. Sabry', 'Arvind Sridhar', 'Jie Meng', 'Ayse K. Coskun', 'David Atienza']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2013
10,j,Hierarchical Thermal Management Policy for High-Performance 3D Systems With Liquid Cooling.,"['Francesco Zanini', 'Mohamed M. Sabry', 'David Atienza', 'Giovanni De Micheli']",IEEE J. Emerg. Sel. Topics Circuits Syst.,2011
11,j,"Attaining Single-Chip, High-Performance Computing through 3D Systems with Active Cooling.","['Ayse K. Coskun', 'David Atienza', 'Mohamed M. Sabry', 'Jie Meng']",IEEE Micro,2011
12,j,Energy-Efficient Multiobjective Thermal Control for Liquid-Cooled 3-D Stacked Architectures.,"['Mohamed M. Sabry', 'Ayse K. Coskun', 'David Atienza', 'Tajana Simunic Rosing', 'Thomas Brunschwiler']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2011
13,j,Thermal-Aware Compilation for Register Window-Based Embedded Processors.,"['Mohamed M. Sabry', 'José L. Ayala', 'David Atienza']",IEEE Embed. Syst. Lett.,2010
14,c,SonicFFT: A system architecture for ultrasonic-based FFT acceleration.,"['Darayus Adil Patel', 'Viet Phuong Bui', 'Kevin Tshun Chuan Chai', 'Amit Lal', 'Mohamed M. Sabry Aly']",ASP-DAC,2022
15,c,Pearl: Towards Optimization of DNN-accelerators Via Closed-Form Analytical Representation.,"['Arko Dutt', 'Suprojit Nandy', 'Mohamed M. Sabry']",ASP-DAC,2022
16,c,Scalable Hardware Acceleration of Non-Maximum Suppression.,"['Chunyun Chen', 'Tianyi Zhang', 'Zehui Yu', 'Adithi Raghuraman', 'Shwetalaxmi Udayan', 'Jie Lin', 'Mohamed M. Sabry Aly']",DATE,2022
17,c,RDO-Q: Extremely Fine-Grained Channel-Wise Quantization via Rate-Distortion Optimization.,"['Zhe Wang', 'Jie Lin', 'Xue Geng', 'Mohamed M. Sabry Aly', 'Vijay Chandrasekhar']",ECCV (12),2022
18,c,"Sub-10nm Ultra-thin ZnO Channel FET with Record-High 561 µA/µm ION at VDS 1V, High µ-84 cm","['Umesh Chand', 'Mohamed M. Sabry Aly', 'Manohar Lal', 'Chen Chun-Kuei', 'Sonu Hooda', 'Shih-Hao Tsai', 'Zihang Fang', 'Hasita Veluri', 'Aaron Voon-Yew Thean']",VLSI Technology and Circuits,2022
19,c,OPQ: Compressing Deep Neural Networks with One-shot Pruning-Quantization.,"['Peng Hu', 'Xi Peng', 'Hongyuan Zhu', 'Mohamed M. Sabry Aly', 'Jie Lin']",AAAI,2021
20,c,PSRR-MaxpoolNMS: Pyramid Shifted MaxpoolNMS With Relationship Recovery.,"['Tianyi Zhang', 'Jie Lin', 'Peng Hu', 'Bin Zhao', 'Mohamed M. Sabry Aly']",CVPR,2021
21,c,Efficient Tunstall Decoder for Deep Neural Network Compression.,"['Chunyun Chen', 'Zhe Wang', 'Xiaowei Chen', 'Jie Lin', 'Mohamed M. Sabry Aly']",DAC,2021
22,c,Rate-Distortion Optimized Coding for Efficient CNN Compression.,"['Wang Zhe', 'Jie Lin', 'Mohamed M. Sabry Aly', 'Sean I. Young', 'Vijay Chandrasekhar', 'Bernd Girod']",DCC,2021
