,type,name,author,event,year
0,j,CIS Publication Spotlight [Publication Spotlight].,"['Yongduan Song', 'Jon Garibaldi', 'Carlos A. Coello Coello', 'Georgios N. Yannakakis', 'Huajin Tang', 'Yew Soon Ong', 'Hussein A. Abbass']",IEEE Comput. Intell. Mag.,2022
1,j,CIS Publication Spotlight [Publication Spotlight].,"['Yongduan Song', 'Jon Garibaldi', 'Carlos A. Coello Coello', 'Georgios N. Yannakakis', 'Huajin Tang', 'Yew Soon Ong', 'Hussein A. Abbass']",IEEE Comput. Intell. Mag.,2022
2,j,"Half a Dozen Real-World Applications of Evolutionary Multitasking, and More.","['Abhishek Gupta', 'Lei Zhou', 'Yew-Soon Ong', 'Zefeng Chen', 'Yaqing Hou']",IEEE Comput. Intell. Mag.,2022
3,j,CIS Publication Spotlight [Publication Spotlight].,"['Yongduan Song', 'Jon Garibaldi', 'Carlos A. Coello Coello', 'Georgios N. Yannakakis', 'Huajin Tang', 'Yew Soon Ong', 'Hussein A. Abbass']",IEEE Comput. Intell. Mag.,2022
4,j,A Layered Spiking Neural System for Classification Problems.,"['Gexiang Zhang', 'Xihai Zhang', 'Haina Rong', 'Prithwineel Paul', 'Ming Zhu', 'Ferrante Neri', 'Yew-Soon Ong']",Int. J. Neural Syst.,2022
5,j,Influence-Aware Attention Networks for Anomaly Detection in Surveillance Videos.,"['Sijia Zhang', 'Maoguo Gong', 'Yu Xie', 'A. Kai Qin', 'Hao Li', 'Yuan Gao', 'Yew-Soon Ong']",IEEE Trans. Circuits Syst. Video Technol.,2022
6,j,Solving Dynamic Multiobjective Problem via Autoencoding Evolutionary Search.,"['Liang Feng', 'Wei Zhou', 'Weichen Liu', 'Yew-Soon Ong', 'Kay Chen Tan']",IEEE Trans. Cybern.,2022
7,j,Scalable Gaussian Process Classification With Additive Noise for Non-Gaussian Likelihoods.,"['Haitao Liu', 'Yew-Soon Ong', 'Ziwei Yu', 'Jianfei Cai', 'Xiaobo Shen']",IEEE Trans. Cybern.,2022
8,j,Frame-Correlation Transfers Trigger Economical Attacks on Deep Reinforcement Learning Policies.,"['Xinghua Qu', 'Yew-Soon Ong', 'Abhishek Gupta']",IEEE Trans. Cybern.,2022
9,j,Vicinal Vertex Allocation for Matrix Factorization in Networks.,"['Tiantian He', 'Lu Bai', 'Yew-Soon Ong']",IEEE Trans. Cybern.,2022
10,j,From Multitask Gradient Descent to Gradient-Free Evolutionary Multitasking: A Proof of Faster Convergence.,"['Lu Bai', 'Wu Lin', 'Abhishek Gupta', 'Yew-Soon Ong']",IEEE Trans. Cybern.,2022
11,j,Co-Learning Bayesian Optimization.,"['Zhendong Guo', 'Yew-Soon Ong', 'Tiantian He', 'Haitao Liu']",IEEE Trans. Cybern.,2022
12,j,Deep Latent-Variable Kernel Learning.,"['Haitao Liu', 'Yew-Soon Ong', 'Xiaomo Jiang', 'Xiaofang Wang']",IEEE Trans. Cybern.,2022
13,j,Evolutionary Machine Learning With Minions: A Case Study in Feature Selection.,"['Nick Zhang', 'Abhishek Gupta', 'Zefeng Chen', 'Yew-Soon Ong']",IEEE Trans. Evol. Comput.,2022
14,j,Guest Editorial Special Issue on Multitask Evolutionary Computation.,"['Abhishek Gupta', 'Yew-Soon Ong', 'Kenneth A. De Jong', 'Mengjie Zhang']",IEEE Trans. Evol. Comput.,2022
15,j,Indicator-Based Evolutionary Algorithm for Solving Constrained Multiobjective Optimization Problems.,"['Jiawei Yuan', 'Hai-Lin Liu', 'Yew-Soon Ong', 'Zhaoshui He']",IEEE Trans. Evol. Comput.,2022
16,j,Towards Faster Vehicle Routing by Transferring Knowledge From Customer Representation.,"['Liang Feng', 'Yuxiao Huang', 'Ivor W. Tsang', 'Abhishek Gupta', 'Ke Tang', 'Kay Chen Tan', 'Yew-Soon Ong']",IEEE Trans. Intell. Transp. Syst.,2022
17,j,Easy-But-Effective Domain Sub-Similarity Learning for Transfer Regression.,"['Pengfei Wei', 'Ramón Sagarna', 'Yiping Ke', 'Yew-Soon Ong']",IEEE Trans. Knowl. Data Eng.,2022
18,j,Solution Representation Learning in Multi-Objective Transfer Evolutionary Optimization.,"['Ray Lim', 'Lei Zhou', 'Abhishek Gupta', 'Yew-Soon Ong', 'Allan N. Zhang']",IEEE Access,2021
19,j,CIS Publication Spotlight [Publication Spotlight].,"['Haibo He', 'Carlos A. Coello Coello', 'Julian Togelius', 'Yaochu Jin', 'Yew-Soon Ong', 'Hussein A. Abbass']",IEEE Comput. Intell. Mag.,2021
20,j,CIS Publication Spotlight [Publication Spotlight].,"['Haibo He', 'Jon Garibaldi', 'Carlos A. Coello Coello', 'Julian Togelius', 'Yaochu Jin', 'Yew-Soon Ong', 'Hussein A. Abbass']",IEEE Comput. Intell. Mag.,2021
21,j,Can Transfer Neuroevolution Tractably Solve Your Differential Equations?,"['Jian Cheng Wong', 'Abhishek Gupta', 'Yew-Soon Ong']",IEEE Comput. Intell. Mag.,2021
22,j,CIS Publication Spotlight [Publication Spotlight].,"['Haibo He', 'Jon Garibaldi', 'Carlos A. Coello Coello', 'Julian Togelius', 'Yaochu Jin', 'Yew-Soon Ong', 'Hussein A. Abbass']",IEEE Comput. Intell. Mag.,2021
23,j,CIS Publication Spotlight [Publication Spotlight].,"['Haibo He', 'Jon Garibaldi', 'Carlos A. Coello Coello', 'Julian Togelius', 'Yaochu Jin', 'Yew-Soon Ong', 'Hussein A. Abbass']",IEEE Comput. Intell. Mag.,2021
24,j,[Guest Editorial].,"['Liang Feng', 'Handing Wang', 'Yew-Soon Ong', 'Kay Chen Tan', 'Yaochu Jin']",IEEE Comput. Intell. Mag.,2021
25,j,Affect Recognition for Multimodal Natural Language Processing.,"['Soujanya Poria', 'Yew-Soon Ong', 'Bing Liu', 'Lidong Bing']",Cogn. Comput.,2021
26,j,Non-linear Domain Adaptation in Transfer Evolutionary Optimization.,"['Ray Lim', 'Abhishek Gupta', 'Yew-Soon Ong', 'Liang Feng', 'Allan N. Zhang']",Cogn. Comput.,2021
27,j,Multi-source propagation aware network clustering,"['Tiantian He', 'Yew-Soon Ong', 'Pengwei Hu']",Neurocomputing,2021
28,j,Two-type weight adjustments in MOEA/D for highly constrained many-objective optimization.,"['Ruwang Jiao', 'Sanyou Zeng', 'Changhe Li', 'Yew-Soon Ong']",Inf. Sci.,2021
29,j,Modulating scalable Gaussian processes for expressive statistical learning.,"['Haitao Liu', 'Yew-Soon Ong', 'Xiaomo Jiang', 'Xiaofang Wang']",Pattern Recognit.,2021
30,j,Minimalistic Attacks: How Little It Takes to Fool Deep Reinforcement Learning Policies.,"['Xinghua Qu', 'Zhu Sun', 'Yew-Soon Ong', 'Abhishek Gupta', 'Pengfei Wei']",IEEE Trans. Cogn. Dev. Syst.,2021
31,j,Generalizing Transfer Bayesian Optimization to Source-Target Heterogeneity.,"['Alan Tan Wei Min', 'Abhishek Gupta', 'Yew-Soon Ong']",IEEE Trans Autom. Sci. Eng.,2021
32,j,A Collaborative Multiagent Reinforcement Learning Method Based on Policy Gradient Potential.,"['Zhen Zhang', 'Yew-Soon Ong', 'Dongqing Wang', 'Binqiang Xue']",IEEE Trans. Cybern.,2021
