,type,name,author,event,year
0,j,Designing Interactive Paper-Craft Systems with Selective Inductive Power Transmission.,"['Kening Zhu', 'Hideaki Nii', 'Owen Noel Newton Fernando', 'Jeffrey Tzu Kwan Valino Koh', 'Karin Aue', 'Adrian David Cheok']",Interact. Comput.,2013
1,j,AmbiKraf Byobu: Merging Technology with Traditional Craft.,"['Roshan Lalintha Peiris', 'Jeffrey Tzu Kwan Valino Koh', 'Mili John Tharakan', 'Owen Noel Newton Fernando', 'Adrian David Cheok']",Interact. Comput.,2013
2,j,"AmbiKraf - Non-emissive, ubiquitous textile display.","['Roshan Lalintha Peiris', 'Mili John Tharakan', 'Owen Noel Newton Fernando', 'Adrian David Cheok']",Multim. Tools Appl.,2013
3,j,Kawaii/Cute interactive media.,"['Adrian David Cheok', 'Owen Noel Newton Fernando']",Univers. Access Inf. Soc.,2012
4,j,An affective interactive audio interface for Lovotics.,"['Hooman Aghaebrahimi Samani', 'Adrian David Cheok', 'Owen Noel Newton Fernando']",Comput. Entertain.,2011
5,j,Poetry mix-up.,"['Kening Zhu', 'Nimesha Ranasinghe', 'Chamari Priyange Edirisinghe', 'Owen Noel Newton Fernando', 'Adrian David Cheok']",Comput. Entertain.,2011
6,j,Connected online and offline safe social networking for children.,"['Dilrukshi Abeyrathne', 'Chamari Priyange Edirisinghe', 'Nimesha Ranasinghe', 'Kasun Karunanayaka', 'Kening Zhu', 'Roshan Lalintha Peiris', 'Owen Noel Newton Fernando', 'Adrian David Cheok', 'Nancy Lan-Lan Ma', 'Yukihiro Morisawa']",Comput. Entertain.,2011
7,j,Metazoa Ludens: Mixed-Reality Interaction and Play for Small Pets and Humans.,"['Adrian David Cheok', 'Roger Thomas Kok Chuen Tan', 'Roshan Lalintha Peiris', 'Owen Noel Newton Fernando', 'James Keng Soon Teh', 'Imiyage Janaka Prasad Wijesena', 'Janyn Yen Ping Sen']",IEEE Trans. Syst. Man Cybern. Part A,2011
8,j,Modeling literary culture through interactive digital media.,"['Chamari Priyange Edirisinghe', 'Kening Zhu', 'Nimesha Ranasinghe', 'Khoo Eng Tat', 'Vidyarth Eluppai Srivatsan', 'Imiyage Janaka Prasad Wijesena', 'Owen Noel Newton Fernando', 'Adrian David Cheok']",Virtual Real.,2011
9,j,Mixed Reality Entertainment and Art.,"['Adrian David Cheok', 'Michael Haller', 'Owen Noel Newton Fernando', 'Imiyage Janaka Prasad Wijesena']",Int. J. Virtual Real.,2009
