,type,name,author,event,year
0,j,Semantic-Discriminative Mixup for Generalizable Sensor-based Cross-domain Activity Recognition.,"['Wang Lu', 'Jindong Wang', 'Yiqiang Chen', 'Sinno Jialin Pan', 'Chunyu Hu', 'Xin Qin']",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,2022
1,j,Weakly-supervised sensor-based activity segmentation and recognition via learning from distributions.,"['Hangwei Qian', 'Sinno Jialin Pan', 'Chunyan Miao']",Artif. Intell.,2021
2,j,Variational Deep Logic Network for Joint Inference of Entities and Relations.,"['Wenya Wang', 'Sinno Jialin Pan']",Comput. Linguistics,2021
3,j,Weakly-Supervised Cross-Domain Road Scene Segmentation via Multi-Level Curriculum Adaptation.,"['Fengmao Lv', 'Guosheng Lin', 'Peng Liu', 'Guowu Yang', 'Sinno Jialin Pan', 'Lixin Duan']",IEEE Trans. Circuits Syst. Video Technol.,2021
4,j,Communication-efficient distributed multi-task learning with matrix sparsity regularization.,"['Qiang Zhou', 'Yu Chen', 'Sinno Jialin Pan']",Mach. Learn.,2020
5,j,Heterogeneous Domain Adaptation via Nonlinear Matrix Factorization.,"['Haoliang Li', 'Sinno Jialin Pan', 'Shiqi Wang', 'Alex C. Kot']",IEEE Trans. Neural Networks Learn. Syst.,2020
6,j,A deep learning framework for Hybrid Heterogeneous Transfer Learning.,"['Joey Tianyi Zhou', 'Sinno Jialin Pan', 'Ivor W. Tsang']",Artif. Intell.,2019
7,j,Syntactically Meaningful and Transferable Recursive Neural Networks for Aspect and Opinion Extraction.,"['Wenya Wang', 'Sinno Jialin Pan']",Comput. Linguistics,2019
8,j,Multi-class Heterogeneous Domain Adaptation.,"['Joey Tianyi Zhou', 'Ivor W. Tsang', 'Sinno Jialin Pan', 'Mingkui Tan']",J. Mach. Learn. Res.,2019
9,j,Learning-Based Outdoor Localization Exploiting Crowd-Labeled WiFi Hotspots.,"['Jin Wang', 'Jun Luo', 'Sinno Jialin Pan', 'Aixin Sun']",IEEE Trans. Mob. Comput.,2019
10,j,Memory networks for fine-grained opinion mining.,"['Wenya Wang', 'Sinno Jialin Pan', 'Daniel Dahlmeier']",Artif. Intell.,2018
11,j,Counting via LED sensing: Inferring occupancy using lighting infrastructure.,"['Yanbing Yang', 'Jun Luo', 'Jie Hao', 'Sinno Jialin Pan']",Pervasive Mob. Comput.,2018
12,j,Analysis With Histogram of Connectivity: For Automated Evaluation of Piping Layout.,"['Wei-Chian Tan', 'I-Ming Chen', 'Sinno Jialin Pan', 'Hoon Kiang Tan']",IEEE Trans Autom. Sci. Eng.,2018
13,j,Supervised Representation Learning with Double Encoding-Layer Autoencoder for Transfer Learning.,"['Fuzhen Zhuang', 'Xiaohu Cheng', 'Ping Luo', 'Sinno Jialin Pan', 'Qing He']",ACM Trans. Intell. Syst. Technol.,2018
14,j,A unified framework of active transfer learning for cross-system recommendation.,"['Lili Zhao', 'Sinno Jialin Pan', 'Qiang Yang']",Artif. Intell.,2017
15,j,A Unified Framework for Metric Transfer Learning.,"['Yonghui Xu', 'Sinno Jialin Pan', 'Hui Xiong', 'Qingyao Wu', 'Ronghua Luo', 'Huaqing Min', 'Hengjie Song']",IEEE Trans. Knowl. Data Eng.,2017
16,j,HYDRA: Massively Compositional Model for Cross-Project Defect Prediction.,"['Xin Xia', 'David Lo', 'Sinno Jialin Pan', 'Nachiappan Nagappan', 'Xinyu Wang']",IEEE Trans. Software Eng.,2016
17,j,Extended Spectral Regression for efficient scene recognition.,"['Liyuan Li', 'Weixun Goh', 'Joo-Hwee Lim', 'Sinno Jialin Pan']",Pattern Recognit.,2014
18,j,Adaptation Regularization: A General Framework for Transfer Learning.,"['Mingsheng Long', 'Jianmin Wang', 'Guiguang Ding', 'Sinno Jialin Pan', 'Philip S. Yu']",IEEE Trans. Knowl. Data Eng.,2014
19,j,Semi-supervised Domain Adaptation on Manifolds.,"['Li Cheng', 'Sinno Jialin Pan']",IEEE Trans. Neural Networks Learn. Syst.,2014
20,j,Transfer joint embedding for cross-domain named entity recognition.,"['Sinno Jialin Pan', 'Zhiqiang Toh', 'Jian Su']",ACM Trans. Inf. Syst.,2013
21,j,Tracking Mobile Users in Wireless Networks via Semi-Supervised Colocalization.,"['Jeffrey Junfeng Pan', 'Sinno Jialin Pan', 'Jie Yin', 'Lionel M. Ni', 'Qiang Yang']",IEEE Trans. Pattern Anal. Mach. Intell.,2012
22,j,Multitask Learning for Protein Subcellular Location Prediction.,"['Qian Xu', 'Sinno Jialin Pan', 'Hannah Hong Xue', 'Qiang Yang']",IEEE ACM Trans. Comput. Biol. Bioinform.,2011
23,j,Domain Adaptation via Transfer Component Analysis.,"['Sinno Jialin Pan', 'Ivor W. Tsang', 'James T. Kwok', 'Qiang Yang']",IEEE Trans. Neural Networks,2011
24,j,A Survey on Transfer Learning.,"['Sinno Jialin Pan', 'Qiang Yang']",IEEE Trans. Knowl. Data Eng.,2010
25,j,Estimating Location Using Wi-Fi.,"['Qiang Yang', 'Sinno Jialin Pan', 'Vincent Wenchen Zheng']",IEEE Intell. Syst.,2008
26,j,Mining competent case bases for case-based reasoning.,"['Rong Pan', 'Qiang Yang', 'Sinno Jialin Pan']",Artif. Intell.,2007
27,c,Deep Inductive Logic Reasoning for Multi-Hop Reading Comprehension.,"['Wenya Wang', 'Sinno Jialin Pan']",ACL (1),2022
28,c,Learning Generalizable Representations for Reinforcement Learning via Adaptive Meta-learner of Behavioral Similarities.,"['Jianda Chen', 'Sinno Jialin Pan']",ICLR,2022
29,c,Modeling Trajectories with Multi-task Learning.,"['Kaijun Liu', 'Sijie Ruan', 'Qianxiong Xu', 'Cheng Long', 'Nan Xiao', 'Nan Hu', 'Liang Yu', 'Sinno Jialin Pan']",MDM,2022
30,c,Domain Confused Contrastive Learning for Unsupervised Domain Adaptation.,"['Quanyu Long', 'Tianze Luo', 'Wenya Wang', 'Sinno Jialin Pan']",NAACL-HLT,2022
31,c,Convergence Analysis of Linear Coupling with Inexact Proximal Operator.,"['Qiang Zhou', 'Sinno Jialin Pan']",UAI,2022
32,c,Towards Faster Deep Collaborative Filtering via Hierarchical Decision Networks.,"['Yu Chen', 'Sinno Jialin Pan']",AAAI,2021
33,c,Sequential Generative Exploration Model for Partially Observable Reinforcement Learning.,"['Haiyan Yin', 'Jianda Chen', 'Sinno Jialin Pan', 'Sebastian Tschiatschek']",AAAI,2021
34,c,Latent Independent Excitation for Generalizable Sensor-based Cross-Person Activity Recognition.,"['Hangwei Qian', 'Sinno Jialin Pan', 'Chunyan Miao']",AAAI,2021
35,c,AdaRNN: Adaptive Learning and Forecasting of Time Series.,"['Yuntao Du', 'Jindong Wang', 'Wenjie Feng', 'Sinno Jialin Pan', 'Tao Qin', 'Renjun Xu', 'Chongjun Wang']",CIKM,2021
36,c,EnhanceNet: Plugin Neural Networks for Enhancing Correlated Time Series Forecasting.,"['Razvan-Gabriel Cirstea', 'Tung Kieu', 'Chenjuan Guo', 'Bin Yang', 'Sinno Jialin Pan']",ICDE,2021
37,c,Mitigating Performance Saturation in Neural Marked Point Processes: Architectures and Loss Functions.,"['Tianbo Li', 'Tianze Luo', 'Yiping Ke', 'Sinno Jialin Pan']",KDD,2021
38,c,Learning an Adaptive Meta Model-Generator for Incrementally Updating Recommender Systems.,"['Danni Peng', 'Sinno Jialin Pan', 'Jie Zhang', 'Anxiang Zeng']",RecSys,2021
39,c,Transfer Value Iteration Networks.,"['Junyi Shen', 'Hankz Hankui Zhuo', 'Jin Xu', 'Bin Zhong', 'Sinno Jialin Pan']",AAAI,2020
40,c,Integrating Deep Learning with Logic Fusion for Information Extraction.,"['Wenya Wang', 'Sinno Jialin Pan']",AAAI,2020
41,c,Deep Weighted MaxSAT for Aspect-based Opinion Extraction.,"['Meixi Wu', 'Wenya Wang', 'Sinno Jialin Pan']",EMNLP (1),2020
42,c,Communication-Efficient Distributed PCA by Riemannian Optimization.,"['Long-Kai Huang', 'Sinno Jialin Pan']",ICML,2020
43,c,Storage Efficient and Dynamic Flexible Runtime Channel Pruning via Deep Reinforcement Learning.,"['Jianda Chen', 'Shangyu Chen', 'Sinno Jialin Pan']",NeurIPS,2020
44,c,Deep Neural Network Quantization via Layer-Wise Optimization Using Limited Training Data.,"['Shangyu Chen', 'Wenya Wang', 'Sinno Jialin Pan']",AAAI,2019
45,c,Transferable Interactive Memory Network for Domain Adaptation in Fine-Grained Opinion Extraction.,"['Wenya Wang', 'Sinno Jialin Pan']",AAAI,2019
46,c,Distribution-Based Semi-Supervised Learning for Activity Recognition.,"['Hangwei Qian', 'Sinno Jialin Pan', 'Chunyan Miao']",AAAI,2019
47,c,Heterogeneous Transfer Learning via Deep Matrix Completion with Adversarial Kernel Embedding.,"['Haoliang Li', 'Sinno Jialin Pan', 'Renjie Wan', 'Alex C. Kot']",AAAI,2019
48,c,Accelerate Learning of Deep Hashing With Gradient Attention.,"['Long-Kai Huang', 'Jianda Chen', 'Sinno Jialin Pan']",ICCV,2019
49,c,Cooperative Pruning in Cross-Domain Deep Neural Network Compression.,"['Shangyu Chen', 'Wenya Wang', 'Sinno Jialin Pan']",IJCAI,2019
50,c,A Novel Distribution-Embedded Neural Network for Sensor-Based Activity Recognition.,"['Hangwei Qian', 'Sinno Jialin Pan', 'Bingshui Da', 'Chunyan Miao']",IJCAI,2019
51,c,MetaQuant: Learning to Quantize by Learning to Penetrate Non-differentiable Quantization.,"['Shangyu Chen', 'Wenya Wang', 'Sinno Jialin Pan']",NeurIPS,2019
52,c,Data Poisoning Attacks on Multi-Task Relationship Learning.,"['Mengchen Zhao', 'Bo An', 'Yaodong Yu', 'Sulin Liu', 'Sinno Jialin Pan']",AAAI,2018
53,c,SC2Net: Sparse LSTMs for Sparse Coding.,"['Joey Tianyi Zhou', 'Kai Di', 'Jiawei Du', 'Xi Peng', 'Hao Yang', 'Sinno Jialin Pan', 'Ivor W. Tsang', 'Yong Liu', 'Zheng Qin', 'Rick Siow Mong Goh']",AAAI,2018
54,c,Sensor-Based Activity Recognition via Learning From Distributions.,"['Hangwei Qian', 'Sinno Jialin Pan', 'Chunyan Miao']",AAAI,2018
55,c,Recursive Neural Structural Correspondence Network for Cross-domain Aspect and Opinion Co-Extraction.,"['Wenya Wang', 'Sinno Jialin Pan']",ACL (1),2018
56,c,Transfer Learning with PipNet: For Automated Visual Analysis of Piping Design.,"['Wei-Chian Tan', 'I-Ming Chen', 'Dimitrios Pantazis', 'Sinno Jialin Pan']",CASE,2018
57,c,Domain Generalization With Adversarial Feature Learning.,"['Haoliang Li', 'Sinno Jialin Pan', 'Shiqi Wang', 'Alex C. Kot']",CVPR,2018
58,c,Domain Adaptive Semantic Segmentation Through Structure Enhancement.,"['Fengmao Lv', 'Qing Lian', 'Guowu Yang', 'Guosheng Lin', 'Sinno Jialin Pan', 'Lixin Duan']",ECCV Workshops (2),2018
59,c,Hashing over Predicted Future Frames for Informed Exploration of Deep Reinforcement Learning.,"['Haiyan Yin', 'Jianda Chen', 'Sinno Jialin Pan']",IJCAI,2018
60,c,Transition-based Adversarial Network for Cross-lingual Aspect Extraction.,"['Wenya Wang', 'Sinno Jialin Pan']",IJCAI,2018
61,c,Knowledge Transfer for Deep Reinforcement Learning with Hierarchical Experience Replay.,"['Haiyan Yin', 'Sinno Jialin Pan']",AAAI,2017
62,c,Distant Domain Transfer Learning.,"['Ben Tan', 'Yu Zhang', 'Sinno Jialin Pan', 'Qiang Yang']",AAAI,2017
