,type,name,author,event,year
0,j,Representation recovery via L1-norm minimization with corrupted data.,"['Woon Huei Chai', 'Shen-Shyang Ho', 'Hiok Chai Quek']",Inf. Sci.,2022
1,j,Emotionally charged text classification with deep learning and sentiment semantic.,"['Jeow Li Huan', 'Arif Ahmed Sekh', 'Chai Quek', 'Dilip K. Prasad']",Neural Comput. Appl.,2022
2,j,Dynamic portfolio rebalancing through reinforcement learning.,"['Qing Yang Eddy Lim', 'Qi Cao', 'Chai Quek']",Neural Comput. Appl.,2022
3,j,Who are the 'silent spreaders'?: contact tracing in spatio-temporal memory models.,"['Yue Hu', 'Budhitama Subagdja', 'Ah-Hwee Tan', 'Chai Quek', 'Quanjun Yin']",Neural Comput. Appl.,2022
4,j,A Novel Quasi-Newton Method for Composite Convex Minimization.,"['Woon Huei Chai', 'Shen-Shyang Ho', 'Hiok Chai Quek']",Pattern Recognit.,2022
5,j,Hierarchical Reinforcement Learning: A Comprehensive Survey.,"['Shubham Pateria', 'Budhitama Subagdja', 'Ah-Hwee Tan', 'Chai Quek']",ACM Comput. Surv.,2021
6,j,Motivation detection using EEG signal analysis by residual-in-residual convolutional neural network.,"['Soham Chattopadhyay', 'Laila Zary', 'Chai Quek', 'Dilip K. Prasad']",Expert Syst. Appl.,2021
7,j,An interpretable Neural Fuzzy Hammerstein-Wiener network for stock price prediction.,"['Xie Chen', 'Deepu Rajan', 'Chai Quek']",Inf. Sci.,2021
8,j,RS-HeRR: a rough set-based Hebbian rule reduction neuro-fuzzy system.,"['Feng Liu', 'Arif Ahmed Sekh', 'Chai Quek', 'Geok See Ng', 'Dilip K. Prasad']",Neural Comput. Appl.,2021
9,j,seMLP: Self-evolving Multi-layer Perceptron in Stock Trading Decision Making.,"['Seow Wen Jun', 'Arif Ahmed Sekh', 'Chai Quek', 'Dilip K. Prasad']",SN Comput. Sci.,2021
10,j,IT2-GSETSK: An evolving interval Type-II TSK fuzzy neural system for online modeling of noisy data.,"['Mohammad Ashrafi', 'Dilip K. Prasad', 'Chai Quek']",Neurocomputing,2020
