,type,name,author,event,year
0,j,Optimal price profile for influential nodes in online social networks.,"['Yuqing Zhu', 'Jing Tang', 'Xueyan Tang']",VLDB J.,2022
1,j,Revisiting Modified Greedy Algorithm for Monotone Submodular Maximization with a Knapsack Constraint.,"['Jing Tang', 'Xueyan Tang', 'Andrew Lim', 'Kai Han', 'Chongshou Li', 'Junsong Yuan']",Proc. ACM Meas. Anal. Comput. Syst.,2021
2,j,Analysis of Influence Contribution in Social Advertising.,"['Yuqing Zhu', 'Jing Tang', 'Xueyan Tang', 'Lei Chen']",Proc. VLDB Endow.,2021
3,j,Towards Minimizing Resource Usage With QoS Guarantee in Cloud Gaming.,"['Yusen Li', 'Changjian Zhao', 'Xueyan Tang', 'Wentong Cai', 'Xiaoguang Liu', 'Gang Wang', 'Xiaoli Gong']",IEEE Trans. Parallel Distributed Syst.,2021
4,j,Asymmetric Mapping Quantization for Nearest Neighbor Search.,"['Weixiang Hong', 'Xueyan Tang', 'Jingjing Meng', 'Junsong Yuan']",IEEE Trans. Pattern Anal. Mach. Intell.,2020
5,j,Pricing Influential Nodes in Online Social Networks.,"['Yuqing Zhu', 'Jing Tang', 'Xueyan Tang']",Proc. VLDB Endow.,2020
6,j,On Fault-Tolerant Bin Packing for Online Resource Allocation.,"['Chuanyou Li', 'Xueyan Tang']",IEEE Trans. Parallel Distributed Syst.,2020
7,j,Interval Job Scheduling With Machine Launch Cost.,"['Runtian Ren', 'Yuqing Zhu', 'Chuanyou Li', 'Xueyan Tang']",IEEE Trans. Parallel Distributed Syst.,2020
8,j,Efficient approximation algorithms for adaptive influence maximization.,"['Keke Huang', 'Jing Tang', 'Kai Han', 'Xiaokui Xiao', 'Wei Chen', 'Aixin Sun', 'Xueyan Tang', 'Andrew Lim']",VLDB J.,2020
9,j,Deadline-constrained workflow scheduling in IaaS clouds with multi-resource packing.,"['Zhaomeng Zhu', 'Xueyan Tang']",Future Gener. Comput. Syst.,2019
10,j,Cloud Scheduling with Discrete Charging Units.,"['Ming Ming Tan', 'Runtian Ren', 'Xueyan Tang']",IEEE Trans. Parallel Distributed Syst.,2019
11,j,Resource-Efficient Index Shard Replication in Large Scale Search Engines.,"['Yusen Li', 'Xueyan Tang', 'Wentong Cai', 'Jiancong Tong', 'Xiaoguang Liu', 'Gang Wang']",IEEE Trans. Parallel Distributed Syst.,2019
12,j,Constructing routing structures for sensor data collection with dynamic traffic patterns.,"['Wenbo Zhao', 'Xueyan Tang', 'Luping Xu']",Comput. Networks,2018
13,j,Parallel and distributed algorithms.,"['Guillaume Aupy', 'Xueyan Tang']",Concurr. Comput. Pract. Exp.,2018
