,type,name,author,event,year
0,j,Context-Aware Sliding Window for Sentiment Classification.,"['Muhammad Ali Masood', 'Rabeeh Ayaz Abbasi', 'Wee Keong Ng']",IEEE Access,2020
1,j,Privacy-Preserving Weighted Federated Learning Within the Secret Sharing Framework.,"['Huafei Zhu', 'Rick Siow Mong Goh', 'Wee Keong Ng']",IEEE Access,2020
2,j,Learning under concept drift with follow the regularized leader and adaptive decaying proximal.,"['Huynh Ngoc Anh', 'Wee Keong Ng', 'Kanishka Ariyapala']",Expert Syst. Appl.,2018
3,j,A survey on data stream clustering and classification.,"['Hai-Long Nguyen', 'Yew-Kwong Woon', 'Wee Keong Ng']",Knowl. Inf. Syst.,2015
4,j,A novelty detection machine and its application to bank failure prediction.,"['Shukai Li', 'Whye Loon Tung', 'Wee Keong Ng']",Neurocomputing,2014
5,j,Closed motifs for streaming time series classification.,"['Hai-Long Nguyen', 'Wee Keong Ng', 'Yew-Kwong Woon']",Knowl. Inf. Syst.,2014
6,j,Prolonging Lifespan of Sensor Networks Using Redundant Nodes.,"['Wei Zha', 'Wee Keong Ng']",Ad Hoc Sens. Wirel. Networks,2013
7,j,Maximum Volume Outlier Detection and its Applications in Credit Risk Analysis.,"['Shukai Li', 'Wee Keong Ng']",Int. J. Artif. Intell. Tools,2013
8,j,Classification in P2P networks with cascade support vector machines.,"['Hock Hee Ang', 'Vivekanand Gopalkrishnan', 'Steven C. H. Hoi', 'Wee Keong Ng']",ACM Trans. Knowl. Discov. Data,2013
9,j,Concurrent Semi-supervised Learning with Active Learning of Data Streams.,"['Hai-Long Nguyen', 'Wee Keong Ng', 'Yew-Kwong Woon']",Trans. Large Scale Data Knowl. Centered Syst.,2013
10,j,Hybrid solving algorithms for an extended dynamic constraint satisfaction problem based configuration system.,"['Lin Wang', 'Wee Keong Ng']",Concurr. Eng. Res. Appl.,2012
11,j,Extended DCSP Approach on Product Configuration with Cost Estimation.,"['Lin Wang', 'Wee Keong Ng', 'Bin Song']",Concurr. Eng. Res. Appl.,2011
12,j,Structure and attribute index for approximate graph matching in large graphs.,"['Linhong Zhu', 'Wee Keong Ng', 'James Cheng']",Inf. Syst.,2011
13,j,P2PDocTagger: Content management through automated P2P collaborative tagging.,"['Hock Hee Ang', 'Vivekanand Gopalkrishnan', 'Wee Keong Ng', 'Steven C. H. Hoi']",Proc. VLDB Endow.,2010
14,j,Incremental Maintenance of 2-Hop Labeling of Large Graphs.,"['Ramadhana Bramandia', 'Byron Choi', 'Wee Keong Ng']",IEEE Trans. Knowl. Data Eng.,2010
15,j,Privacy-Preserving Gradient-Descent Methods.,"['Shuguo Han', 'Wee Keong Ng', 'Li Wan', 'Vincent C. S. Lee']",IEEE Trans. Knowl. Data Eng.,2010
16,j,Regression models for estimating product life cycle cost.,"['Haifeng Liu', 'Vivekanand Gopalkrishnan', 'Thi Nhu Quynh Kim', 'Wee Keong Ng']",J. Intell. Manuf.,2009
17,j,Density-based clustering of data streams at multiple resolutions.,"['Li Wan', 'Wee Keong Ng', 'Xuan-Hong Dang', 'Philip S. Yu', 'Kuan Zhang']",ACM Trans. Knowl. Discov. Data,2009
18,j,Editorial.,"['Wee Keong Ng', 'Masaru Kitsuregawa', 'Jianzhong Li']",Knowl. Inf. Syst.,2008
19,j,Online mining of frequent sets in data streams with error guarantee.,"['Xuan-Hong Dang', 'Wee Keong Ng', 'Kok-Leong Ong']",Knowl. Inf. Syst.,2008
20,j,Dynamical Systems for Discovering Protein Complexes and Functional Modules from Biological Networks.,"['Wenyuan Li', 'Ying Liu', 'Hung-Chung Huang', 'Yanxiong Peng', 'Yongjing Lin', 'Wee Keong Ng', 'Kok-Leong Ong']",IEEE ACM Trans. Comput. Biol. Bioinform.,2007
21,j,Enhancing the Effectiveness of Clustering with Spectra Analysis.,"['Wenyuan Li', 'Wee Keong Ng', 'Ying Liu', 'Kok-Leong Ong']",IEEE Trans. Knowl. Data Eng.,2007
22,j,Agents and Stream Data Mining: A New Perspective.,"['Kok-Leong Ong', 'Zili Zhang', 'Wee Keong Ng', 'Ee-Peng Lim']",IEEE Intell. Syst.,2005
23,j,On organizing and accessing geospatial and georeferenced Web resources using the G-Portal system.,"['Ee-Peng Lim', 'Zehua Liu', 'Ming Yin', 'Dion Hoe-Lian Goh', 'Yin Leng Theng', 'Wee Keong Ng']",Inf. Process. Manag.,2005
24,j,Web data extraction based on structural similarity.,"['Zhao Li', 'Wee Keong Ng', 'Aixin Sun']",Knowl. Inf. Syst.,2005
25,j,Scheduling Queries to Improve the Freshness of a Website.,"['Haifeng Liu', 'Wee Keong Ng', 'Ee-Peng Lim']",World Wide Web,2005
26,j,Towards building logical views of websites.,"['Zehua Liu', 'Wee Keong Ng', 'Ee-Peng Lim', 'Feifei Li']",Data Knowl. Eng.,2004
27,j,Personalized Web Views for Multilingual Web Sources.,"['Zehua Liu', 'Wee Keong Ng', 'Ee-Peng Lim']",IEEE Internet Comput.,2004
28,j,Parameter driven synthetic web database generation.,"['Pallavi Priyadarshini', 'Fengqiong Qin', 'Ee-Peng Lim', 'Wee Keong Ng']",J. Syst. Softw.,2004
29,j,A Java-based digital library portal for geography education.,"['Zehua Liu', 'Hai Yu', 'Ee-Peng Lim', 'Ming Yin', 'Dion Hoe-Lian Goh', 'Yin Leng Theng', 'Wee Keong Ng']",Sci. Comput. Program.,2004
