,type,name,author,event,year
0,j,PR-NET: Progressively-refined neural network for image manipulation localization.,"['Zenan Shi', 'Chaoqun Chang', 'Haipeng Chen', 'Xiaoyu Du', 'Hanwang Zhang']",Int. J. Intell. Syst.,2022
1,j,Learning to Compose and Reason with Language Tree Structures for Visual Grounding.,"['Richang Hong', 'Daqing Liu', 'Xiaoyu Mo', 'Xiangnan He', 'Hanwang Zhang']",IEEE Trans. Pattern Anal. Mach. Intell.,2022
2,j,Context-Aware Visual Policy Network for Fine-Grained Image Captioning.,"['Zheng-Jun Zha', 'Daqing Liu', 'Hanwang Zhang', 'Yongdong Zhang', 'Feng Wu']",IEEE Trans. Pattern Anal. Mach. Intell.,2022
3,j,Auto-Encoding and Distilling Scene Graphs for Image Captioning.,"['Xu Yang', 'Hanwang Zhang', 'Jianfei Cai']",IEEE Trans. Pattern Anal. Mach. Intell.,2022
4,j,Editorial paper for Pattern Recognition Letters VSI on cross model understanding for visual question answering.,"['Shaohua Wan', 'Zan Gao', 'Hanwang Zhang', 'Xiaojun Chang', 'Chen Chen', 'Anastasios Tefas']",Pattern Recognit. Lett.,2022
5,j,Guest Editorial Introduction to the Special Section on Video and Language.,"['Tao Mei', 'Jason J. Corso', 'Gunhee Kim', 'Jiebo Luo', 'Chunhua Shen', 'Hanwang Zhang']",IEEE Trans. Circuits Syst. Video Technol.,2022
6,j,Discriminative Style Learning for Cross-Domain Image Captioning.,"['Jin Yuan', 'Shuai Zhu', 'Shuyin Huang', 'Hanwang Zhang', 'Yaoqiang Xiao', 'Zhiyong Li', 'Meng Wang']",IEEE Trans. Image Process.,2022
7,j,Align R-CNN: A Pairwise Head Network for Visual Relationship Detection.,"['Mitra Tajrobehkar', 'Kaihua Tang', 'Hanwang Zhang', 'Joo-Hwee Lim']",IEEE Trans. Multim.,2022
8,j,Variational Context: Exploiting Visual and Textual Context for Grounding Referring Expressions.,"['Yulei Niu', 'Hanwang Zhang', 'Zhiwu Lu', 'Shih-Fu Chang']",IEEE Trans. Pattern Anal. Mach. Intell.,2021
9,j,Self-Adaptive Neural Module Transformer for Visual Question Answering.,"['Huasong Zhong', 'Jingyuan Chen', 'Chen Shen', 'Hanwang Zhang', 'Jianqiang Huang', 'Xian-Sheng Hua']",IEEE Trans. Multim.,2021
