,type,name,author,event,year
0,j,Online adaptation for autonomous unmanned systems driven by requirements satisfaction model.,"['Yixing Luo', 'Yuan Zhou', 'Haiyan Zhao', 'Zhi Jin', 'Tianwei Zhang', 'Yang Liu', 'Danny Barthaud', 'Yijun Yu']",Softw. Syst. Model.,2022
1,j,Sentence Similarity Based on Contexts.,"['Xiaofei Sun', 'Yuxian Meng', 'Xiang Ao', 'Fei Wu', 'Tianwei Zhang', 'Jiwei Li', 'Chun Fan']",Trans. Assoc. Comput. Linguistics,2022
2,j,Topology-Aware Differential Privacy for Decentralized Image Classification.,"['Shangwei Guo', 'Tianwei Zhang', 'Guowen Xu', 'Han Yu', 'Tao Xiang', 'Yang Liu']",IEEE Trans. Circuits Syst. Video Technol.,2022
3,j,Byzantine-Resilient Decentralized Stochastic Gradient Descent.,"['Shangwei Guo', 'Tianwei Zhang', 'Han Yu', 'Xiaofei Xie', 'Lei Ma', 'Tao Xiang', 'Yang Liu']",IEEE Trans. Circuits Syst. Video Technol.,2022
4,j,A Practical Fog-Based Privacy-Preserving Online Car-Hailing Service System.,"['Jianfei Sun', 'Guowen Xu', 'Tianwei Zhang', 'Mamoun Alazab', 'Robert H. Deng']",IEEE Trans. Inf. Forensics Secur.,2022
5,j,Astraea: A Fair Deep Learning Scheduler for Multi-Tenant GPU Clusters.,"['Zhisheng Ye', 'Peng Sun', 'Wei Gao', 'Tianwei Zhang', 'Xiaolin Wang', 'Shengen Yan', 'Yingwei Luo']",IEEE Trans. Parallel Distributed Syst.,2022
6,j,"A Survey of Microarchitectural Side-channel Vulnerabilities, Attacks, and Defenses in Cryptography.","['Xiaoxuan Lou', 'Tianwei Zhang', 'Jun Jiang', 'Yinqian Zhang']",ACM Comput. Surv.,2021
7,j,Toward Secure and Efficient Deep Learning Inference in Dependable IoT Systems.,"['Han Qiu', 'Qinkai Zheng', 'Tianwei Zhang', 'Meikang Qiu', 'Gérard Memmi', 'Jialiang Lu']",IEEE Internet Things J.,2021
8,j,Attacking and Protecting Data Privacy in Edge-Cloud Collaborative Inference Systems.,"['Zecheng He', 'Tianwei Zhang', 'Ruby B. Lee']",IEEE Internet Things J.,2021
9,j,Adversarial Attacks Against Network Intrusion Detection in IoT Systems.,"['Han Qiu', 'Tian Dong', 'Tianwei Zhang', 'Jialiang Lu', 'Gérard Memmi', 'Meikang Qiu']",IEEE Internet Things J.,2021
10,j,Novel denial-of-service attacks against cloud-based multi-robot systems.,"['Yuan Xu', 'Gelei Deng', 'Tianwei Zhang', 'Han Qiu', 'Yungang Bao']",Inf. Sci.,2021
11,j,"Design, Implementation and Verification of Cloud Architecture for Monitoring a Virtual Machine's Security Health.","['Tianwei Zhang', 'Ruby B. Lee']",IEEE Trans. Computers,2018
12,j,Monitoring and Attestation of Virtual Machine Security Health in Cloud Computing.,"['Tianwei Zhang', 'Ruby B. Lee']",IEEE Micro,2016
13,c,Fast Nearest Neighbor Machine Translation.,"['Yuxian Meng', 'Xiaoya Li', 'Xiayu Zheng', 'Fei Wu', 'Xiaofei Sun', 'Tianwei Zhang', 'Jiwei Li']",ACL (Findings),2022
14,c,A Formal Methodology for Verifying Side-Channel Vulnerabilities in Cache Architectures.,"['Ke Jiang', 'Tianwei Zhang', 'David Sanán', 'Yongwang Zhao', 'Yang Liu']",ICFEM,2022
15,c,BadPre: Task-agnostic Backdoor Attacks to Pre-trained NLP Foundation Models.,"['Kangjie Chen', 'Yuxian Meng', 'Xiaofei Sun', 'Shangwei Guo', 'Tianwei Zhang', 'Jiwei Li', 'Chun Fan']",ICLR,2022
16,c,NASPY: Automated Extraction of Automated Machine Learning Models.,"['Xiaoxuan Lou', 'Shangwei Guo', 'Jiwei Li', 'Yaoxin Wu', 'Tianwei Zhang']",ICLR,2022
17,c,GNN-LM: Language Modeling based on Global Contexts via GNN.,"['Yuxian Meng', 'Shi Zong', 'Xiaoya Li', 'Xiaofei Sun', 'Tianwei Zhang', 'Fei Wu', 'Jiwei Li']",ICLR,2022
18,c,Text's Armor: Optimized Local Adversarial Perturbation Against Scene Text Editing Attacks.,"['Tao Xiang', 'Hangcheng Liu', 'Shangwei Guo', 'Hantao Liu', 'Tianwei Zhang']",ACM Multimedia,2022
19,c,Physical Backdoor Attacks to Lane Detection Systems in Autonomous Driving.,"['Xingshuo Han', 'Guowen Xu', 'Yuan Zhou', 'Xuehuan Yang', 'Jiwei Li', 'Tianwei Zhang']",ACM Multimedia,2022
20,c,Triggerless Backdoor Attack for NLP Tasks with Clean Labels.,"['Leilei Gan', 'Jiwei Li', 'Tianwei Zhang', 'Xiaoya Li', 'Yuxian Meng', 'Fei Wu', 'Yi Yang', 'Shangwei Guo', 'Chun Fan']",NAACL-HLT,2022
21,c,Primo: Practical Learning-Augmented Systems with Interpretable Models.,"['Qinghao Hu', 'Harsha Nori', 'Peng Sun', 'Yonggang Wen', 'Tianwei Zhang']",USENIX Annual Technical Conference,2022
22,c,"Efficient, Private and Robust Federated Learning.","['Meng Hao', 'Hongwei Li', 'Guowen Xu', 'Hanxiao Chen', 'Tianwei Zhang']",ACSAC,2021
23,c,Stealing Deep Reinforcement Learning Models for Fun and Profit.,"['Kangjie Chen', 'Shangwei Guo', 'Tianwei Zhang', 'Xiaofei Xie', 'Yang Liu']",AsiaCCS,2021
24,c,DeepSweep: An Evaluation Framework for Mitigating DNN Backdoor Attacks using Data Augmentation.,"['Han Qiu', 'Yi Zeng', 'Shangwei Guo', 'Tianwei Zhang', 'Meikang Qiu', 'Bhavani Thuraisingham']",AsiaCCS,2021
25,c,Temporal Watermarks for Deep Reinforcement Learning Models.,"['Kangjie Chen', 'Shangwei Guo', 'Tianwei Zhang', 'Shuxin Li', 'Yang Liu']",AAMAS,2021
26,c,Chronus: A Novel Deadline-aware Scheduler for Deep Learning Training Jobs.,"['Wei Gao', 'Zhisheng Ye', 'Peng Sun', 'Yonggang Wen', 'Tianwei Zhang']",SoCC,2021
27,c,Privacy-Preserving Collaborative Learning With Automatic Transformation Search.,"['Wei Gao', 'Shangwei Guo', 'Tianwei Zhang', 'Han Qiu', 'Yonggang Wen', 'Yang Liu']",CVPR,2021
