,type,name,author,event,year
0,j,"The Impact of a Number of Samples on Unsupervised Feature Extraction, Based on Deep Learning for Detection Defects in Printed Circuit Boards.","['Ihar Volkau', 'Abdul Mujeeb', 'Wenting Dai', 'Marius Erdt', 'Alexei Sourin']",Future Internet,2022
1,j,Self-supervised pairing image clustering for automated quality control.,"['Wenting Dai', 'Marius Erdt', 'Alexei Sourin']",Vis. Comput.,2022
2,j,Detection and segmentation of image anomalies based on unsupervised defect reparation.,"['Wenting Dai', 'Marius Erdt', 'Alexei Sourin']",Vis. Comput.,2021
3,j,Soldering defect detection in automatic optical inspection.,"['Wenting Dai', 'Abdul Mujeeb', 'Marius Erdt', 'Alexei Sourin']",Adv. Eng. Informatics,2020
4,j,Interactive visual labelling versus active learning: an experimental comparison.,"['Mohammad Chegini', 'Jürgen Bernard', 'Jian Cui', 'Fatemeh Chegini', 'Alexei Sourin', 'Keith Andrews', 'Tobias Schreck']",Frontiers Inf. Technol. Electron. Eng.,2020
5,j,One class based feature learning approach for defect detection using deep autoencoders.,"['Abdul Mujeeb', 'Wenting Dai', 'Marius Erdt', 'Alexei Sourin']",Adv. Eng. Informatics,2019
6,j,"Interactive labelling of a multivariate dataset for supervised machine learning using linked visualisations, clustering, and active learning.","['Mohammad Chegini', 'Jürgen Bernard', 'Philip Berger', 'Alexei Sourin', 'Keith Andrews', 'Tobias Schreck']",Vis. Informatics,2019
7,j,Interactive rendering of translucent materials under area lights using voxels and Poisson disk samples.,"['Ming Di Koa', 'Henry Johan', 'Alexei Sourin']",Comput. Graph.,2018
8,j,Mid-air interaction with optical tracking for 3D modeling.,"['Jian Cui', 'Alexei Sourin']",Comput. Graph.,2018
9,j,Interactive Cutting of Thin Deformable Objects.,"['Bin Weng', 'Alexei Sourin']",Symmetry,2018
10,j,Foreword to the Special Issue on 2016 International Conference on Cyberworlds (CYBERWORLDS 2016).,"['Issei Fujishiro', 'Alexei Sourin']",Comput. Graph.,2017
11,j,Procedural modeling of architecture with round geometry.,"['Johannes Edelsbrunner', 'Sven Havemann', 'Alexei Sourin', 'Dieter W. Fellner']",Comput. Graph.,2017
12,j,Interactive screenspace fragment rendering for direct illumination from area lights using gradient aware subdivision and radial basis function interpolation.,"['Ming Di Koa', 'Henry Johan', 'Alexei Sourin']",Comput. Graph.,2017
13,j,Tangible images of real life scenes.,"['Xingzi Zhang', 'Michael Goesele', 'Alexei Sourin']",Comput. Graph.,2017
14,j,Constructive Roofs from Solid Building Primitives.,"['Johannes Edelsbrunner', 'Ulrich Krispel', 'Sven Havemann', 'Alexei Sourin', 'Dieter W. Fellner']",Trans. Comput. Sci.,2016
15,j,Problems of Human-Computer Interaction in Cyberworlds.,"['Alexei Sourin', 'Rae A. Earnshaw', 'Marina L. Gavrilova', 'Olga Sourina']",Trans. Comput. Sci.,2016
16,j,Preface to the special section on Cyberworlds 2015.,['Alexei Sourin'],Vis. Comput.,2016
17,j,Real-time haptic interaction with RGBD video streams.,"['Shahzad Rasool', 'Alexei Sourin']",Vis. Comput.,2016
18,j,Image-inspired haptic interaction.,"['Xingzi Zhang', 'Alexei Sourin']",Comput. Animat. Virtual Worlds,2015
19,j,Image-Driven Haptic Rendering.,"['Shahzad Rasool', 'Alexei Sourin']",Trans. Comput. Sci.,2014
20,j,Image-Based Virtual Palpation.,"['Shamima Yasmin', 'Alexei Sourin']",Trans. Comput. Sci.,2013
21,j,Preface to special issue on Cyberworlds 2011.,"['Marina L. Gavrilova', 'Alexei Sourin']",Vis. Comput.,2013
22,j,Image-driven virtual simulation of arthroscopy.,"['Shahzad Rasool', 'Alexei Sourin']",Vis. Comput.,2013
23,j,Interactive free-form shape modeling in cyberworlds.,"['Danbo Lai', 'Alexei Sourin']",Vis. Comput.,2013
24,j,Function-Based Single and Dual Point Haptic Interaction in Cyberworlds.,"['Lei Wei', 'Alexei Sourin', 'Zoran Najdovski', 'Saeid Nahavandi']",Trans. Comput. Sci.,2012
25,j,Reconstructing Multiresolution Mesh for Web Visualization Based on PDE Resampling.,"['Ming-Yong Pang', 'Yun Sheng', 'Alexei Sourin', 'Gabriela González Castro', 'Hassan Ugail']",Trans. Comput. Sci.,2011
26,j,Special issue on Cyberworlds 2010.,"['Alexei Sourin', 'Daniel Thalmann', 'Olga Sourina']",Vis. Comput.,2011
27,j,Function-based approach to mixed haptic effects rendering.,"['Lei Wei', 'Alexei Sourin']",Vis. Comput.,2011
28,j,Constructing Subdivision Connectivity Mesh via PDE Parameterization.,"['Mingyong Pang', 'Alexei Sourin', 'Zhigeng Pan']",Int. J. Virtual Real.,2010
29,j,A PDE method for patchwise approximation of large polygon meshes.,"['Yun Sheng', 'Alexei Sourin', 'Gabriela González Castro', 'Hassan Ugail']",Vis. Comput.,2010
30,j,Interactive surface-guided segmentation of brain MRI data.,"['Konstantin Levinski', 'Alexei Sourin', 'Vitali Zagorodnov']",Comput. Biol. Medicine,2009
31,j,Visual Immersive Haptic Mathematics in Shared Virtual Spaces.,"['Alexei Sourin', 'Olga Sourina', 'Lei Wei', 'Paul Gagnon']",Trans. Comput. Sci.,2009
32,j,Visual immersive haptic mathematics.,"['Alexei Sourin', 'Lei Wei']",Virtual Real.,2009
33,j,Function-based visualization and haptic rendering in shared virtual spaces.,"['Lei Wei', 'Alexei Sourin', 'Olga Sourina']",Vis. Comput.,2008
34,j,Interactive function-based shape modelling.,"['Konstantin Levinski', 'Alexei Sourin']",Comput. Graph.,2007
35,j,Editorial.,"['Daniel Thalmann', 'Alexei Sourin']",Vis. Comput.,2007
36,j,Human electroencephalograms seen as fractal time series: Mathematical analysis and visualization.,"['Vladimir Kulish', 'Alexei Sourin', 'Olga Sourina']",Comput. Biol. Medicine,2006
37,j,Function-based shape modelling extension of the Virtual Reality Modelling Language.,"['Qi Liu', 'Alexei Sourin']",Comput. Graph.,2006
38,j,Cyber-Learning in Cyberworlds.,"['Alexei Sourin', 'Olga Sourina', 'Ekaterina Prasolova-Førland']",J. Cases Inf. Technol.,2006
39,j,Function-defined shape metamorphoses in visual cyberworlds.,"['Qi Liu', 'Alexei Sourin']",Vis. Comput.,2006
40,j,Cybercampuses: design issues and future directions.,"['Ekaterina Prasolova-Førland', 'Alexei Sourin', 'Olga Sourina']",Vis. Comput.,2006
41,j,Guest editor's introduction.,"['Seah Hock Soon', 'Alexei Sourin']",Comput. Graph.,2004
42,j,Nanyang Technological University Virtual Campus.,['Alexei Sourin'],IEEE Computer Graphics and Applications,2004
43,j,Synthetic carving using implicit surface primitives.,"['Alexander A. Pasko', 'Vladimir V. Savchenko', 'Alexei Sourin']",Comput. Aided Des.,2001
44,j,Functionally based virtual embossing.,['Alexei Sourin'],Vis. Comput.,2001
45,j,Using real functions with application to hair modelling.,"['Alexei Sourin', 'Alexander A. Pasko', 'Vladimir V. Savchenko']",Comput. Graph.,1996
46,j,Function Representation for Sweeping by a Moving Solid.,"['Alexei Sourin', 'Alexander A. Pasko']",IEEE Trans. Vis. Comput. Graph.,1996
47,j,"Function representation in geometric modeling: concepts, implementation and applications.","['Alexander A. Pasko', 'Valery Adzhiev', 'Alexei Sourin', 'Vladimir V. Savchenko']",Vis. Comput.,1995
48,c,Anomaly Detection and Segmentation Based on Defect Repaired Image Resynthesis.,"['Wenting Dai', 'Marius Erdt', 'Alexei Sourin']",CW,2021
49,c,Virtual Assembling Using Hand Tracking with Leap Motion Controller.,"['Siyi Mu', 'Alexei Sourin']",CW,2021
50,c,Application of Generative Adversarial Networks and Latent Space Exploration in Music Visualisation.,"['Haziq Yusoff bin Abdul Wahab', 'Alexei Sourin']",CW,2021
51,c,Generation of Music With Dynamics Using Deep Convolutional Generative Adversarial Network.,"['Raymond Kwan How Toh', 'Alexei Sourin']",CW,2021
52,c,Self-supervised Pairing Image Clustering and Its Application in Cyber Manufacturing.,"['Wenting Dai', 'Yutao Jiao', 'Marius Erdt', 'Alexei Sourin']",CW,2020
53,c,Generation of Irregular Music Patterns With Deep Learning.,"['Zi Jun Kan', 'Alexei Sourin']",CW,2020
54,c,Music in the Air with Leap Motion Controller.,['Alexei Sourin'],CW,2019
55,c,Detection Defect in Printed Circuit Boards using Unsupervised Feature Extraction Upon Transfer Learning.,"['Ihar Volkau', 'Abdul Mujeeb', 'Wenting Dai', 'Marius Erdt', 'Alexei Sourin']",CW,2019
56,c,Eye-Tracking Based Adaptive Parallel Coordinates.,"['Mohammad Chegini', 'Keith Andrews', 'Tobias Schreck', 'Alexei Sourin']",SIGGRAPH Asia Posters,2019
57,c,Tangible Video Communication over the Internet.,"['Song Guo', 'Alexei Sourin']",CGI,2018
58,c,Towards Asynchronous Video-Haptic Interaction in Cyberspace.,"['Song Guo', 'Alexei Sourin']",CW,2018
59,c,Towards Automatic Optical Inspection of Soldering Defects.,"['Wenting Dai', 'Abdul Mujeeb', 'Marius Erdt', 'Alexei Sourin']",CW,2018
