,type,name,author,event,year
0,j,The Bitlet Model: A Parameterized Analytical Model to Compare PIM and CPU Systems.,"['Ronny Ronen', 'Adi Eliahu', 'Orian Leitersdorf', 'Natan Peled', 'Kunal Korgaonkar', 'Anupam Chattopadhyay', 'Ben Perach', 'Shahar Kvatinsky']",ACM J. Emerg. Technol. Comput. Syst.,2022
1,j,Will You Cross the Threshold for Me? Generic Side-Channel Assisted Chosen-Ciphertext Attacks on NTRU-based KEMs.,"['Prasanna Ravi', 'Martianus Frederic Ezerman', 'Shivam Bhasin', 'Anupam Chattopadhyay', 'Sujoy Sinha Roy']",IACR Trans. Cryptogr. Hardw. Embed. Syst.,2022
2,j,On Exploiting Message Leakage in (Few) NIST PQC Candidates for Practical Message Recovery Attacks.,"['Prasanna Ravi', 'Shivam Bhasin', 'Sujoy Sinha Roy', 'Anupam Chattopadhyay']",IEEE Trans. Inf. Forensics Secur.,2022
3,j,Differential fault location identification by machine learning.,"['Anubhab Baksi', 'Santanu Sarkar', 'Akhilesh Siddhanti', 'Ravi Anand', 'Anupam Chattopadhyay']",CAAI Trans. Intell. Technol.,2021
4,j,A survey on adversarial attacks and defences.,"['Anirban Chakraborty', 'Manaar Alam', 'Vishal Dey', 'Anupam Chattopadhyay', 'Debdeep Mukhopadhyay']",CAAI Trans. Intell. Technol.,2021
5,j,Lattice-based Key-sharing Schemes: A Survey.,"['Prasanna Ravi', 'James Howe', 'Anupam Chattopadhyay', 'Shivam Bhasin']",ACM Comput. Surv.,2021
6,j,"MemEnc: A Lightweight, Low-Power, and Transparent Memory Encryption Engine for IoT.","['Naina Gupta', 'Arpan Jati', 'Anupam Chattopadhyay']",IEEE Internet Things J.,2021
7,j,Autonomous Vehicle: Security by Design.,"['Anupam Chattopadhyay', 'Kwok-Yan Lam', 'Yaswanth Tavva']",IEEE Trans. Intell. Transp. Syst.,2021
8,j,"PQC Acceleration Using GPUs: FrodoKEM, NewHope, and Kyber.","['Naina Gupta', 'Arpan Jati', 'Amit Kumar Chauhan', 'Anupam Chattopadhyay']",IEEE Trans. Parallel Distributed Syst.,2021
9,j,Hierarchical discovery of large-scale and focal copy number alterations in low-coverage cancer genomes.,"['Ahmed Ibrahim S. Khalil', 'Costerwell Khyriem', 'Anupam Chattopadhyay', 'Amartya Sanyal']",BMC Bioinform.,2020
10,j,Identification and utilization of copy number information for correcting Hi-C contact map of cancer cell lines.,"['Ahmed Ibrahim S. Khalil', 'Siti Rawaidah Binte Mohammad Muzaki', 'Anupam Chattopadhyay', 'Amartya Sanyal']",BMC Bioinform.,2020
11,j,A Brain-Computer Interface Framework Based on Compressive Sensing and Deep Learning.,"['Ritu Ranjan Shrivastwa', 'Vikramkumar Pudi', 'Duo Chen', 'Rosa Q. So', 'Anupam Chattopadhyay', 'Cuntai Guan']",IEEE Consumer Electron. Mag.,2020
