,type,name,author,event,year
0,j,A Modular Framework for Centrality and Clustering in Complex Networks.,"['Frédérique E. Oggier', 'Silivanxay Phetsouvanh', 'Anwitaman Datta']",IEEE Access,2022
1,j,Quorums over codes.,"['Anwitaman Datta', 'Frédérique E. Oggier']",J. Parallel Distributed Comput.,2022
2,j,Utility-Driven k-Anonymization of Public Transport User Data.,"['Bhawani Shanker Bhati', 'Jordan Ivanchev', 'Iva Bojic', 'Anwitaman Datta', 'David Eckhoff']",IEEE Access,2021
3,j,QLOC: Quorums With Local Reconstruction Codes.,"['Anwitaman Datta', 'Adamas Aqsa Fahreza', 'Frédérique E. Oggier']",IEEE Access,2021
4,j,Analysis of multi-input multi-output transactions in the Bitcoin network.,"['Silivanxay Phetsouvanh', 'Anwitaman Datta', 'Frédérique E. Oggier']",Concurr. Comput. Pract. Exp.,2021
5,j,On Grid Quorums for Erasure Coded Data.,"['Frédérique E. Oggier', 'Anwitaman Datta']",Entropy,2021
6,j,On unlinkability and denial of service attacks resilience of whistleblower platforms.,"['Silivanxay Phetsouvanh', 'Anwitaman Datta', 'Alwen Tiu']",Future Gener. Comput. Syst.,2021
7,j,Renyi entropy driven hierarchical graph clustering.,"['Frédérique E. Oggier', 'Anwitaman Datta']",PeerJ Comput. Sci.,2021
8,j,Centrality informed embedding of networks for temporal feature extraction.,"['Frédérique E. Oggier', 'Anwitaman Datta']",Soc. Netw. Anal. Min.,2021
9,j,An ego network analysis of sextortionists.,"['Frédérique E. Oggier', 'Anwitaman Datta', 'Silivanxay Phetsouvanh']",Soc. Netw. Anal. Min.,2020
10,j,Two-factor authentication for trusted third party free dispersed storage.,"['Ertem Esiner', 'Anwitaman Datta']",Future Gener. Comput. Syst.,2019
11,j,On hybrid network coding for visual traffic surveillance.,"['Chih Wei Ling', 'Anwitaman Datta', 'Jun Xu']",Future Gener. Comput. Syst.,2019
