,type,name,author,event,year
0,j,Deep Reinforcement Learning for Quantitative Trading: Challenges and Opportunities.,"['Bo An', 'Shuo Sun', 'Rundong Wang']",IEEE Intell. Syst.,2022
1,j,Planning sequential interventions to tackle depression in large uncertain social networks using deep reinforcement learning.,"['Aye Phyu Phyu Aung', 'Senthilnath Jayavelu', 'Xiaoli Li', 'Bo An']",Neurocomputing,2022
2,j,Regularized Matrix Factorization for Multilabel Learning With Missing Labels.,"['Lei Feng', 'Jun Huang', 'Senlin Shu', 'Bo An']",IEEE Trans. Cybern.,2022
3,j,Batch Crowdsourcing for Complex Tasks Based on Distributed Team Formation in E-Markets.,"['Jiuchuan Jiang', 'Kai Di', 'Bo An', 'Yichuan Jiang', 'Zhan Bu', 'Jie Cao']",IEEE Trans. Parallel Distributed Syst.,2022
4,j,Electric vehicle charging strategy study and the application on charging station placement.,"['Yanhai Xiong', 'Bo An', 'Sarit Kraus']",Auton. Agents Multi Agent Syst.,2021
5,j,Utility distribution matters: enabling fast belief propagation for multi-agent optimization with dense local utility function.,"['Yanchen Deng', 'Bo An']",Auton. Agents Multi Agent Syst.,2021
6,j,Orientational variable-length strip covering problem: A branch-and-price-based algorithm.,"['Xiaoxuan Hu', 'Waiming Zhu', 'Huawei Ma', 'Bo An', 'Yanling Zhi', 'Yi Wu']",Eur. J. Oper. Res.,2021
7,j,Embedding-Augmented Generalized Matrix Factorization for Recommendation With Implicit Feedback.,"['Lei Feng', 'Hongxin Wei', 'Qingyu Guo', 'Zhuoyi Lin', 'Bo An']",IEEE Intell. Syst.,2021
8,j,Toward Efficient City-Scale Patrol Planning Using Decomposition and Grafting.,"['Wanyuan Wang', 'Zichen Dong', 'Bo An', 'Yichuan Jiang']",IEEE Trans. Intell. Transp. Syst.,2021
9,j,Group-Oriented Task Allocation for Crowdsourcing in Social Networks.,"['Jiuchuan Jiang', 'Bo An', 'Yichuan Jiang', 'Chenyan Zhang', 'Zhan Bu', 'Jie Cao']",IEEE Trans. Syst. Man Cybern. Syst.,2021
10,j,Optimal Spot-Checking for Improving the Evaluation Quality of Crowdsourcing: Application to Peer Grading Systems.,"['Wanyuan Wang', 'Bo An', 'Yichuan Jiang']",IEEE Trans. Comput. Soc. Syst.,2020
11,j,Randomized Security Patrolling for Link Flooding Attack Detection.,"['Xiaobo Ma', 'Bo An', 'Mengchen Zhao', 'Xiapu Luo', 'Lei Xue', 'Zhenhua Li', 'Tony T. N. Miu', 'Xiaohong Guan']",IEEE Trans. Dependable Secur. Comput.,2020
12,j,Context-Aware Reliable Crowdsourcing in Social Networks.,"['Jiuchuan Jiang', 'Bo An', 'Yichuan Jiang', 'Donghui Lin']",IEEE Trans. Syst. Man Cybern. Syst.,2020
13,j,A branch and price algorithm for EOS constellation imaging and downloading integrated scheduling problem.,"['Xiaoxuan Hu', 'Waiming Zhu', 'Bo An', 'Peng Jin', 'Wei Xia']",Comput. Oper. Res.,2019
14,j,Protecting internet infrastructure against link flooding attacks: A techno-economic perspective.,"['Xiaobo Ma', 'Jianfeng Li', 'Yajuan Tang', 'Bo An', 'Xiaohong Guan']",Inf. Sci.,2019
15,j,Competitive Cloud Pricing for Long-Term Revenue Maximization.,"['Jiang Rong', 'Tao Qin', 'Bo An']",J. Comput. Sci. Technol.,2019
16,j,Strategic Social Team Crowdsourcing: Forming a Team of Truthful Workers for Crowdsourcing in Social Networks.,"['Wanyuan Wang', 'Zhanpeng He', 'Peng Shi', 'Weiwei Wu', 'Yichuan Jiang', 'Bo An', 'Zhifeng Hao', 'Bing Chen']",IEEE Trans. Mob. Comput.,2019
17,j,Batch Allocation for Tasks with Overlapping Skill Requirements in Crowdsourcing.,"['Jiuchuan Jiang', 'Bo An', 'Yichuan Jiang', 'Peng Shi', 'Zhan Bu', 'Jie Cao']",IEEE Trans. Parallel Distributed Syst.,2019
18,j,Optimal defense against election control by deleting voter groups.,"['Yue Yin', 'Yevgeniy Vorobeychik', 'Bo An', 'Noam Hazon']",Artif. Intell.,2018
19,j,"Predicting Human Decision-Making: From Prediction to Action, Ariel Rosenfeld, Sarit Kraus. Morgan & Claypool Publishers (2018).",['Bo An'],Artif. Intell.,2018
20,j,Camera Placement Based on Vehicle Traffic for Better City Security Surveillance.,"['Xiaobo Ma', 'Yihui He', 'Xiapu Luo', 'Jianfeng Li', 'Mengchen Zhao', 'Bo An', 'Xiaohong Guan']",IEEE Intell. Syst.,2018
21,j,Active learning with confidence-based answers for crowdsourcing labeling tasks.,"['Jinhua Song', 'Hao Wang', 'Yang Gao', 'Bo An']",Knowl. Based Syst.,2018
22,j,Understanding Crowdsourcing Systems from a Multiagent Perspective and Approach.,"['Jiuchuan Jiang', 'Bo An', 'Yichuan Jiang', 'Donghui Lin', 'Zhan Bu', 'Jie Cao', 'Zhifeng Hao']",ACM Trans. Auton. Adapt. Syst.,2018
23,j,ACM TIST Special Issue on Urban Intelligence.,"['Bo An', 'Nicholas R. Jennings', 'Zhenhui Jessie Li']",ACM Trans. Intell. Syst. Technol.,2018
24,j,Optimal Electric Vehicle Fast Charging Station Placement Based on Game Theoretical Framework.,"['Yanhai Xiong', 'Jiarui Gan', 'Bo An', 'Chunyan Miao', 'Ana L. C. Bazzan']",IEEE Trans. Intell. Transp. Syst.,2018
25,j,Human-computer negotiation in a three player market setting.,"['Galit Haim', ""Ya'akov (Kobi) Gal"", 'Bo An', 'Sarit Kraus']",Artif. Intell.,2017
26,j,PAWS - A Deployed Game-Theoretic Application to Combat Poaching.,"['Fei Fang', 'Thanh Hong Nguyen', 'Rob Pickles', 'Wai Y. Lam', 'Gopalasamy R. Clements', 'Bo An', 'Amandeep Singh', 'Brian C. Schwedock', 'Milind Tambe', 'Andrew Lemieux']",AI Mag.,2017
27,j,Artificial Intelligence Research in Singapore: Assisting the Development of a Smart Nation.,"['Pradeep Varakantham', 'Bo An', 'Bryan Low', 'Jie Zhang']",AI Mag.,2017
28,j,Game-Theoretic Considerations for Optimizing Taxi System Efficiency.,"['Jiarui Gan', 'Bo An']",IEEE Intell. Syst.,2017
29,j,Measuring the social influences of scientist groups based on multiple types of collaboration relations.,"['Jiuchuan Jiang', 'Peng Shi', 'Bo An', 'Jianyong Yu', 'Chongjun Wang']",Inf. Process. Manag.,2017
30,j,Workload Factoring and Resource Sharing via Joint Vertical and Horizontal Cloud Federation Networks.,"['Haipeng Chen', 'Bo An', 'Dusit Niyato', 'Yeng Chai Soh', 'Chunyan Miao']",IEEE J. Sel. Areas Commun.,2017
31,j,Toward Efficient Team Formation for Crowdsourcing in Noncooperative Social Networks.,"['Wanyuan Wang', 'Jiuchuan Jiang', 'Bo An', 'Yichuan Jiang', 'Bing Chen']",IEEE Trans. Cybern.,2017
32,j,Data-Driven Frequency-Based Airline Profit Maximization.,"['Bo An', 'Haipeng Chen', 'Noseong Park', 'V. S. Subrahmanian']",ACM Trans. Intell. Syst. Technol.,2017
