,type,name,author,event,year
0,j,A Channel Allocation Based Self-Coexistence Scheme for Homogeneous Ad-Hoc Networks.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",IEEE Wirel. Commun. Lett.,2015
1,j,TQCR-media access control: two-level quality of service provisioning media access control protocol for cognitive radio network.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan', 'Jimson Mathew']",IET Networks,2014
2,j,Energy Aware Spectrum Decision Framework for Cognitive Radio Network: A Spectrum Decision Framework for Cognitive Radio Network with Energy Awareness.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan', 'Jimson Mathew']",J. Low Power Electron.,2013
3,j,Reconfigurable Channel Selection Technique for Cognitive Radio Network With Heterogeneous Primary Bands.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",IEEE Trans. Veh. Technol.,2013
4,j,Motion tracking of human mouth by generalized deformable models.,"['Syin Chan', 'Chong-Wah Ngo', 'Kok F. Lai']",Pattern Recognit. Lett.,1999
5,j,Deployment of VCR services on a computer network.,"['Ee-Luang Ang', 'Syin Chan', 'Bu-Sung Lee']",J. Netw. Comput. Appl.,1998
6,j,Query Expansion by Text and Image Features in Image Retrieval.,"['Hong Zhou', 'Syin Chan', 'Kok F. Lai']",J. Vis. Commun. Image Represent.,1998
7,c,Deep learning with long short-term memory networks for classification of dementia related travel patterns.,"['Nhu Khue Vuong', 'Yong Liu', 'Syin Chan', 'Chiew Tong Lau', 'Zhenghua Chen', 'Min Wu', 'Xiaoli Li']",EMBC,2020
8,c,A Framework of Real-time Wandering Management for Person with Dementia.,"['Ashish Kumar', 'Maode Ma', 'Chiew Tong Lau', 'Syin Chan']",ICCMS,2017
9,c,A unified grid-based wandering pattern detection algorithm.,"['Ashish Kumar', 'Chiew Tong Lau', 'Syin Chan', 'Maode Ma', 'William D. Kearns']",EMBC,2016
10,c,Preliminary results of using inertial sensors to detect dementia- related wandering patterns.,"['Nhu Khue Vuong', 'Syin Chan', 'Chiew Tong Lau', 'Stephen Yew Wei Chan', 'Philip Lin Kiat Yap', 'S. H. Annabel Chen']",EMBC,2015
11,c,iBEST: Intelligent balance assessment and stability training system using smartphone.,"['Aung Aung Phyo Wai', 'Pham Duy Duc', 'Syin Chan', 'Haihong Zhang']",EMBC,2014
12,c,Distributed contention based MAC protocol for cognitive radio networks with QoS provisioning.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",ICON,2013
13,c,QoS provisioning self co-existence protocol for cognitive radio ad-hoc networks.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",ICON,2013
14,c,A QoS provisioning MAC protocol for Cognitive Radio Network.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",ICSPCS,2013
15,c,QoS based spectrum decision framework for cognitive radio networks.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan']",ICON,2012
16,c,Energy Aware Spectrum Decision Framework for Cognitive Radio Networks.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan', 'Ashish Kumar']",ISED,2012
17,c,MAC Protocol for Two Level QoS Support in Cognitive Radio Network.,"['Vishram Mishra', 'Chiew Tong Lau', 'Syin Chan', 'Jimson Mathew']",ISED,2011
18,c,Feasibility study of a real-time wandering detection algorithm for dementia patients.,"['Nhu Khue Vuong', 'Syin Chan', 'Chiew Tong Lau', 'K. M. Lau']",MobileHealth@MobiHoc,2011
19,c,Motion Context: A New Representation for Human Action Recognition.,"['Ziming Zhang', 'Yiqun Hu', 'Syin Chan', 'Liang-Tien Chia']",ECCV (4),2008
20,c,Discriminative Signatures for Image Classification.,"['Ziming Zhang', 'Syin Chan', 'Liang-Tien Chia']",ICIP (2),2007
21,c,Codebook+: A New Module for Creating Discriminative Codebooks.,"['Ziming Zhang', 'Syin Chan', 'Liang-Tien Chia']",ICME,2007
22,c,Image classification using tensor representation.,"['Ziming Zhang', 'Syin Chan', 'Liang-Tien Chia']",ACM Multimedia,2007
23,c,Semantic Knowledge Building for Image Database by Analyzing Web Page Contents.,"['Yung-Kwang Lai', 'Song Liu', 'Liang-Tien Chia', 'Syin Chan']",ICME,2005
24,c,Sentiment-based search in digital libraries.,"['Jin-Cheon Na', 'Christopher S. G. Khoo', 'Syin Chan', 'Norraihan Bte Hamzah']",JCDL,2005
25,c,Ontology for Nature-Scene Image Retrieval.,"['Song Liu', 'Liang-Tien Chia', 'Syin Chan']",CoopIS/DOA/ODBASE (2),2004
26,c,Semantic Analysis of Basketball Video Using Motion Information.,"['Song Liu', 'Haoran Yi', 'Liang-Tien Chia', 'Deepu Rajan', 'Syin Chan']",PCM (1),2004
27,c,Extracting Causal Knowledge from a Medical Database Using Graphical Patterns.,"['Christopher S. G. Khoo', 'Syin Chan', 'Yun Niu']",ACL,2000
28,c,Query Expansion by Raw Image Features and Text Annotations in Image Retrieval.,"['Kok F. Lai', 'Hong Zhou', 'Syin Chan']",ACCV (1),1998
29,c,Tracking of deformable contours by synthesis and match.,"['Kok F. Lai', 'Chong-Wah Ngo', 'Syin Chan']",ICPR,1996
30,p,Classification of Travel Patterns Including Wandering Based on Bi-directional Long Short-Term Memory Networks.,"['Nhu Khue Vuong', 'Yong Liu', 'Syin Chan', 'Chiew Tong Lau', 'Zhenghua Chen', 'Min Wu', 'Xiaoli Li']",Generalization with Deep Learning,2021
