,type,name,author,event,year
0,j,Epidemic Source Detection in Contact Tracing Networks: Epidemic Centrality in Graphs and Message-Passing Algorithms.,"['Pei-Duo Yu', 'Chee Wei Tan', 'Hung-Lin Fu']",IEEE J. Sel. Top. Signal Process.,2022
1,j,The Value of Cooperation: From AIMD to Flipped Classroom Teaching.,['Chee-Wei Tan'],SIGMETRICS Perform. Evaluation Rev.,2022
2,j,Proving and Disproving Information Inequalities: Theory and Scalable Algorithms.,"['Siu-Wai Ho', 'Lin Ling', 'Chee Wei Tan', 'Raymond W. Yeung']",IEEE Trans. Inf. Theory,2020
3,j,Economic Viability of a Virtual ISP.,"['Shengxin Liu', 'Carlee Joe-Wong', 'Jiasi Chen', 'Christopher G. Brinton', 'Chee-Wei Tan', 'Liang Zheng']",IEEE/ACM Trans. Netw.,2020
4,j,Fundamental Limits on a Class of Secure Asymmetric Multilevel Diversity Coding Systems.,"['Congduan Li', 'Xuan Guang', 'Chee-Wei Tan', 'Raymond W. Yeung']",IEEE J. Sel. Areas Commun.,2018
5,j,Averting Cascading Failures in Networked Infrastructures: Poset-Constrained Graph Algorithms.,"['Pei-Duo Yu', 'Chee-Wei Tan', 'Hung-Lin Fu']",IEEE J. Sel. Top. Signal Process.,2018
6,j,Hierarchical Performance Analysis on Random Linear Network Coding.,"['Dan Li', 'Xuan Guang', 'Zhiheng Zhou', 'Congduan Li', 'Chee-Wei Tan']",IEEE Trans. Commun.,2018
7,j,Max-Min Fairness Rate Control in Wireless Networks: Optimality and Algorithms by Perron-Frobenius Theory.,"['Liang Zheng', 'Desmond W. H. Cai', 'Chee-Wei Tan']",IEEE Trans. Mob. Comput.,2018
8,j,Customized Data Plans for Mobile Users: Feasibility and Benefits of Data Trading.,"['Liang Zheng', 'Carlee Joe-Wong', 'Chee Wei Tan', 'Sangtae Ha', 'Mung Chiang']",IEEE J. Sel. Areas Commun.,2017
9,j,Transmit Beamforming and Power Control for Optimizing the Outage Probability Fairness in MISO Networks.,"['Xiangping Bryce Zhai', 'Chee-Wei Tan', 'Yichao Huang', 'Bhaskar D. Rao']",IEEE Trans. Commun.,2017
10,j,Wireless Max-Min Utility Fairness With General Monotonic Constraints by Perron-Frobenius Theory.,"['Liang Zheng', 'Y.-W. Peter Hong', 'Chee Wei Tan', 'Cheng-Lin Hsieh', 'Chia-Han Lee']",IEEE Trans. Inf. Theory,2016
11,j,"Quantifying Political Leaning from Tweets, Retweets, and Retweeters.","['Felix Ming Fai Wong', 'Chee-Wei Tan', 'Soumya Sen', 'Mung Chiang']",IEEE Trans. Knowl. Data Eng.,2016
12,j,Characterization and Optimization of Delay Guarantees for Real-Time Multimedia Traffic Flows in IEEE 802.11 WLANs.,"['Yan Gao', 'Chee-Wei Tan', 'Ying Huang', 'Zheng Zeng', 'P. R. Kumar']",IEEE Trans. Mob. Comput.,2016
13,j,Optimal Power Control in Rayleigh-Fading Heterogeneous Wireless Networks.,['Chee Wei Tan'],IEEE/ACM Trans. Netw.,2016
14,j,Wireless Network Optimization by Perron-Frobenius Theory.,['Chee Wei Tan'],Found. Trends Netw.,2015
15,j,Beamforming Duality and Algorithms for Weighted Sum Rate Maximization in Cognitive Radio Networks.,"['I-Wei Lai', 'Liang Zheng', 'Chia-Han Lee', 'Chee Wei Tan']",IEEE J. Sel. Areas Commun.,2015
16,j,Rooting our Rumor Sources in Online Social Networks: The Value of Diversity From Multiple Observations.,"['Zhaoxu Wang', 'Wenxiang Dong', 'Wenyi Zhang', 'Chee-Wei Tan']",IEEE J. Sel. Top. Signal Process.,2015
17,j,Energy-Efficient Subcarrier Assignment and Power Allocation in OFDMA Systems With Max-Min Fairness Guarantees.,"['Yuzhou Li', 'Min Sheng', 'Chee Wei Tan', 'Yan Zhang', 'Yuhua Sun', 'Xijun Wang', 'Yan Shi', 'Jiandong Li']",IEEE Trans. Commun.,2015
18,j,VANDER: Efficient Cooperative Watchdog Monitoring for Lossy Wireless Network Coding.,"['Xin Lou', 'Hongyi Yao', 'Chee-Wei Tan', 'Jianping Wang']",IEEE Trans. Veh. Technol.,2015
19,j,IEEE ACCESS Special Section Editorial: Recent Advances in Cloud Radio Access Networks.,"['Mugen Peng', 'Chih-Lin I', 'Chee-Wei Tan', 'Chuan Huang']",IEEE Access,2014
20,j,Energy-Infeasibility Tradeoff in Cognitive Radio Networks: Price-Driven Spectrum Access Algorithms.,"['Xiangping Bryce Zhai', 'Liang Zheng', 'Chee Wei Tan']",IEEE J. Sel. Areas Commun.,2014
21,j,Maximizing Sum Rates in Cognitive Radio Networks: Convex Relaxation and Global Optimization Algorithms.,"['Liang Zheng', 'Chee Wei Tan']",IEEE J. Sel. Areas Commun.,2014
22,j,Optimization Decomposition of Resistive Power Networks With Energy Storage.,"['Xin Lou', 'Chee Wei Tan']",IEEE J. Sel. Areas Commun.,2014
23,j,Electric Vehicle Charging in Smart Grid: Optimality and Valley-Filling Algorithms.,"['Niangjun Chen', 'Chee Wei Tan', 'Tony Q. S. Quek']",IEEE J. Sel. Top. Signal Process.,2014
24,j,Egalitarian fairness framework for joint rate and power optimization in wireless networks.,"['Liang Zheng', 'Chee-Wei Tan']",SIGMETRICS Perform. Evaluation Rev.,2014
25,j,Optimal Algorithms in Wireless Utility Maximization: Proportional Fairness Decomposition and Nonlinear Perron-Frobenius Theory Framework.,"['Liang Zheng', 'Chee Wei Tan']",IEEE Trans. Wirel. Commun.,2014
26,j,Cognitive Radio Network Duality and Algorithms for Utility Maximization.,"['Liang Zheng', 'Chee Wei Tan']",IEEE J. Sel. Areas Commun.,2013
27,j,Pricing-Based Decentralized Spectrum Access Control in Cognitive Radio Networks.,"['Lei Yang', 'Hongseok Kim', 'Junshan Zhang', 'Mung Chiang', 'Chee Wei Tan']",IEEE/ACM Trans. Netw.,2013
28,j,Fast Algorithms and Performance Bounds for Sum Rate Maximization in Wireless Networks.,"['Chee Wei Tan', 'Mung Chiang', 'R. Srikant']",IEEE/ACM Trans. Netw.,2013
29,j,"Joint Beamforming and Power Control in Coordinated Multicell: Max-Min Duality, Effective Network and Large System Transition.","['Yichao Huang', 'Chee Wei Tan', 'Bhaskar D. Rao']",IEEE Trans. Wirel. Commun.,2013
30,j,On the Maximum Achievable Sum-Rate With Successive Decoding in Interference Channels.,"['Yue Zhao', 'Chee Wei Tan', 'Amir Salman Avestimehr', 'Suhas N. Diggavi', 'Gregory J. Pottie']",IEEE Trans. Inf. Theory,2012
31,j,"Power Control for Cognitive Radio Networks: Axioms, Algorithms, and Analysis.","['Siamak Sorooshyari', 'Chee Wei Tan', 'Mung Chiang']",IEEE/ACM Trans. Netw.,2012
32,j,Max-Min SINR Coordinated Multipoint Downlink Transmission - Duality and Algorithms.,"['Desmond W. H. Cai', 'Tony Q. S. Quek', 'Chee Wei Tan', 'Steven H. Low']",IEEE Trans. Signal Process.,2012
33,j,Spectrum Management in Multiuser Cognitive Wireless Networks: Optimality and Algorithm.,"['Chee Wei Tan', 'Shmuel Friedland', 'Steven H. Low']",IEEE J. Sel. Areas Commun.,2011
34,j,Nonnegative Matrix Inequalities and their Application to Nonconvex Power Control Optimization.,"['Chee Wei Tan', 'Shmuel Friedland', 'Steven H. Low']",SIAM J. Matrix Anal. Appl.,2011
35,j,Cost of Not Splitting in Routing: Characterization and Estimation.,"['Meng Wang', 'Chee Wei Tan', 'Weiyu Xu', 'Ao Tang']",IEEE/ACM Trans. Netw.,2011
36,j,A Unified Analysis of Max-Min Weighted SINR for MIMO Downlink System.,"['Desmond W. H. Cai', 'Tony Q. S. Quek', 'Chee Wei Tan']",IEEE Trans. Signal Process.,2011
37,j,"Maximizing Sum Rate and Minimizing MSE on Multiuser Downlink: Optimality, Fast Algorithms and Equivalence via Max-min SINR.","['Chee Wei Tan', 'Mung Chiang', 'R. Srikant']",IEEE Trans. Signal Process.,2011
38,j,On Maximum-Likelihood SINR Estimation of MPSK in a Multiuser Fading Channel.,"['Siamak Sorooshyari', 'Chee Wei Tan', 'H. Vincent Poor']",IEEE Trans. Veh. Technol.,2010
39,j,Multiuser detection of alamouti signals.,"['Chee Wei Tan', 'A. Robert Calderbank']",IEEE Trans. Commun.,2009
40,j,Energy-robustness tradeoff in cellular network power control.,"['Chee-Wei Tan', 'Daniel Pérez Palomar', 'Mung Chiang']",IEEE/ACM Trans. Netw.,2009
41,j,Power Control in Wireless Cellular Networks.,"['Mung Chiang', 'Prashanth Hande', 'Tian Lan', 'Chee-Wei Tan']",Found. Trends Netw.,2007
42,j,A Distributed Throttling Approach for Handling High Bandwidth Aggregates.,"['Chee-Wei Tan', 'Dah-Ming Chiu', 'John C. S. Lui', 'David K. Y. Yau']",IEEE Trans. Parallel Distributed Syst.,2007
43,j,Power Control By Geometric Programming.,"['Mung Chiang', 'Chee-Wei Tan', 'Daniel Pérez Palomar', ""Daniel O'Neill"", 'David Julian']",IEEE Trans. Wirel. Commun.,2007
44,j,Achieving Multi-Class Service Differentiation in WDM Optical Burst Switching Networks: A Probabilistic Preemptive Burst Segmentation Scheme.,"['Chee-Wei Tan', 'Gurusamy Mohan', 'John C. S. Lui']",IEEE J. Sel. Areas Commun.,2006
45,c,Identifying the Superspreader in Proactive Backward Contact Tracing by Deep Learning.,"['Siya Chen', 'Pei-Duo Yu', 'Chee-Wei Tan', 'H. Vincent Poor']",CISS,2022
46,c,Fast Breadth-First Search Approximation for Epidemic Source Inference.,"['Congduan Li', 'Siya Chen', 'Chee-Wei Tan']",CISS,2022
47,c,A Chatbot-Server Framework for Scalable Machine Learning Education through Crowdsourced Data.,"['Jingting Li', 'Chee-Wei Tan', 'Ching Nam Hang', 'Xintong Qi']",L@S,2022
48,c,Fault-Tolerant Computation Meets Network Coding: Optimal Scheduling in Parallel Computing.,"['Congduan Li', 'Chee-Wei Tan', 'Jingting Li', 'Siya Chen']",GLOBECOM,2021
49,c,Blending Peer Instruction with Just-In-Time Teaching: Jointly Optimal Task Scheduling with Feedback for Classroom Flipping.,"['Jingting Li', 'Lin Ling', 'Chee-Wei Tan']",L@S,2021
50,c,Peer-Grading at Scale with Rank Aggregation.,"['Lin Ling', 'Chee Wei Tan']",L@S,2021
51,c,Jointly Optimal Fair Data Collection and Trajectory Design Algorithms in UAV-Aided Cellular Networks.,"['Dan Song', 'Xiangping Bryce Zhai', 'Xin Liu', 'Chee-Wei Tan']",WCNC,2021
52,c,"Automated Reasoning by Convex Optimization: Proof Simplicity, Duality and Sparsity.","['Chee-Wei Tan', 'Lin Ling']",CISS,2020
