,type,name,author,event,year
0,j,Learning to Prompt for Vision-Language Models.,"['Kaiyang Zhou', 'Jingkang Yang', 'Chen Change Loy', 'Ziwei Liu']",Int. J. Comput. Vis.,2022
1,j,Learning to Enhance Low-Light Image via Zero-Reference Deep Curve Estimation.,"['Chongyi Li', 'Chunle Guo', 'Chen Change Loy']",IEEE Trans. Pattern Anal. Mach. Intell.,2022
2,j,CARAFE++: Unified Content-Aware ReAssembly of FEatures.,"['Jiaqi Wang', 'Kai Chen', 'Rui Xu', 'Ziwei Liu', 'Chen Change Loy', 'Dahua Lin']",IEEE Trans. Pattern Anal. Mach. Intell.,2022
3,j,Path-Restore: Learning Network Path Selection for Image Restoration.,"['Ke Yu', 'Xintao Wang', 'Chao Dong', 'Xiaoou Tang', 'Chen Change Loy']",IEEE Trans. Pattern Anal. Mach. Intell.,2022
4,j,Exploiting Deep Generative Prior for Versatile Image Restoration and Manipulation.,"['Xingang Pan', 'Xiaohang Zhan', 'Bo Dai', 'Dahua Lin', 'Chen Change Loy', 'Ping Luo']",IEEE Trans. Pattern Anal. Mach. Intell.,2022
5,j,"Self-Supervised Representation Learning: Introduction, advances, and challenges.","['Linus Ericsson', 'Henry Gouk', 'Chen Change Loy', 'Timothy M. Hospedales']",IEEE Signal Process. Mag.,2022
6,j,Everybody's Talkin': Let Me Talk as You Want.,"['Linsen Song', 'Wayne Wu', 'Chen Qian', 'Ran He', 'Chen Change Loy']",IEEE Trans. Inf. Forensics Secur.,2022
7,j,Chasing the Tail in Monocular 3D Human Reconstruction With Prototype Memory.,"['Yu Rong', 'Ziwei Liu', 'Chen Change Loy']",IEEE Trans. Image Process.,2022
8,j,Text2Human: text-driven controllable human image generation.,"['Yuming Jiang', 'Shuai Yang', 'Haonan Qju', 'Wayne Wu', 'Chen Change Loy', 'Ziwei Liu']",ACM Trans. Graph.,2022
9,j,A Lightweight Optical Flow CNN - Revisiting Data Fidelity and Regularization.,"['Tak-Wai Hui', 'Xiaoou Tang', 'Chen Change Loy']",IEEE Trans. Pattern Anal. Mach. Intell.,2021
10,j,Texture Memory-Augmented Deep Patch-Based Image Inpainting.,"['Rui Xu', 'Minghao Guo', 'Jiaqi Wang', 'Xiaoxiao Li', 'Bolei Zhou', 'Chen Change Loy']",IEEE Trans. Image Process.,2021
11,j,High-Quality Video Generation from Static Structural Annotations.,"['Lu Sheng', 'Junting Pan', 'Jiaming Guo', 'Jing Shao', 'Chen Change Loy']",Int. J. Comput. Vis.,2020
12,j,Deep Imbalanced Learning for Face Recognition and Attribute Prediction.,"['Chen Huang', 'Yining Li', 'Chen Change Loy', 'Xiaoou Tang']",IEEE Trans. Pattern Anal. Mach. Intell.,2020
13,j,Editorial: Special Issue on Deep Learning for Face Analysis.,"['Chen Change Loy', 'Xiaoming Liu', 'Tae-Kyun Kim', 'Fernando De la Torre', 'Rama Chellappa']",Int. J. Comput. Vis.,2019
14,j,From Facial Expression Recognition to Interpersonal Relation Prediction.,"['Zhanpeng Zhang', 'Ping Luo', 'Chen Change Loy', 'Xiaoou Tang']",Int. J. Comput. Vis.,2018
15,j,Deep Learning Markov Random Field for Semantic Segmentation.,"['Ziwei Liu', 'Xiaoxiao Li', 'Ping Luo', 'Chen Change Loy', 'Xiaoou Tang']",IEEE Trans. Pattern Anal. Mach. Intell.,2018
16,j,Faceness-Net: Face Detection through Deep Facial Part Responses.,"['Shuo Yang', 'Ping Luo', 'Chen Change Loy', 'Xiaoou Tang']",IEEE Trans. Pattern Anal. Mach. Intell.,2018
17,j,Robust and Fast Decoding of High-Capacity Color QR Codes for Mobile Applications.,"['Zhibo Yang', 'Huanle Xu', 'Jianyuan Deng', 'Chen Change Loy', 'Wing Cheong Lau']",IEEE Trans. Image Process.,2018
18,j,Discriminative Sparse Neighbor Approximation for Imbalanced Learning.,"['Chen Huang', 'Chen Change Loy', 'Xiaoou Tang']",IEEE Trans. Neural Networks Learn. Syst.,2018
19,j,Image and Video Understanding in Big Data.,"['Vittorio Murino', 'Shaogang Gong', 'Chen Change Loy', 'Loris Bazzani']",Comput. Vis. Image Underst.,2017
20,j,Development of fine-grained pill identification algorithm using deep convolutional network.,"['Yuen Fei Wong', 'Hoi Ting Ng', 'Kit Yee Leung', 'Ka Yan Chan', 'Sau Yi Chan', 'Chen Change Loy']",J. Biomed. Informatics,2017
21,j,DeepID-Net: Object Detection with Deformable Part Based Convolutional Neural Networks.,"['Wanli Ouyang', 'Xingyu Zeng', 'Xiaogang Wang', 'Shi Qiu', 'Ping Luo', 'Yonglong Tian', 'Hongsheng Li', 'Shuo Yang', 'Zhe Wang', 'Hongyang Li', 'Kun Wang', 'Junjie Yan', 'Chen Change Loy', 'Xiaoou Tang']",IEEE Trans. Pattern Anal. Mach. Intell.,2017
22,j,Image Aesthetic Assessment: An experimental survey.,"['Yubin Deng', 'Chen Change Loy', 'Xiaoou Tang']",IEEE Signal Process. Mag.,2017
23,j,Crowded Scene Understanding by Deeply Learned Volumetric Slices.,"['Jing Shao', 'Chen Change Loy', 'Kai Kang', 'Xiaogang Wang']",IEEE Trans. Circuits Syst. Video Technol.,2017
24,j,Learning Scene-Independent Group Descriptors for Crowd Understanding.,"['Jing Shao', 'Chen Change Loy', 'Xiaogang Wang']",IEEE Trans. Circuits Syst. Video Technol.,2017
25,j,Learning from Multiple Sources for Video Summarisation.,"['Xiatian Zhu', 'Chen Change Loy', 'Shaogang Gong']",Int. J. Comput. Vis.,2016
26,j,"A survey on heterogeneous face recognition: Sketch, infra-red, 3D and low-resolution.","['Shuxin Ouyang', 'Timothy M. Hospedales', 'Yi-Zhe Song', 'Xueming Li', 'Chen Change Loy', 'Xiaogang Wang']",Image Vis. Comput.,2016
27,j,Image Super-Resolution Using Deep Convolutional Networks.,"['Chao Dong', 'Chen Change Loy', 'Kaiming He', 'Xiaoou Tang']",IEEE Trans. Pattern Anal. Mach. Intell.,2016
28,j,Learning Deep Representation for Face Alignment with Auxiliary Attributes.,"['Zhanpeng Zhang', 'Ping Luo', 'Chen Change Loy', 'Xiaoou Tang']",IEEE Trans. Pattern Anal. Mach. Intell.,2016
29,j,Constrained Clustering With Imperfect Oracles.,"['Xiatian Zhu', 'Chen Change Loy', 'Shaogang Gong']",IEEE Trans. Neural Networks Learn. Syst.,2016
30,j,On-the-fly feature importance mining for person re-identification.,"['Chunxiao Liu', 'Shaogang Gong', 'Chen Change Loy']",Pattern Recognit.,2014
31,j,Incremental Activity Modeling in Multiple Disjoint Cameras.,"['Chen Change Loy', 'Tao Xiang', 'Shaogang Gong']",IEEE Trans. Pattern Anal. Mach. Intell.,2012
32,j,Detecting and discriminating behavioural anomalies.,"['Chen Change Loy', 'Tao Xiang', 'Shaogang Gong']",Pattern Recognit.,2011
33,j,Time-Delayed Correlation Analysis for Multi-Camera Activity Understanding.,"['Chen Change Loy', 'Tao Xiang', 'Shaogang Gong']",Int. J. Comput. Vis.,2010
34,c,MoCaNet: Motion Retargeting In-the-Wild via Canonicalization Networks.,"['Wentao Zhu', 'Zhuoqian Yang', 'Ziang Di', 'Wayne Wu', 'Yizhou Wang', 'Chen Change Loy']",AAAI,2022
35,c,Delving into High-Quality Synthetic Face Occlusion Segmentation Datasets.,"['Kenny T. R. Voo', 'Liming Jiang', 'Chen Change Loy']",CVPR Workshops,2022
36,c,Investigating Tradeoffs in Real-World Video Super-Resolution.,"['Kelvin C. K. Chan', 'Shangchen Zhou', 'Xiangyu Xu', 'Chen Change Loy']",CVPR,2022
37,c,BasicVSR++: Improving Video Super-Resolution with Enhanced Propagation and Alignment.,"['Kelvin C. K. Chan', 'Shangchen Zhou', 'Xiangyu Xu', 'Chen Change Loy']",CVPR,2022
38,c,TransEditor: Transformer-Based Dual-Space GAN for Highly Controllable Facial Editing.,"['Yanbo Xu', 'Yueqin Yin', 'Liming Jiang', 'Qianyi Wu', 'Chengyao Zheng', 'Chen Change Loy', 'Bo Dai', 'Wayne Wu']",CVPR,2022
39,c,Pastiche Master: Exemplar-Based High-Resolution Portrait Style Transfer.,"['Shuai Yang', 'Liming Jiang', 'Ziwei Liu', 'Chen Change Loy']",CVPR,2022
40,c,Point-to-Voxel Knowledge Distillation for LiDAR Semantic Segmentation.,"['Yuenan Hou', 'Xinge Zhu', 'Yuexin Ma', 'Chen Change Loy', 'Yikang Li']",CVPR,2022
41,c,Bailando: 3D Dance Generation by Actor-Critic GPT with Choreographic Memory.,"['Li Siyao', 'Weijiang Yu', 'Tianpei Gu', 'Chunze Lin', 'Quan Wang', 'Chen Qian', 'Chen Change Loy', 'Ziwei Liu']",CVPR,2022
42,c,Conditional Prompt Learning for Vision-Language Models.,"['Kaiyang Zhou', 'Jingkang Yang', 'Chen Change Loy', 'Ziwei Liu']",CVPR,2022
43,c,Unsupervised Image-to-Image Translation with Generative Prior.,"['Shuai Yang', 'Liming Jiang', 'Ziwei Liu', 'Chen Change Loy']",CVPR,2022
44,c,"Video K-Net: A Simple, Strong, and Unified Baseline for Video Segmentation.","['Xiangtai Li', 'Wenwei Zhang', 'Jiangmiao Pang', 'Kai Chen', 'Guangliang Cheng', 'Yunhai Tong', 'Chen Change Loy']",CVPR,2022
45,c,StyleGAN-Human: A Data-Centric Odyssey of Human Generation.,"['Jianglin Fu', 'Shikai Li', 'Yuming Jiang', 'Kwan-Yee Lin', 'Chen Qian', 'Chen Change Loy', 'Wayne Wu', 'Ziwei Liu']",ECCV (16),2022
46,c,Monocular 3D Object Reconstruction with GAN Inversion.,"['Junzhe Zhang', 'Daxuan Ren', 'Zhongang Cai', 'Chai Kiat Yeo', 'Bo Dai', 'Chen Change Loy']",ECCV (1),2022
47,c,Extract Free Dense Labels from CLIP.,"['Chong Zhou', 'Chen Change Loy', 'Bo Dai']",ECCV (28),2022
48,c,Monocular 3D Reconstruction of Interacting Hands via Collision-Aware Factorized Refinements.,"['Yu Rong', 'Jingbo Wang', 'Ziwei Liu', 'Chen Change Loy']",3DV,2021
49,c,Understanding Deformable Alignment in Video Super-Resolution.,"['Kelvin C. K. Chan', 'Xintao Wang', 'Ke Yu', 'Chao Dong', 'Chen Change Loy']",AAAI,2021
50,c,Removing Diffraction Image Artifacts in Under-Display Camera via Dynamic Skip Connection Network.,"['Ruicheng Feng', 'Chongyi Li', 'Huaijin Chen', 'Shuai Li', 'Chen Change Loy', 'Jinwei Gu']",CVPR,2021
51,c,Unsupervised 3D Shape Completion Through GAN Inversion.,"['Junzhe Zhang', 'Xinyi Chen', 'Zhongang Cai', 'Liang Pan', 'Haiyu Zhao', 'Shuai Yi', 'Chai Kiat Yeo', 'Bo Dai', 'Chen Change Loy']",CVPR,2021
52,c,Robust Reference-Based Super-Resolution via C2-Matching.,"['Yuming Jiang', 'Kelvin C. K. Chan', 'Xintao Wang', 'Chen Change Loy', 'Ziwei Liu']",CVPR,2021
53,c,Pareidolia Face Reenactment.,"['Linsen Song', 'Wayne Wu', 'Chaoyou Fu', 'Chen Qian', 'Chen Change Loy', 'Ran He']",CVPR,2021
54,c,Pose-Controllable Talking Face Generation by Implicitly Modularized Audio-Visual Representation.,"['Hang Zhou', 'Yasheng Sun', 'Wayne Wu', 'Chen Change Loy', 'Xiaogang Wang', 'Ziwei Liu']",CVPR,2021
55,c,BasicVSR: The Search for Essential Components in Video Super-Resolution and Beyond.,"['Kelvin C. K. Chan', 'Xintao Wang', 'Ke Yu', 'Chao Dong', 'Chen Change Loy']",CVPR,2021
56,c,Deep Animation Video Interpolation in the Wild.,"['Siyao Li', 'Shiyu Zhao', 'Weijiang Yu', 'Wenxiu Sun', 'Dimitris N. Metaxas', 'Chen Change Loy', 'Ziwei Liu']",CVPR,2021
57,c,Seesaw Loss for Long-Tailed Instance Segmentation.,"['Jiaqi Wang', 'Wenwei Zhang', 'Yuhang Zang', 'Yuhang Cao', 'Jiangmiao Pang', 'Tao Gong', 'Kai Chen', 'Ziwei Liu', 'Chen Change Loy', 'Dahua Lin']",CVPR,2021
58,c,Positional Encoding As Spatial Inductive Bias in GANs.,"['Rui Xu', 'Xintao Wang', 'Kai Chen', 'Bolei Zhou', 'Chen Change Loy']",CVPR,2021
59,c,Audio-Driven Emotional Video Portraits.,"['Xinya Ji', 'Hang Zhou', 'Kaisiyuan Wang', 'Wayne Wu', 'Chen Change Loy', 'Xun Cao', 'Feng Xu']",CVPR,2021
60,c,GLEAN: Generative Latent Bank for Large-Factor Image Super-Resolution.,"['Kelvin C. K. Chan', 'Xintao Wang', 'Xiangyu Xu', 'Jinwei Gu', 'Chen Change Loy']",CVPR,2021
61,c,FASA: Feature Augmentation and Sampling Adaptation for Long-Tailed Instance Segmentation.,"['Yuhang Zang', 'Chen Huang', 'Chen Change Loy']",ICCV,2021
