,type,name,author,event,year
0,j,Hyperspectral Anomaly Detection Based on Wasserstein Distance and Spatial Filtering.,"['Xiaoyu Cheng', 'Maoxing Wen', 'Cong Gao', 'Yueming Wang']",Remote. Sens.,2022
1,j,A Historical-Trajectories-Based Map Matching Algorithm for Container Positioning and Tracking.,"['Wenfeng Li', 'Wenwen Zhang', 'Cong Gao']",Sensors,2022
2,j,Four adaptive grey prediction evolution algorithms with different types of parameters setting techniques.,"['Cong Gao', 'Zhongbo Hu', 'Yongfei Miao', 'Xiaowei Zhang', 'Qinghua Su']",Soft Comput.,2022
3,j,Hard frame detection for the automated clipping of surgical nasal endoscopic video.,"['Hongyu Wang', 'Xiaoying Pan', 'Hao Zhao', 'Cong Gao', 'Ni Liu']",Int. J. Comput. Assist. Radiol. Surg.,2021
4,j,A novel evolutionary algorithm based on even difference grey model.,"['Zhongbo Hu', 'Cong Gao', 'Qinghua Su']",Expert Syst. Appl.,2021
5,j,Linear prediction evolution algorithm: a simplest evolutionary optimizer.,"['Cong Gao', 'Zhongbo Hu', 'Wangyu Tong']",Memetic Comput.,2021
6,j,DCE-MRI interpolation using learned transformations for breast lesions classification.,"['Hongyu Wang', 'Cong Gao', 'Jun Feng', 'Xiaoying Pan', 'Di Yang', 'Bao-ying Chen']",Multim. Tools Appl.,2021
7,j,Grey Prediction Evolution Algorithm Based on Accelerated Even Grey Model.,"['Cong Gao', 'Zhongbo Hu', 'Zenggang Xiong', 'Qinghua Su']",IEEE Access,2020
8,j,Forecast of short-term wind power based on a novel hybrid method.,"['Dinghui Wu', 'Haibo Huang', 'Ren Xiao', 'Cong Gao']",J. Syst. Control. Eng.,2020
9,j,Thermoelectric Parameter Modeling of Single-Layer Graphene Considering Carrier Concentration and Mobility With Temperature and Gate Voltage.,"['Ning Wang', 'Cong Meng', 'Zhi-Hao Ma', 'Cong Gao', 'Hongzhi Jia', 'Guo-Rong Sui', 'Xiumin Gao']",IEEE Access,2019
10,j,Clustering of Morphological Features for Identifying Femur Cavity Subtypes With Difficulties of Intramedullary Nail Implantation.,"['Fang Chen', 'Zhe Zhao', 'Cong Gao', 'Jia Liu', 'Xiu-yun Su', 'Jing-xin Zhao', 'Peifu Tang', 'Hongen Liao']",IEEE J. Biomed. Health Informatics,2018
11,j,Deterministic remote preparation via the Brown state.,"['Song-Ya Ma', 'Cong Gao', 'Pei Zhang', 'Zhiguo Qu']",Quantum Inf. Process.,2017
12,c,Deep Learning on FPGAs with Multiple Service Levels for Edge Computing.,"['Cong Gao', 'Sangeet Saha', 'Yufan Lu', 'Rappy Saha', 'Klaus D. McDonald-Maier', 'Xiaojun Zhai']",ICAC,2022
13,c,Design of Roundness and Cylindricity Detector for Axle Housing Based on Multi-Step Error Separation Technique.,"['Peng Zhang', 'Guangcheng Zhou', 'Cong Gao', 'Dongri Shan', 'Peng Yan']",ICIA,2018
14,c,KG-Buddhism: The Chinese Knowledge Graph on Buddhism.,"['Tianxing Wu', 'Cong Gao', 'Guilin Qi', 'Lei Zhang', 'Chuanqi Dong', 'He Liu', 'Du Zhang']",JIST,2017
15,c,Evanescent field-assisted mode-locked laser based on short single-wall carbon nanotubes and photonic crystal fiber.,"['Yujia Li', 'Lei Gao', 'Wei Huang', 'Cong Gao', 'Min Liu', 'Tao Zhu']",OFC,2017
16,c,Differential CSIT Acquisition Based on Compressive Sensing for FDD Massive MIMO Systems.,"['Wenqian Shen', 'Bichai Wang', 'Jie Feng', 'Cong Gao', 'Junjie Ma']",VTC Spring,2015
17,i,RGB-D Semantic SLAM for Surgical Robot Navigation in the Operating Room.,"['Cong Gao', 'Dinesh Rabindran', 'Omid Mohareri']",CoRR,2022
