,type,name,author,event,year
0,j,Smart interpretable model (SIM) enabling subject matter experts in rule generation.,"['Hotman Christianto', 'Gary Kee Khoon Lee', 'Zhou Weigui Jair', 'Henry Kasim', 'Deepu Rajan']",Expert Syst. Appl.,2022
1,j,An interpretable Neural Fuzzy Hammerstein-Wiener network for stock price prediction.,"['Xie Chen', 'Deepu Rajan', 'Chai Quek']",Inf. Sci.,2021
2,j,Deep residual pooling network for texture recognition.,"['Shangbo Mao', 'Deepu Rajan', 'Liang-Tien Chia']",Pattern Recognit.,2021
3,j,An image similarity descriptor for classification tasks.,"['Liangliang Wang', 'Deepu Rajan']",J. Vis. Commun. Image Represent.,2020
4,j,Saliency-based bit plane detection for network applications.,"['Maryam Asadzadeh Kaljahi', 'Palaiahnakote Shivakumara', 'Saqib Hakak', 'Mohd Yamani Idna Bin Idris', 'Mohammad Hossein Anisi', 'Deepu Rajan']",Multim. Tools Appl.,2020
5,j,Are Object Detection Assessment Criteria Ready for Maritime Computer Vision?,"['Dilip K. Prasad', 'Huixu Dong', 'Deepu Rajan', 'Chai Quek']",IEEE Trans. Intell. Transp. Syst.,2020
6,j,CamType: assistive text entry using gaze with an off-the-shelf webcam.,"['Yi Liu', 'Bu-Sung Lee', 'Deepu Rajan', 'Andrzej Sluzek', 'Martin J. McKeown']",Mach. Vis. Appl.,2019
7,j,CNN-based gender classification in near-infrared periocular images.,"['Anirudh Manyala', 'Hisham Cholakkal', 'Vijay Anand', 'Vivek Kanhangad', 'Deepu Rajan']",Pattern Anal. Appl.,2019
8,j,Object Detection in a Maritime Environment: Performance Evaluation of Background Subtraction Methods.,"['Dilip K. Prasad', 'Chandrashekar Krishna Prasath', 'Deepu Rajan', 'Lily Rachmawati', 'Eshan Rajabally', 'Chai Quek']",IEEE Trans. Intell. Transp. Syst.,2019
9,j,Locality and context-aware top-down saliency.,"['Junxia Li', 'Deepu Rajan', 'Jian Yang']",IET Image Process.,2018
10,j,Backtracking Spatial Pyramid Pooling-Based Image Classifier for Weakly Supervised Top-Down Salient Object Detection.,"['Hisham Cholakkal', 'Jubin Johnson', 'Deepu Rajan']",IEEE Trans. Image Process.,2018
11,j,L1-Regularized Reconstruction Error as Alpha Matte.,"['Jubin Johnson', 'Hisham Cholakkal', 'Deepu Rajan']",IEEE Signal Process. Lett.,2017
12,j,Video Processing From Electro-Optical Sensors for Object Detection and Tracking in a Maritime Environment: A Survey.,"['Dilip K. Prasad', 'Deepu Rajan', 'Lily Rachmawati', 'Eshan Rajabally', 'Chai Quek']",IEEE Trans. Intell. Transp. Syst.,2017
13,j,Efficient 2D viewpoint combination for human action recognition.,"['Behrouz Saghafi', 'Deepu Rajan', 'Wanqing Li']",Pattern Anal. Appl.,2016
14,j,A classifier-guided approach for top-down salient object detection.,"['Hisham Cholakkal', 'Jubin Johnson', 'Deepu Rajan']",Signal Process. Image Commun.,2016
15,j,Sparse Coding for Alpha Matting.,"['Jubin Johnson', 'Ehsan Shahrian Varnousfaderani', 'Hisham Cholakkal', 'Deepu Rajan']",IEEE Trans. Image Process.,2016
