,type,name,author,event,year
0,j,A Novel Joint Dataset and Incentive Management Mechanism for Federated Learning Over MEC.,"['Joohyung Lee', 'Daejin Kim', 'Dusit Niyato']",IEEE Access,2022
1,j,"Digital-Twin-Enabled 6G: Vision, Architectural Trends, and Future Directions.","['Latif U. Khan', 'Walid Saad', 'Dusit Niyato', 'Zhu Han', 'Choong Seon Hong']",IEEE Commun. Mag.,2022
2,j,Joint time scheduling and transaction fee selection in blockchain-based RF-powered backscatter cognitive radio network.,"['Nguyen Cong Luong', 'Tran The Anh', 'Zehui Xiong', 'Dusit Niyato', 'Dong In Kim']",Comput. Networks,2022
3,j,Editorial: First Quarter 2022 IEEE Communications Surveys and Tutorials.,['Dusit Niyato'],IEEE Commun. Surv. Tutorials,2022
4,j,Applications of Multi-Agent Reinforcement Learning in Future Internet: A Comprehensive Survey.,"['Tianxu Li', 'Kun Zhu', 'Nguyen Cong Luong', 'Dusit Niyato', 'Qihui Wu', 'Yang Zhang', 'Bing Chen']",IEEE Commun. Surv. Tutorials,2022
5,j,Editorial: Second Quarter 2022 IEEE Communications Surveys and Tutorials.,['Dusit Niyato'],IEEE Commun. Surv. Tutorials,2022
6,j,Editorial: Third Quarter 2022 IEEE Communications Surveys and Tutorials.,['Dusit Niyato'],IEEE Commun. Surv. Tutorials,2022
7,j,Federated Transfer Learning With Client Selection for Intrusion Detection in Mobile Edge Computing.,"['Yanyu Cheng', 'Jianyuan Lu', 'Dusit Niyato', 'Biao Lyu', 'Jiawen Kang', 'Shunmin Zhu']",IEEE Commun. Lett.,2022
8,j,Spatial-Temporal Aggregation Graph Convolution Network for Efficient Mobile Cellular Traffic Prediction.,"['Nan Zhao', 'Aonan Wu', 'Yiyang Pei', 'Ying-Chang Liang', 'Dusit Niyato']",IEEE Commun. Lett.,2022
9,j,Deep Reinforcement Learning for Resource Management in Blockchain-Enabled Federated Learning Network.,"['Nguyen Quang Hieu', 'The Anh Tran', 'Cong Luong Nguyen', 'Dusit Niyato', 'Dong In Kim', 'Erik Elmroth']",IEEE Netw. Lett.,2022
10,j,Cooperative Scheme for Backscatter-Aided Passive Relay Communications in Wireless-Powered D2D Networks.,"['Xiaozheng Gao', 'Dusit Niyato', 'Kai Yang', 'Jianping An']",IEEE Internet Things J.,2022
11,j,6G Internet of Things: A Comprehensive Survey.,"['Dinh C. Nguyen', 'Ming Ding', 'Pubudu N. Pathirana', 'Aruna Seneviratne', 'Jun Li', 'Dusit Niyato', 'Octavia A. Dobre', 'H. Vincent Poor']",IEEE Internet Things J.,2022
12,j,Soft-Health: Software-Defined Fog Architecture for IoT Applications in Healthcare.,"['Chandana Roy', 'Ruelia Saha', 'Sudip Misra', 'Dusit Niyato']",IEEE Internet Things J.,2022
13,j,Slicing-Based Reliable Resource Orchestration for Secure Software-Defined Edge-Cloud Computing Systems.,"['Jianhang Tang', 'Jiangtian Nie', 'Zehui Xiong', 'Jun Zhao', 'Yang Zhang', 'Dusit Niyato']",IEEE Internet Things J.,2022
14,j,Deep-Reinforcement-Learning-Based Predictive Maintenance Model for Effective Resource Management in Industrial IoT.,"['Kevin Shen-Hoong Ong', 'Wenbo Wang', 'Dusit Niyato', 'Thomas Friedrichs']",IEEE Internet Things J.,2022
15,j,Joint UAV Placement and Data Delivery in Aerial Inspection Under Uncertainties.,"['Napat Ngoenriang', 'Stephen John Turner', 'Dusit Niyato', 'Sucha Supittayapornpong']",IEEE Internet Things J.,2022
16,j,Jammer-Assisted Secure Precoding and Feedback Design for MIMO IoT Networks.,"['Zhiyao Tang', 'Liang Sun', 'Dusit Niyato', 'Yang Zhang', 'An Liu']",IEEE Internet Things J.,2022
17,j,Dynamics in Coded Edge Computing for IoT: A Fractional Evolutionary Game Approach.,"['Yue Han', 'Dusit Niyato', 'Cyril Leung', 'Chunyan Miao', 'Dong In Kim']",IEEE Internet Things J.,2022
18,j,Risk Adversarial Learning System for Connected and Autonomous Vehicle Charging.,"['Md. Shirajum Munir', 'Ki Tae Kim', 'Kyi Thar', 'Dusit Niyato', 'Choong Seon Hong']",IEEE Internet Things J.,2022
19,j,Predictive Maintenance Model for IIoT-Based Manufacturing: A Transferable Deep Reinforcement Learning Approach.,"['Kevin Shen-Hoong Ong', 'Wenbo Wang', 'Nguyen Quang Hieu', 'Dusit Niyato', 'Thomas Friedrichs']",IEEE Internet Things J.,2022
20,j,Data Heterogeneity-Robust Federated Learning via Group Client Selection in Industrial IoT.,"['Zonghang Li', 'Yihong He', 'Hongfang Yu', 'Jiawen Kang', 'Xiaoping Li', 'Zenglin Xu', 'Dusit Niyato']",IEEE Internet Things J.,2022
