,type,name,author,event,year
0,j,Personalized task difficulty adaptation based on reinforcement learning.,"['Yaqian Zhang', 'Wooi-Boon Goh']",User Model. User Adapt. Interact.,2021
1,j,The influence of peer accountability on attention during gameplay.,"['Yaqian Zhang', 'Wooi-Boon Goh']",Comput. Hum. Behav.,2018
2,j,Curvature-based method for determining the number of clusters.,"['Yaqian Zhang', 'Jacek Mandziuk', 'Hiok Chai Quek', 'Wooi-Boon Goh']",Inf. Sci.,2017
3,j,An iterative approach for makespan-minimized multi-agent path planning in discrete space.,"['Wenjie Wang', 'Wooi Boon Goh']",Auton. Agents Multi Agent Syst.,2015
4,j,A stochastic algorithm for makespan minimized multi-agent path planning in discrete space.,"['Wenjie Wang', 'Wooi-Boon Goh']",Appl. Soft Comput.,2015
5,j,Robust multi-scale superpixel classification for optic cup localization.,"['Ngan Meng Tan', 'Yanwu Xu', 'Wooi-Boon Goh', 'Jiang Liu']",Comput. Medical Imaging Graph.,2015
6,j,A spatio-temporal Long-term Memory approach for visual place recognition in mobile robotic navigation.,"['Vu Anh Nguyen', 'Janusz A. Starzyk', 'Wooi-Boon Goh']",Robotics Auton. Syst.,2013
7,j,Neural Network Structure for Spatio-Temporal Long-Term Memory.,"['Vu Anh Nguyen', 'Janusz A. Starzyk', 'Wooi-Boon Goh', 'Daniel Jachyra']",IEEE Trans. Neural Networks Learn. Syst.,2012
8,j,Strategies for shape matching using skeletons.,['Wooi-Boon Goh'],Comput. Vis. Image Underst.,2008
9,j,The multiresolution gradient vector field skeleton.,"['Wooi-Boon Goh', 'Kai-Yun Chan']",Pattern Recognit.,2007
10,j,Sub-pixel location of edges with non-uniform blurring: a finite closed-form approach.,"['Shan Ying', 'Wooi Boon Goh']",Image Vis. Comput.,2000
11,c,Why do people watch others eat food? An Empirical Study on the Motivations and Practices of Mukbang Viewers.,"['Laurensia Anjani', 'Terrance Tin Hoi Mok', 'Anthony Tang', 'Lora Oehlberg', 'Wooi Boon Goh']",CHI,2020
12,c,Bootstrapped Policy Gradient for Difficulty Adaptation in Intelligent Tutoring Systems.,"['Yaqian Zhang', 'Wooi-Boon Goh']",AAMAS,2019
13,c,Towards EEG Generation Using GANs for BCI Applications.,"['Fatemeh Fahimi', 'Zhuo Zhang', 'Wooi Boon Goh', 'Kai Keng Ang', 'Cuntai Guan']",BHI,2019
14,c,Designing a Multi-disciplinary Group Project for Computer Science and Engineering Students.,"['Kheng Leong Tan', 'Wooi Boon Goh']",EDUCON,2019
15,c,Head-Fingers-Arms: Physically-Coupled and Decoupled Multimodal Interaction Designs in Mobile VR.,"['Pallavi Mohan', 'Wooi Boon Goh', 'Chi-Wing Fu', 'Sai-Kit Yeung']",VRCAI,2019
16,c,Neural Indexes of Attention Extracted from EEG Correlate with Elderly Reaction Time in response to an Attentional Task.,"['Fatemeh Fahimi', 'Wooi Boon Goh', 'Tih Shih Lee', 'Cuntai Guan']",ICCSE,2018
17,c,DualGaze: Addressing the Midas Touch Problem in Gaze Mediated VR Interaction.,"['Pallavi Mohan', 'Wooi Boon Goh', 'Chi-Wing Fu', 'Sai-Kit Yeung']",ISMAR Adjunct,2018
18,c,Personalized features for attention detection in children with Attention Deficit Hyperactivity Disorder.,"['Fatemeh Fahimi', 'Cuntai Guan', 'Wooi Boon Goh', 'Kai Keng Ang', 'Choon Guan Lim', 'Tih Shih Lee']",EMBC,2017
19,c,MuSeeCol: A See-through Multi-touch Surface for Face-to-face Musical Collaboration.,"['Wooi Boon Goh', 'Lijia Yang', 'Kian Leong Ong']",ACE,2016
20,c,CardboardSense: Interacting with DIY Cardboard VR Headset by Tapping.,"['Xiaoqi Yan', 'Chi-Wing Fu', 'Pallavi Mohan', 'Wooi-Boon Goh']",Conference on Designing Interactive Systems,2016
