,type,name,author,event,year
0,j,An Accuracy Controllable and Memory Efficient Method for Computing High-Quality Geodesic Distances on Triangle Meshes.,"['Yohanes Yudhi Adikusuma', 'Jie Du', 'Zheng Fang', 'Ying He']",Comput. Aided Des.,2022
1,j,Constructing self-supporting surfaces with planar quadrilateral elements.,"['Long Ma', 'Sidan Yao', 'Jianmin Zheng', 'Yang Liu', 'Yuanfeng Zhou', 'Shi-Qing Xin', 'Ying He']",Comput. Vis. Media,2022
2,j,Low Rank Matrix Approximation for 3D Geometry Filtering.,"['Xuequan Lu', 'Scott Schaefer', 'Jun Luo', 'Lizhuang Ma', 'Ying He']",IEEE Trans. Vis. Comput. Graph.,2022
3,j,C3 Assignment: Camera Cubemap Color Assignment for Creative Interior Design.,"['Juncong Lin', 'Pintong Xiao', 'Yinan Fu', 'Yubin Shi', 'Hongran Wang', 'Shihui Guo', 'Ying He', 'Tong-Yee Lee']",IEEE Trans. Vis. Comput. Graph.,2022
4,j,On the Vertex-oriented Triangle Propagation (VTP) Algorithm: Parallelization and Approximation.,"['Jie Du', 'Ying He', 'Zheng Fang', 'Wenlong Meng', 'Shi-Qing Xin']",Comput. Aided Des.,2021
5,j,A Variational Framework for Computing Geodesic Paths on Sweep Surfaces.,"['Wenlong Meng', 'Shiqing Xin', 'Jinhui Zhao', 'Shuang-Min Chen', 'Changhe Tu', 'Ying He']",Comput. Aided Des.,2021
6,j,Poisson Vector Graphics (PVG)-Guided Face Color Transfer in Videos.,"['Qian Fu', 'Ying He', 'Fei Hou', 'Qian Sun', 'Anxiang Zeng', 'Zhenchuan Huang', 'Juyong Zhang', 'Yong-Jin Liu']",IEEE Computer Graphics and Applications,2021
7,j,Parallel and Scalable Heat Methods for Geodesic Distance Computation.,"['Jiong Tao', 'Juyong Zhang', 'Bailin Deng', 'Zheng Fang', 'Yue Peng', 'Ying He']",IEEE Trans. Pattern Anal. Mach. Intell.,2021
8,j,Blur Removal Via Blurred-Noisy Image Pair.,"['Chunzhi Gu', 'Xuequan Lu', 'Ying He', 'Chao Zhang']",IEEE Trans. Image Process.,2021
9,j,Deep Magnification-Flexible Upsampling Over 3D Point Clouds.,"['Yue Qian', 'Junhui Hou', 'Sam Kwong', 'Ying He']",IEEE Trans. Image Process.,2021
