,type,name,author,event,year
0,j,MTSS - A Marine Traffic Simulation System and Scenario Studies for a Major Hub Port.,"['Shell-Ying Huang', 'Wen Jing Hsu', 'Hui Fang', 'Tiancheng Song']",ACM Trans. Model. Comput. Simul.,2016
1,j,Dynamic Space and Time Partitioning for Yard Crane Workload Management in Container Terminals.,"['Xi Guo', 'Shell-Ying Huang']",Transp. Sci.,2012
2,j,Dynamic yard crane dispatching in container terminals with predicted vehicle arrival information.,"['Xi Guo', 'Shell-Ying Huang', 'Wen-Jing Hsu', 'Malcolm Yoke Hean Low']",Adv. Eng. Informatics,2011
3,j,Activity scheduling for a robotic caretaker agent for the elderly.,"['Shell-Ying Huang', 'Huiliang Zhang']",Int. J. Intell. Inf. Database Syst.,2011
4,j,Improving Safety and Stability of Large Containerships in Automated Stowage Planning.,"['Malcolm Yoke Hean Low', 'Min Zeng', 'Wen-Jing Hsu', 'Shell-Ying Huang', 'Fan Liu', 'Cho Aye Win']",IEEE Syst. J.,2011
5,j,Capacity analysis of container terminals using simulation techniques.,"['Shell-Ying Huang', 'Wen-Jing Hsu', 'Chuanyu Chen', 'Rong Ye', 'Stuti Nautiyal']",Int. J. Comput. Appl. Technol.,2008
6,j,A general framework for parallel BDI agents in dynamic environments.,"['Huiliang Zhang', 'Shell-Ying Huang']",Web Intell. Agent Syst.,2008
7,j,Travel time analysis of a new automated storage and retrieval system.,"['Yahong Hu', 'Shell-Ying Huang', 'Chuanyu Chen', 'Wen-Jing Hsu', 'Ah Cheong Toh', 'Chee Kit Loh', 'Tiancheng Song']",Comput. Oper. Res.,2005
8,j,The Development of Conservative Superstep Protocols for Shared Memory Multiprocessor Systems.,"['Boon-Ping Gan', 'Yoke-Hean Low', 'Wentong Cai', 'Stephen John Turner', 'Sanjay Jain', 'Wen-Jing Hsu', 'Shell-Ying Huang']",Scalable Comput. Pract. Exp.,2001
9,j,Survey of Languages and Runtime Libraries for Parallel Discrete-Event Simulation.,"['Yoke-Hean Low', 'Chu-Cheow Lim', 'Wentong Cai', 'Shell-Ying Huang', 'Wen-Jing Hsu', 'Sanjay Jain', 'Stephen John Turner']",Simul.,1999
10,j,A Data Compression Scheme for Chinese Text Files Using Huffman Coding and a Two-Level Dictionary.,"['Ghim Hwee Ong', 'Shell-Ying Huang']",Inf. Sci.,1995
11,c,A marine traffic simulation system for hub ports.,"['Shell-Ying Huang', 'Wen Jing Hsu', 'Hui Fang', 'Tiancheng Song']",SIGSIM-PADS,2013
12,c,Reducing simulation costs of embedded simulation in yard crane dispatching in container terminals.,"['Shell-Ying Huang', 'Xi Guo']",SIGSIM-PADS,2013
13,c,Embedding simulation in yard crane dispatching to minimize job tardiness in container terminals.,"['Shell-Ying Huang', 'Xi Guo', 'Wen Jing Hsu', 'Wei Lin Lim']",WSC,2012
14,c,An improved Least Cost Heuristic for dynamic yard crane deployment in container terminals.,"['Shell-Ying Huang', 'Xi Guo']",CASE,2011
15,c,Motivation Based Goal Adoption for Autonomous Intelligent Agents.,"['Umair Rafique', 'Shell-Ying Huang', 'Chunyan Miao']",IAT,2011
16,c,A Three-Level Hierarchical Workload Management Scheme for Yard Cranes in Container Terminals.,"['Shell-Ying Huang', 'Xi Guo', 'Mei Mei Lau']",ICCL,2011
17,c,Randomized Algorithm with Tabu Search for Multi-Objective Optimization of Large Containership Stowage Plans.,"['Fan Liu', 'Malcolm Yoke Hean Low', 'Wen-Jing Hsu', 'Shell-Ying Huang', 'Min Zeng', 'Cho Aye Win']",ICCL,2011
