,type,name,author,event,year
0,j,"Critique of ""MemXCT: Memory-Centric X-Ray CT Reconstruction With Massive Parallelization"" by SCC Team From Nanyang Technological University.","['Shenggui Li', 'Bu-Sung Lee']",IEEE Trans. Parallel Distributed Syst.,2022
1,j,Lower-Limb Rehabilitation at Home: A Survey on Exercise Assessment and Initial Study on Exercise State Identification Toward Biofeedback.,"['Seanglidet Yean', 'Bu-Sung Lee', 'Chai Kiat Yeo']",Int. J. Interdiscip. Telecommun. Netw.,2021
2,j,Lower-Limb Rehabilitation at Home: A Survey on Exercise Assessment and Initial Study on Exercise State Identification Toward Biofeedback.,"['Seanglidet Yean', 'Bu-Sung Lee', 'Chai Kiat Yeo']",Int. J. Interdiscip. Telecommun. Netw.,2020
3,j,Power-network aware VM migration heuristics for multi-tier web applications.,"['Amir Hossein Borhani', 'Terence Hung', 'Bu-Sung Lee', 'Zheng Qin']",Clust. Comput.,2019
4,j,CamType: assistive text entry using gaze with an off-the-shelf webcam.,"['Yi Liu', 'Bu-Sung Lee', 'Deepu Rajan', 'Andrzej Sluzek', 'Martin J. McKeown']",Mach. Vis. Appl.,2019
5,j,"Student Cluster Competition 2018, Team Nanyang Technological University: Reproducing performance of a Multi-Physics Simulations of the Tsunamigenic 2004 Sumatra Megathrust Earthquake on the Intel Skylake architecture.","['Bian Wu', 'Weiliang Heng', 'Bu-Sung Lee']",Parallel Comput.,2019
6,j,Power spectrum entropy based detection and mitigation of low-rate DoS attacks.,"['Zhaomin Chen', 'Chai Kiat Yeo', 'Bu-Sung Lee', 'Chiew Tong Lau']",Comput. Networks,2018
7,j,Leveraging social media news to predict stock index movement using RNN-boost.,"['Weiling Chen', 'Chai Kiat Yeo', 'Chiew Tong Lau', 'Bu-Sung Lee']",Data Knowl. Eng.,2018
8,j,The canary in the city: indicator groups as predictors of local rent increases.,"['Aike A. Steentoft', 'Ate Poorthuis', 'Bu-Sung Lee', 'Markus Schläpfer']",EPJ Data Sci.,2018
9,j,Evolutionary multi-objective optimization based ensemble autoencoders for image outlier detection.,"['Zhaomin Chen', 'Chai Kiat Yeo', 'Bu-Sung Lee', 'Chiew Tong Lau', 'Yaochu Jin']",Neurocomputing,2018
10,j,Distributed multi-task classification: a decentralized online learning approach.,"['Chi Zhang', 'Peilin Zhao', 'Shuji Hao', 'Yeng Chai Soh', 'Bu-Sung Lee', 'Chunyan Miao', 'Steven C. H. Hoi']",Mach. Learn.,2018
11,j,"Student Cluster Competition 2017, team Nanyang Technological University: Reproducing vectorization of the Tersoff multi-body potential on the Intel Broadwell architecture.","['Siyuan Liu', 'Meiru Hao', 'Bu-Sung Lee']",Parallel Comput.,2018
12,j,Unsupervised rumor detection based on users' behaviors using neural networks.,"['Weiling Chen', 'Yan Zhang', 'Chai Kiat Yeo', 'Chiew Tong Lau', 'Bu-Sung Lee']",Pattern Recognit. Lett.,2018
13,j,Smartphone Orientation Estimation Algorithm Combining Kalman Filter With Gradient Descent.,"['Seanglidet Yean', 'Bu-Sung Lee', 'Chai Kiat Yeo', 'Chan Hua Vun', 'Hong Lye Oh']",IEEE J. Biomed. Health Informatics,2018
14,j,Long-Term Multi-Resource Fairness for Pay-as-you Use Computing Systems.,"['Shanjiang Tang', 'Zhaojie Niu', 'Bingsheng He', 'Bu-Sung Lee', 'Ce Yu']",IEEE Trans. Parallel Distributed Syst.,2018
15,j,Fair Resource Allocation for Data-Intensive Computing in the Cloud.,"['Shanjiang Tang', 'Bu-Sung Lee', 'Bingsheng He']",IEEE Trans. Serv. Comput.,2018
16,j,Detection of network anomalies using Improved-MSPCA with sketches.,"['Zhaomin Chen', 'Chai Kiat Yeo', 'Bu-Sung Lee', 'Chiew Tong Lau']",Comput. Secur.,2017
17,j,Student cluster competition: ParConnect reproducibility task report.,"['Ying Hao Tan', 'Yiyang Shao', 'Siyuan Liu', 'Bu-Sung Lee']",Parallel Comput.,2017
18,j,Layman Analytics System: A Cloud-Enabled System for Data Analytics Workflow Recommendation.,"['Theint Theint Aye', 'Gary Kee Khoon Lee', 'Yi Su', 'Tianyou Zhang', 'Chonho Lee', 'Henry Kasim', 'Ivan Hoe', 'Francis Bu-Sung Lee', 'Gih Guang Hung']",IEEE Trans Autom. Sci. Eng.,2017
19,j,Robust Eye-Based Dwell-Free Typing.,"['Yi Liu', 'Bu-Sung Lee', 'Martin J. McKeown']",Int. J. Hum. Comput. Interact.,2016
20,j,Evaluating and Improving the Performance and Scheduling of HPC Applications in Cloud.,"['Abhishek Gupta', 'Paolo Faraboschi', 'Filippo Gioachin', 'Laxmikant V. Kalé', 'Richard Kaufmann', 'Bu-Sung Lee', 'Verdi March', 'Dejan S. Milojicic', 'Chun Hui Suen']",IEEE Trans. Cloud Comput.,2016
21,j,Dynamic Job Ordering and Slot Configurations for MapReduce Workloads.,"['Shanjiang Tang', 'Bu-Sung Lee', 'Bingsheng He']",IEEE Trans. Serv. Comput.,2016
22,j,Virtual machine placement with two-path traffic routing for reduced congestion in data center networks.,"['Renuga Kanagavelu', 'Bu-Sung Lee', 'Le Nguyen The Dat', 'Luke Ng Mingjie', 'Khin Mi Mi Aung']",Comput. Commun.,2014
23,j,Special issue on trust and security in cloud computing.,"['Ryan K. L. Ko', 'Markus Kirchberg', 'Bu-Sung Lee']",Secur. Commun. Networks,2014
24,j,A rule-based approach for availability of service by automated service substitution.,"['Qianhui Liang', 'Bu-Sung Lee', 'Patrick C. K. Hung']",Softw. Pract. Exp.,2014
25,j,DynamicMR: A Dynamic Slot Allocation Optimization Framework for MapReduce Clusters.,"['Shanjiang Tang', 'Bu-Sung Lee', 'Bingsheng He']",IEEE Trans. Cloud Comput.,2014
26,j,A Long-Term Reference Frame for Hierarchical B-Picture-Based Video Coding.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",IEEE Trans. Circuits Syst. Video Technol.,2014
27,j,Cooperative Virtual Machine Management in Smart Grid Environment.,"['Rakpong Kaewpuang', 'Sivadon Chaisiri', 'Dusit Niyato', 'Bu-Sung Lee', 'Ping Wang']",IEEE Trans. Serv. Comput.,2014
28,j,MaxCD: Efficient multi-flow scheduling and cooperative downloading for improved highway drive-thru Internet systems.,"['Shengbo Yang', 'Chai Kiat Yeo', 'Bu-Sung Lee']",Comput. Networks,2013
29,j,EFLoM: An Efficient Framework for Local Mobility.,"['Feng Zhong', 'Chai Kiat Yeo', 'Bu-Sung Lee']",Comput. Commun.,2013
30,j,Video coding with dynamic background.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",EURASIP J. Adv. Signal Process.,2013
31,j,Pattern-based video coding with dynamic background modeling.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",EURASIP J. Adv. Signal Process.,2013
32,j,Hadoop framework: impact of data organization on performance.,"['Yu Shyang Tan', 'Jiaqi Tan', 'Engsiong Chng', 'Bu-Sung Lee', 'Jiaming Li', 'Susumu Date', 'Hui Ping Chak', 'Xiong Xiao', 'Atsushi Narishige']",Softw. Pract. Exp.,2013
33,j,Cooperative Duty Cycling For Energy-Efficient Contact Discovery in Pocket Switched Networks.,"['Shengbo Yang', 'Chai Kiat Yeo', 'Francis Bu-Sung Lee']",IEEE Trans. Veh. Technol.,2013
34,j,Achieving Small-World Properties using Bio-Inspired Techniques in Wireless Networks.,"['Rachit Agarwal', 'Abhik Banerjee', 'Vincent Gauthier', 'Monique Becker', 'Chai Kiat Yeo', 'Bu-Sung Lee']",Comput. J.,2012
35,j,Adaptive load balancing algorithm for multiple homing mobile nodes.,"['Feng Zhong', 'Chai Kiat Yeo', 'Bu-Sung Lee']",J. Netw. Comput. Appl.,2012
36,j,Performance improvements for network-wide broadcast with instantaneous network information.,"['Abhik Banerjee', 'Chuan Heng Foh', 'Chai Kiat Yeo', 'Bu-Sung Lee']",J. Netw. Comput. Appl.,2012
37,j,Low-Complexity Video Coding Based on Two-Dimensional Singular Value Decomposition.,"['Zhouye Gu', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau']",IEEE Trans. Image Process.,2012
38,j,Mode-Dependent Templates and Scan Order for H.264/AVC-Based Intra Lossless Coding.,"['Zhouye Gu', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau', 'Ming-Ting Sun']",IEEE Trans. Image Process.,2012
39,j,Rotated Orthogonal Transform (ROT) for Motion-Compensation Residual Coding.,"['Zhouye Gu', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau']",IEEE Trans. Image Process.,2012
40,j,Toward Reliable Data Delivery for Highly Dynamic Mobile Ad Hoc Networks.,"['Shengbo Yang', 'Chai Kiat Yeo', 'Bu-Sung Lee']",IEEE Trans. Mob. Comput.,2012
41,j,Bottom-Up Saliency Detection Model Based on Human Visual Sensitivity and Amplitude Spectrum.,"['Yuming Fang', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau', 'Zhenzhong Chen', 'Chia-Wen Lin']",IEEE Trans. Multim.,2012
42,j,Robust Image Coding Based Upon Compressive Sensing.,"['Chenwei Deng', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau']",IEEE Trans. Multim.,2012
43,j,EasyPDP: An Efficient Parallel Dynamic Programming Runtime System for Computational Biology.,"['Shanjiang Tang', 'Ce Yu', 'Jizhou Sun', 'Bu-Sung Lee', 'Tao Zhang', 'Zhen Xu', 'Huabei Wu']",IEEE Trans. Parallel Distributed Syst.,2012
44,j,Optimization of Resource Provisioning Cost in Cloud Computing.,"['Sivadon Chaisiri', 'Bu-Sung Lee', 'Dusit Niyato']",IEEE Trans. Serv. Comput.,2012
45,j,A Self-Organization Framework for Wireless Ad Hoc Networks as Small Worlds.,"['Abhik Banerjee', 'Rachit Agarwal', 'Vincent Gauthier', 'Chai Kiat Yeo', 'Hossam Afifi', 'Francis Bu-Sung Lee']",IEEE Trans. Veh. Technol.,2012
46,j,Cloud Computing.,"['Malek Ben Salem', 'Bu-Sung Lee', 'Jie Zhang']",J. Internet Serv. Inf. Secur.,2011
47,j,"Performance analysis, parameter selection and extensions to H.264/AVC FRExt for high resolution video coding.","['Chenwei Deng', 'Weisi Lin', 'Bu-Sung Lee', 'Chiew Tong Lau', 'Ming-Ting Sun']",J. Vis. Commun. Image Represent.,2011
48,j,Interactive and Iterative Service-Composition-Based Approach to Flexible Information System Development.,"['Qianhui Liang', 'Anandhi Bharadwaj', 'Bu-Sung Lee']",Int. J. Web Serv. Res.,2011
49,j,Explore and Model Better I-Frames for Video Coding.,"['Manoranjan Paul', 'Weisi Lin', 'Chiew Tong Lau', 'Bu-Sung Lee']",IEEE Trans. Circuits Syst. Video Technol.,2011
