,type,name,author,event,year
0,j,Semi-Supervised Federated Heterogeneous Transfer Learning.,"['Siwei Feng', 'Boyang Li', 'Han Yu', 'Yang Liu', 'Qiang Yang']",Knowl. Based Syst.,2022
1,j,Federated Learning for Personalized Humor Recognition.,"['Xu Guo', 'Han Yu', 'Boyang Li', 'Hao Wang', 'Pengwei Xing', 'Siwei Feng', 'Zaiqing Nie', 'Chunyan Miao']",ACM Trans. Intell. Syst. Technol.,2022
2,j,Proof of Learning (PoLe): Empowering neural network training with consensus building on blockchains.,"['Yuan Liu', 'Yixiao Lan', 'Boyang Li', 'Chunyan Miao', 'Zhihong Tian']",Comput. Networks,2021
3,j,An Empirical Study on the Relation Between Network Interpretability and Adversarial Robustness.,"['Adam Noack', 'Isaac Ahern', 'Dejing Dou', 'Boyang Li']",SN Comput. Sci.,2021
4,j,Predicting Personality from Book Preferences with User-Generated Content Labels.,"['Ng Annalyn', 'Maarten W. Bos', 'Leonid Sigal', 'Boyang Li']",IEEE Trans. Affect. Comput.,2020
5,j,"A Multi-Task Neural Approach for Emotion Attribution, Classification, and Summarization.","['Guoyun Tu', 'Yanwei Fu', 'Boyang Li', 'Jiarui Gao', 'Yu-Gang Jiang', 'Xiangyang Xue']",IEEE Trans. Multim.,2020
6,j,"Heterogeneous Knowledge Transfer in Video Emotion Recognition, Attribution and Summarization.","['Baohan Xu', 'Yanwei Fu', 'Yu-Gang Jiang', 'Boyang Li', 'Leonid Sigal']",IEEE Trans. Affect. Comput.,2018
7,j,The AIIDE 2015 Workshop Program.,"['Camille Barot', 'Michael Buro', 'Michael Cook', 'Mirjam Palosaari Eladhari', 'Boyang Li', 'Antonios Liapis', 'Magnus Johansson', 'Josh McCoy', 'Santiago Ontañón', 'Jonathan P. Rowe', 'Emmett Tomai', 'Harko Verhagen', 'Alexander Zook']",AI Mag.,2016
8,j,Creating an Immersive Game World with Evolutionary Fuzzy Cognitive Maps.,"['Yundong Cai', 'Chunyan Miao', 'Ah-Hwee Tan', 'Zhiqi Shen', 'Boyang Li']",IEEE Computer Graphics and Applications,2010
9,c,Toward Knowledge-Enriched Conversational Recommendation Systems.,"['Tong Zhang', 'Yong Liu', 'Boyang Li', 'Peixiang Zhong', 'Chen Zhang', 'Hao Wang', 'Chunyan Miao']",ConvAI@ACL,2022
10,c,VisualGPT: Data-efficient Adaptation of Pretrained Language Models for Image Captioning.,"['Jun Chen', 'Han Guo', 'Kai Yi', 'Boyang Li', 'Mohamed Elhoseiny']",CVPR,2022
11,c,HyDRA: Hypergradient Data Relevance Analysis for Interpreting Deep Neural Networks.,"['Yuanyuan Chen', 'Boyang Li', 'Han Yu', 'Pengcheng Wu', 'Chunyan Miao']",AAAI,2021
12,c,Proof of Learning (PoLe): Empowering Machine Learning with Consensus Building on Blockchains (Demo).,"['Yixiao Lan', 'Yuan Liu', 'Boyang Li', 'Chunyan Miao']",AAAI,2021
13,c,Noise-Resistant Deep Metric Learning With Ranking-Based Instance Selection.,"['Chang Liu', 'Han Yu', 'Boyang Li', 'Zhiqi Shen', 'Zhanning Gao', 'Peiran Ren', 'Xuansong Xie', 'Lizhen Cui', 'Chunyan Miao']",CVPR,2021
14,c,Exploring Long Tail Visual Relationship Recognition with Large Vocabulary.,"['Sherif Abdelkarim', 'Aniket Agarwal', 'Panos Achlioptas', 'Jun Chen', 'Jiaji Huang', 'Boyang Li', 'Kenneth Church', 'Mohamed Elhoseiny']",ICCV,2021
15,c,Initialization Matters: Regularizing Manifold-informed Initialization for Neural Recommendation Systems.,"['Yinan Zhang', 'Boyang Li', 'Yong Liu', 'Hao Wang', 'Chunyan Miao']",KDD,2021
