,type,name,author,event,year
0,j,Multi-label classification for biomedical literature: an overview of the BioCreative VII LitCovid Track for COVID-19 literature topic annotations.,"['Qingyu Chen', 'Alexis Allot', 'Robert Leaman', 'Rezarta Islamaj', 'Jingcheng Du', 'Li Fang', 'Wang Kai', 'Shuo Xu', 'Yuefu Zhang', 'Parsa Bagherzadeh', 'Sabine Bergler', 'Aakash Bhatnagar', 'Nidhir Bhavsar', 'Yung-Chun Chang', 'Sheng-Jie Lin', 'Wentai Tang', 'Hongtong Zhang', 'Ilija Tavchioski', 'Senja Pollak', 'Shubo Tian', 'Jinfeng Zhang', 'Yulia Otmakhova', 'Antonio Jimeno-Yepes', 'Hang Dong', 'Honghan Wu', 'Richard Dufour', 'Yanis Labrak', 'Niladri Chatterjee', 'Kushagri Tandon', 'Fréjus A. A. Laleye', 'Loïc Rakotoson', 'Emmanuele Chersoni', 'Jinghang Gu', 'Annemarie Friedrich', 'Subhash Chandra Pujari', 'Mariia Chizhikova', 'Naveen Sivadasan', 'Saipradeep Vg', 'Zhiyong Lu']",Database J. Biol. Databases Curation,2022
1,j,Application of a Machine Learning Algorithm in Generating an Evapotranspiration Data Product From Coupled Thermal Infrared and Microwave Satellite Observations.,"['Li Fang', 'Xiwu Zhan', 'Satya Kalluri', 'Peng Yu', 'Christopher Hain', 'Martha C. Anderson', 'Istvan Laszlo']",Frontiers Big Data,2022
2,j,Simultaneous estimation of joint angle and interaction force towards sEMG-driven human-robot interaction during constrained tasks.,"['Qin Zhang', 'Li Fang', 'Qining Zhang', 'Caihua Xiong']",Neurocomputing,2022
3,j,Hyperspectral Image Classification With Adversarial Attack.,"['Cheng Shi', 'Yenan Dang', 'Li Fang', 'Zhiyong Lv', 'Minghua Zhao']",IEEE Geosci. Remote. Sens. Lett.,2022
4,j,Improved Generative Adversarial Networks for VHR Remote Sensing Image Classification.,"['Cheng Shi', 'Li Fang', 'Zhiyong Lv', 'Huifang Shen']",IEEE Geosci. Remote. Sens. Lett.,2022
5,j,Explainable scale distillation for hyperspectral image classification.,"['Cheng Shi', 'Li Fang', 'Zhiyong Lv', 'Minghua Zhao']",Pattern Recognit.,2022
6,j,Retrieval of Aerosol Optical Properties over Land Using an Optimized Retrieval Algorithm Based on the Directional Polarimetric Camera.,"['Li Fang', 'Otto Hasekamp', 'Guangliang Fu', 'Weishu Gong', 'Shupeng Wang', 'Weihe Wang', 'Qijin Han', 'Shihao Tang']",Remote. Sens.,2022
7,j,Design of Wireless Individual-Drive System for Variable-Reluctance Stepping Motor.,"['Li Fang', 'Hong Zhou', 'Wenshan Hu', 'Jing Chen', 'Ao Zhu', 'Xingran Gao', 'Qijun Deng']",IEEE Trans. Circuits Syst. II Express Briefs,2022
8,j,Aerosol Optical Depth Retrieval Over South Asia Using FY-4A/AGRI Data.,"['Yanqing Xie', 'Zhengqiang Li', 'Jie Guang', 'Weizhen Hou', 'Abdus Salam', 'Zahir Ali', 'Li Fang']",IEEE Trans. Geosci. Remote. Sens.,2022
9,j,A Novel Permanent Magnet Vernier Machine With Coding-Shaped Tooth.,"['Li Fang', 'Dawei Li', 'Xiang Ren', 'Ronghai Qu']",IEEE Trans. Ind. Electron.,2022
10,j,VW-DBG: A Dynamically Evolving Bitcoin Transaction Network Model.,"['Jinke Geng', 'Yi Li', 'Li Fang', 'Ping Chen']",IEEE Trans. Netw. Sci. Eng.,2022
11,j,The value of offline channel subsidy in bricks and clicks: an O2O supply chain coordination perspective.,"['Zhisong Chen', 'Li Fang', 'Shong-Iee Ivan Su']",Electron. Commer. Res.,2021
12,j,GRNdb: decoding the gene regulatory networks in diverse human and mouse conditions.,"['Li Fang', 'Yunjin Li', 'Lu Ma', 'Qiyue Xu', 'Fei Tan', 'Geng Chen']",Nucleic Acids Res.,2021
13,j,Attention-Guided Multispectral and Panchromatic Image Classification.,"['Cheng Shi', 'Yenan Dang', 'Li Fang', 'Zhiyong Lv', 'Huifang Shen']",Remote. Sens.,2021
