,type,name,author,event,year
0,j,"Optimal selling price, replenishment cycle and payment time among advance, cash, and credit payments from the seller's perspective.","['Lin Feng', 'Konstantina Skouri', 'Wan-Chih Wang', 'Jinn-Tsair Teng']",Ann. Oper. Res.,2022
1,j,"Pricing and lot-sizing decision for fresh goods when demand depends on unit price, displaying stocks and product age under generalized payments.","['Lin Feng', 'Wan-Chih Wang', 'Jinn-Tsair Teng', 'Leopoldo Eduardo Cárdenas-Barrón']",Eur. J. Oper. Res.,2022
2,j,ATDA: Attentional temporal dynamic activation for speech emotion recognition.,"['Lu-Yao Liu', 'Wen-Zhe Liu', 'Jian Zhou', 'Hui-Yuan Deng', 'Lin Feng']",Knowl. Based Syst.,2022
3,j,SEIR model with unreported infected population and dynamic parameters for the spread of COVID-19.,"['Ziren Chen', 'Lin Feng', 'Harold A. Lay Jr.', 'Khaled M. Furati', 'Abdul-Qayyum M. Khaliq']",Math. Comput. Simul.,2022
4,j,Object detection network pruning with multi-task information fusion.,"['Shengming Li', 'Linsong Xue', 'Lin Feng', 'Yifan Wang', 'Dong Wang']",World Wide Web,2022
5,j,Detection and Early Warning of Toxic Gases Based on Semiconductor Wireless Sensors.,"['Lin Feng', 'Jian Wang', 'Ye Chen', 'Chao Ding']",J. Sensors,2021
6,j,An Ensemble Learning Method for Robot Electronic Nose with Active Perception.,"['Shengming Li', 'Lin Feng', 'Yunfei Ge', 'Li Zhu', 'Liang Zhao']",Sensors,2021
7,j,ESPC_NASUnet: An End-to-End Super-Resolution Semantic Segmentation Network for Mapping Buildings From Remote Sensing Images.,"['Penglei Xu', 'Hong Tang', 'Jiayi Ge', 'Lin Feng']",IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.,2021
8,j,Future-Aware Trend Alignment for Sales Predictions.,"['Yiwei Liu', 'Lin Feng', 'Bo Jin']",Inf.,2020
9,j,SitR: Sitting Posture Recognition Using RF Signals.,"['Lin Feng', 'Ziyi Li', 'Chen Liu', 'Xiaojiang Chen', 'Xiao Yin', 'Dingyi Fang']",IEEE Internet Things J.,2020
