,type,name,author,event,year
0,j,Learning language to symbol and language to vision mapping for visual grounding.,"['Su He', 'Xiaofeng Yang', 'Guosheng Lin']",Image Vis. Comput.,2022
1,j,Online Active Proposal Set Generation for weakly supervised object detection.,"['Ruibing Jin', 'Guosheng Lin', 'Changyun Wen']",Knowl. Based Syst.,2022
2,j,Tackling background ambiguities in multi-class few-shot point cloud semantic segmentation.,"['Lvlong Lai', 'Jian Chen', 'Chi Zhang', 'Zehong Zhang', 'Guosheng Lin', 'Qingyao Wu']",Knowl. Based Syst.,2022
3,j,Feature flow: In-network feature flow estimation for video object detection.,"['Ruibing Jin', 'Guosheng Lin', 'Changyun Wen', 'Jianliang Wang', 'Fayao Liu']",Pattern Recognit.,2022
4,j,Decomposing generation networks with structure prediction for recipe generation.,"['Hao Wang', 'Guosheng Lin', 'Steven C. H. Hoi', 'Chunyan Miao']",Pattern Recognit.,2022
5,j,Dense Semantics-Assisted Networks for Video Action Recognition.,"['Haonan Luo', 'Guosheng Lin', 'Yazhou Yao', 'Zhenmin Tang', 'Qingyao Wu', 'Xiansheng Hua']",IEEE Trans. Circuits Syst. Video Technol.,2022
6,j,Cross-Modal Graph With Meta Concepts for Video Captioning.,"['Hao Wang', 'Guosheng Lin', 'Steven C. H. Hoi', 'Chunyan Miao']",IEEE Trans. Image Process.,2022
7,j,Iterative Refinement for Multi-Source Visual Domain Adaptation.,"['Hanrui Wu', 'Yuguang Yan', 'Guosheng Lin', 'Min Yang', 'Michael K. Ng', 'Qingyao Wu']",IEEE Trans. Knowl. Data Eng.,2022
8,j,"CNN-Based RGB-D Salient Object Detection: Learn, Select, and Fuse.","['Hao Chen', 'Youfu Li', 'Yongjian Deng', 'Guosheng Lin']",Int. J. Comput. Vis.,2021
9,j,Graph neural network for 6D object pose estimation.,"['Pengshuai Yin', 'Jiayong Ye', 'Guosheng Lin', 'Qingyao Wu']",Knowl. Based Syst.,2021
10,j,Few-shot fine-grained classification with Spatial Attentive Comparison.,"['Xiaoqian Ruan', 'Guosheng Lin', 'Cheng Long', 'Shengli Lu']",Knowl. Based Syst.,2021
11,j,Guided Co-Segmentation Network for Fast Video Object Segmentation.,"['Weide Liu', 'Guosheng Lin', 'Tianyi Zhang', 'Zichuan Liu']",IEEE Trans. Circuits Syst. Video Technol.,2021
12,j,Weakly-Supervised Cross-Domain Road Scene Segmentation via Multi-Level Curriculum Adaptation.,"['Fengmao Lv', 'Guosheng Lin', 'Peng Liu', 'Guowu Yang', 'Sinno Jialin Pan', 'Lixin Duan']",IEEE Trans. Circuits Syst. Video Technol.,2021
13,j,On Lightweight Privacy-preserving Collaborative Learning for Internet of Things by Independent Random Projections.,"['Linshan Jiang', 'Rui Tan', 'Xin Lou', 'Guosheng Lin']",ACM Trans. Internet Things,2021
14,j,CycleSegNet: Object Co-Segmentation With Cycle Refinement and Region Correspondence.,"['Chi Zhang', 'Guankai Li', 'Guosheng Lin', 'Qingyao Wu', 'Rui Yao']",IEEE Trans. Image Process.,2021
15,j,Progressive Self-Guided Loss for Salient Object Detection.,"['Sheng Yang', 'Weisi Lin', 'Guosheng Lin', 'Qiuping Jiang', 'Zichuan Liu']",IEEE Trans. Image Process.,2021
16,j,Bottom-Up Scene Text Detection with Markov Clustering Networks.,"['Zichuan Liu', 'Guosheng Lin', 'Wang Ling Goh']",Int. J. Comput. Vis.,2020
17,j,RefineNet: Multi-Path Refinement Networks for Dense Prediction.,"['Guosheng Lin', 'Fayao Liu', 'Anton Milan', 'Chunhua Shen', 'Ian D. Reid']",IEEE Trans. Pattern Anal. Mach. Intell.,2020
18,j,Motion Context Network for Weakly Supervised Object Detection in Videos.,"['Ruibing Jin', 'Guosheng Lin', 'Changyun Wen', 'Jianliang Wang']",IEEE Signal Process. Lett.,2020
19,j,RGBD Salient Object Detection via Disentangled Cross-Modal Fusion.,"['Hao Chen', 'Yongjian Deng', 'Youfu Li', 'Tzu-Yi Hung', 'Guosheng Lin']",IEEE Trans. Image Process.,2020
20,j,Video Object Segmentation and Tracking: A Survey.,"['Rui Yao', 'Guosheng Lin', 'Shixiong Xia', 'Jiaqi Zhao', 'Yong Zhou']",ACM Trans. Intell. Syst. Technol.,2020
21,j,A Dilated Inception Network for Visual Saliency Prediction.,"['Sheng Yang', 'Guosheng Lin', 'Qiuping Jiang', 'Weisi Lin']",IEEE Trans. Multim.,2020
22,j,Local fusion networks with chained residual pooling for video action recognition.,"['Feixiang He', 'Fayao Liu', 'Rui Yao', 'Guosheng Lin']",Image Vis. Comput.,2019
23,j,Keypoint based weakly supervised human parsing.,"['Zhonghua Wu', 'Guosheng Lin', 'Jianfei Cai']",Image Vis. Comput.,2019
24,j,Semantics-Aware Visual Object Tracking.,"['Rui Yao', 'Guosheng Lin', 'Chunhua Shen', 'Yanning Zhang', 'Qinfeng Shi']",IEEE Trans. Circuits Syst. Video Technol.,2019
25,j,Decoupled Spatial Neural Attention for Weakly Supervised Semantic Segmentation.,"['Tianyi Zhang', 'Guosheng Lin', 'Jianfei Cai', 'Tong Shen', 'Chunhua Shen', 'Alex C. Kot']",IEEE Trans. Multim.,2019
26,j,Exploring Context with Deep Structured Models for Semantic Segmentation.,"['Guosheng Lin', 'Chunhua Shen', 'Anton van den Hengel', 'Ian Reid']",IEEE Trans. Pattern Anal. Mach. Intell.,2018
27,j,Efficient dense labelling of human activity sequences from wearables using fully convolutional networks.,"['Rui Yao', 'Guosheng Lin', 'Qinfeng Shi', 'Damith Chinthana Ranasinghe']",Pattern Recognit.,2018
28,j,Crowd Counting via Weighted VLAD on a Dense Attribute Feature Map.,"['Biyun Sheng', 'Chunhua Shen', 'Guosheng Lin', 'Jun Li', 'Wankou Yang', 'Changyin Sun']",IEEE Trans. Circuits Syst. Video Technol.,2018
29,j,Structured Learning of Tree Potentials in CRF for Image Segmentation.,"['Fayao Liu', 'Guosheng Lin', 'Ruizhi Qiao', 'Chunhua Shen']",IEEE Trans. Neural Networks Learn. Syst.,2018
30,j,Structured Learning of Binary Codes with Column Generation for Optimizing Ranking Measures.,"['Guosheng Lin', 'Fayao Liu', 'Chunhua Shen', 'Jianxin Wu', 'Heng Tao Shen']",Int. J. Comput. Vis.,2017
31,j,Discriminative Training of Deep Fully Connected Continuous CRFs With Task-Specific Loss.,"['Fayao Liu', 'Guosheng Lin', 'Chunhua Shen']",IEEE Trans. Image Process.,2017
32,j,Learning Depth from Single Monocular Images Using Deep Convolutional Neural Fields.,"['Fayao Liu', 'Chunhua Shen', 'Guosheng Lin', 'Ian Reid']",IEEE Trans. Pattern Anal. Mach. Intell.,2016
33,j,Supervised Hashing Using Graph Cuts and Boosted Decision Trees.,"['Guosheng Lin', 'Chunhua Shen', 'Anton van den Hengel']",IEEE Trans. Pattern Anal. Mach. Intell.,2015
34,j,CRF learning with CNN features for image segmentation.,"['Fayao Liu', 'Guosheng Lin', 'Chunhua Shen']",Pattern Recognit.,2015
35,j,StructBoost: Boosting Methods for Predicting Structured Output Variables.,"['Chunhua Shen', 'Guosheng Lin', 'Anton van den Hengel']",IEEE Trans. Pattern Anal. Mach. Intell.,2014
36,c,Self-Supervised Object Localization with Joint Graph Partition.,"['Yukun Su', 'Guosheng Lin', 'Yun Hao', 'Yiwen Cao', 'Wenjun Wang', 'Qingyao Wu']",AAAI,2022
37,c,Weakly Supervised Segmentation on Outdoor 4D point clouds with Temporal Matching and Spatial Graph Propagation.,"['Hanyu Shi', 'Jiacheng Wei', 'Ruibo Li', 'Fayao Liu', 'Guosheng Lin']",CVPR,2022
38,c,Expanding Large Pre-trained Unimodal Models with Multimodal Information Injection for Image-Text Multimodal Classification.,"['Tao Liang', 'Guosheng Lin', 'Mingyang Wan', 'Tianrui Li', 'Guojun Ma', 'Fengmao Lv']",CVPR,2022
39,c,RigidFlow: Self-Supervised Scene Flow Learning on Point Clouds by Local Rigidity Prior.,"['Ruibo Li', 'Chi Zhang', 'Guosheng Lin', 'Zhe Wang', 'Chunhua Shen']",CVPR,2022
40,c,Dual Adaptive Transformations for Weakly Supervised Point Cloud Segmentation.,"['Zhonghua Wu', 'Yicheng Wu', 'Guosheng Lin', 'Jianfei Cai', 'Chen Qian']",ECCV (31),2022
41,c,Dynamically Transformed Instance Normalization Network for Generalizable Person Re-Identification.,"['Bingliang Jiao', 'Lingqiao Liu', 'Liying Gao', 'Guosheng Lin', 'Lu Yang', 'Shizhou Zhang', 'Peng Wang', 'Yanning Zhang']",ECCV (14),2022
42,c,Paired Cross-Modal Data Augmentation for Fine-Grained Image-to-Text Retrieval.,"['Hao Wang', 'Guosheng Lin', 'Steven C. H. Hoi', 'Chunyan Miao']",ACM Multimedia,2022
43,c,Few-shot Open-set Recognition Using Background as Unknowns.,"['Nan Song', 'Chi Zhang', 'Guosheng Lin']",ACM Multimedia,2022
