,type,name,author,event,year
0,j,Identification Tool for Gastric Cancer Based on Integration of 33 Clinical Available Blood Indices Through Deep Learning.,"['Bowen Zhang', 'Long Cheng', 'Yuzhen Niu', 'Aming Wang', 'Pengyi Zhang', 'Tiantian Shen', 'Lili Xi', 'Dekui Zhang', 'Shuyan Li']",IEEE Access,2022
1,j,Containment control with input and velocity constraints.,"['Jiahao Xu', 'Peng Lin', 'Long Cheng', 'Hairong Dong']",Autom.,2022
2,j,"A cascaded algorithm based on GMM, GKF, and data fusion for mobile tracking in wireless sensor network.","['Long Cheng', 'Dacheng Wei', 'Peng Zhao', 'Yan Wang']",Int. J. Commun. Syst.,2022
3,j,Noninvasive oral cancer screening based on local residual adaptation network using optical coherence tomography.,"['Wei Yuan', 'Long Cheng', 'Jinsuo Yang', 'Boya Yin', 'Xingyu Fan', 'Jing Yang', 'Sen Li', 'Jianjun Zhong', 'Xin Huang']",Medical Biol. Eng. Comput.,2022
4,j,GCdiscrimination: identification of gastric cancer based on a milliliter of blood.,"['Jiangpeng Wu', 'Yifan Yang', 'Long Cheng', 'Jing Wu', 'Lili Xi', 'Ying Ma', 'Pengyi Zhang', 'Xiaoying Xu', 'Dekui Zhang', 'Shuyan Li']",Briefings Bioinform.,2021
5,j,Fuzzy inference based contextual dissimilarity histogram equalization algorithm for image enhancement.,"['Songcheng Li', 'Junyong Lu', 'Long Cheng', 'Xiangping Li']",Int. J. Imaging Syst. Technol.,2021
6,j,Novel local information kernelized fuzzy C-means algorithm for image segmentation.,"['Songcheng Li', 'Junyong Lu', 'Long Cheng', 'Xiangping Li']",Int. J. Imaging Syst. Technol.,2021
7,j,A Multifilter Location Optimization Algorithm Based on Neural Network in LOS/NLOS Mixed Environment.,"['Zhentian Bian', 'Long Cheng', 'Yan Wang']",J. Sensors,2021
8,j,A Survey of Energy Management in Interconnected Multi-Microgrids.,"['Hualei Zou', 'Shiwen Mao', 'Yu Wang', 'Fanghua Zhang', 'Xin Chen', 'Long Cheng']",IEEE Access,2019
9,j,Operation space design of microbial fuel cells combined anaerobic-anoxic-oxic process based on support vector regression inverse model.,"['Jing Wang', 'Qilun Wang', 'Jinglin Zhou', 'Xiaohui Wang', 'Long Cheng']",Eng. Appl. Artif. Intell.,2018
10,j,Software change-proneness prediction through combination of bagging and resampling methods.,"['Xiaoyan Zhu', 'Yueyang He', 'Long Cheng', 'Xiaolin Jia', 'Lei Zhu']",J. Softw. Evol. Process.,2018
11,j,Component-Level Tuning of Kinematic Features From Composite Therapist Impressions of Movement Quality.,"['Vinay Venkataraman', 'Pavan K. Turaga', 'Michael Baran', 'Nicole Lehrer', 'Tingfang Du', 'Long Cheng', 'Thanassis Rikakis', 'Steven L. Wolf']",IEEE J. Biomed. Health Informatics,2016
12,j,CADgene: a comprehensive database for coronary artery disease genes.,"['Hui Liu', 'Wei Liu', 'Yifang Liao', 'Long Cheng', 'Qian Liu', 'Xiang Ren', 'Lisong Shi', 'Xin Tu', 'Qing Kenneth Wang', 'An-Yuan Guo']",Nucleic Acids Res.,2011
13,j,System-performance modeling for massively multiplayer online role-playing games.,"['Meng Ye', 'Long Cheng']",IBM Syst. J.,2006
14,c,Towards Connecting the Disconnected Internet.,"['Jim Martin', 'Manveen Kaur', 'Long Cheng', 'Abolfazi Razi']",ICCCN,2022
15,c,An Image Compression Method Based on Compressive Sensing and Convolution Neural Network for Massive Imaging Flow Cytometry Data.,"['Long Cheng', 'Yi Gu']",ICIC (3),2022
16,c,"Clairvoyance: Exploiting Far-field EM Emanations of GPU to ""See"" Your DNN Models through Obstacles at a Distance.","['Sisheng Liang', 'Zihao Zhan', 'Fan Yao', 'Long Cheng', 'Zhenkai Zhang']",SP Workshops,2022
17,c,Joint Activity Localization and Recognition with Ultra Wideband based on Machine Learning and Compressed Sensing.,"['Long Cheng', 'Yifan Wang', 'Ruogu Jin', 'Kangnan Dong', 'Zhaoqi Wu', 'Yuanchen Zhao']",CCWC,2021
18,c,Asteria: Deep Learning-based AST-Encoding for Cross-platform Binary Code Similarity Detection.,"['Shouguo Yang', 'Long Cheng', 'Yicheng Zeng', 'Zhe Lang', 'Hongsong Zhu', 'Zhiqiang Shi']",DSN,2021
19,c,Design of Customer Satisfaction Evaluation System Based on Big Data.,"['Long Cheng', 'Jing Cao', 'Zhongwei Gu']",HCI (35),2021
20,c,Design and Control of an Index Finger Exoskeleton with Cable-Driven Translational Joints.,"['Houcheng Li', 'Long Cheng', 'Zhengwei Li']",ICARM,2020
21,c,3D Object Detection and Tracking Based on Streaming Data.,"['Xusen Guo', 'Jianfeng Gu', 'Silu Guo', 'Zixiao Xu', 'Chengzhang Yang', 'Shanghua Liu', 'Long Cheng', 'Kai Huang']",ICRA,2020
22,c,Ultra Wideband Indoor Positioning System based on Artificial Intelligence Techniques.,"['Long Cheng', 'Zhaoqi Wu', 'Bo Lai', 'Qiang Yang', 'Anguo Zhao', 'Yuanting Wang']",IRI,2020
