,type,name,author,event,year
0,j,GCDB-UNet: A novel robust cloud detection approach for remote sensing images.,"['Xian Li', 'Xiaofei Yang', 'Xutao Li', 'Shijian Lu', 'Yunming Ye', 'Yifang Ban']",Knowl. Based Syst.,2022
1,j,Multi-level adversarial network for domain adaptive semantic segmentation.,"['Jiaxing Huang', 'Dayan Guan', 'Aoran Xiao', 'Shijian Lu']",Pattern Recognit.,2022
2,j,Detection and rectification of arbitrary shaped scene texts by using text keypoints and links.,"['Chuhui Xue', 'Shijian Lu', 'Steven C. H. Hoi']",Pattern Recognit.,2022
3,j,Domain consistency regularization for unsupervised multi-source domain adaptive classification.,"['Zhipeng Luo', 'Xiaobing Zhang', 'Shijian Lu', 'Shuai Yi']",Pattern Recognit.,2022
4,j,GMLight: Lighting Estimation via Geometric Distribution Approximation.,"['Fangneng Zhan', 'Yingchen Yu', 'Changgong Zhang', 'Rongliang Wu', 'Wenbo Hu', 'Shijian Lu', 'Feiying Ma', 'Xuansong Xie', 'Ling Shao']",IEEE Trans. Image Process.,2022
5,j,Self-Guided Adaptation: Progressive Representation Alignment for Domain Adaptive Object Detection.,"['Chong Zhang', 'Zongxian Li', 'Jingjing Liu', 'Peixi Peng', 'Qixiang Ye', 'Shijian Lu', 'Tie-Jun Huang', 'Yonghong Tian']",IEEE Trans. Multim.,2022
6,j,Uncertainty-Aware Unsupervised Domain Adaptation in Object Detection.,"['Dayan Guan', 'Jiaxing Huang', 'Aoran Xiao', 'Shijian Lu', 'Yanpeng Cao']",IEEE Trans. Multim.,2022
7,j,"The Evolution and Determinants of Interorganizational Coinvention Networks in New Energy Vehicles: Evidence from Shenzhen, China.","['Jia Liu', 'Zhaohui Chong', 'Shijian Lu']",Complex.,2021
8,j,Brain MRI super-resolution using coupled-projection residual network.,"['Chun-Mei Feng', 'Kai Wang', 'Shijian Lu', 'Yong Xu', 'Xuelong Li']",Neurocomputing,2021
9,j,Scale variance minimization for unsupervised domain adaptation in image segmentation.,"['Dayan Guan', 'Jiaxing Huang', 'Shijian Lu', 'Aoran Xiao']",Pattern Recognit.,2021
10,j,Single-Image Dehazing via Compositional Adversarial Network.,"['Hongyuan Zhu', 'Yi Cheng', 'Xi Peng', 'Joey Tianyi Zhou', 'Zhao Kang', 'Shijian Lu', 'Zhiwen Fang', 'Liyuan Li', 'Joo-Hwee Lim']",IEEE Trans. Cybern.,2021
11,j,PoT-GAN: Pose Transform GAN for Person Image Synthesis.,"['Tianjiao Li', 'Wei Zhang', 'Ran Song', 'Zhiheng Li', 'Jun Liu', 'Xiaolei Li', 'Shijian Lu']",IEEE Trans. Image Process.,2021
