,type,name,author,event,year
0,j,Stroke-Based Drawing and Inbetweening with Boundary Strokes.,"['Jie Jiang', 'Hock Soon Seah', 'Hong-Ze Liew']",Comput. Graph. Forum,2022
1,j,Skeleton-Based Parametric 2-D Region Representation: Disk B-Spline Curves.,"['Zhongke Wu', 'Xingce Wang', 'Shaolong Liu', 'Quan Chen', 'Hock Soon Seah', 'Feng Tian']",IEEE Computer Graphics and Applications,2021
2,j,Handling gaps for vector graphics coloring.,"['Jie Jiang', 'Hock Soon Seah', 'Hong-Ze Liew']",Vis. Comput.,2021
3,j,Shape correspondence based on Kendall shape space and RAG for 2D animation.,"['Shaolong Liu', 'Xingce Wang', 'Zhongke Wu', 'Hock Soon Seah']",Vis. Comput.,2020
4,j,2D Image Deformation Based on Guaranteed Feature Correspondence and Mesh Mapping.,"['Yaqiong Liu', 'Xin Lin', 'Guochu Shou', 'Hock Soon Seah']",IEEE Access,2019
5,j,Progressive sketching with instant previewing.,"['Kai Wang', 'Jianmin Zheng', 'Hock Soon Seah']",Comput. Graph.,2019
6,j,Multi-Channel Convolutional Neural Network Based 3D Object Detection for Indoor Robot Environmental Perception.,"['Li Wang', 'Ruifeng Li', 'Hezi Shi', 'Jingwen Sun', 'Lijun Zhao', 'Hock Soon Seah', 'Chee Kwang Quah', 'Budianto Tandianus']",Sensors,2019
7,j,Multi-View Fusion-Based 3D Object Detection for Robot Indoor Scene Perception.,"['Li Wang', 'Ruifeng Li', 'Jingwen Sun', 'Xingxing Liu', 'Lijun Zhao', 'Hock Soon Seah', 'Chee Kwang Quah', 'Budianto Tandianus']",Sensors,2019
8,j,PolarViz: a discriminating visualization and visual analytics tool for high-dimensional data.,"['Yan Chao Wang', 'Qian Zhang', 'Feng Lin', 'Chi-Keong Goh', 'Hock Soon Seah']",Vis. Comput.,2019
9,j,An intersection algorithm for disk B-spline curves.,"['Xuefeng Ao', 'Qian Fu', 'Zhongke Wu', 'Xingce Wang', 'Mingquan Zhou', 'Quan Chen', 'Hock Soon Seah']",Comput. Graph.,2018
10,j,FTP-SC: Fuzzy Topology Preserving Stroke Correspondence.,"['Wenwu Yang', 'Seah Hock Soon', 'Quan Chen', 'Hong-Ze Liew', 'Daniel Sýkora']",Comput. Graph. Forum,2018
11,j,Art-directed watercolor stylization of 3D animations in real-time.,"['Santiago E. Montesdeoca', 'Hock Soon Seah', 'Hans-Martin Rall', 'Davide Benvenuti']",Comput. Graph.,2017
12,j,Constrained energy-efficient routing in time-aware road networks.,"['Yaqiong Liu', 'Hock Soon Seah', 'Guochu Shou']",GeoInformatica,2017
13,j,Modeling and dynamics simulation for deformable objects of orthotropic materials.,"['Jianping Cai', 'Feng Lin', 'Yong Tsui Lee', 'Kemao Qian', 'Hock Soon Seah']",Vis. Comput.,2017
14,j,Cost-Optimal Time-dEpendent Routing with Time and Speed Constraints in Directed Acyclic Road Networks.,"['Yaqiong Liu', 'Hock Soon Seah', 'Guochu Shou']",Int. J. Inf. Technol. Decis. Mak.,2016
15,j,A Novel Embedded Interpolation Algorithm with Negative Squared Distance for Real-Time Endomicroscopy.,"['Wei Ming Chiew', 'Feng Lin', 'Hock Soon Seah']",ACM Trans. Embed. Comput. Syst.,2016
16,j,Subregion graph: A path planning acceleration structure for characters with various motion types in very large environments.,"['Nicholas Mario Wardhana', 'Henry Johan', 'Hock Soon Seah']",Comput. Vis. Media,2015
17,j,Points of interest recommendation from GPS trajectories.,"['Yaqiong Liu', 'Hock Soon Seah']",Int. J. Geogr. Inf. Sci.,2015
18,j,3D Human motion tracking by exemplar-based conditional particle filter.,"['Jigang Liu', 'Dongquan Liu', 'Justin Dauwels', 'Hock Soon Seah']",Signal Process.,2015
19,j,Exploiting entropy masking in perceptual graphic rendering.,"['Lu Dong', 'Yuming Fang', 'Weisi Lin', 'Chenwei Deng', 'Ce Zhu', 'Hock Soon Seah']",Signal Process. Image Commun.,2015
20,j,Perceptual Quality Assessment for 3D Triangle Mesh Based on Curvature.,"['Lu Dong', 'Yuming Fang', 'Weisi Lin', 'Hock Soon Seah']",IEEE Trans. Multim.,2015
21,j,Erratum to: Spectral caustic rendering of a homogeneous caustic object based on wavelength clustering and eye sensitivity.,"['Budianto Tandianus', 'Henry Johan', 'Hock Soon Seah', 'Feng Lin']",Vis. Comput.,2015
22,j,Spectral caustic rendering of a homogeneous caustic object based on wavelength clustering and eye sensitivity.,"['Budianto Tandianus', 'Henry Johan', 'Hock Soon Seah', 'Feng Lin']",Vis. Comput.,2015
23,j,A heterogeneous computing system for coupling 3D endomicroscopy with volume rendering in real-time image visualization.,"['Wei Ming Chiew', 'Feng Lin', 'Kemao Qian', 'Hock Soon Seah']",Comput. Ind.,2014
24,j,Saliency detection in computer rendered images based on object-level contrast.,"['Lu Dong', 'Weisi Lin', 'Yuming Fang', 'Shiqian Wu', 'Hock Soon Seah']",J. Vis. Commun. Image Represent.,2014
25,j,Animated 3D Line Drawings with Temporal Coherence.,"['X. Xu', 'Hock Soon Seah', 'Chee Kwang Quah']",Comput. Graph. Forum,2013
26,j,GPU-Accelerated Real-Time Tracking of Full-Body Motion With Multi-Layer Search.,"['Zheng Zhang', 'Hock Soon Seah', 'Chee Kwang Quah', 'Jixiang Sun']",IEEE Trans. Multim.,2013
27,j,Enhanced waypoint graph for surface and volumetric path planning in virtual worlds.,"['Nicholas Mario Wardhana', 'Henry Johan', 'Hock Soon Seah']",Vis. Comput.,2013
28,j,Efficient and robust 3D line drawings using difference-of-Gaussian.,"['Long Zhang', 'Jiazhi Xia', 'Xiang Ying', 'Ying He', 'Wolfgang Müller-Wittig', 'Hock Soon Seah']",Graph. Model.,2012
29,j,Real-time rendering of approximate caustics under environment illumination.,"['Budianto Tandianus', 'Henry Johan', 'Hock Soon Seah']",Entertain. Comput.,2012
30,j,Sketch Based Image Deformation and Editing with Guaranteed Feature Correspondence.,"['Yaqiong Liu', 'Seah Hock Soon', 'Ying He', 'Juncong Lin', 'Jiazhi Xia']",Int. J. Virtual Real.,2012
31,j,Coupling between Meshless FEM Modeling and Rendering on GPU for Real-time Physically-based Volumetric Deformation.,"['Muhammad Mobeen Movania', 'Feng Lin', 'Kemao Qian', 'Wei Ming Chiew', 'Hock Soon Seah']",J. WSCG,2012
32,j,Caustic Object Construction Based on Multiple Caustic Patterns.,"['Budianto Tandianus', 'Henry Johan', 'Hock Soon Seah']",J. WSCG,2012
33,j,Image classification by multimodal subspace learning.,"['Jun Yu', 'Feng Lin', 'Hock Soon Seah', 'Cuihua Li', 'Ziyu Lin']",Pattern Recognit. Lett.,2012
34,j,Reducing location map in prediction-based difference expansion for reversible image data embedding.,"['Minglei Liu', 'Hock Soon Seah', 'Ce Zhu', 'Weisi Lin', 'Feng Tian']",Signal Process.,2012
35,j,On Combining Multiple Features for Cartoon Character Retrieval and Clip Synthesis.,"['Jun Yu', 'Dongquan Liu', 'Dacheng Tao', 'Hock Soon Seah']",IEEE Trans. Syst. Man Cybern. Part B,2012
36,j,Stroke Correspondence Construction Using Manifold Learning.,"['Dongquan Liu', 'Quan Chen', 'Jun Yu', 'Huiqin Gu', 'Dacheng Tao', 'Hock Soon Seah']",Comput. Graph. Forum,2011
37,j,Fuzzy Diffusion Distance Learning for Cartoon Similarity Estimation.,"['Jun Yu', 'Hock Soon Seah']",J. Comput. Sci. Technol.,2011
38,j,Cartoon synthesis using constrained spreading activation network.,"['Jun Yu', 'Hock Soon Seah', 'Yueting Zhuang']",Multim. Tools Appl.,2011
39,j,Complex Object Correspondence Construction in Two-Dimensional Animation.,"['Jun Yu', 'Dongquan Liu', 'Dacheng Tao', 'Hock Soon Seah']",IEEE Trans. Image Process.,2011
