,type,name,author,event,year
0,j,Ping Pong: An Exergame for Cognitive Inhibition Training.,"['Hao Zhang', 'Zhiqi Shen', 'Siyuan Liu', 'Dazhong Yuan', 'Chunyan Miao']",Int. J. Hum. Comput. Interact.,2021
1,j,Dynamic Generation of Internet of Things Organizational Structures Through Evolutionary Computing.,"['Zhiqi Shen', 'Han Yu', 'Ling Yu', 'Chunyan Miao', 'Yiqiang Chen', 'Victor R. Lesser']",IEEE Internet Things J.,2018
2,j,Video-based human heart rate measurement using joint blind source separation.,"['Huan Qi', 'Zhenyu Guo', 'Xun Chen', 'Zhiqi Shen', 'Z. Jane Wang']",Biomed. Signal Process. Control.,2017
3,j,A social influence based trust model for recommender systems.,"['Jian-Ping Mei', 'Han Yu', 'Zhiqi Shen', 'Chunyan Miao']",Intell. Data Anal.,2017
4,j,Balancing quality and budget considerations in mobile crowdsourcing.,"['Chunyan Miao', 'Han Yu', 'Zhiqi Shen', 'Cyril Leung']",Decis. Support Syst.,2016
5,j,Filtering trust opinions through reinforcement learning.,"['Han Yu', 'Zhiqi Shen', 'Chunyan Miao', 'Bo An', 'Cyril Leung']",Decis. Support Syst.,2014
6,j,"Comparing the learning effectiveness of BP, ELM, I-ELM, and SVM for corporate credit ratings.","['Haoming Zhong', 'Chunyan Miao', 'Zhiqi Shen', 'Yuhong Feng']",Neurocomputing,2014
7,j,A Survey of Multi-Agent Trust Management Systems.,"['Han Yu', 'Zhiqi Shen', 'Cyril Leung', 'Chunyan Miao', 'Victor R. Lesser']",IEEE Access,2013
8,j,Adaptive goal selection for agents in dynamic environments.,"['Huiliang Zhang', 'Xudong Luo', 'Chunyan Miao', 'Zhiqi Shen', 'Jin You']",Knowl. Inf. Syst.,2013
9,j,Kemnad: a Knowledge Engineering Methodology for Negotiating Agent Development.,"['Xudong Luo', 'Chunyan Miao', 'Nicholas R. Jennings', 'Minghua He', 'Zhiqi Shen', 'Minjie Zhang']",Comput. Intell.,2012
10,j,Learning-by-Teaching: Designing Teachable Agents with Intrinsic Motivation.,"['Guopeng Zhao', 'Ailiya', 'Zhiqi Shen']",J. Educ. Technol. Soc.,2012
11,j,A probabilistic fuzzy approach to modeling nonlinear systems.,"['Hengjie Song', 'Chunyan Miao', 'Zhiqi Shen', 'Roel Wuyts', ""Maja D'Hondt"", 'Francky Catthoor']",Neurocomputing,2011
12,j,An Extension to Fuzzy Cognitive Maps for Classification and Prediction.,"['Hengjie J. Song', 'Chunyan Miao', 'Roel Wuyts', 'Zhiqi Shen', ""Maja D'Hondt"", 'Francky Catthoor']",IEEE Trans. Fuzzy Syst.,2011
