,type,name,author,event,year
0,j,FLAG: Towards Graph Query Autocompletion for Large Graphs.,"['Peipei Yi', 'Jianping Li', 'Byron Choi', 'Sourav S. Bhowmick', 'Jianliang Xu']",Data Sci. Eng.,2022
1,j,Toward automatic support for leading court debates: a novel task proposal & effective approach of judicial question generation.,"['Changzhen Ji', 'Yating Zhang', 'Xiaozhong Liu', 'Adam Jatowt', 'Sourav S. Bhowmick', 'Changlong Sun', 'Conghui Zhu', 'Tiejun Zhao']",Neural Comput. Appl.,2022
2,j,MOCHA: A Tool for Visualizing Impact of Operator Choices in Query Execution Plans for Database Education.,"['Jess Tan', 'Desmond Yeoh', 'Rachael Neoh', 'Huey-Eng Chua', 'Sourav S. Bhowmick']",Proc. VLDB Endow.,2022
3,j,SENSOR: Data-driven Construction of Sketch-based Visual Query Interfaces for Time Series Data.,"['Li Yan', 'Nerissa Xu', 'Guozhong Li', 'Sourav S. Bhowmick', 'Byron Choi', 'Jianliang Xu']",Proc. VLDB Endow.,2022
4,j,"No PANE, No Gain: Scaling Attributed Network Embedding in a Single Server.","['Renchi Yang', 'Jieming Shi', 'Xiaokui Xiao', 'Yin Yang', 'Sourav S. Bhowmick', 'Juncheng Liu']",SIGMOD Rec.,2022
5,j,Diversity and Inclusion Activities in Database Conferences: A 2021 Report.,"['Sihem Amer-Yahia', 'Yael Amsterdamer', 'Sourav S. Bhowmick', 'Angela Bonifati', 'Philippe Bonnet', 'Renata Borovica-Gajic', 'Barbara Catania', 'Tania Cerquitelli', 'Silvia Chiusano', 'Panos K. Chrysanthis', 'Carlo Curino', 'Jérôme Darmont', 'Amr El Abbadi', 'Avrilia Floratou', 'Juliana Freire', 'Alekh Jindal', 'Vana Kalogeraki', 'Georgia Koutrika', 'Arun Kumar', 'Sujaya Maiyya', 'Alexandra Meliou', 'Madhulika Mohanty', 'Felix Naumann', 'Nele Sina Noack', 'Fatma Özcan', 'Liat Peterfreund', 'Wenny Rahayu', 'Wang-Chiew Tan', 'Yuanyuan Tian', 'Pinar Tözün', 'Genoveva Vargas-Solar', 'Neeraja J. Yadwadkar', 'Meihui Zhang']",SIGMOD Rec.,2022
6,j,Efficient Shapelet Discovery for Time Series Classification.,"['Guozhong Li', 'Byron Choi', 'Jianliang Xu', 'Sourav S. Bhowmick', 'Kwok-Pan Chun', 'Grace Lai-Hung Wong']",IEEE Trans. Knowl. Data Eng.,2022
7,j,GFocus: User Focus-Based Graph Query Autocompletion.,"['Peipei Yi', 'Byron Choi', 'Zhiwei Zhang', 'Sourav S. Bhowmick', 'Jianliang Xu']",IEEE Trans. Knowl. Data Eng.,2022
8,j,Towards Plug-and-Play Visual Graph Query Interfaces: Data-driven Canned Pattern Selection for Large Networks.,"['Zifeng Yuan', 'Huey-Eng Chua', 'Sourav S. Bhowmick', 'Zekun Ye', 'Wook-Shin Han', 'Byron Choi']",Proc. VLDB Endow.,2021
9,j,A Generic Ontology Framework for Indexing Keyword Search on Massive Graphs.,"['Jiaxin Jiang', 'Byron Choi', 'Jianliang Xu', 'Sourav S. Bhowmick']",IEEE Trans. Knowl. Data Eng.,2021
