,type,name,author,event,year
0,j,Real-time dynamic network learning for location inference modelling and computing.,"['Jianxin Li', 'Aixin Sun', 'Ziyu Guan', 'Muhammad Aamir Cheema', 'Geyong Min']",Neurocomputing,2022
1,j,Natural Language Video Localization: A Revisit in Span-Based Question Answering Framework.,"['Hao Zhang', 'Aixin Sun', 'Wei Jing', 'Liangli Zhen', 'Joey Tianyi Zhou', 'Rick Siow Mong Goh']",IEEE Trans. Pattern Anal. Mach. Intell.,2022
2,j,A Survey on Deep Learning for Named Entity Recognition.,"['Jing Li', 'Aixin Sun', 'Jianglei Han', 'Chenliang Li']",IEEE Trans. Knowl. Data Eng.,2022
3,j,Point-of-Interest Recommendation With Global and Local Context.,"['Peng Han', 'Shuo Shang', 'Aixin Sun', 'Peilin Zhao', 'Kai Zheng', 'Xiangliang Zhang']",IEEE Trans. Knowl. Data Eng.,2022
4,j,Understanding the stability of medical concept embeddings.,"['Grace E. Lee', 'Aixin Sun']",J. Assoc. Inf. Sci. Technol.,2021
5,j,Will Your Paper Get Promoted by a Citation? A Case Study of Citation Promoter in Computer Science Discipline.,"['Feiheng Luo', 'Aixin Sun', 'Aravind Sesagiri Raamkumar', 'Mojisola Erdt', 'Yin-Leng Theng']",IEEE Trans. Emerg. Top. Comput.,2021
6,j,Incremental Community Detection on Large Complex Attributed Network.,"['Zhe Chen', 'Aixin Sun', 'Xiaokui Xiao']",ACM Trans. Knowl. Discov. Data,2021
7,j,Neural Named Entity Boundary Detection.,"['Jing Li', 'Aixin Sun', 'Yukun Ma']",IEEE Trans. Knowl. Data Eng.,2021
8,j,NEXT: a neural network framework for next POI recommendation.,"['Zhiqian Zhang', 'Chenliang Li', 'Zhiyong Wu', 'Aixin Sun', 'Dengpan Ye', 'Xiangyang Luo']",Frontiers Comput. Sci.,2020
9,j,Collective Named Entity Recognition in User Comments via Parameterized Label Propagation.,"['Minh C. Phan', 'Aixin Sun']",J. Assoc. Inf. Sci. Technol.,2020
10,j,Efficient approximation algorithms for adaptive influence maximization.,"['Keke Huang', 'Jing Tang', 'Kai Han', 'Xiaokui Xiao', 'Wei Chen', 'Aixin Sun', 'Xueyan Tang', 'Andrew Lim']",VLDB J.,2020
11,j,Deep Learning Based Recommender System: A Survey and New Perspectives.,"['Shuai Zhang', 'Lina Yao', 'Aixin Sun', 'Yi Tay']",ACM Comput. Surv.,2019
12,j,Collecting event-related tweets from twitter stream.,"['Xin Zheng', 'Aixin Sun']",J. Assoc. Inf. Sci. Technol.,2019
13,j,Pair-Linking for Collective Entity Disambiguation: Two Could Be Better Than All.,"['Minh C. Phan', 'Aixin Sun', 'Yi Tay', 'Jialong Han', 'Chenliang Li']",IEEE Trans. Knowl. Data Eng.,2019
14,j,Learning-Based Outdoor Localization Exploiting Crowd-Labeled WiFi Hotspots.,"['Jin Wang', 'Jun Luo', 'Sinno Jialin Pan', 'Aixin Sun']",IEEE Trans. Mob. Comput.,2019
15,j,Seed-Guided Topic Model for Document Filtering and Classification.,"['Chenliang Li', 'Shiqian Chen', 'Jian Xing', 'Aixin Sun', 'Zongyang Ma']",ACM Trans. Inf. Syst.,2019
16,j,LinkLive: discovering Web learning resources for developers from Q&A discussions.,"['Jing Li', 'Zhenchang Xing', 'Aixin Sun']",World Wide Web,2019
17,j,Joint Implicit and Explicit Neural Networks for Question Recommendation in CQA Services.,"['Hongkui Tu', 'Jiahui Wen', 'Aixin Sun', 'Xiaodong Wang']",IEEE Access,2018
18,j,Learning to answer programming questions with software documentation through social context embedding.,"['Jing Li', 'Aixin Sun', 'Zhenchang Xing']",Inf. Sci.,2018
19,j,To Do or Not To Do: Distill crowdsourced negative caveats to augment api documentation.,"['Jing Li', 'Aixin Sun', 'Zhenchang Xing']",J. Assoc. Inf. Sci. Technol.,2018
20,j,A time-aware trajectory embedding model for next-location recommendation.,"['Wayne Xin Zhao', 'Ningnan Zhou', 'Aixin Sun', 'Ji-Rong Wen', 'Jialong Han', 'Edward Y. Chang']",Knowl. Inf. Syst.,2018
21,j,Efficient Algorithms for Adaptive Influence Maximization.,"['Kai Han', 'Keke Huang', 'Xiaokui Xiao', 'Jing Tang', 'Aixin Sun', 'Xueyan Tang']",Proc. VLDB Endow.,2018
22,j,Exploring prestigious citations sourced from top universities in bibliometrics and altmetrics: a case study in the computer science discipline.,"['Feiheng Luo', 'Aixin Sun', 'Mojisola Erdt', 'Aravind Sesagiri Raamkumar', 'Yin-Leng Theng']",Scientometrics,2018
23,j,Semi-Supervised Spam Detection in Twitter Stream.,"['Surendra Sedhai', 'Aixin Sun']",IEEE Trans. Comput. Soc. Syst.,2018
24,j,Linking Fine-Grained Locations in User Comments.,"['Jialong Han', 'Aixin Sun', 'Gao Cong', 'Wayne Xin Zhao', 'Zongcheng Ji', 'Minh C. Phan']",IEEE Trans. Knowl. Data Eng.,2018
25,j,A Survey of Location Prediction on Twitter.,"['Xin Zheng', 'Jialong Han', 'Aixin Sun']",IEEE Trans. Knowl. Data Eng.,2018
26,j,Correction to A Survey of Location Prediction on Twitter.,"['Xin Zheng', 'Jialong Han', 'Aixin Sun']",IEEE Trans. Knowl. Data Eng.,2018
27,j,An analysis of 14 Million tweets on hashtag-oriented spamming.,"['Surendra Sedhai', 'Aixin Sun']",J. Assoc. Inf. Sci. Technol.,2017
28,j,Extracting fine-grained location with temporal awareness in tweets: A two-stage approach.,"['Chenliang Li', 'Aixin Sun']",J. Assoc. Inf. Sci. Technol.,2017
29,j,Searching for the internet of things: where it is and what it looks like.,"['Ali Shemshadi', 'Quan Z. Sheng', 'Yongrui Qin', 'Aixin Sun', 'Wei Emma Zhang', 'Lina Yao']",Pers. Ubiquitous Comput.,2017
30,j,Enhancing Topic Modeling for Short Texts with Auxiliary Word Embeddings.,"['Chenliang Li', 'Yu Duan', 'Haoran Wang', 'Zhiqian Zhang', 'Aixin Sun', 'Zongyang Ma']",ACM Trans. Inf. Syst.,2017
31,j,Mobile phone name extraction from internet forums: a semi-supervised approach.,"['Yangjie Yao', 'Aixin Sun']",World Wide Web,2016
32,j,PRISM: Concept-preserving Summarization of Top-K Social Image Search Results.,"['Boon-Siew Seah', 'Sourav S. Bhowmick', 'Aixin Sun']",Proc. VLDB Endow.,2015
33,j,Tweet Segmentation and Its Application to Named Entity Recognition.,"['Chenliang Li', 'Aixin Sun', 'Jianshu Weng', 'Qi He']",IEEE Trans. Knowl. Data Eng.,2015
34,j,"Who, Where, When, and What: A Nonparametric Bayesian Approach to Context-aware Recommendation and Search for Twitter Users.","['Quan Yuan', 'Gao Cong', 'Kaiqi Zhao', 'Zongyang Ma', 'Aixin Sun']",ACM Trans. Inf. Syst.,2015
35,j,Conformity-aware influence maximization in online social networks.,"['Hui Li', 'Sourav S. Bhowmick', 'Aixin Sun', 'Jiangtao Cui']",VLDB J.,2015
36,j,Affinity-driven blog cascade analysis and prediction.,"['Hui Li', 'Sourav S. Bhowmick', 'Aixin Sun', 'Jiangtao Cui']",Data Min. Knowl. Discov.,2014
37,j,TSDW: Two-stage word sense disambiguation using Wikipedia.,"['Chenliang Li', 'Aixin Sun', 'Anwitaman Datta']",J. Assoc. Inf. Sci. Technol.,2013
38,j,On predicting the popularity of newly emerging hashtags in Twitter.,"['Zongyang Ma', 'Aixin Sun', 'Gao Cong']",J. Assoc. Inf. Sci. Technol.,2013
39,j,An evaluation of classification models for question topic categorization.,"['Bo Qu', 'Gao Cong', 'Cuiping Li', 'Aixin Sun', 'Hong Chen']",J. Assoc. Inf. Sci. Technol.,2012
40,j,Mining latent relations in peer-production environments: a case study with Wikipedia article similarity and controversy.,"['Chenliang Li', 'Anwitaman Datta', 'Aixin Sun']",Soc. Netw. Anal. Min.,2012
41,j,Web classification of conceptual entities using co-training.,"['Aixin Sun', 'Ying Liu', 'Ee-Peng Lim']",Expert Syst. Appl.,2011
42,j,Detecting spam blogs from blog search results.,"['Linhong Zhu', 'Aixin Sun', 'Byron Choi']",Inf. Process. Manag.,2011
