,type,name,author,event,year
0,j,Reconfiguration algorithms for synchronous communication on switch based degradable arrays.,"['Yalan Wu', 'Jigang Wu', 'Peng Liu', 'Yinhe Han', 'Thambipillai Srikanthan']",Parallel Comput.,2022
1,j,Longevity Framework: Leveraging Online Integrated Aging-Aware Hierarchical Mapping and VF-Selection for Lifetime Reliability Optimization in Manycore Processors.,"['Vijeta Rathore', 'Vivek Chaturvedi', 'Amit Kumar Singh', 'Thambipillai Srikanthan', 'Muhammad Shafique']",IEEE Trans. Computers,2021
2,j,Power-Efficient Mapping of Large Applications on Modern Heterogeneous FPGAs.,"['Kalindu Herath', 'Alok Prakash', 'Suhaib A. Fahmy', 'Thambipillai Srikanthan']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2021
3,j,Blockchain-based public auditing for big data in cloud storage.,"['Jiaxing Li', 'Jigang Wu', 'Guiyuan Jiang', 'Thambipillai Srikanthan']",Inf. Process. Manag.,2020
4,j,Improving accuracy of HPC-based malware classification for embedded platforms using gradient descent optimization.,"['Manaar Alam', 'Debdeep Mukhopadhyay', 'Sai Praveen Kadiyala', 'Siew-Kei Lam', 'Thambipillai Srikanthan']",J. Cryptogr. Eng.,2020
5,j,LAMBDA: Lightweight Assessment of Malware for emBeddeD Architectures.,"['Sai Praveen Kadiyala', 'Manaar Alam', 'Yash Shrivastava', 'Sikhar Patranabis', 'Muhamed Fauzi Bin Abbas', 'Arnab Kumar Biswas', 'Debdeep Mukhopadhyay', 'Thambipillai Srikanthan']",ACM Trans. Embed. Comput. Syst.,2020
6,j,Hardware Performance Counter-Based Fine-Grained Malware Detection.,"['Sai Praveen Kadiyala', 'Pranav Jadhav', 'Siew-Kei Lam', 'Thambipillai Srikanthan']",ACM Trans. Embed. Comput. Syst.,2020
7,j,Rapid and Robust Background Modeling Technique for Low-Cost Road Traffic Surveillance Systems.,"['Kratika Garg', 'Nirmala Ramakrishnan', 'Alok Prakash', 'Thambipillai Srikanthan']",IEEE Trans. Intell. Transp. Syst.,2020
8,j,Fast Computation of Clustered Many-to-many Shortest Paths and Its Application to Map Matching.,"['George Rosario Jagadeesh', 'Thambipillai Srikanthan']",ACM Trans. Spatial Algorithms Syst.,2019
9,j,Algorithms for Replica Placement and Update in Tree Network.,"['Jigang Wu', 'Long Chen', 'Xu Wang', 'Guiyuan Jiang', 'Siew-Kei Lam', 'Thambipillai Srikanthan']",Comput. J.,2018
10,j,Vision-based patient monitoring: a comprehensive review of algorithms and technologies.,"['Supriya Sathyanarayana', 'Ravi Kumar Satzoda', 'Suchitra Sathyanarayana', 'Thambipillai Srikanthan']",J. Ambient Intell. Humaniz. Comput.,2018
11,j,Framework for Rapid Performance Estimation of Embedded Soft Core Processors.,"['Deshya Wijesundera', 'Alok Prakash', 'Thambipillai Srikanthan', 'Achintha Ihalage']",ACM Trans. Reconfigurable Technol. Syst.,2018
12,j,Rapid Memory-Aware Selection of Hardware Accelerators in Programmable SoC Design.,"['Alok Prakash', 'Christopher T. Clarke', 'Siew-Kei Lam', 'Thambipillai Srikanthan']",IEEE Trans. Very Large Scale Integr. Syst.,2018
13,j,Online Map-Matching of Noisy and Sparse Location Data With Hidden Markov and Route Choice Models.,"['George Rosario Jagadeesh', 'Thambipillai Srikanthan']",IEEE Trans. Intell. Transp. Syst.,2017
14,j,A Framework for Fast and Robust Visual Odometry.,"['Meiqing Wu', 'Siew-Kei Lam', 'Thambipillai Srikanthan']",IEEE Trans. Intell. Transp. Syst.,2017
15,j,Algorithms for bi-objective multiple-choice hardware/software partitioning.,"['Wenjun Shi', 'Jigang Wu', 'Siew Kei Lam', 'Thambipillai Srikanthan']",Comput. Electr. Eng.,2016
16,j,Enhanced low-complexity pruning for corner detection.,"['Nirmala Ramakrishnan', 'Meiqing Wu', 'Siew Kei Lam', 'Thambipillai Srikanthan']",J. Real Time Image Process.,2016
17,j,Cost-efficient Acceleration of Hardware Trojan Detection Through Fan-Out Cone Analysis and Weighted Random Pattern Technique.,"['Bin Zhou', 'Wei Zhang', 'Thambipillai Srikanthan', 'Jason Teo Kian Jin', 'Vivek Chaturvedi', 'Tao Luo']",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,2016
18,j,Efficient VLSI Architecture for Decimation-in-Time Fast Fourier Transform of Real-Valued Data.,"['Pramod Kumar Meher', 'Basant Kumar Mohanty', 'Sujit Kumar Patel', 'Soumya Ganguly', 'Thambipillai Srikanthan']",IEEE Trans. Circuits Syst. I Regul. Pap.,2015
19,j,Nonparametric Technique Based High-Speed Road Surface Detection.,"['Meiqing Wu', 'Siew Kei Lam', 'Thambipillai Srikanthan']",IEEE Trans. Intell. Transp. Syst.,2015
20,j,Algorithmic aspects of graph reduction for hardware/software partitioning.,"['Guiyuan Jiang', 'Jigang Wu', 'Siew Kei Lam', 'Thambipillai Srikanthan', 'Jizhou Sun']",J. Supercomput.,2015
21,j,IP-Enabled C/C++ Based High Level Synthesis: A Step towards Better Designer Productivity and Design Performance.,"['Sharad Sinha', 'Thambipillai Srikanthan']",Int. J. Reconfigurable Comput.,2014
22,j,Architecture and Application-Aware Management of Complexity of Mapping Multiplication to FPGA DSP Blocks in High Level Synthesis.,"['Sharad Sinha', 'Thambipillai Srikanthan']",Int. J. Reconfigurable Comput.,2014
23,j,Constructing Low-temperature sub-Arrays on Reconfigurable VLSI Arrays.,"['Jigang Wu', 'Yuanbo Zhu', 'Zhipeng Niu', 'Thambipillai Srikanthan']",J. Circuits Syst. Comput.,2014
24,j,Extended Compatibility Path Based Hardware binding: an Adaptive Algorithm for High Level synthesis of Area-Time Efficient Designs.,"['Sharad Sinha', 'Udit Dhawan', 'Thambipillai Srikanthan']",J. Circuits Syst. Comput.,2014
25,j,Addressing Productivity Challenges in Domain-Specific Reconfigurable Platforms: A Case Study on Extended Kalman Filter-Based Motor Control.,"['Yan Lin Aung', 'Siew Kei Lam', 'Thambipillai Srikanthan']",J. Low Power Electron.,2014
