,type,name,author,event,year
0,j,Words of encouragement: how praise delivered by a social robot changes children's mindset for learning.,"['Daniel P. Davison', 'Frances M. Wijnen', 'Vicky Charisi', 'Jan van der Meij', 'Dennis Reidsma', 'Vanessa Evers']",J. Multimodal User Interfaces,2021
1,j,"Predictable Robots for Autistic Children - Variance in Robot Behaviour, Idiosyncrasies in Autistic Children's Characteristics, and Child-Robot Engagement.","['Bob R. Schadenberg', 'Dennis Reidsma', 'Vanessa Evers', 'Daniel P. Davison', 'Jamy J. Li', 'Dirk K. J. Heylen', 'Carlos Neves', 'Paulo Alvito', 'Jie Shen', 'Maja Pantic', 'Björn W. Schuller', 'Nicholas Cummins', 'Vlad Olaru', 'Cristian Sminchisescu', 'Snezana Babovic Dimitrijevic', 'Suncica Petrovic', 'Aurelie Baranger', 'Alria Williams', 'Alyssa M. Alcorn', 'Elizabeth Pellicano']",ACM Trans. Comput. Hum. Interact.,2021
2,j,Differences in Spontaneous Interactions of Autistic Children in an Interaction With an Adult and Humanoid Robot.,"['Bob R. Schadenberg', 'Dennis Reidsma', 'Dirk K. J. Heylen', 'Vanessa Evers']",Frontiers Robotics AI,2020
3,j,Designing a Social Robot to Support Children's Inquiry Learning: A Contextual Analysis of Children Working Together at School.,"['Daniel P. Davison', 'Frances M. Wijnen', 'Jan van der Meij', 'Dennis Reidsma', 'Vanessa Evers']",Int. J. Soc. Robotics,2020
4,j,Machine Ethics: The Design and Governance of Ethical AI and Autonomous Systems.,"['Alan F. T. Winfield', 'Katina Michael', 'Jeremy Pitt', 'Vanessa Evers']",Proc. IEEE,2019
5,j,The effects of robot facial emotional expressions and gender on child-robot interaction in a field study.,"['David Cameron', 'Abigail Millings', 'Samuel Fernando', 'Emily C. Collins', 'Roger K. Moore', 'Amanda J. C. Sharkey', 'Vanessa Evers', 'Tony J. Prescott']",Connect. Sci.,2018
6,j,Automatic temporal ranking of children's engagement levels using multi-modal cues.,"['Jaebok Kim', 'Khiet P. Truong', 'Vanessa Evers']",Comput. Speech Lang.,2018
7,j,A word of advice: how to tailor motivational text messages based on behavior change theory to personality and gender.,"['Roelof Anne Jelle de Vries', 'Khiet P. Truong', 'Cristina Zaga', 'Jamy Li', 'Vanessa Evers']",Pers. Ubiquitous Comput.,2017
8,j,A hybrid approach to decision making and information fusion: Combining humans and artificial agents.,"['Frans C. A. Groen', 'Gregor Pavlin', 'Andi Winterboer', 'Vanessa Evers']",Robotics Auton. Syst.,2017
9,j,Robots Sing the Body Electric: Investigations of Body Language for Social and Spatial Interaction.,"['Jaap Ham', 'Vanessa Evers', 'Manja Lohse']",Int. J. Soc. Robotics,2013
10,j,BEHAVE-II: The Revised Set of Measures to Assess Users' Attitudinal and Behavioral Responses to a Social Robot.,"['Michiel Joosse', 'Aziez Sardar', 'Manja Lohse', 'Vanessa Evers']",Int. J. Soc. Robotics,2013
11,j,Assistive technology design and development for acceptable robotics companions for ageing years.,"['Farshid Amirabdollahian', 'Rieks op den Akker', 'Sandra Bedaf', 'Richard Bormann', 'Heather Draper', 'Vanessa Evers', 'Jorge Gallego Perez', 'Gert Jan Gelderblom', 'Carolina Gutierrez Ruiz', 'David J. Hewson', 'Ninghang Hu', 'Kheng Lee Koay', 'Ben J. A. Kröse', 'Hagen Lehmann', 'Patrizia Marti', 'Hervé Michel', 'Hélène Prevot-Huille', 'Ulrich Reiser', 'Joe Saunders', 'Tom Sorell', 'Jelle Stienstra', 'Dag Sverre Syrdal', 'Michael L. Walters', 'Kerstin Dautenhahn']",Paladyn J. Behav. Robotics,2013
12,j,HCI public policy activities in 2012: a 10-country discussion.,"['Jonathan Lazar', 'Julio Abascal', 'Janet Davis', 'Vanessa Evers', 'Jan Gulliksen', 'Joaquim A. Jorge', 'Tom McEwan', 'Fabio Paternò', 'Hans Persson', 'Raquel Oliveira Prates', 'Hans von Axelson', 'Marco Winckler', 'Volker Wulf']",Interactions,2012
13,j,Assessing Acceptance of Assistive Social Agent Technology by Older Adults: the Almere Model.,"['Marcel Heerink', 'Ben J. A. Kröse', 'Vanessa Evers', 'Bob J. Wielinga']",Int. J. Soc. Robotics,2010
14,j,Relating conversational expressiveness to social presence and acceptance of an assistive social robot.,"['Marcel Heerink', 'Ben J. A. Kröse', 'Vanessa Evers', 'Bob J. Wielinga']",Virtual Real.,2010
15,j,Influence of Social Presence on Acceptance of an Assistive Social Robot and Screen Agent by Elderly Users.,"['Marcel Heerink', 'Ben J. A. Kröse', 'Vanessa Evers', 'Bob J. Wielinga']",Adv. Robotics,2009
16,j,'Give me a hug': the effects of touch and autonomy on people's responses to embodied social agents.,"['Henriette S. M. Cramer', 'Nicander A. Kemper', 'Alia Amin', 'Bob J. Wielinga', 'Vanessa Evers']",Comput. Animat. Virtual Worlds,2009
17,j,The effects of transparency on trust in and acceptance of a content-based art recommender.,"['Henriette S. M. Cramer', 'Vanessa Evers', 'Satyan Ramlal', 'Maarten van Someren', 'Lloyd Rutledge', 'Natalia Stash', 'Lora Aroyo', 'Bob J. Wielinga']",User Model. User Adapt. Interact.,2008
18,j,Context analysis to support development of virtual reality applications.,"['Henriette S. M. Cramer', 'Vanessa Evers', 'Elena V. Zudilova', 'Peter M. A. Sloot']",Virtual Real.,2004
19,c,User Requirements for Developing Robot-Assisted Interventions for Autistic Children.,"['Bob R. Schadenberg', 'Dennis Reidsma', 'Dirk K. J. Heylen', 'Vanessa Evers']",ICSR,2021
20,c,Working with a Social Robot in School: A Long-Term Real-World Unsupervised Deployment.,"['Daniel P. Davison', 'Frances M. Wijnen', 'Vicky Charisi', 'Jan van der Meij', 'Vanessa Evers', 'Dennis Reidsma']",HRI,2020
21,c,"On-Road and Online Studies to Investigate Beliefs and Behaviors of Netherlands, US and Mexico Pedestrians Encountering Hidden-Driver Vehicles.","['Jamy Li', 'Rebecca Currano', 'David Sirkin', 'David Goedicke', 'Hamish Tennent', 'Aaron Levine', 'Vanessa Evers', 'Wendy Ju']",HRI,2020
22,c,Addressing Attention Difficulties in Autistic Children Using Multimodal Cues from a Humanoid Robot.,"['Jamy Li', 'Suncica Petrovic', 'Daniel P. Davison', 'Snezana Babovic Dimitrijevic', 'Pauline Chevalier', 'Vanessa Evers']",HRI (Companion),2020
23,c,Helping Educators Monitor Autistic Children's Progress Across Sessions: A Needfinding Study.,"['Bob R. Schadenberg', 'Jamy J. Li', 'Suncica Petrovic', 'Dennis Reidsma', 'Dirk K. J. Heylen', 'Vanessa Evers']",HRI (Companion),2020
24,c,Non-participatory user-centered design of accessible teacher-teleoperated robot and tablets for minimally verbal autistic children.,"['Jamy Li', 'Daniel P. Davison', 'Alyssa Alcorn', 'Alria Williams', 'Snezana Babovic Dimitrijevic', 'Suncica Petrovic', 'Pauline Chevalier', 'Bob Schadenberg', 'Eloise Ainger', 'Liz Pellicano', 'Vanessa Evers']",PETRA,2020
25,c,Detecting Perceived Appropriateness of a Robot's Social Positioning Behavior from Non-Verbal Cues.,"['Jered Vroon', 'Gwenn Englebienne', 'Vanessa Evers']",CogMI,2019
26,c,Eldertainment or functional necessity?: how virtual agents affect the home lives of people with dementia using the quality of life (QOL-AD) scale.,"['Michiel de Jong', 'Marike Hettinga', 'Vera Stara', 'Vanessa Evers', 'Jamy Li']",UbiComp/ISWC Adjunct,2019
27,c,Emotional prosthesis for animating awe through performative biofeedback.,"['Kristin Neidlinger', 'Lianne Toussaint', 'Edwin Dertien', 'Khiet P. Truong', 'Hermie Hermens', 'Vanessa Evers']",UbiComp,2019
28,c,VR-OOM: Virtual Reality On-rOad driving siMulation.,"['David Goedicke', 'Jamy Li', 'Vanessa Evers', 'Wendy Ju']",CHI,2018
29,c,Users requirements in the design of a virtual agent for patients with dementia and their caregivers.,"['Michiel de Jong', 'Vera Stara', 'Viviane von Döllen', 'Daniel Bolliger', 'Marcel Heerink', 'Vanessa Evers']",GOODTECHS,2018
30,c,"""I Would Like to Get Close to You"": Making Robot Personal Space Invasion Less Intrusive with a Social Gaze Cue.","['Stefan-Daniel Suvei', 'Jered Vroon', 'Vella V. Somoza Sanchéz', 'Leon Bodenhagen', 'Gwenn Englebienne', 'Norbert Krüger', 'Vanessa Evers']",HCI (8),2018
31,c,Nanogami: the microbiome expanded. speak your truth. listen to your gut.,"['Kristin Neidlinger', 'Colin Willson', 'Khiet P. Truong', 'Hermie Hermens', 'Vanessa Evers']",UbiComp,2018
32,c,Learning spectro-temporal features with 3D CNNs for speech emotion recognition.,"['Jaebok Kim', 'Khiet P. Truong', 'Gwenn Englebienne', 'Vanessa Evers']",ACII,2017
33,c,Children's Views on Identification and Intention Communication of Self-driving Vehicles.,"['Vicky Charisi', 'Azra Habibovic', 'Jonas Andersson', 'Jamy Li', 'Vanessa Evers']",IDC,2017
34,c,A Simple Nod of the Head: The Effect of Minimal Robot Movements on Children's Perception of a Low-Anthropomorphic Robot.,"['Cristina Zaga', 'Roelof Anne Jelle de Vries', 'Jamy Li', 'Khiet P. Truong', 'Vanessa Evers']",CHI,2017
35,c,Gotta Hatch 'em All!,"['Cristina Zaga', 'Alejandro Moreno', 'Vanessa Evers']",CSCW Companion,2017
36,c,A Guide Robot at the Airport: First Impressions.,"['Michiel Joosse', 'Vanessa Evers']",HRI (Companion),2017
37,c,Growing-Up Hand in Hand with Robots: Designing and Evaluating Child-Robot Interaction from a Developmental Perspective.,"['Cristina Zaga', 'Vicky Charisi', 'Bob Schadenberg', 'Dennis Reidsma', 'Mark A. Neerincx', 'Tony J. Prescott', 'Michael Zillich', 'Paul F. M. J. Verschure', 'Vanessa Evers']",HRI (Companion),2017
38,c,Socially Intelligent Robotics.,['Vanessa Evers'],ICAART (1),2017
39,c,"Towards Speech Emotion Recognition ""in the Wild"" Using Aggregated Corpora and Deep Multi-Task Learning.","['Jaebok Kim', 'Gwenn Englebienne', 'Khiet P. Truong', 'Vanessa Evers']",INTERSPEECH,2017
40,c,Deep Temporal Models using Identity Skip-Connections for Speech Emotion Recognition.,"['Jaebok Kim', 'Gwenn Englebienne', 'Khiet P. Truong', 'Vanessa Evers']",ACM Multimedia,2017
41,c,"Experts get me started, peers keep me going: comparing crowd- versus expert-designed motivational text messages for exercise behavior change.","['Roelof Anne Jelle de Vries', 'Cristina Zaga', 'Franciszka Bayer', 'Constance H. C. Drossaert', 'Khiet P. Truong', 'Vanessa Evers']",PervasiveHealth,2017
42,c,Dialogue Design for a Robot-Based Face-Mirroring Game to Engage Autistic Children with Emotional Expressions.,"['Pauline Chevalier', 'Jamy J. Li', 'Eloise Ainger', 'Alyssa M. Alcorn', 'Snezana Babovic', 'Vicky Charisi', 'Suncica Petrovic', 'Bob R. Schadenberg', 'Elizabeth Pellicano', 'Vanessa Evers']",ICSR,2017
43,c,Measuring Children's Perceptions of Robots' Social Competence: Design and Validation.,"['Vicky Charisi', 'Daniel P. Davison', 'Frances M. Wijnen', 'Dennis Reidsma', 'Vanessa Evers']",ICSR,2017
44,c,"AWElectric: That Gave Me Goosebumps, Did You Feel It Too?","['Kristin Neidlinger', 'Khiet P. Truong', 'Caty Telfair', 'Loe M. G. Feijs', 'Edwin Dertien', 'Vanessa Evers']",Tangible and Embedded Interaction,2017
45,c,Crowd-Designed Motivation: Motivational Messages for Exercise Adherence Based on Behavior Change Theory.,"['Roelof Anne Jelle de Vries', 'Khiet P. Truong', 'Sigrid Kwint', 'Constance H. C. Drossaert', 'Vanessa Evers']",CHI,2016
46,c,Multimodal Detection of Engagement in Groups of Children Using Rank Learning.,"['Jaebok Kim', 'Khiet P. Truong', 'Vicky Charisi', 'Cristina Zaga', 'Vanessa Evers', 'Mohamed Chetouani']",HBU,2016
47,c,Help-Giving Robot Behaviors in Child-Robot Games: Exploring Semantic Free Utterances.,"['Cristina Zaga', 'Roelof Anne Jelle de Vries', 'Sem J. Spenkelink', 'Khiet P. Truong', 'Vanessa Evers']",HRI,2016
48,c,2nd Workshop on Evaluating Child Robot Interaction.,"['Cristina Zaga', 'Manja Lohse', 'Vicky Charisi', 'Vanessa Evers', 'Mark A. Neerincx', 'Takayuki Kanda', 'Iolanda Leite']",HRI,2016
49,c,The EASEL Project: Towards Educational Human-Robot Symbiotic Interaction.,"['Dennis Reidsma', 'Vicky Charisi', 'Daniel P. Davison', 'Frances Wijnen', 'Jan van der Meij', 'Vanessa Evers', 'David Cameron', 'Samuel Fernando', 'Roger K. Moore', 'Tony J. Prescott', 'Daniele Mazzei', 'Michael Pieroni', 'Lorenzo Cominelli', 'Roberto Garofalo', 'Danilo De Rossi', 'Vasiliki Vouloutsi', 'Riccardo Zucca', 'Klaudia Grechuta', 'Maria Blancas', 'Paul F. M. J. Verschure']",Living Machines,2016
50,c,Towards a Synthetic Tutor Assistant: The EASEL Project and its Architecture.,"['Vasiliki Vouloutsi', 'Maria Blancas', 'Riccardo Zucca', 'Pedro Omedas', 'Dennis Reidsma', 'Daniel P. Davison', 'Vicky Charisi', 'Frances Wijnen', 'Jan van der Meij', 'Vanessa Evers', 'David Cameron', 'Samuel Fernando', 'Roger K. Moore', 'Tony J. Prescott', 'Daniele Mazzei', 'Michael Pieroni', 'Lorenzo Cominelli', 'Roberto Garofalo', 'Danilo De Rossi', 'Paul F. M. J. Verschure']",Living Machines,2016
51,c,Social and Affective Robotics Tutorial.,"['Maja Pantic', 'Vanessa Evers', 'Marc Peter Deisenroth', 'Luis Merino', 'Björn W. Schuller']",ACM Multimedia,2016
52,c,Crowd-Designed Motivation: Combining Personality and the Transtheoretical Model.,"['Roelof Anne Jelle de Vries', 'Khiet P. Truong', 'Vanessa Evers']",PERSUASIVE,2016
53,c,Evaluation methods for user-centered child-robot interaction.,"['Vicky Charisi', 'Daniel P. Davison', 'Dennis Reidsma', 'Vanessa Evers']",RO-MAN,2016
54,c,Responsive Social Agents - Feedback-Sensitive Behavior Generation for Social Interactions.,"['Jered Vroon', 'Gwenn Englebienne', 'Vanessa Evers']",ICSR,2016
55,c,Automatic detection of children's engagement using non-verbal features and ordinal learning.,"['Jaebok Kim', 'Khiet P. Truong', 'Vanessa Evers']",WOCCI,2016
56,c,SPENCER: A Socially Aware Service Robot for Passenger Guidance and Help in Busy Airports.,"['Rudolph Triebel', 'Kai Oliver Arras', 'Rachid Alami', 'Lucas Beyer', 'Stefan Breuers', 'Raja Chatila', 'Mohamed Chetouani', 'Daniel Cremers', 'Vanessa Evers', 'Michelangelo Fiore', 'Hayley Hung', 'Omar A. Islas Ramírez', 'Michiel Joosse', 'Harmish Khambhaita', 'Tomasz Kucner', 'Bastian Leibe', 'Achim J. Lilienthal', 'Timm Linder', 'Manja Lohse', 'Martin Magnusson', 'Billy Okal', 'Luigi Palmieri', 'Umer Rafi', 'Marieke van Rooij', 'Lu Zhang']",FSR,2015
