,type,name,author,event,year
0,j,VEntNet: Hybrid deep convolutional neural network model for automated multi-class categorization of chest X-rays.,"['Vidya K. Sudarshan', 'Reshma A. Ramachandra', 'Nicole Si Min Tan', 'Smit Ojha', 'Ru San Tan']",Int. J. Imaging Syst. Technol.,2022
1,j,Performance evaluation of Emergency Department patient arrivals forecasting models by including meteorological and calendar information: A comparative study.,"['Vidya K. Sudarshan', 'Mikkel Brabrand', 'Troels Martin Range', 'Uffe Kock Wiil']",Comput. Biol. Medicine,2021
2,j,Automated interpretation of biopsy images for the detection of celiac disease using a machine learning approach.,"['Joel Koh En Wei', 'Simona De Michele', 'K. Vidya Sudarshan', 'V. Jahmunah', 'Edward J. Ciaccio', 'Ooi Chui Ping', 'Raj Gururajan', 'Rashmi Gururajan', 'Shu Lih Oh', 'Suzanne K. Lewis', 'Peter H. R. Green', 'Govind Bhagat', 'U. Rajendra Acharya']",Comput. Methods Programs Biomed.,2021
3,j,Future IoT tools for COVID-19 contact tracing and prediction: A review of the state-of-the-science.,"['Jahmunah Vicnesh', 'K. Vidya Sudarshan', 'Shu Lih Oh', 'Raj Gururajan', 'Rashmi Gururajan', 'Xujuan Zhou', 'Xiaohui Tao', 'Oliver Faust', 'Edward J. Ciaccio', 'Kwan Hoong Ng', 'U. Rajendra Acharya']",Int. J. Imaging Syst. Technol.,2021
4,j,Automated characterization of cardiovascular diseases using relative wavelet nonlinear features extracted from ECG signals.,"['Muhammad Adam', 'Shu Lih Oh', 'K. Vidya Sudarshan', 'Joel E. W. Koh', 'Yuki Hagiwara', 'Jen Hong Tan', 'Ru San Tan', 'U. Rajendra Acharya']",Comput. Methods Programs Biomed.,2018
5,j,Application of higher-order spectra for the characterization of Coronary artery disease using electrocardiogram signals.,"['U. Rajendra Acharya', 'K. Vidya Sudarshan', 'Joel E. W. Koh', 'Roshan Joy Martis', 'Jen Hong Tan', 'Shu Lih Oh', 'Muhammad Adam', 'Yuki Hagiwara', 'Muthu Rama Krishnan Mookiah', 'Chua Kok Poo', 'Chua Kuang Chua', 'Ru San Tan']",Biomed. Signal Process. Control.,2017
6,j,Data mining framework for breast lesion classification in shear wave ultrasound: A hybrid feature paradigm.,"['U. Rajendra Acharya', 'Wei Lin Ng', 'Kartini Rahmat', 'K. Vidya Sudarshan', 'Joel E. W. Koh', 'Jen Hong Tan', 'Yuki Hagiwara', 'Chai Hong Yeong', 'Kwan Hoong Ng']",Biomed. Signal Process. Control.,2017
7,j,Automated diagnosis of congestive heart failure using dual tree complex wavelet transform and statistical features extracted from 2 s of ECG signals.,"['K. Vidya Sudarshan', 'U. Rajendra Acharya', 'Shu Lih Oh', 'Muhammad Adam', 'Jen Hong Tan', 'Chua Kuang Chua', 'Chua Kok Poo', 'Ru San Tan']",Comput. Biol. Medicine,2017
8,j,Automated detection of premature delivery using empirical mode and wavelet packet decomposition techniques with uterine electromyogram signals.,"['U. Rajendra Acharya', 'K. Vidya Sudarshan', 'Soon Qing Rong', 'Zechariah Tan', 'Choo Min Lim', 'Joel E. W. Koh', 'Sujatha Nayak', 'Sulatha V. Bhandary']",Comput. Biol. Medicine,2017
9,j,Shear wave elastography for characterization of breast lesions: Shearlet transform and local binary pattern histogram techniques.,"['U. Rajendra Acharya', 'Wei Lin Ng', 'Kartini Rahmat', 'K. Vidya Sudarshan', 'Joel E. W. Koh', 'Jen Hong Tan', 'Yuki Hagiwara', 'Arkadiusz Gertych', 'Farhana Fadzli', 'Chai Hong Yeong', 'Kwan Hoong Ng']",Comput. Biol. Medicine,2017
