,type,name,author,event,year
0,j,Using double attention for text tattoo localisation.,"['Xingpeng Xu', 'Shitala Prasad', 'Kuanhong Cheng', 'Adams Wai-Kin Kong']",IET Biom.,2022
1,j,Pixel-wise ordinal classification for salient object grading.,"['Yanzhu Liu', 'Yanan Wang', 'Adams Wai-Kin Kong']",Image Vis. Comput.,2021
2,j,Segmenting Vitiligo on Clinical Face Images Using CNN Trained on Synthetic and Internet Images.,"['Yanling LI', 'Adams Wai-Kin Kong', 'Steven Thng']",IEEE J. Biomed. Health Informatics,2021
3,j,A portrait photo-to-tattoo transform based on digital tattooing.,"['Xingpeng Xu', 'Wojciech Michal Matkowski', 'Adams Wai-Kin Kong']",Multim. Tools Appl.,2020
4,j,"A survey on image and video cosegmentation: Methods, challenges and analyses.","['Yan Ren', 'Adams Wai-Kin Kong', 'Licheng Jiao']",Pattern Recognit.,2020
5,j,Palmprint Recognition in Uncontrolled and Uncooperative Environment.,"['Wojciech Michal Matkowski', 'Tingting Chai', 'Adams Wai-Kin Kong']",IEEE Trans. Inf. Forensics Secur.,2020
6,j,A study on wrist identification for forensic investigation.,"['Wojciech Michal Matkowski', 'Frodo Kin Sun Chan', 'Adams Wai-Kin Kong']",Image Vis. Comput.,2019
7,j,A further study of low resolution androgenic hair patterns as a soft biometric trait.,"['Frodo Kin-Sun Chan', 'Adams Wai-Kin Kong']",Image Vis. Comput.,2018
8,j,A multi-model restoration algorithm for recovering blood vessels in skin images.,"['Xiaojie Li', 'Adams Wai-Kin Kong']",Image Vis. Comput.,2017
9,j,A Study of Distinctiveness of Skin Texture for Forensic Applications Through Comparison With Blood Vessels.,"['Frodo Kin-Sun Chan', 'Xiaojie Li', 'Adams Wai-Kin Kong']",IEEE Trans. Inf. Forensics Secur.,2017
10,j,Using multiple models to uncover blood vessel patterns in color images for forensic analysis.,"['Chaoying Tang', 'Hengyi Zhang', 'Adams Wai-Kin Kong']",Inf. Fusion,2016
