,type,name,author,event,year
0,j,Toward a Systematic Survey for Carbon Neutral Data Centers.,"['Zhiwei Cao', 'Xin Zhou', 'Han Hu', 'Zhi Wang', 'Yonggang Wen']",IEEE Commun. Surv. Tutorials,2022
1,j,FogChain: A Blockchain-Based Peer-to-Peer Solar Power Trading System Powered by Fog AI.,"['Guanyu Gao', 'Chengru Song', 'T. G. Thusitha Asela Bandara', 'Meng Shen', 'Fan Yang', 'Wolf Posdorfer', 'Dacheng Tao', 'Yonggang Wen']",IEEE Internet Things J.,2022
2,j,EasyFL: A Low-Code Federated Learning Platform for Dummies.,"['Weiming Zhuang', 'Xin Gan', 'Yonggang Wen', 'Shuai Zhang']",IEEE Internet Things J.,2022
3,j,GradientFlow: Optimizing Network Performance for Large-Scale Distributed DNN Training.,"['Peng Sun', 'Yonggang Wen', 'Ruobing Han', 'Wansen Feng', 'Shengen Yan']",IEEE Trans. Big Data,2022
4,j,Video transcoding for adaptive bitrate streaming over edge-cloud continuum.,"['Guanyu Gao', 'Yonggang Wen']",Digit. Commun. Networks,2021
5,j,Demystifying Thermal Comfort in Smart Buildings: An Interpretable Machine Learning Approach.,"['Wei Zhang', 'Yonggang Wen', 'King-Jet Tseng', 'Guangyu Jin']",IEEE Internet Things J.,2021
6,j,Toward Intelligent Multizone Thermal Control With Multiagent Deep Reinforcement Learning.,"['Jie Li', 'Wei Zhang', 'Guanyu Gao', 'Yonggang Wen', 'Guangyu Jin', 'George I. Christopoulos']",IEEE Internet Things J.,2021
7,j,Toward a Wearable Crowdsource System to Monitor Respiratory Symptoms for Pandemic Early Warning.,"['Wei Zhang', 'Jie Li', 'Yonggang Wen', 'Yong Luo']",IEEE Netw.,2021
8,j,Joint IT-Facility Optimization for Green Data Centers via Deep Reinforcement Learning.,"['Xin Zhou', 'Ruihang Wang', 'Yonggang Wen', 'Rui Tan']",IEEE Netw.,2021
9,j,Cost Optimal Data Center Servers: A Voltage Scaling Approach.,"['Wei Zhang', 'Yonggang Wen', 'Loi Lei Lai', 'Fang Liu', 'Rui Fan']",IEEE Trans. Cloud Comput.,2021
10,j,Joint Deep Multi-View Learning for Image Clustering.,"['Yuan Xie', 'Bingqian Lin', 'Yanyun Qu', 'Cuihua Li', 'Wensheng Zhang', 'Lizhuang Ma', 'Yonggang Wen', 'Dacheng Tao']",IEEE Trans. Knowl. Data Eng.,2021
11,j,Intelligent Trainer for Dyna-Style Model-Based Deep Reinforcement Learning.,"['Linsen Dong', 'Yuanlong Li', 'Xin Zhou', 'Yonggang Wen', 'Kyle Guan']",IEEE Trans. Neural Networks Learn. Syst.,2021
12,j,Deep Reinforcement Learning for Tropical Air Free-cooled Data Center Control.,"['Duc Van Le', 'Rongrong Wang', 'Yingbo Liu', 'Rui Tan', 'Yew-Wah Wong', 'Yonggang Wen']",ACM Trans. Sens. Networks,2021
13,j,xTML: A Unified Heterogeneous Transfer Metric Learning Framework for Multimedia Applications [Application Notes].,"['Lu Liu', 'Yong Luo', 'Han Hu', 'Yonggang Wen', 'Dacheng Tao', 'Xin Yao']",IEEE Comput. Intell. Mag.,2020
14,j,Deep neural networks for emerging multimedia computing and applications.,"['Shuqiang Jiang', 'Weiqing Min', 'Yonggang Wen', 'Qingming Huang', 'Shuicheng Yan']",Neurocomputing,2020
15,j,Transforming Device Fingerprinting for Wireless Security via Online Multitask Metric Learning.,"['Yong Luo', 'Han Hu', 'Yonggang Wen', 'Dacheng Tao']",IEEE Internet Things J.,2020
16,j,DeepComfort: Energy-Efficient Thermal Comfort Control in Buildings Via Reinforcement Learning.,"['Guanyu Gao', 'Jie Li', 'Yonggang Wen']",IEEE Internet Things J.,2020
