,type,name,author,event,year
0,j,Research on the collaboration of service selection and resource scheduling for IoT simulation workflows.,"['Feng Li', 'T. Warren Liao', 'Wentong Cai']",Adv. Eng. Informatics,2022
1,j,E,"['Xiangting Hou', 'Linbo Luo', 'Wentong Cai', 'Bin Guo']",IEEE Internet Things J.,2022
2,j,A wholistic optimization of containerized workflow scheduling and deployment in the cloud-edge environment.,"['Feng Li', 'Wen Jun Tan', 'Wentong Cai']",Simul. Model. Pract. Theory,2022
3,j,Distribution-Based Weights Estimation for Map Matching Algorithms.,"['Xiangting Hou', 'Linbo Luo', 'Wentong Cai']",IEEE Syst. J.,2022
4,j,Why They Escape: Mining Prioritized Fuzzy Decision Rule in Crowd Evacuation.,"['Linbo Luo', 'Baodan Zhang', 'Bin Guo', 'Jinghui Zhong', 'Wentong Cai']",IEEE Trans. Intell. Transp. Syst.,2022
5,j,Data-driven Crowd Modeling Techniques: A Survey.,"['Jinghui Zhong', 'Dongrui Li', 'Zhixing Huang', 'Chengyu Lu', 'Wentong Cai']",ACM Trans. Model. Comput. Simul.,2022
6,j,Hierarchical Aggregation/Disaggregation for Adaptive Abstraction-Level Conversion in Digital Twin-Based Smart Semiconductor Manufacturing.,"['Moon Gi Seok', 'Wentong Cai', 'Daejin Park']",IEEE Access,2021
7,j,Transitioning Spiking Neural Network Simulators to Heterogeneous Hardware.,"['Quang Anh Pham Nguyen', 'Philipp Andelfinger', 'Wen Jun Tan', 'Wentong Cai', 'Alois C. Knoll']",ACM Trans. Model. Comput. Simul.,2021
8,j,Towards Minimizing Resource Usage With QoS Guarantee in Cloud Gaming.,"['Yusen Li', 'Changjian Zhao', 'Xueyan Tang', 'Wentong Cai', 'Xiaoguang Liu', 'Gang Wang', 'Xiaoli Gong']",IEEE Trans. Parallel Distributed Syst.,2021
9,j,Adaptive Abstraction-Level Conversion Framework for Accelerated Discrete-Event Simulation in Smart Semiconductor Manufacturing.,"['Moon Gi Seok', 'Wentong Cai', 'Hessam S. Sarjoughian', 'Daejin Park']",IEEE Access,2020
10,j,OpenABLext: An automatic code generation framework for agent-based simulations on CPU-GPU-FPGA heterogeneous platforms.,"['Jiajian Xiao', 'Philipp Andelfinger', 'Wentong Cai', 'Paul Richmond', 'Alois C. Knoll', 'David Eckhoff']",Concurr. Comput. Pract. Exp.,2020
11,j,Structural-aware simulation analysis of supply chain resilience.,"['Wen Jun Tan', 'Wentong Cai', 'Allan N. Zhang']",Int. J. Prod. Res.,2020
12,j,Incremental route inference from low-sampling GPS data: An opportunistic approach to online map matching.,"['Linbo Luo', 'Xiangting Hou', 'Wentong Cai', 'Bin Guo']",Inf. Sci.,2020
13,j,A passenger model for simulating boarding and alighting in spatially confined transportation scenarios.,"['Boyi Su', 'Philipp Andelfinger', 'Jaeyoung Kwak', 'David Eckhoff', 'Henriette Cornet', 'Goran Marinkovic', 'Wentong Cai', 'Alois C. Knoll']",J. Comput. Sci.,2020
14,j,An alternative approach for collaborative simulation execution on a CPU+GPU hybrid system.,"['Wenjie Tang', 'Wentong Cai', 'Yiping Yao', 'Xiao Song', 'Feng Zhu']",Simul.,2020
15,j,A fast parallel genetic programming framework with adaptively weighted primitives for symbolic regression.,"['Zhixing Huang', 'Jinghui Zhong', 'Liang Feng', 'Yi Mei', 'Wentong Cai']",Soft Comput.,2020
16,j,Multitask Scheduling in Consideration of Fuzzy Uncertainty of Multiple Criteria in Service-Oriented Manufacturing.,"['Feng Li', 'T. Warren Liao', 'Wentong Cai', 'Lin Zhang']",IEEE Trans. Fuzzy Syst.,2020
17,j,Fidelity and Performance of State Fast-forwarding in Microscopic Traffic Simulations.,"['Philipp Andelfinger', 'Yadong Xu', 'David Eckhoff', 'Wentong Cai', 'Alois C. Knoll']",ACM Trans. Model. Comput. Simul.,2020
18,j,Multifactorial Genetic Programming for Symbolic Regression Problems.,"['Jinghui Zhong', 'Liang Feng', 'Wentong Cai', 'Yew-Soon Ong']",IEEE Trans. Syst. Man Cybern. Syst.,2020
19,j,A Survey on Agent-based Simulation Using Hardware Accelerators.,"['Jiajian Xiao', 'Philipp Andelfinger', 'David Eckhoff', 'Wentong Cai', 'Alois C. Knoll']",ACM Comput. Surv.,2019
20,j,A graph-based model to measure structural redundancy for supply chain resilience.,"['Wen Jun Tan', 'Allan N. Zhang', 'Wentong Cai']",Int. J. Prod. Res.,2019
21,j,A data-driven path planning model for crowd capacity analysis.,"['Singkuang Tan', 'Nan Hu', 'Wentong Cai']",J. Comput. Sci.,2019
22,j,Distributed Edge Partitioning for Trillion-edge Graphs.,"['Masatoshi Hanai', 'Toyotaro Suzumura', 'Wen Jun Tan', 'Elvis S. Liu', 'Georgios Theodoropoulos', 'Wentong Cai']",Proc. VLDB Endow.,2019
23,j,Efficient Parallel Simulation over Large-scale Social Contact Networks.,"['Yulin Wu', 'Wentong Cai', 'Zengxiang Li', 'Wen Jun Tan', 'Xiangting Hou']",ACM Trans. Model. Comput. Simul.,2019
24,j,Resource-Efficient Index Shard Replication in Large Scale Search Engines.,"['Yusen Li', 'Xueyan Tang', 'Wentong Cai', 'Jiancong Tong', 'Xiaoguang Liu', 'Gang Wang']",IEEE Trans. Parallel Distributed Syst.,2019
25,j,Guide them through: An automatic crowd control framework using multi-objective genetic programming.,"['Nan Hu', 'Jinghui Zhong', 'Joey Tianyi Zhou', 'Suiping Zhou', 'Wentong Cai', 'Christopher P. Monterola']",Appl. Soft Comput.,2018
26,j,CLUST: Simulating Realistic Crowd Behaviour by Mining Pattern from Crowd Videos.,"['Mingbi Zhao', 'Wentong Cai', 'Stephen John Turner']",Comput. Graph. Forum,2018
