,type,name,author,event,year
0,j,En-Route Charging Strategy for Wirelessly Charged Electric Bus Considering Time-of-Use Price.,"['Weiliang Zeng', 'Panlong Liu', 'Chao Yang', 'Weijun Sun', 'Yonghui Huang', 'Yu Han']",IEEE Access,2022
1,j,Process and Outcome-based Evaluation between Virtual Reality-driven and Traditional Construction Safety Training.,"['Yu Han', 'Jinru Yang', 'Yongsheng Diao', 'Ruoyu Jin', 'Brian Guo', 'Zulfikar A. Adamu']",Adv. Eng. Informatics,2022
2,j,Real-time H∞ norm optimization of the linear time-invariant system.,"['Yunsong Xu', 'Hao Luo', 'Han Yu']",Autom.,2022
3,j,AGNet: Automatic generation network for skin imaging reports.,"['Fan Wu', 'Haiqiong Yang', 'Linlin Peng', 'Zongkai Lian', 'Mingxin Li', 'Gang Qu', 'Shancheng Jiang', 'Yu Han']",Comput. Biol. Medicine,2022
4,j,Pulmonary nodules detection assistant platform: An effective computer aided system for early pulmonary nodules detection in physical examination.,"['Yu Han', 'Honggang Qi', 'Ling Wang', 'Chen Chen', 'Jun Miao', 'Hongbo Xu', 'Ziqi Wang', 'Zhijun Guo', 'Qian Xu', 'Qiang Lin', 'Haitao Liu', 'Junying Lu', 'Fei Liang', 'Wenqiu Feng', 'Haiyan Li', 'Yan Liu']",Comput. Methods Programs Biomed.,2022
5,j,Multiscale Dense U-Net: A Fast Correction Method for Thermal Drift Artifacts in Laboratory NanoCT Scans of Semi-Conductor Chips.,"['Mengnan Liu', 'Yu Han', 'Xiaoqi Xi', 'Linlin Zhu', 'Shuangzhan Yang', 'Siyu Tan', 'Jian Chen', 'Lei Li', 'Bin Yan']",Entropy,2022
6,j,An intelligent collaboration framework of IoT applications based on event logic graph.,"['Min Zhu', 'Han Yu', 'Zhiyuan Liu', 'Bingqing Shen', 'Lihong Jiang', 'Hongming Cai']",Future Gener. Comput. Syst.,2022
7,j,A software PAM4 clock data recovery algorithm for high-speed serial communication.,"['Tong Wu', 'Kezhu Song', 'Zhuo Chen', 'Hongwei Zhao', 'Han Yu']",IET Commun.,2022
8,j,A scale-sensitive heatmap representation for multi-person pose estimation.,"['Congju Du', 'Han Yu', 'Li Yu']",IET Image Process.,2022
9,j,Deep reinforcement learning based ensemble model for rumor tracking.,"['Guohui Li', 'Ming Dong', 'Lingfeng Ming', 'Changyin Luo', 'Han Yu', 'Xiaofei Hu', 'Bolong Zheng']",Inf. Syst.,2022
10,j,A spatial-temporal topic model with sparse prior and RNN prior for bursty topic discovering in social networks.,"['Xiaowei Zhu', 'Yu Han', 'Shichong Li', 'Xinyin Wang']",J. Intell. Fuzzy Syst.,2022
11,j,On the confusion coefficient of Boolean functions.,"['Yu Zhou', 'Jianyong Hu', 'Xudong Miao', 'Yu Han', 'Fuzhong Zhang']",J. Math. Cryptol.,2022
12,j,Hybrid neural networks based facial expression recognition for smart city.,"['Lingyu Yan', 'Menghan Sheng', 'Chunzhi Wang', 'Rong Gao', 'Han Yu']",Multim. Tools Appl.,2022
13,j,Multi-scale residual network model combined with Global Average Pooling for action recognition.,"['Jianjun Li', 'Yu Han', 'Ming Zhang', 'Gang Li', 'Baohua Zhang']",Multim. Tools Appl.,2022
14,j,Multi-view facial action unit detection via DenseNets and CapsNets.,"['Dakai Ren', 'Xiangming Wen', 'Jiazhong Chen', 'Yu Han', 'Shiqi Zhang']",Multim. Tools Appl.,2022
15,j,An axially decomposed self-attention network for the precise segmentation of surface defects on printed circuit boards.,"['Danqing Kang', 'Yu Han', 'Jun-Yong Zhu', 'Jianhuang Lai']",Neural Comput. Appl.,2022
16,j,Toward Incentive-Compatible Vehicular Crowdsensing: An Edge-Assisted Hierarchical Framework.,"['Xinxin Yang', 'Bo Gu', 'Bingkun Zheng', 'Beichen Ding', 'Yu Han', 'Keping Yu']",IEEE Netw.,2022
17,j,Scale-aware heatmap representation for human pose estimation.,"['Han Yu', 'Congju Du', 'Li Yu']",Pattern Recognit. Lett.,2022
18,j,A Wideband and Ultra-Thin Metamaterial Absorber Based on Resistive FSS.,"['Zhongliang Lv', 'Zelun Li', 'Yu Han', 'Yujiang Cao', 'Lin Yang']",Symmetry,2022
19,j,On the Extension of Cameron Decomposition Helicity Asymmetry Parameter From Single-Look to Multi-Look PolSAR Imagery.,"['Hongzhong Li', 'Jiehong Chen', 'Luyi Sun', 'Longlong Zhao', 'Xiaoli Li', 'Jin Wang', 'Yu Han', 'Jinsong Chen']",IEEE Trans. Geosci. Remote. Sens.,2022
20,j,Multiscan Recursive Bayesian Parameter Estimation of Large-Scene Spatial-Temporally Varying Generalized Pareto Distribution Model of Sea Clutter.,"['Xiang Liang', 'Han Yu', 'Peng-Jia Zou', 'Peng-Lang Shui', 'Hongtao Su']",IEEE Trans. Geosci. Remote. Sens.,2022
21,j,A Weighted Closure-Phase Statics Correction Method: Synthetic and Field Data Examples.,"['Han Yu', 'Sherif M. Hanafy', 'Lulu Liu']",IEEE Trans. Geosci. Remote. Sens.,2022
22,j,Integrating Multihub Driven Attention Mechanism and Big Data Analytics for Virtual Representation of Visual Scenes.,"['Yang Yao', 'Bo Gu', 'Mamoun Alazab', 'Neeraj Kumar', 'Yu Han']",IEEE Trans. Ind. Informatics,2022
23,j,Autonomous Recognition of Multiple Surgical Instruments Tips Based on Arrow OBB-YOLO Network.,"['Jianqing Peng', 'Qihan Chen', 'Liang Kang', 'Haiqing Jie', 'Yu Han']",IEEE Trans. Instrum. Meas.,2022
24,j,Center-Guided and Connectivity-Preserving Network for Grain Size Measurement.,"['Han Yu', 'Erfeng Shang', 'Xingjie Li', 'Huasheng Xie', 'Zhi Zhu', 'Zhaowei Song', 'Xiao Liang', 'Kechen Song', 'Yunhui Yan', 'Xinyue Li', 'Wenwu Ren']",IEEE Trans. Instrum. Meas.,2022
25,j,Robotic Patch Clamp Based on Noninvasive 3-D Cell Morphology Measurement for Higher Success Rate.,"['Qili Zhao', 'Jinyu Qiu', 'Yu Han', 'Yiqing Jia', 'Yue Du', 'Huiying Gong', 'Minghui Li', 'Ruimin Li', 'Mingzhu Sun', 'Xin Zhao']",IEEE Trans. Instrum. Meas.,2022
26,j,NPI-RGCNAE: Fast Predicting ncRNA-Protein Interactions Using the Relational Graph Convolutional Network Auto-Encoder.,"['Han Yu', 'Zi-Ang Shen', 'Pu-Feng Du']",IEEE J. Biomed. Health Informatics,2022
27,j,Capture-Aware Identification of Mobile RFID Tags With Unreliable Channels.,"['Jian Su', 'Zhengguo Sheng', 'Alex X. Liu', 'Yu Han', 'Yongrui Chen']",IEEE Trans. Mob. Comput.,2022
28,j,An Automated Metadata Generation Method for Data Lake of Industrial WoT Applications.,"['Han Yu', 'Hongming Cai', 'Zhiyuan Liu', 'Boyi Xu', 'Lihong Jiang']",IEEE Trans. Syst. Man Cybern. Syst.,2022
29,j,Topological Pilot Assignment in Large-Scale Distributed MIMO Networks.,"['Han Yu', 'Xinping Yi', 'Giuseppe Caire']",IEEE Trans. Wirel. Commun.,2022
30,j,Downlink Precoding for DP-UPA FDD Massive MIMO via Multi-Dimensional Active Channel Sparsification.,"['Han Yu', 'Xinping Yi', 'Giuseppe Caire']",IEEE Trans. Wirel. Commun.,2022
31,j,Efficient Enhanced Hybrid Implicit-Explicit Procedure to Gyrotropic Plasma in Open Regions With Fine Geometry Details Along Single Direction.,"['Peiyu Wu', 'Han Yu', 'Yongjun Xie', 'Haolin Jiang', 'Toshiaki Natsuki']",IEEE Access,2021
32,j,Computationally Efficient Locally One-Dimensional Algorithm for Open Region Ground Penetrating Radar Problem With Improved Absorption.,"['Peiyu Wu', 'Han Yu', 'Yongjun Xie', 'Haolin Jiang', 'Toshiaki Natsuki']",IEEE Access,2021
33,j,"Immersive technology-driven investigations on influence factors of cognitive load incurred in construction site hazard recognition, analysis and decision making.","['Yu Han', 'Yongsheng Diao', 'Zhenzhen Yin', 'Ruoyu Jin', 'Joseph Kangwa', 'Obas John Ebohon']",Adv. Eng. Informatics,2021
34,j,StackPDB: Predicting DNA-binding proteins based on XGB-RFE feature optimization and stacked ensemble classifier.,"['Qingmei Zhang', 'Peishun Liu', 'Xue Wang', 'Yaqun Zhang', 'Yu Han', 'Bin Yu']",Appl. Soft Comput.,2021
35,j,NPI-GNN: Predicting ncRNA-protein interactions with deep graph neural networks.,"['Zi-Ang Shen', 'Tao Luo', 'Yuan-Ke Zhou', 'Han Yu', 'Pu-Feng Du']",Briefings Bioinform.,2021
36,j,Differentiation of Pseudoprogression from True Progressionin Glioblastoma Patients after Standard Treatment: A Machine Learning Strategy Combinedwith Radiomics Features from T,"['Ying-Zhi Sun', 'Lin-Feng Yan', 'Yu Han', 'Hai-Yan Nan', 'Gang Xiao', 'Qiang Tian', 'Wen-Hui Pu', 'Ze-Yang Li', 'Xiao-Cheng Wei', 'Wen Wang', 'Guang-Bin Cui']",BMC Medical Imaging,2021
37,j,Fertility-LightGBM: A fertility-related protein prediction model by multi-information fusion and light gradient boosting machine.,"['Minghui Wang', 'Lingling Yue', 'Xinhua Yang', 'Xiaolin Wang', 'Yu Han', 'Bin Yu']",Biomed. Signal Process. Control.,2021
38,j,An image denoising method based on BP neural network optimized by improved whale optimization algorithm.,"['Chunzhi Wang', 'Min Li', 'Ruoxi Wang', 'Han Yu', 'Shuping Wang']",EURASIP J. Wirel. Commun. Netw.,2021
39,j,Analyzing the Co-Competition Mechanism of High-Tech Park from the Perspective of Complex Socioeconomic Network.,"['Lizhi Xing', 'Yu Han', 'Jingying Xu']",Entropy,2021
40,j,Nestedness-Based Measurement of Evolutionarily Stable Equilibrium of Global Production System.,"['Jiaqi Ren', 'Lizhi Xing', 'Yu Han', 'Xianlei Dong']",Entropy,2021
41,j,Feature and Tendency of Technology Transfer in Z-Park Patent Cooperation Network: From the Perspective of Global Optimal Path.,"['Jun Guan', 'Jingying Xu', 'Yu Han', 'Dawei Wang', 'Lizhi Xing']",J. Data Inf. Sci.,2021
42,j,3R model: A post-purchase context-aware reputation model to mitigate unfair ratings in e-commerce.,"['Yuan Liu', 'Xin Zhou', 'Han Yu']",Knowl. Based Syst.,2021
43,j,A Network That Balances Accuracy and Efficiency for Lane Detection.,"['Ce Zhang', 'Yu Han', 'Dan Wang', 'Wei Qiao', 'Yier Lin']",Mob. Inf. Syst.,2021
44,j,An information fusion reliability allocation method considering limited sample size circumstances.,"['Zhihua Wang', 'Yu Han', 'Wenbo Li', 'Gen Liu', 'Chengrui Liu']",Qual. Reliab. Eng. Int.,2021
45,j,Mapping Soil Organic Matter and Analyzing the Prediction Accuracy of Typical Cropland Soil Types on the Northern Songnen Plain.,"['Meiwei Zhang', 'Huanjun Liu', 'Meinan Zhang', 'Haoxuan Yang', 'Yuanliang Jin', 'Yu Han', 'Haitao Tang', 'Xiaohan Zhang', 'Xinle Zhang']",Remote. Sens.,2021
46,j,A framework for stability-based module detection in correlation graphs.,"['Mingmei Tian', 'Rachael Hageman Blair', 'Lina Mu', 'Matthew Bonner', 'Richard Browne', 'Han Yu']",Stat. Anal. Data Min.,2021
