,type,name,author,event,year
0,j,Seamless simplification of multi-chart textured meshes with adaptively updated correspondence.,"['Wenjing Zhang', 'Jianmin Zheng', 'Yiyu Cai', 'Anders Ynnerman']",Comput. Graph.,2022
1,j,Constructing self-supporting surfaces with planar quadrilateral elements.,"['Long Ma', 'Sidan Yao', 'Jianmin Zheng', 'Yang Liu', 'Yuanfeng Zhou', 'Shi-Qing Xin', 'Ying He']",Comput. Vis. Media,2022
2,j,GeoConv: Geodesic guided convolution for facial action unit recognition.,"['Yuedong Chen', 'Guoxian Song', 'Zhiwen Shao', 'Jianfei Cai', 'Tat-Jen Cham', 'Jianmin Zheng']",Pattern Recognit.,2022
3,j,Facial Expression Retargeting From Human to Avatar Made Easy.,"['Juyong Zhang', 'Keyu Chen', 'Jianmin Zheng']",IEEE Trans. Vis. Comput. Graph.,2022
4,j,Truncated octree and its applications.,"['Naimin Koh', 'Pradeep Kumar Jayaraman', 'Jianmin Zheng']",Vis. Comput.,2022
5,j,Generative design of decorative architectural parts.,"['Yuzhe Zhang', 'Wayne Ong Chan Chi', 'Jianmin Zheng', 'Seng Tjhen Lie', 'Zhendong Guo']",Vis. Comput.,2022
6,j,BEACon: a boundary embedded attentional convolution network for point cloud instance segmentation.,"['Tianrui Liu', 'Yiyu Cai', 'Jianmin Zheng', 'Nadia Magnenat-Thalmann']",Vis. Comput.,2022
7,j,Half-body Portrait Relighting with Overcomplete Lighting Representation.,"['Guoxian Song', 'Tat-Jen Cham', 'Jianfei Cai', 'Jianmin Zheng']",Comput. Graph. Forum,2021
8,j,Towards Complex and Continuous Manipulation: A Gesture Based Anthropomorphic Robotic Hand Design.,"['Li Tian', 'Hanhui Li', 'Qifa Wang', 'Xuezeng Du', 'Jialin Tao', 'Jordan Sia Chong', 'Nadia Magnenat-Thalmann', 'Jianmin Zheng']",IEEE Robotics Autom. Lett.,2021
9,j,Server Allocation for Massively Multiplayer Online Cloud Games Using Evolutionary Optimization.,"['Meiqi Zhao', 'Jianmin Zheng', 'Elvis S. Liu']",ACM Trans. Multim. Comput. Commun. Appl.,2021
10,j,Algebraic and geometric characterizations of a class of planar quartic curves with rational offsets.,"['Kai Hormann', 'Jianmin Zheng']",Comput. Aided Geom. Des.,2020
11,j,Tetrahedral mesh deformation with positional constraints.,"['Wenjing Zhang', 'Yuewen Ma', 'Jianmin Zheng', 'William J. Allen']",Comput. Aided Geom. Des.,2020
12,j,Proxy-driven free-form deformation by topology-adjustable control lattice.,"['Yuzhe Zhang', 'Jianmin Zheng', 'Yiyu Cai']",Comput. Graph.,2020
13,j,Recovering facial reflectance and geometry from multi-view images.,"['Guoxian Song', 'Jianmin Zheng', 'Jianfei Cai', 'Tat-Jen Cham']",Image Vis. Comput.,2020
14,j,Disentangled Human Body Embedding Based on Deep Hierarchical Neural Network.,"['Boyi Jiang', 'Juyong Zhang', 'Jianfei Cai', 'Jianmin Zheng']",IEEE Trans. Vis. Comput. Graph.,2020
15,j,Breaking Permutation-Based Mesh Steganography and Security Improvement.,"['Yimin Wang', 'Lingsheng Kong', 'Zhenxing Qian', 'Guorui Feng', 'Xinpeng Zhang', 'Jianmin Zheng']",IEEE Access,2019
16,j,DE-Path: A Differential-Evolution-Based Method for Computing Energy-Minimizing Paths on Surfaces.,"['Zipeng Ye', 'Yong-Jin Liu', 'Jianmin Zheng', 'Kai Hormann', 'Ying He']",Comput. Aided Des.,2019
17,j,Progressive sketching with instant previewing.,"['Kai Wang', 'Jianmin Zheng', 'Hock Soon Seah']",Comput. Graph.,2019
18,j,Shading-Based Surface Recovery Using Subdivision-Based Representation.,"['Teng Deng', 'Jianmin Zheng', 'Jianfei Cai', 'Tat-Jen Cham']",Comput. Graph. Forum,2019
19,j,Unsupervised Dense Light Field Reconstruction with Occlusion Awareness.,"['Lixia Ni', 'Haiyong Jiang', 'Jianfei Cai', 'Jianmin Zheng', 'Haifeng Li', 'Xu Liu']",Comput. Graph. Forum,2019
20,j,CNN-Based Real-Time Dense Face Reconstruction with Inverse-Rendered Photo-Realistic Face Images.,"['Yudong Guo', 'Juyong Zhang', 'Jianfei Cai', 'Boyi Jiang', 'Jianmin Zheng']",IEEE Trans. Pattern Anal. Mach. Intell.,2019
21,j,An image processing approach to feature-preserving B-spline surface fairing.,"['Taro Kawasaki', 'Pradeep Kumar Jayaraman', 'Kentaro Shida', 'Jianmin Zheng', 'Takashi Maekawa']",Comput. Aided Des.,2018
22,j,Embedding QR codes onto B-spline surfaces for 3D printing.,"['Ryosuke Kikuchi', 'Sora Yoshikawa', 'Pradeep Kumar Jayaraman', 'Jianmin Zheng', 'Takashi Maekawa']",Comput. Aided Des.,2018
23,j,An algorithm for finding intersection between ball B-spline curves.,"['Qian Fu', 'Zhongke Wu', 'Xingce Wang', 'Mingquan Zhou', 'Jianmin Zheng']",J. Comput. Appl. Math.,2018
24,j,Modeling deviations of rgb-d cameras for accurate depth map and color image registration.,"['Xibin Song', 'Jianmin Zheng', 'Fan Zhong', 'Xueying Qin']",Multim. Tools Appl.,2018
25,j,Shading-Based Surface Detail Recovery Under General Unknown Illumination.,"['Di Xu', 'Qi Duan', 'Jianmin Zheng', 'Juyong Zhang', 'Jianfei Cai', 'Tat-Jen Cham']",IEEE Trans. Pattern Anal. Mach. Intell.,2018
26,j,Madam Snake White: A Case Study on Virtual Reality Continuum Applications for Singaporean Culture and Heritage at Haw Par Villa.,"['Yiyu Cai', 'Jianmin Zheng', 'Yuzhe Zhang', 'Xiaoqun Wu', 'Yong Chen', 'Bingquan Tan', 'Bianyue Yang', 'Tianrui Liu', 'Nadia Magnenat-Thalmann']",Presence Teleoperators Virtual Environ.,2018
27,j,Automatic Path Planning for Dual-Crane Lifting in Complex Environments Using a Prioritized Multiobjective PGA.,"['Panpan Cai', 'Chandrasekaran Indhumathi', 'Jianmin Zheng', 'Yiyu Cai']",IEEE Trans. Ind. Informatics,2018
28,j,Globally Consistent Wrinkle-Aware Shading of Line Drawings.,"['Pradeep Kumar Jayaraman', 'Chi-Wing Fu', 'Jianmin Zheng', 'Xueting Liu', 'Tien-Tsin Wong']",IEEE Trans. Vis. Comput. Graph.,2018
29,j,MCAEM: mixed-correlation analysis-based episodic memory for companion-user interactions.,"['Juzheng Zhang', 'Jianmin Zheng', 'Nadia Magnenat-Thalmann']",Vis. Comput.,2018
30,j,Variational reconstruction using subdivision surfaces with continuous sharpness control.,"['Xiaoqun Wu', 'Jianmin Zheng', 'Yiyu Cai', 'Haisheng Li']",Comput. Vis. Media,2017
31,j,"The Making of a 3D-Printed, Cable-Driven, Single-Model, Lightweight Humanoid Robotic Hand.","['Li Tian', 'Nadia Magnenat-Thalmann', 'Daniel Thalmann', 'Jianmin Zheng']",Frontiers Robotics AI,2017
32,j,Multiple consumer-grade depth camera registration using everyday objects.,"['Teng Deng', 'Jianfei Cai', 'Tat-Jen Cham', 'Jianmin Zheng']",Image Vis. Comput.,2017
33,j,Accurate and Efficient Approximation of Clothoids Using Bézier Curves for Path Planning.,"['Yong Chen', 'Yiyu Cai', 'Jianmin Zheng', 'Daniel Thalmann']",IEEE Trans. Robotics,2017
34,j,Geometric characteristics of a class of cubic curves with rational offsets.,"['Xing-Jiang Lu', 'Jianmin Zheng', 'Yiyu Cai', 'Gang Zhao']",Comput. Aided Des.,2016
35,j,Reconsideration of T-spline data models and their exchanges using STEP.,"['Wenlei Xiao', 'Yazui Liu', 'Rui Li', 'Wei Wang', 'Jianmin Zheng', 'Gang Zhao']",Comput. Aided Des.,2016
36,j,Multiple Human Identification and Cosegmentation: A Human-Oriented CRF Approach With Poselets.,"['Hongyuan Zhu', 'Jiangbo Lu', 'Jianfei Cai', 'Jianmin Zheng', 'Shijian Lu', 'Nadia Magnenat-Thalmann']",IEEE Trans. Multim.,2016
37,j,Birational quadrilateral maps.,"['Thomas W. Sederberg', 'Jianmin Zheng']",Comput. Aided Geom. Des.,2015
38,j,Real-Time Subspace Integration for Example-Based Elastic Material.,"['Wenjing Zhang', 'Jianmin Zheng', 'Nadia Magnenat-Thalmann']",Comput. Graph. Forum,2015
39,j,Mesh Denoising using Extended ROF Model with ,"['Xiaoqun Wu', 'Jianmin Zheng', 'Yiyu Cai', 'Chi-Wing Fu']",Comput. Graph. Forum,2015
40,j,Surface skinning using periodic T-spline in semi-NURBS form.,"['Yusha Li', 'Wenyu Chen', 'Yiyu Cai', 'Ahmad H. Nasri', 'Jianmin Zheng']",J. Comput. Appl. Math.,2015
41,j,PCMD: personality-characterized mood dynamics model toward personalized virtual characters.,"['Juzheng Zhang', 'Jianmin Zheng', 'Nadia Magnenat-Thalmann']",Comput. Animat. Virtual Worlds,2015
42,j,"Kinect Depth Recovery Using a Color-Guided, Region-Adaptive, and Depth-Selective Framework.","['Chongyu Chen', 'Jianfei Cai', 'Jianmin Zheng', 'Tat-Jen Cham', 'Guangming Shi']",ACM Trans. Intell. Syst. Technol.,2015
43,j,Foldover-Free Mesh Warping for Constrained Texture Mapping.,"['Yuewen Ma', 'Jianmin Zheng', 'Jian Xie']",IEEE Trans. Vis. Comput. Graph.,2015
44,j,Compressive environment matting.,"['Qi Duan', 'Jianfei Cai', 'Jianmin Zheng']",Vis. Comput.,2015
45,j,Example-guided anthropometric human body modeling.,"['Yuzhe Zhang', 'Jianmin Zheng', 'Nadia Magnenat-Thalmann']",Vis. Comput.,2015
46,j,A computational approach to joint line detection on triangular meshes.,"['Xunnian Yang', 'Jianmin Zheng', 'Desheng Wang']",Eng. Comput.,2014
47,j,Representing Images Using Curvilinear Feature Driven Subdivision Surfaces.,"['Hailing Zhou', 'Jianmin Zheng', 'Lei Wei']",IEEE Trans. Image Process.,2014
48,j,Robust surface reconstruction via dictionary learning.,"['Shiyao Xiong', 'Juyong Zhang', 'Jianmin Zheng', 'Jianfei Cai', 'Ligang Liu']",ACM Trans. Graph.,2014
