,type,name,author,event,year
0,j,Reaching consensus under a deadline.,"['Marina Bannikova', 'Lihi Dery', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",Auton. Agents Multi Agent Syst.,2021
1,j,Protecting elections by recounting ballots.,"['Edith Elkind', 'Jiarui Gan', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Alexandros A. Voudouris']",Artif. Intell.,2021
2,j,Strategic Information Disclosure to People with Multiple Alternatives.,"['Amos Azaria', 'Zinovi Rabinovich', 'Claudia V. Goldman', 'Sarit Kraus']",ACM Trans. Intell. Syst. Technol.,2014
3,j,Computing pure Bayesian-Nash equilibria in games with finite actions and continuous types.,"['Zinovi Rabinovich', 'Victor Naroditskiy', 'Enrico H. Gerding', 'Nicholas R. Jennings']",Artif. Intell.,2013
4,j,A hybrid controller based on the egocentric perceptual principle.,"['Zinovi Rabinovich', 'Nicholas R. Jennings']",Robotics Auton. Syst.,2010
5,c,Spiking Pitch Black: Poisoning an Unknown Environment to Attack Unknown Reinforcement Learners.,"['Hang Xu', 'Xinghua Qu', 'Zinovi Rabinovich']",AAMAS,2022
6,c,Mis-spoke or mis-lead: Achieving Robustness in Multi-Agent Communicative Reinforcement Learning.,"['Wanqi Xue', 'Wei Qiu', 'Bo An', 'Zinovi Rabinovich', 'Svetlana Obraztsova', 'Chai Kiat Yeo']",AAMAS,2022
7,c,Reaching Consensus Under a Deadline.,"['Marina Bannikova', 'Lihi Dery', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",AAMAS,2022
8,c,Transferable Environment Poisoning: Training-time Attack on Reinforcement Learning.,"['Hang Xu', 'Rundong Wang', 'Lev Raizman', 'Zinovi Rabinovich']",AAMAS,2021
9,c,RMIX: Learning Risk-Sensitive Policies for Cooperative Reinforcement Learning Agents.,"['Wei Qiu', 'Xinrun Wang', 'Runsheng Yu', 'Rundong Wang', 'Xu He', 'Bo An', 'Svetlana Obraztsova', 'Zinovi Rabinovich']",NeurIPS,2021
10,c,New Algorithms for Continuous Distributed Constraint Optimization Problems.,"['Khoi D. Hoang', 'William Yeoh', 'Makoto Yokoo', 'Zinovi Rabinovich']",AAMAS,2020
11,c,Learning Efficient Multi-agent Communication: An Information Bottleneck Approach.,"['Rundong Wang', 'Xu He', 'Runsheng Yu', 'Wei Qiu', 'Bo An', 'Zinovi Rabinovich']",ICML,2020
12,c,I²HRL: Interactive Influence-based Hierarchical Reinforcement Learning.,"['Rundong Wang', 'Runsheng Yu', 'Bo An', 'Zinovi Rabinovich']",IJCAI,2020
13,c,Manipulating Elections by Selecting Issues.,"['Jasper Lu', 'David Kai Zhang', 'Zinovi Rabinovich', 'Svetlana Obraztsova', 'Yevgeniy Vorobeychik']",AAMAS,2019
14,c,Imitative Follower Deception in Stackelberg Games.,"['Jiarui Gan', 'Haifeng Xu', 'Qingyu Guo', 'Long Tran-Thanh', 'Zinovi Rabinovich', 'Michael J. Wooldridge']",EC,2019
15,c,Protecting Elections by Recounting Ballots.,"['Edith Elkind', 'Jiarui Gan', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Alexandros A. Voudouris']",IJCAI,2019
16,c,Real Candidacy Games: A New Model for Strategic Candidacy.,"['Itay Sabato', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",AAMAS,2017
17,c,Doodle Poll Games.,"['Svetlana Obraztsova', 'Maria Polukarov', 'Zinovi Rabinovich', 'Edith Elkind']",AAMAS,2017
18,c,Distant Truth: Bias Under Vote Distortion Costs.,"['Svetlana Obraztsova', 'Omer Lev', 'Evangelos Markakis', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",AAMAS,2017
19,c,Haste makes waste: a case to favour voting bots.,"['David Ben Yosef', 'Lihi Naamani Dery', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Marina Bannikova']",WI,2017
20,c,Trembling Hand Equilibria of Plurality Voting.,"['Svetlana Obraztsova', 'Zinovi Rabinovich', 'Edith Elkind', 'Maria Polukarov', 'Nicholas R. Jennings']",IJCAI,2016
21,c,On the Convergence of Iterative Voting: How Restrictive Should Restricted Dynamics Be?,"['Svetlana Obraztsova', 'Evangelos Markakis', 'Maria Polukarov', 'Zinovi Rabinovich', 'Nicholas R. Jennings']",AAAI,2015
22,c,Analysis of Equilibria in Iterative Voting Schemes.,"['Zinovi Rabinovich', 'Svetlana Obraztsova', 'Omer Lev', 'Evangelos Markakis', 'Jeffrey S. Rosenschein']",AAAI,2015
23,c,Exploring Information Asymmetry in Two-Stage Security Games.,"['Haifeng Xu', 'Zinovi Rabinovich', 'Shaddin Dughmi', 'Milind Tambe']",AAAI,2015
24,c,Beyond Plurality: Truth-Bias in Binary Scoring Rules.,"['Svetlana Obraztsova', 'Omer Lev', 'Evangelos Markakis', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",ADT,2015
25,c,Information Disclosure as a Means to Security.,"['Zinovi Rabinovich', 'Albert Xin Jiang', 'Manish Jain', 'Haifeng Xu']",AAMAS,2015
26,c,Beyond Plurality: Truth-Bias in Binary Scoring Rules.,"['Svetlana Obraztsova', 'Omer Lev', 'Evangelos Markakis', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",AAMAS,2015
27,c,Strategic Candidacy Games with Lazy Candidates.,"['Svetlana Obraztsova', 'Edith Elkind', 'Maria Polukarov', 'Zinovi Rabinovich']",IJCAI,2015
28,c,Convergence to Equilibria in Strategic Candidacy.,"['Maria Polukarov', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Alexander Kruglyi', 'Nicholas R. Jennings']",IJCAI,2015
29,c,Security Games with Information Leakage: Modeling and Computation.,"['Haifeng Xu', 'Albert Xin Jiang', 'Arunesh Sinha', 'Zinovi Rabinovich', 'Shaddin Dughmi', 'Milind Tambe']",IJCAI,2015
30,c,Lie on the Fly: Iterative Voting Center with Manipulative Voters.,"['Lihi Naamani Dery', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Meir Kalech']",IJCAI,2015
31,c,Faustian Dynamics in Sarkar's Social Cycle.,"['Svetlana Obraztsova', 'Zinovi Rabinovich', 'Alexandra Madunts']",ECAI,2014
32,c,Ishikawa play.,"['Yoad Lewenberg', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",AAMAS,2013
33,c,Strategic Advice Provision in Repeated Human-Agent Interactions.,"['Amos Azaria', 'Zinovi Rabinovich', 'Sarit Kraus', 'Claudia V. Goldman', ""Ya'akov Gal""]",AAAI,2012
34,c,Strategic Advice Provision in Repeated Human-Agent Interactions (Abstract).,"['Amos Azaria', 'Zinovi Rabinovich', 'Sarit Kraus', 'Claudia V. Goldman', ""Ya'akov Gal""]",AAAI,2012
35,c,Giving advice to people in path selection problems.,"['Amos Azaria', 'Zinovi Rabinovich', 'Sarit Kraus', 'Claudia V. Goldman', 'Omer Tsimhoni']",AAMAS,2012
36,c,Strategic Information Disclosure to People with Multiple Alternatives.,"['Amos Azaria', 'Zinovi Rabinovich', 'Sarit Kraus', 'Claudia V. Goldman']",AAAI,2011
37,c,Giving Advice to People in Path Selection Problems.,"['Amos Azaria', 'Zinovi Rabinovich', 'Sarit Kraus', 'Claudia V. Goldman']",Interactive Decision Theory and Game Theory,2011
38,c,Cultivating desired behaviour: policy teaching via environment-dynamics tweaks.,"['Zinovi Rabinovich', 'Lachlan Dufton', 'Kate Larson', 'Nicholas R. Jennings']",AAMAS,2010
39,c,Generalised Fictitious Play for a Continuum of Anonymous Players.,"['Zinovi Rabinovich', 'Enrico H. Gerding', 'Maria Polukarov', 'Nicholas R. Jennings']",IJCAI,2009
40,c,Coordination and Multi-Tasking Using EMT.,"['Zinovi Rabinovich', 'Nir Pochter', 'Jeffrey S. Rosenschein']",AAAI,2008
41,c,Dynamics based control with PSRs.,"['Ariel Adam', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",AAMAS (1),2008
42,c,Approximating mixed Nash equilibria using smooth fictitious play in simultaneous auctions.,"['Enrico H. Gerding', 'Zinovi Rabinovich', 'Andrew Byde', 'Edith Elkind', 'Nicholas R. Jennings']",AAMAS (3),2008
43,c,Dynamics based control with an application to area-sweeping problems.,"['Zinovi Rabinovich', 'Jeffrey S. Rosenschein', 'Gal A. Kaminka']",AAMAS,2007
44,c,Behaviosites: Manipulation of Multiagent System Behavior through Parasitic Infection.,"['Amit Shabtay', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",AAAI,2006
45,c,On the response of EMT-based control to interacting targets and models.,"['Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",AAMAS,2006
46,c,Behaviosites: a novel paradigm for affecting distributed behavior.,"['Amit Shabtay', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",AAMAS,2006
47,c,Behaviosites: A Novel Paradigm for Affecting Distributed Behavior.,"['Amit Shabtay', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",ESOA,2006
48,c,Multiagent coordination by Extended Markov Tracking.,"['Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",AAMAS,2005
49,c,Dynamics Based Control: An Introduction.,"['Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",EUMAS,2005
50,c,Simulation of Cooperative Behavioral Trends by Local Interaction Rules.,"['Osnat Shapira', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",EUMAS,2005
51,c,The complexity of multiagent systems: the price of silence.,"['Zinovi Rabinovich', 'Claudia V. Goldman', 'Jeffrey S. Rosenschein']",AAMAS,2003
52,i,Off-Beat Multi-Agent Reinforcement Learning.,"['Wei Qiu', 'Weixun Wang', 'Rundong Wang', 'Bo An', 'Yujing Hu', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Jianye Hao', 'Yingfeng Chen', 'Changjie Fan']",CoRR,2022
53,i,RMIX: Learning Risk-Sensitive Policies for Cooperative Reinforcement Learning Agents.,"['Wei Qiu', 'Xinrun Wang', 'Runsheng Yu', 'Xu He', 'Rundong Wang', 'Bo An', 'Svetlana Obraztsova', 'Zinovi Rabinovich']",CoRR,2021
54,i,Mis-spoke or mis-lead: Achieving Robustness in Multi-Agent Communicative Reinforcement Learning.,"['Wanqi Xue', 'Wei Qiu', 'Bo An', 'Zinovi Rabinovich', 'Svetlana Obraztsova', 'Chai Kiat Yeo']",CoRR,2021
55,i,Imitative Follower Deception in Stackelberg Games.,"['Jiarui Gan', 'Haifeng Xu', 'Qingyu Guo', 'Long Tran-Thanh', 'Zinovi Rabinovich', 'Michael J. Wooldridge']",CoRR,2019
56,i,Lie on the Fly: Strategic Voting in an Iterative Preference Elicitation Process.,"['Lihi Dery', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Meir Kalech']",CoRR,2019
57,i,Between Discord and Deadlock: Consensus Under a Deadline.,"['Marina Bannikova', 'Lihi Dery', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Jeffrey S. Rosenschein']",CoRR,2019
58,i,New Algorithms for Functional Distributed Constraint Optimization Problems.,"['Khoi D. Hoang', 'William Yeoh', 'Makoto Yokoo', 'Zinovi Rabinovich']",CoRR,2019
59,i,Protecting Elections by Recounting Ballots.,"['Edith Elkind', 'Jiarui Gan', 'Svetlana Obraztsova', 'Zinovi Rabinovich', 'Alexandros A. Voudouris']",CoRR,2019
60,i,Learning Efficient Multi-agent Communication: An Information Bottleneck Approach.,"['Rundong Wang', 'Xu He', 'Runsheng Yu', 'Wei Qiu', 'Bo An', 'Zinovi Rabinovich']",CoRR,2019
61,i,Manipulating Elections by Selecting Issues.,"['Jasper Lu', 'David Kai Zhang', 'Zinovi Rabinovich', 'Svetlana Obraztsova', 'Yevgeniy Vorobeychik']",CoRR,2019
62,i,Security Games With Information Leakage: Modeling and Computation.,"['Haifeng Xu', 'Albert Xin Jiang', 'Arunesh Sinha', 'Zinovi Rabinovich', 'Shaddin Dughmi', 'Milind Tambe']",CoRR,2015
