,Unnamed: 0,type,name,author,event,year,names,conf,id,Title,acronym,source,rank,hasData,primaryFoR,FoR2,FoR3
0,95,c,Performance Analysis of Base Station Association Strategies in Industrial 5G Networks.,"['Zheng Hui Ernest Tan', 'A. S. Madhukumar']",VTC Fall,2021,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
1,97,c,Capacity Characterization of Uplink NOMA in Multi-UAV Networks.,"['Zheng Hui Ernest Tan', 'A. S. Madhukumar', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",VTC Spring,2020,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
2,98,c,Space Shift Keying-Based Hybrid FSO/RF System.,"['Shubha Sharma', 'A. S. Madhukumar', 'Swaminathan Ramabadran']",VTC Fall,2020,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
3,99,c,Performance of Dual-Hop Hybrid FSO/RF System with Pointing Errors Optimization.,"['Shubha Sharma', 'A. S. Madhukumar', 'R. Swaminathan']",VTC Spring,2020,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
4,100,c,Performance Analysis of HAPS-Based Relaying for Hybrid FSO/RF Downlink Satellite Communication.,"['R. Swaminathan', 'Shubha Sharma', 'A. S. Madhukumar']",VTC Spring,2020,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
5,101,c,Impact of Cellular Interference on Uplink UAV Communications.,"['Zheng Hui Ernest Tan', 'A. S. Madhukumar', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",VTC Spring,2020,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
6,102,c,Mitigating Cellular Interference in Uplink UAV Communications.,"['Zheng Hui Ernest Tan', 'A. S. Madhukumar', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",VTC Fall,2020,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
7,106,c,NOMA Precoding for Cognitive Overlay Dual Satellite Systems.,"['Rajendra Prasad Sirigina', 'A. S. Madhukumar', 'Mark D. J. Bowyer']",VTC Spring,2019,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
8,107,c,Downlink NOMA in Multi-UAV Networks over Bivariate Rician Shadowed Fading Channels.,"['Zheng Hui Ernest Tan', 'A. S. Madhukumar', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",VTC Fall,2019,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
9,112,c,Hybrid-Duplex Systems for UAV Communications Under Rician Shadowed Fading.,"['Zheng Hui Ernest Tan', 'A. S. Madhukumar', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",VTC Fall,2018,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
10,113,c,On the Performance Analysis of Hybrid-Duplex Systems for Aeronautical Communications.,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna', 'A. S. Madhukumar']",VTC Spring,2018,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
11,117,c,Subspace Based Interference Cancellation in Cooperative Multicell Transmission.,"['Swagato Barman Roy', 'A. S. Madhukumar', 'Francois P. S. Chin']",VTC Spring,2017,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
12,118,c,On Partial Interference Cancellation with Partial Interference Forwarding.,"['Rajendra Prasad Sirigina', 'A. S. Madhukumar']",VTC Spring,2017,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
13,119,c,Parameter Identification of Reed-Solomon Codes over Noisy Environment.,"['Swaminathan Ramabadran', 'A. S. Madhukumar', 'Guohua Wang', 'Shang-Kee Ting']",VTC Fall,2017,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
14,126,c,Cross-Polarized Complementary Frequency Allocation in Femto-Macro Networks.,"['Ponnu Jacob', 'A. S. Madhukumar', 'A. Prasad Vinod']",VTC Spring,2015,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
15,127,c,DMT for the Relay Assisted Interference Cancellation over Nakagami-m Fading Channel.,"['Rajendra Prasad Sirigina', 'A. S. Madhukumar']",VTC Spring,2015,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
16,128,c,On the Diversity Gain Region for the Relay Assisted Interference Management.,"['Rajendra Prasad Sirigina', 'A. S. Madhukumar']",VTC Spring,2015,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
17,132,c,Practical Limits of Rateless Codes in Multihop Relay Networks.,"['Ashish James', 'A. S. Madhukumar']",VTC Spring,2014,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
